#id: 4282934658
#name: Arabidopsis thaliana - Root, SC (Baerenfaller,integrbiol,2011)
#score: 7.8
#description: abundance based on Spectral counting, Interaction consistency score: 7.8, Coverage: 23
#organ: ROOT
#integrated: false
#coverage: 23
#link: http://pubs.rsc.org/en/Content/ArticleLanding/2011/IB/c0ib00078g
#publication_year: 2011
#filename: 3702-Arabidopsis_root_Baerenfaller_2011_IntegrBiol.txt
#
#string_external_id	abundance	raw_spectral_count
3702.AT3G16420.1	8069	465
3702.AT3G09260.1	7663	739
3702.AT3G15950.1	6581	830
3702.AT2G36530.1	5321	565
3702.AT4G20260.4	4987	142
3702.AT2G30860.1	4718	158
3702.AT4G39260.1	4426	123
3702.AT1G56070.1	4358	745
3702.AT1G04410.1	4294	252
3702.AT2G47730.1	4258	226
3702.AT5G17920.1	4228	584
3702.AT3G55440.1	4212	235
3702.AT2G01520.1	3942	129
3702.AT3G16460.2	3708	438
3702.AT1G65930.1	3629	244
3702.AT2G27710.1	3349	68
3702.AT3G56240.1	3324	72
3702.AT1G78900.2	3290	412
3702.AT4G23670.1	3282	102
3702.AT1G35720.1	3230	214
3702.AT1G07890.8	3229	149
3702.AT4G02520.1	3068	120
3702.AT2G30870.1	2962	91
3702.AT5G26280.1	2956	199
3702.AT4G34870.1	2906	100
3702.AT3G14990.1	2828	249
3702.AT4G02450.1	2820	43
3702.AT4G29350.1	2820	72
3702.AT5G13450.1	2767	127
3702.AT5G42980.1	2745	87
3702.AT1G19570.1	2714	120
3702.AT1G79550.2	2627	248
3702.AT1G02780.1	2604	33
3702.AT4G16260.1	2603	170
3702.AT5G13420.1	2531	203
3702.AT4G34050.1	2516	118
3702.AT2G16600.1	2407	92
3702.AT3G52930.1	2283	160
3702.AT2G44790.1	2281	72
3702.AT1G70850.1	2235	106
3702.AT5G02500.1	2182	209
3702.AT3G26520.1	2165	34
3702.AT1G22300.1	2156	112
3702.AT4G38740.1	2142	67
3702.AT3G08580.2	2111	124
3702.AT5G47700.1	2103	27
3702.AT1G73230.1	2076	43
3702.AT1G73260.1	2068	59
3702.AT3G16450.2	2066	149
3702.AT1G13930.3	2050	54
3702.AT3G16640.1	1990	66
3702.AT5G03630.1	1962	204
3702.AT1G31812.1	1961	29
3702.AT3G60750.1	1959	224
3702.AT3G28940.1	1919	57
3702.AT1G65980.1	1891	68
3702.AT1G66200.3	1880	92
3702.AT2G39310.1	1866	161
3702.AT2G27720.2	1849	28
3702.AT5G10860.1	1841	80
3702.AT2G19760.1	1837	49
3702.AT1G54000.1	1805	158
3702.AT1G03220.1	1775	142
3702.AT5G19510.1	1769	43
3702.AT4G13940.1	1756	134
3702.AT1G26630.1	1747	53
3702.AT4G14880.4	1726	120
3702.AT3G52300.1	1716	39
3702.AT2G31390.1	1710	84
3702.AT1G53240.1	1704	96
3702.AT5G15090.2	1704	86
3702.AT3G46040.1	1679	22
3702.AT3G47520.1	1678	146
3702.AT3G04120.1	1670	75
3702.AT5G14040.1	1648	132
3702.AT4G13930.1	1639	144
3702.AT3G58610.3	1632	215
3702.AT4G09320.1	1629	66
3702.AT1G27450.3	1629	88
3702.AT2G19730.3	1622	20
3702.AT2G21870.1	1620	66
3702.AT1G76180.1	1618	44
3702.AT2G45820.1	1610	20
3702.AT2G01530.1	1594	54
3702.AT4G26970.1	1594	280
3702.AT2G22170.1	1574	48
3702.AT1G13440.1	1566	71
3702.AT2G05710.1	1532	273
3702.AT3G01390.2	1519	27
3702.AT1G11580.1	1515	102
3702.AT3G32980.1	1513	115
3702.AT2G33040.1	1513	92
3702.AT1G63940.2	1493	173
3702.AT5G42890.1	1491	20
3702.AT3G01420.1	1463	232
3702.AT3G10920.1	1462	79
3702.AT5G54500.2	1453	53
3702.AT5G38480.1	1439	68
3702.AT4G30010.1	1415	20
3702.AT3G02090.2	1411	130
3702.AT4G34200.1	1409	127
3702.AT1G01100.2	1398	18
3702.AT3G61260.1	1359	15
3702.AT3G23600.1	1351	69
3702.AT1G21750.1	1346	139
3702.AT4G24190.1	1344	187
3702.AT5G07440.1	1341	94
3702.AT2G42210.2	1332	45
3702.AT3G22200.2	1330	113
3702.AT4G32470.1	1323	20
3702.AT4G09000.2	1299	68
3702.AT3G04920.1	1283	13
