#id: 3929950369
#name: Arabidopsis thaliana - Cotyledon (Integrated)
#score: 6.9
#coverage: 19
#description: integrated dataset: weighted average of all Arabidopsis thaliana COTYLEDON: 6.9, Coverage: 19
#organ: COTYLEDON
#integrated: true
#weights: arabidopsis1c_cotyledon_Baerenfaller_PRIDE:0.909;Arabidopsis_cotyledon_Baerenfaller_2011_IntegrBiol:0.091;
#publication_year: 2023
#filename: 3702-COTYLEDON-integrated.txt
#
#internal_id	string_external_id	abundance
635073	3702.ATCG00490.1	48297
635050	3702.ATCG00120.1	21782
635090	3702.ATCG00680.1	18837
618258	3702.AT2G39730.1	12535
635072	3702.ATCG00480.1	11600
625451	3702.AT4G10340.1	8029
635061	3702.ATCG00280.1	7893
624290	3702.AT3G60750.1	6927
620823	3702.AT3G16240.1	6860
635060	3702.ATCG00270.1	6788
628603	3702.AT4G38970.1	6695
631599	3702.AT5G35630.1	6632
612896	3702.AT1G61520.1	6583
635044	3702.ATCG00020.1	6553
620418	3702.AT3G12780.1	6501
613487	3702.AT1G67090.1	6226
608442	3702.AT1G06680.1	5973
626591	3702.AT4G20360.1	5587
625072	3702.AT4G04640.1	5292
611511	3702.AT1G44575.1	5193
609430	3702.AT1G15820.1	5048
611429	3702.AT1G42970.1	4991
635051	3702.ATCG00130.1	4917
623688	3702.AT3G54890.1	4652
624438	3702.AT3G62030.2	4364
626580	3702.AT4G20260.4	4266
628784	3702.AT5G01530.1	4155
621951	3702.AT3G26520.1	4073
622888	3702.AT3G47470.1	3860
627065	3702.AT4G24770.1	3818
608726	3702.AT1G09340.1	3771
629604	3702.AT5G09660.4	3674
609886	3702.AT1G20340.1	3614
635064	3702.ATCG00340.1	3573
635052	3702.ATCG00140.1	3493
633609	3702.AT5G54270.1	3446
627503	3702.AT4G28750.1	3326
635078	3702.ATCG00540.1	3241
635093	3702.ATCG00710.1	3212
623790	3702.AT3G55800.1	3211
635071	3702.ATCG00470.1	3209
619229	3702.AT3G01500.2	3074
635065	3702.ATCG00350.1	3006
613587	3702.AT1G68010.2	2981
619588	3702.AT3G04790.1	2918
625377	3702.AT4G09650.1	2845
608575	3702.AT1G07920.1	2842
608576	3702.AT1G07930.1	2842
608577	3702.AT1G07940.2	2842
634263	3702.AT5G60390.1	2842
614013	3702.AT1G72150.1	2816
626681	3702.AT4G21280.2	2782
611014	3702.AT1G32060.1	2780
610943	3702.AT1G31330.1	2770
630907	3702.AT5G23060.1	2713
625139	3702.AT4G05180.1	2679
617000	3702.AT2G28000.1	2653
609005	3702.AT1G11860.3	2649
623746	3702.AT3G55440.1	2641
616291	3702.AT2G21170.1	2563
624372	3702.AT3G61470.1	2562
617999	3702.AT2G37220.1	2558
631870	3702.AT5G38430.1	2549
634370	3702.AT5G61410.1	2523
624981	3702.AT4G03280.1	2453
634886	3702.AT5G66190.1	2449
620000	3702.AT3G08940.2	2415
630724	3702.AT5G20630.1	2401
621967	3702.AT3G26650.1	2336
615572	3702.AT2G13360.1	2194
622651	3702.AT3G45140.1	2176
614707	3702.AT1G78900.2	2138
625316	3702.AT4G09010.1	2137
629064	3702.AT5G04140.2	2120
616181	3702.AT2G20260.1	2077
617021	3702.AT2G28190.1	2068
635053	3702.ATCG00150.1	2014
619963	3702.AT3G08580.2	2013
632638	3702.AT5G45390.1	1997
609854	3702.AT1G20020.1	1988
624350	3702.AT3G61260.1	1978
612371	3702.AT1G54780.1	1899
609536	3702.AT1G16880.1	1890
622823	3702.AT3G46780.1	1874
608027	3702.AT1G02780.1	1856
627259	3702.AT4G26530.2	1834
616310	3702.AT2G21330.1	1801
635094	3702.ATCG00720.1	1800
630431	3702.AT5G17920.1	1794
627968	3702.AT4G33010.1	1793
622854	3702.AT3G47070.1	1777
617296	3702.AT2G30860.1	1772
617918	3702.AT2G36530.1	1764
628194	3702.AT4G35090.1	1729
620841	3702.AT3G16420.1	1721
631214	3702.AT5G26000.1	1721
608195	3702.AT1G04410.1	1717
612508	3702.AT1G56070.1	1714
626947	3702.AT4G23670.1	1710
618136	3702.AT2G38540.1	1699
630913	3702.AT5G23120.1	1692
620623	3702.AT3G14420.1	1683
623601	3702.AT3G54050.1	1665
625711	3702.AT4G12800.1	1656
632323	3702.AT5G42650.1	1618
627883	3702.AT4G32260.1	1613
609914	3702.AT1G20620.1	1608
635087	3702.ATCG00650.1	1581
624555	3702.AT3G63140.1	1566
628497	3702.AT4G37930.1	1551
630734	3702.AT5G20720.3	1546
608544	3702.AT1G07660.1	1534
608563	3702.AT1G07820.1	1534
617083	3702.AT2G28740.1	1534
622734	3702.AT3G45930.1	1534
622774	3702.AT3G46320.1	1534
623569	3702.AT3G53730.1	1534
634190	3702.AT5G59690.1	1534
634219	3702.AT5G59970.1	1534
631694	3702.AT5G36700.1	1527
631704	3702.AT5G36790.1	1527
608571	3702.AT1G07890.8	1515
618918	3702.AT2G45820.1	1509
627535	3702.AT4G29060.1	1505
619227	3702.AT3G01480.1	1503
613364	3702.AT1G65930.1	1488
609120	3702.AT1G12900.1	1475
608114	3702.AT1G03600.1	1463
611465	3702.AT1G43670.1	1435
617951	3702.AT2G36830.1	1422
623254	3702.AT3G50820.1	1411
635095	3702.ATCG00730.1	1389
618700	3702.AT2G43750.1	1385
612522	3702.AT1G56190.1	1383
630097	3702.AT5G14740.1	1376
623053	3702.AT3G49010.3	1372
619027	3702.AT2G46820.1	1370
614725	3702.AT1G79040.1	1366
618044	3702.AT2G37660.1	1361
612442	3702.AT1G55480.1	1329
620622	3702.AT3G14415.2	1327
