#id: 2944487785
#name: Arabidopsis thaliana - Whole organism, SC (Gpm,aug,2014)
#score: 18.4
#description: abundance based on Spectral counting, Interaction consistency score: 18.4, Coverage: 42
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 42
#link: http://www.thegpm.org/
#publication_year: 2014
#filename: 3702-GPM_201408.txt
#
#string_external_id	abundance	raw_spectral_count
3702.ATCG00490.1	14134	225431
3702.AT1G06680.1	11497	141056
3702.AT2G39730.1	10952	256868
3702.AT3G52590.1	10778	857061
3702.AT2G36170.1	10778	857061
3702.AT1G20340.1	10749	31694
3702.AT1G23410.1	9219	857043
3702.AT4G20260.4	9019	65584
3702.AT2G47110.1	9011	858118
3702.AT3G62250.1	9006	858082
3702.AT1G07890.8	8221	102502
3702.AT1G31340.1	7208	858653
3702.AT2G35635.1	7102	857771
3702.AT1G01100.2	5616	58565
3702.AT5G38410.3	5395	128864
3702.AT3G49010.3	5347	24655
3702.AT5G57290.1	5228	38746
3702.AT1G60950.1	5202	13182
3702.AT5G38420.1	5073	140984
3702.AT4G05050.2	4943	856021
3702.AT2G27710.1	4857	31312
3702.AT5G47700.1	4796	55298
3702.AT5G14740.1	4723	180523
3702.AT1G55060.1	4562	858034
3702.AT4G25890.1	4464	36721
3702.AT1G67090.1	4459	99902
3702.AT3G01500.2	4076	172232
3702.AT5G35630.1	4049	77340
3702.AT3G16420.1	3722	58395
3702.AT5G03240.3	3697	856021
3702.AT4G02890.3	3697	856021
3702.AT4G38970.1	3696	68523
3702.AT1G61520.1	3524	26507
3702.AT1G07940.2	3340	250911
3702.AT1G07930.1	3340	250911
3702.AT1G07920.1	3340	250911
3702.AT5G60390.1	3340	250911
3702.AT1G65350.1	3317	859494
3702.AT4G00810.1	3150	47254
3702.AT2G27720.2	3104	20085
3702.AT5G20620.1	2953	856021
3702.AT1G20620.1	2947	84590
3702.ATCG00480.1	2929	107398
3702.AT2G19730.3	2839	14532
3702.AT1G76100.1	2826	8108
3702.AT4G13940.1	2716	68142
3702.AT5G37640.1	2640	856905
3702.AT5G17920.1	2587	160601
3702.AT3G50820.1	2526	73821
3702.AT3G14420.1	2503	82566
3702.AT1G13440.1	2462	73720
3702.AT4G05320.2	2458	856021
3702.AT1G12900.1	2456	111207
3702.AT1G43170.8	2445	46267
3702.AT5G66570.1	2442	72371
3702.AT4G21280.2	2431	31214
3702.ATCG00120.1	2395	46216
3702.AT1G07820.1	2376	62696
3702.AT3G46320.1	2376	62696
3702.AT5G59690.1	2376	62696
3702.AT3G45930.1	2376	62696
3702.AT2G28740.1	2376	62696
3702.AT1G07660.1	2376	62696
3702.AT5G59970.1	2376	62696
3702.AT3G53730.1	2376	62696
3702.AT3G62030.2	2352	37719
3702.ATCG00140.1	2344	1639
3702.AT2G21330.1	2325	53341
3702.AT5G20720.3	2281	32425
3702.AT1G13930.3	2243	15459
3702.AT3G54890.1	2238	16893
3702.AT3G04120.1	2206	71009
3702.AT5G09660.4	2191	38843
3702.AT3G26650.1	2152	105715
3702.AT5G38430.1	2134	78891
3702.AT1G29930.1	2098	130056
3702.AT2G28190.1	2010	11251
3702.ATCG00680.1	1984	33747
3702.AT1G29910.1	1941	130316
3702.AT1G29920.1	1941	130316
3702.AT3G09200.1	1905	27859
3702.AT4G39260.1	1893	23308
3702.AT5G26000.1	1827	67208
3702.AT5G44120.3	1821	34451
3702.AT4G28520.1	1796	65579
3702.AT5G02500.1	1774	170050
3702.AT2G34420.1	1756	119516
3702.AT4G31985.1	1745	114
3702.AT2G25210.1	1745	114
3702.AT4G23670.1	1740	14933
3702.AT5G15970.1	1727	7087
3702.AT3G09260.1	1709	52970
3702.AT1G79550.2	1694	56655
3702.AT4G25100.1	1678	16195
3702.AT2G34430.1	1670	119191
3702.AT3G43810.1	1664	55464
3702.AT3G56800.1	1636	55356
3702.AT5G21274.1	1623	55027
3702.AT2G27030.3	1620	55380
3702.AT1G78900.2	1611	56505
3702.AT3G12780.1	1588	70119
3702.AT3G08580.2	1581	40073
3702.AT1G07320.1	1569	18861
3702.AT2G16600.1	1548	14607
3702.ATCG00710.1	1489	1468
3702.ATCG00270.1	1488	15670
3702.AT1G62480.1	1459	9647
3702.AT3G01390.2	1457	4974
3702.AT4G29410.1	1454	9424
3702.AT2G30860.1	1442	12742
3702.AT2G47470.1	1440	24776
3702.AT4G02450.1	1435	6705
3702.AT3G03780.1	1435	118984
3702.AT1G22300.1	1404	44968
3702.AT5G20630.1	1403	9532
3702.AT5G25980.2	1402	40946
3702.AT2G21660.1	1397	23129
3702.AT2G20260.1	1375	10579
3702.AT4G28750.1	1373	12242
3702.AT3G61260.1	1369	5082
3702.AT3G60750.1	1366	55227
3702.AT2G45960.3	1361	34298
3702.AT1G12080.2	1358	10863
3702.AT1G02780.1	1346	4534
3702.AT3G52930.1	1325	44354
3702.ATCG01060.1	1312	7983
3702.AT1G53240.1	1304	29459
3702.AT4G10340.1	1302	24331
3702.AT4G09000.2	1295	61396
3702.AT3G09790.1	1292	693670
3702.AT2G36530.1	1286	33119
3702.AT2G05220.2	1285	18307
3702.AT3G16240.1	1285	4204
3702.AT5G04800.4	1275	18405
