#id: 1326924861
#name: Arabidopsis thaliana - Rosette, normalized abundance (Krahmeretal,molcellproteomics2022)
#score: 6.7
#description: abundance based on normalized abundance, Interaction consistency score: 6.7, Coverage: 5
#organ: ROSETTE
#integrated: false
#coverage: 5
#link: http://www.ncbi.nlm.nih.gov/pubmed/34740825
#publication_year: 2022
#filename: 3702-PXD009230_Krahmer_Mol_Cell_Proteomics_2022_arabidopsis_thaliana_rosette_circadian_average.txt
#
#string_external_id	abundance
3702.ATCG00490.1	165411
3702.AT1G67090.1	47527
3702.AT5G38420.1	31754
3702.AT2G39730.1	27904
3702.ATCG00480.1	27281
3702.AT1G29930.1	25723
3702.AT1G06680.1	22894
3702.AT5G66570.1	19979
3702.ATCG00120.1	14452
3702.AT4G28750.1	13517
3702.AT4G02770.1	11576
3702.AT1G20340.1	11486
3702.ATCG00340.1	11207
3702.ATCG01060.1	10599
3702.AT3G01500.2	9073
3702.ATCG00270.1	8572
3702.ATCG00680.1	8503
3702.AT4G38970.1	8413
3702.AT4G10340.1	8381
3702.ATCG00280.1	7492
3702.AT5G01530.1	7377
3702.AT1G60950.1	7295
3702.AT2G20260.1	7190
3702.AT1G07920.1	6667
3702.AT3G60750.1	6639
3702.AT5G17920.1	6590
3702.ATCG00020.1	6541
3702.AT3G50820.1	6347
3702.AT1G15820.1	6309
3702.AT1G42970.1	6110
3702.AT2G37230.1	5928
3702.AT1G48060.1	5892
3702.AT1G61520.1	5820
3702.AT4G13430.1	5808
3702.AT2G05070.1	5594
3702.AT4G05180.1	5548
3702.AT3G47470.1	5537
3702.ATCG00710.1	5366
3702.AT5G38430.1	4757
3702.AT3G12780.1	4740
3702.AT1G32060.1	4514
3702.AT2G21330.1	4486
3702.AT1G13440.1	4309
3702.AT5G14740.1	4295
3702.AT4G21280.2	4258
3702.AT3G26650.1	4227
3702.AT5G20630.1	4014
3702.AT5G26000.1	3895
3702.AT1G31330.1	3706
3702.ATCG00350.1	3613
3702.AT5G35630.1	3481
3702.AT1G26230.1	3472
3702.AT4G37930.1	3377
3702.ATCG00540.1	3354
3702.AT1G20620.1	3241
3702.AT2G28000.1	3167
3702.AT1G12900.1	3143
3702.AT3G62030.2	3116
3702.AT1G52230.1	3099
3702.AT5G64040.2	2987
3702.AT3G54890.1	2971
3702.AT4G20360.1	2830
3702.AT1G20020.1	2736
3702.AT3G55440.1	2707
3702.AT4G03280.1	2523
3702.AT3G55800.1	2495
3702.AT1G44575.1	2473
3702.AT4G12450.1	2445
3702.AT1G79040.1	2419
3702.AT1G09340.1	2409
3702.AT2G37220.1	2390
3702.AT4G04640.1	2266
3702.AT4G33010.1	2167
3702.AT4G11920.1	2147
3702.AT4G25100.1	2144
3702.AT4G23670.1	2121
3702.AT3G63140.1	2079
3702.AT5G54270.1	2074
3702.AT3G61470.1	2032
3702.AT4G13940.1	2001
3702.AT3G08940.2	1911
3702.AT1G30380.1	1899
3702.AT1G53240.1	1873
3702.ATCG00130.1	1865
3702.AT1G76100.1	1850
3702.AT3G14420.1	1835
3702.AT3G26520.1	1803
3702.AT1G56070.1	1777
3702.AT3G45140.1	1758
3702.AT1G55670.1	1739
3702.AT1G04410.1	1719
3702.AT1G72610.1	1710
3702.AT2G21660.1	1701
3702.AT5G46110.4	1685
3702.AT5G50920.1	1634
3702.AT3G52930.1	1633
3702.ATCG00470.1	1585
3702.AT3G14210.1	1568
3702.AT4G32260.1	1462
3702.AT3G11630.1	1437
3702.AT1G72370.1	1413
3702.AT2G27030.3	1386
3702.AT3G46780.1	1368
3702.AT5G66190.1	1355
3702.AT4G24770.1	1342
3702.AT5G08670.1	1319
3702.AT2G37190.1	1302
3702.AT4G12800.1	1290
3702.AT3G44310.1	1269
3702.AT5G02500.1	1252
