#id: 2269330278
#name: Arabidopsis thaliana - Whole organism (Integrated)
#score: 37.2
#coverage: 76
#description: integrated dataset: weighted average of all Arabidopsis thaliana WHOLE_ORGANISM: 37.2, Coverage: 76
#organ: WHOLE_ORGANISM
#integrated: true
#weights: PXD013606_Arabidopsis_thaliana:0.533;Motohashi_2012_avgWT_Prot_nSPC:0.192;3702_GPM_201408:0.16;countCastellana:0.069;Arabidopsis_thaliana_SC_biomart_27037_E__1reps:0.038;peptide.Baerenfaller_2008_new:0.008;
#publication_year: 2023
#filename: 3702-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
635073	3702.ATCG00490.1	42799
635090	3702.ATCG00680.1	14184
618258	3702.AT2G39730.1	12084
635060	3702.ATCG00270.1	11796
635072	3702.ATCG00480.1	6995
635044	3702.ATCG00020.1	6924
635061	3702.ATCG00280.1	6380
635050	3702.ATCG00120.1	4605
613487	3702.AT1G67090.1	4346
628603	3702.AT4G38970.1	4281
624290	3702.AT3G60750.1	4196
608571	3702.AT1G07890.8	4159
608575	3702.AT1G07920.1	3797
620418	3702.AT3G12780.1	3512
609886	3702.AT1G20340.1	3504
608442	3702.AT1G06680.1	3488
626580	3702.AT4G20260.4	3270
609174	3702.AT1G13440.1	3269
620037	3702.AT3G09260.1	3251
625451	3702.AT4G10340.1	3250
631599	3702.AT5G35630.1	2930
626947	3702.AT4G23670.1	2679
630431	3702.AT5G17920.1	2567
619515	3702.AT3G04120.1	2561
620841	3702.AT3G16420.1	2511
626681	3702.AT4G21280.2	2332
612896	3702.AT1G61520.1	2315
625833	3702.AT4G13940.1	2128
623746	3702.AT3G55440.1	2096
626591	3702.AT4G20360.1	2084
635064	3702.ATCG00340.1	2028
617296	3702.AT2G30860.1	1986
623053	3702.AT3G49010.3	1977
617918	3702.AT2G36530.1	1972
634886	3702.AT5G66190.1	1950
631870	3702.AT5G38430.1	1937
635078	3702.ATCG00540.1	1925
609430	3702.AT1G15820.1	1925
621951	3702.AT3G26520.1	1912
630097	3702.AT5G14740.1	1910
612508	3702.AT1G56070.1	1884
635094	3702.ATCG00720.1	1879
617878	3702.AT2G36170.1	1879
623445	3702.AT3G52590.1	1879
619229	3702.AT3G01500.2	1862
611429	3702.AT1G42970.1	1849
620000	3702.AT3G08940.2	1837
623569	3702.AT3G53730.1	1790
608195	3702.AT1G04410.1	1735
630724	3702.AT5G20630.1	1725
609914	3702.AT1G20620.1	1714
631868	3702.AT5G38410.3	1712
