#id: 2925684057
#name: A.thaliana - Juvenile leaf, SC (Baerenfaller,pep2pro,2012)
#score: 7.3
#weight:  100%
#description: abundance based on Spectral counting, Interaction consistency score: 7.3, Coverage: 21
#organ: JUVENILE_LEAF
#integrated: false
#coverage: 21
#link: http://fgcz-pep2pro.uzh.ch/
#publication_year: 2012
#filename: 3702-arabidopsis1f_juvenileLeaf_Baerenfaller_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
635073	3702.ATCG00490.1	43316	3581
635050	3702.ATCG00120.1	16866	1507
635090	3702.ATCG00680.1	15744	1480
618258	3702.AT2G39730.1	10666	1536
635072	3702.ATCG00480.1	9470	1837
620823	3702.AT3G16240.1	8614	170
625451	3702.AT4G10340.1	6959	618
624290	3702.AT3G60750.1	6482	1154
635060	3702.ATCG00270.1	6359	422
635061	3702.ATCG00280.1	6319	597
628603	3702.AT4G38970.1	5773	414
613487	3702.AT1G67090.1	5770	331
612896	3702.AT1G61520.1	5721	244
626591	3702.AT4G20360.1	5178	776
611511	3702.AT1G44575.1	4980	341
635044	3702.ATCG00020.1	4957	305
631599	3702.AT5G35630.1	4506	468
620418	3702.AT3G12780.1	4490	577
609430	3702.AT1G15820.1	4443	312
624438	3702.AT3G62030.2	4438	308
608442	3702.AT1G06680.1	4422	365
623688	3702.AT3G54890.1	4273	195
608577	3702.AT1G07940.2	3944	1572
634263	3702.AT5G60390.1	3944	1572
608576	3702.AT1G07930.1	3944	1572
608575	3702.AT1G07920.1	3944	1572
625072	3702.AT4G04640.1	3904	382
628784	3702.AT5G01530.1	3784	348
635052	3702.ATCG00140.1	3731	23
635051	3702.ATCG00130.1	3719	113
617000	3702.AT2G28000.1	3692	561
617999	3702.AT2G37220.1	3664	256
611429	3702.AT1G42970.1	3506	554
622888	3702.AT3G47470.1	3479	296
609886	3702.AT1G20340.1	3440	63
630431	3702.AT5G17920.1	3289	660
621951	3702.AT3G26520.1	3039	56
635064	3702.ATCG00340.1	2988	456
635071	3702.ATCG00470.1	2982	113
635078	3702.ATCG00540.1	2962	324
627065	3702.AT4G24770.1	2954	145
630724	3702.AT5G20630.1	2952	167
608726	3702.AT1G09340.1	2938	380
629604	3702.AT5G09660.4	2794	252
625377	3702.AT4G09650.1	2770	229
633609	3702.AT5G54270.1	2699	158
631214	3702.AT5G26000.1	2645	515
626681	3702.AT4G21280.2	2610	189
635093	3702.ATCG00710.1	2574	14
620123	3702.AT3G10090.1	2572	26
629032	3702.AT5G03850.1	2572	26
625139	3702.AT4G05180.1	2539	188
613587	3702.AT1G68010.2	2526	251
610943	3702.AT1G31330.1	2472	191
623790	3702.AT3G55800.1	2459	239
616974	3702.AT2G27710.1	2454	70
631870	3702.AT5G38430.1	2397	119
627503	3702.AT4G28750.1	2366	94
620000	3702.AT3G08940.2	2317	236
626580	3702.AT4G20260.4	2308	81
635065	3702.ATCG00350.1	2268	313
624372	3702.AT3G61470.1	2250	157
627535	3702.AT4G29060.1	2244	371
621967	3702.AT3G26650.1	2234	220
618136	3702.AT2G38540.1	2204	24
608027	3702.AT1G02780.1	2175	36
619588	3702.AT3G04790.1	2153	165
624981	3702.AT4G03280.1	2131	134
623746	3702.AT3G55440.1	2130	176
611014	3702.AT1G32060.1	2125	278
612508	3702.AT1G56070.1	2087	484
619229	3702.AT3G01500.2	2061	293
634886	3702.AT5G66190.1	2054	203
622651	3702.AT3G45140.1	2051	549
634370	3702.AT5G61410.1	2011	178
635053	3702.ATCG00150.1	1988	64
630907	3702.AT5G23060.1	1981	176
622625	3702.AT3G44890.1	1930	72
625316	3702.AT4G09010.1	1922	193
635099	3702.ATCG00770.1	1896	49
630734	3702.AT5G20720.3	1890	129
616310	3702.AT2G21330.1	1823	165
623398	3702.AT3G52150.1	1813	80
616291	3702.AT2G21170.1	1809	161
629064	3702.AT5G04140.2	1806	940
608563	3702.AT1G07820.1	1787	192
622774	3702.AT3G46320.1	1787	192
608544	3702.AT1G07660.1	1787	192
634190	3702.AT5G59690.1	1787	192
634219	3702.AT5G59970.1	1787	192
623569	3702.AT3G53730.1	1787	192
622734	3702.AT3G45930.1	1787	192
617083	3702.AT2G28740.1	1787	192
622854	3702.AT3G47070.1	1777	48
635102	3702.ATCG00800.1	1748	80
625711	3702.AT4G12800.1	1739	100
619963	3702.AT3G08580.2	1737	136
623053	3702.AT3G49010.3	1722	35
615572	3702.AT2G13360.1	1694	241
622823	3702.AT3G46780.1	1674	220
635087	3702.ATCG00650.1	1667	12
612371	3702.AT1G54780.1	1656	94
616181	3702.AT2G20260.1	1638	52
617296	3702.AT2G30860.1	1626	101
609005	3702.AT1G11860.3	1621	227
609854	3702.AT1G20020.1	1621	178
617951	3702.AT2G36830.1	1577	27
620623	3702.AT3G14420.1	1577	175
617918	3702.AT2G36530.1	1561	229
627883	3702.AT4G32260.1	1518	92
624590	3702.AT3G63490.1	1517	147
607851	3702.AT1G01100.2	1506	29
618700	3702.AT2G43750.1	1498	187
635094	3702.ATCG00720.1	1497	116
613022	3702.AT1G62750.1	1487	377
635095	3702.ATCG00730.1	1484	22
609120	3702.AT1G12900.1	1459	135
614707	3702.AT1G78900.2	1453	266
623601	3702.AT3G54050.1	1449	178
624555	3702.AT3G63140.1	1444	164
626947	3702.AT4G23670.1	1443	64
627968	3702.AT4G33010.1	1442	395
632638	3702.AT5G45390.1	1442	95
609536	3702.AT1G16880.1	1428	87
618883	3702.AT2G45470.1	1416	123
624350	3702.AT3G61260.1	1403	21
616131	3702.AT2G19750.1	1400	15
627572	3702.AT4G29390.1	1400	15
633867	3702.AT5G56670.1	1400	15
618044	3702.AT2G37660.1	1389	110
614013	3702.AT1G72150.1	1381	159
614257	3702.AT1G74470.1	1376	149
617021	3702.AT2G28190.1	1362	46
614725	3702.AT1G79040.1	1358	35
631694	3702.AT5G36700.1	1355	268
631704	3702.AT5G36790.1	1355	268
613550	3702.AT1G67700.2	1348	44
608506	3702.AT1G07320.1	1347	88
635123	3702.ATCG01120.1	1343	17
630097	3702.AT5G14740.1	1336	180
615805	3702.AT2G16600.1	1326	63
624895	3702.AT4G02530.1	1316	86
608571	3702.AT1G07890.8	1291	80
633246	3702.AT5G50920.1	1281	258
618918	3702.AT2G45820.1	1278	20
621899	3702.AT3G26060.2	1275	88
608195	3702.AT1G04410.1	1241	121
628497	3702.AT4G37930.1	1238	194
625344	3702.AT4G09320.1	1236	70
631212	3702.AT5G25980.2	1235	190
632365	3702.AT5G42980.1	1228	51
608627	3702.AT1G08380.1	1227	22
610143	3702.AT1G22780.1	1223	129
611196	3702.AT1G34030.1	1223	129
625393	3702.AT4G09800.1	1223	129
620622	3702.AT3G14415.2	1212	140
609914	3702.AT1G20620.1	1208	141
630913	3702.AT5G23120.1	1198	183
632890	3702.AT5G47700.1	1195	20
619027	3702.AT2G46820.1	1195	49
627259	3702.AT4G26530.2	1191	122
608723	3702.AT1G09310.1	1157	45
620598	3702.AT3G14210.1	1154	122
611465	3702.AT1G43670.1	1152	95
620866	3702.AT3G16640.1	1150	64
611107	3702.AT1G32990.1	1148	76
616129	3702.AT2G19730.3	1148	19
624074	3702.AT3G58610.3	1146	207
612442	3702.AT1G55480.1	1114	113
614413	3702.AT1G76100.1	1097	19
620031	3702.AT3G09200.1	1094	78
619604	3702.AT3G04920.1	1084	15
624737	3702.AT4G01150.1	1083	60
615512	3702.AT2G10940.2	1082	89
623483	3702.AT3G52960.1	1064	94
611122	3702.AT1G33140.1	1063	98
611121	3702.AT1G33120.1	1063	98
608114	3702.AT1G03600.1	1040	42
617148	3702.AT2G29450.1	1038	61
613364	3702.AT1G65930.1	1031	100
634656	3702.AT5G64140.1	1029	5
630607	3702.AT5G19510.1	1017	34
609415	3702.AT1G15690.1	1011	173
615213	3702.AT2G04030.1	1004	224
614306	3702.AT1G74970.1	1000	60
628194	3702.AT4G35090.1	996	102
613955	3702.AT1G71500.1	981	103
616975	3702.AT2G27720.2	981	21
634925	3702.AT5G66570.1	958	97
623254	3702.AT3G50820.1	957	95
612464	3702.AT1G55670.1	955	44
609174	3702.AT1G13440.1	952	60
627568	3702.AT4G29350.1	951	36
624582	3702.AT3G63410.1	950	108
631876	3702.AT5G38480.1	949	61
623904	3702.AT3G56940.1	945	121
629971	3702.AT5G13510.1	938	55
635063	3702.ATCG00330.1	937	10
632323	3702.AT5G42650.1	936	168
619345	3702.AT3G02560.2	934	27
628885	3702.AT5G02500.1	933	135
616264	3702.AT2G20890.1	931	71
619227	3702.AT3G01480.1	920	104
610245	3702.AT1G23740.1	917	109
628231	3702.AT4G35450.5	905	46
624753	3702.AT4G01310.1	905	68
635100	3702.ATCG00780.1	903	29
620841	3702.AT3G16420.1	899	70
631503	3702.AT5G30510.1	891	92
625964	3702.AT4G14880.4	890	85
614036	3702.AT1G72370.1	888	69
618799	3702.AT2G44650.1	884	38
614123	3702.AT1G73230.1	884	27
626864	3702.AT4G22890.1	883	64
622893	3702.AT3G47520.1	879	108
618577	3702.AT2G42600.1	877	249
631064	3702.AT5G24490.1	876	42
608467	3702.AT1G06950.1	875	268
619119	3702.AT2G47730.1	874	67
611444	3702.AT1G43170.8	873	59
627096	3702.AT4G25050.2	869	26
615365	3702.AT2G05990.2	868	94
612522	3702.AT1G56190.1	867	95
635067	3702.ATCG00380.1	862	38
632718	3702.AT5G46110.4	859	91
624560	3702.AT3G63190.1	857	55
609811	3702.AT1G19570.1	857	51
630690	3702.AT5G20290.1	856	37
628639	3702.AT4G39330.1	854	76
630026	3702.AT5G14040.1	850	100
608281	3702.AT1G05190.1	848	42
609226	3702.AT1G13930.3	847	34
614059	3702.AT1G72610.1	845	26
608121	3702.AT1G03680.1	845	47
627353	3702.AT4G27440.1	842	97
616343	3702.AT2G21660.1	836	58
615313	3702.AT2G05220.2	829	6
621115	3702.AT3G18890.1	827	116
630302	3702.AT5G16710.1	819	47
623473	3702.AT3G52880.2	817	119
623735	3702.AT3G55330.1	816	59
613025	3702.AT1G62780.1	816	46
629495	3702.AT5G08280.1	813	93
622844	3702.AT3G46970.1	810	219
618350	3702.AT2G40490.1	808	80
619216	3702.AT3G01390.2	806	21
618622	3702.AT2G43030.1	805	58
617308	3702.AT2G30950.1	805	147
621612	3702.AT3G23390.1	805	4
621613	3702.AT3G23400.1	803	61
635131	3702.ATCG01310.1	799	102
635105	3702.ATCG00830.1	799	102
625833	3702.AT4G13940.1	796	94
614772	3702.AT1G79550.2	791	105
612200	3702.AT1G53240.1	789	62
628195	3702.AT4G35100.2	786	58
613291	3702.AT1G65260.1	773	58
635117	3702.ATCG01060.1	773	27
617542	3702.AT2G33040.1	773	56
629965	3702.AT5G13450.1	766	48
621885	3702.AT3G25920.1	759	58
619292	3702.AT3G02080.1	751	18
617697	3702.AT2G34460.1	750	48
615956	3702.AT2G18040.1	739	15
630142	3702.AT5G15200.1	739	23
610118	3702.AT1G22530.1	736	141
614941	3702.AT2G01250.1	727	36
621276	3702.AT3G20390.1	715	47
623414	3702.AT3G52300.1	711	23
612358	3702.AT1G54630.1	704	19
630054	3702.AT5G14320.1	702	31
629109	3702.AT5G04590.1	698	69
627129	3702.AT4G25370.1	697	48
628146	3702.AT4G34620.1	693	19
626659	3702.AT4G21105.1	691	4
614651	3702.AT1G78380.1	687	37
627017	3702.AT4G24280.1	684	120
619478	3702.AT3G03780.1	683	135
633662	3702.AT5G54770.1	681	92
610613	3702.AT1G27970.2	681	27
611751	3702.AT1G48830.1	677	22
624595	3702.AT3G63540.1	672	29
624894	3702.AT4G02520.1	669	38
635101	3702.ATCG00790.1	669	14
629603	3702.AT5G09650.1	661	46
619980	3702.AT3G08740.1	658	44
611016	3702.AT1G32080.1	656	77
629363	3702.AT5G07020.1	650	27
624727	3702.AT4G01050.1	648	64
619720	3702.AT3G05900.1	646	97
632280	3702.AT5G42270.1	644	110
618576	3702.AT2G42590.3	644	35
634040	3702.AT5G58250.1	644	40
610988	3702.AT1G31812.1	643	13
623423	3702.AT3G52380.1	642	43
635082	3702.ATCG00580.1	640	19
