#id: 2771685554
#name: Arabidopsis thaliana - Root, SC (Baerenfaller,pep2pro,2012)
#score: 8.7
#description: abundance based on Spectral counting, Interaction consistency score: 8.7, Coverage: 42
#organ: ROOT
#integrated: false
#coverage: 42
#link: http://fgcz-pep2pro.uzh.ch/
#publication_year: 2012
#filename: 3702-arabidopsis1i_root_Baerenfaller_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
620037	3702.AT3G09260.1	16967	34516
626580	3702.AT4G20260.4	14404	6954
620841	3702.AT3G16420.1	11509	12336
616974	3702.AT2G27710.1	9505	3724
609226	3702.AT1G13930.3	9176	2773
614969	3702.AT2G01520.1	8335	4035
608563	3702.AT1G07820.1	8257	11864
622774	3702.AT3G46320.1	8257	11864
634190	3702.AT5G59690.1	8257	11864
622734	3702.AT3G45930.1	8257	11864
617083	3702.AT2G28740.1	8257	11864
608544	3702.AT1G07660.1	8257	11864
634219	3702.AT5G59970.1	8257	11864
623569	3702.AT3G53730.1	8257	11864
609895	3702.AT1G20440.1	6755	3239
608577	3702.AT1G07940.2	6483	26880
608576	3702.AT1G07930.1	6483	26880
608575	3702.AT1G07920.1	6483	26880
634263	3702.AT5G60390.1	6483	26880
627568	3702.AT4G29350.1	5934	2426
621951	3702.AT3G26520.1	5858	1651
617918	3702.AT2G36530.1	5781	12260
620682	3702.AT3G14990.1	5776	10220
620846	3702.AT3G16460.2	5679	12767
612997	3702.AT1G62480.1	4862	2264
624894	3702.AT4G02520.1	4788	3119
620845	3702.AT3G16450.2	4731	6010
631243	3702.AT5G26280.1	4638	6650
616396	3702.AT2G22170.1	4515	2208
616497	3702.AT2G23120.1	4499	730
613364	3702.AT1G65930.1	4264	5318
613368	3702.AT1G65980.1	4220	2677
610648	3702.AT1G28290.1	4196	2517
626947	3702.AT4G23670.1	4014	1577
613885	3702.AT1G70850.1	3978	4508
628633	3702.AT4G39260.1	3960	1935
611122	3702.AT1G33140.1	3951	5290
611121	3702.AT1G33120.1	3951	5290
614421	3702.AT1G76180.1	3799	1701
635073	3702.ATCG00490.1	3750	3408
620792	3702.AT3G15950.1	3746	9207
608195	3702.AT1G04410.1	3745	5309
617296	3702.AT2G30860.1	3735	2125
619119	3702.AT2G47730.1	3705	3249
623746	3702.AT3G55440.1	3602	3407
620123	3702.AT3G10090.1	3582	544
629032	3702.AT5G03850.1	3582	544
