#id: 2166902138
#name: Arabidopsis thaliana - Leaf, SC (Piques,mol_syst_biol,2009)
#score: 6.7
#description: abundance based on Spectral counting, Interaction consistency score: 6.7, Coverage: 5
#organ: LEAF
#integrated: false
#coverage: 5
#link: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2779082/
#publication_year: 2009
#filename: 3702-arabidopsis2_estimationLeaf_PRIDE.txt
#
#string_external_id	abundance	raw_spectral_count
3702.ATCG00490.1	135321	6800
3702.AT5G38430.1	40922	963
3702.AT5G38410.3	34008	1317
3702.AT1G67090.1	32264	861
3702.AT5G38420.1	31662	1317
3702.AT4G38970.1	29157	525
3702.AT2G39730.1	23277	665
3702.ATCG00480.1	21261	1224
3702.AT3G01500.2	16624	948
3702.AT4G21280.2	11841	279
3702.AT5G14740.1	10542	699
3702.ATCG00120.1	8947	270
3702.AT2G21330.1	8461	203
3702.AT5G20720.3	8187	139
3702.AT5G35630.1	8187	217
3702.AT1G06680.1	8044	230
3702.AT3G12780.1	8029	509
3702.AT2G30860.1	6735	195
3702.AT5G42980.1	6609	117
3702.AT1G32060.1	6487	254
3702.AT5G17920.1	6390	769
3702.AT3G60750.1	6305	454
3702.AT5G26000.1	6278	433
3702.AT3G55800.1	6083	178
3702.AT3G63190.1	6021	123
3702.AT5G09660.4	5957	167
3702.AT2G28190.1	5781	41
3702.AT3G62030.2	5568	139
3702.AT1G20340.1	5272	27
3702.AT3G11630.1	4556	133
3702.AT4G05180.1	4519	155
3702.AT3G14210.1	4381	167
3702.AT3G54050.1	4091	152
3702.AT1G13440.1	4007	179
3702.AT5G04140.2	3877	609
3702.AT3G04120.1	3876	177
3702.AT1G53240.1	3858	214
3702.AT5G66190.1	3680	117
3702.AT1G04410.1	3577	148
3702.AT1G15930.1	3545	39
3702.AT1G68010.2	3425	129
3702.AT3G26650.1	3299	170
3702.AT2G16600.1	3226	44
3702.AT3G14420.1	3191	198
3702.AT1G30230.2	3142	31
3702.AT3G03780.1	3121	552
3702.AT5G66570.1	3063	158
3702.AT1G02780.1	3057	19
3702.AT3G10090.1	3054	8
3702.AT5G03850.1	3054	8
3702.AT1G79850.1	3022	36
3702.AT2G28000.1	2894	125
3702.AT5G22580.1	2880	23
3702.AT5G08280.1	2804	103
3702.AT3G08740.1	2795	86
3702.AT3G44310.1	2784	93
3702.AT1G23310.1	2778	199
3702.AT3G15020.1	2771	188
3702.AT4G02520.1	2691	58
3702.AT3G50820.1	2650	159
3702.AT1G78380.1	2536	86
3702.AT1G07890.8	2471	64
3702.AT1G17880.1	2459	35
3702.AT5G25980.2	2457	147
3702.AT1G56190.1	2434	238
3702.AT4G20260.4	2380	10
3702.AT1G20020.1	2303	71
3702.AT2G47730.1	2257	42
3702.AT2G21170.1	2256	71
3702.AT3G56650.1	2247	45
3702.AT4G14880.4	2234	105
3702.AT1G01100.2	2232	11
3702.AT4G26530.2	2153	43
3702.AT4G33010.1	2139	317
