#id: 2309984987
#name: Glycine max - Root (Integrated)
#score: 9.2
#coverage: 14
#description: integrated dataset: weighted average of all Glycine max ROOT: 9.2, Coverage: 14
#organ: ROOT
#integrated: true
#weights: PXD010877_N-fix-root:0.606;PXD010877_N-fed-shoot:0.333;PXD002851_Ji_Front_Plant_Sci_2016_Glycine_max_root:0.061;
#publication_year: 2023
#filename: 3847-ROOT-integrated.txt
#
#internal_id	string_external_id	abundance
859152	3847.GLYMA09G04530.1	35450
869934	3847.GLYMA13G07610.1	31435
885976	3847.GLYMA19G06340.1	31435
885977	3847.GLYMA19G06370.1	31435
867755	3847.GLYMA12G07780.3	17637
871782	3847.GLYMA13G32300.1	17369
880277	3847.GLYMA17G03350.1	16835
865857	3847.GLYMA11G15680.5	13043
866642	3847.GLYMA11G33560.1	11381
856393	3847.GLYMA08G13360.1	8531
852601	3847.GLYMA07G01730.1	8010
848514	3847.GLYMA05G30200.1	7954
875807	3847.GLYMA15G07040.1	7873
859893	3847.GLYMA09G21010.1	6383
854668	3847.GLYMA07G35310.2	5730
844657	3847.GLYMA04G02240.1	5532
853596	3847.GLYMA07G13710.1	5437
871659	3847.GLYMA13G31060.1	5302
877612	3847.GLYMA15G40450.1	5246
856862	3847.GLYMA08G18510.1	5221
857407	3847.GLYMA08G24760.1	4929
842285	3847.GLYMA03G05481.1	4588
876406	3847.GLYMA15G13550.2	4318
887336	3847.GLYMA19G37520.1	4200
867291	3847.GLYMA12G02790.2	4172
863586	3847.GLYMA10G35750.1	4055
882354	3847.GLYMA17G35720.1	3937
865016	3847.GLYMA11G06510.1	3812
853635	3847.GLYMA07G14340.1	3811
879209	3847.GLYMA16G25860.1	3684
869521	3847.GLYMA13G01870.1	3582
889758	3847.GLYMA20G31790.1	3557
866695	3847.GLYMA11G34230.5	3555
890383	3847.GLYMA20G38560.1	3439
854829	3847.GLYMA07G37240.1	3416
877256	3847.GLYMA15G31520.1	3389
847877	3847.GLYMA05G22180.1	3338
840973	3847.GLYMA02G38730.1	3261
868662	3847.GLYMA12G29110.1	3224
878416	3847.GLYMA16G06530.1	3178
865565	3847.GLYMA11G12471.1	3166
873819	3847.GLYMA14G09440.1	3073
880276	3847.GLYMA17G03340.1	2891
883964	3847.GLYMA18G22150.2	2850
838168	3847.GLYMA01G38750.1	2827
880278	3847.GLYMA17G03360.1	2826
837644	3847.GLYMA01G31750.1	2775
882939	3847.GLYMA18G04081.2	2754
872222	3847.GLYMA13G36930.1	2705
878540	3847.GLYMA16G08040.1	2693
841562	3847.GLYMA02G45190.1	2690
858975	3847.GLYMA09G02600.1	2672
858981	3847.GLYMA09G02680.1	2640
882987	3847.GLYMA18G04660.1	2635
875550	3847.GLYMA15G04290.1	2605
873298	3847.GLYMA14G03560.1	2520
843709	3847.GLYMA03G34830.1	2434
867835	3847.GLYMA12G08650.1	2394
874822	3847.GLYMA14G36850.1	2367
884446	3847.GLYMA18G41420.1	2361
889234	3847.GLYMA20G25920.1	2357
885070	3847.GLYMA18G49070.1	2275
839400	3847.GLYMA02G06830.1	2243
842940	3847.GLYMA03G25820.1	2240
842287	3847.GLYMA03G05510.1	2232
853275	3847.GLYMA07G09240.1	2231
865982	3847.GLYMA11G18320.1	2193
850975	3847.GLYMA06G18110.1	2153
837695	3847.GLYMA01G32750.1	2079
842982	3847.GLYMA03G26740.1	2068
861064	3847.GLYMA09G37570.1	2026
852525	3847.GLYMA07G00900.1	2021
863453	3847.GLYMA10G34290.1	1991
865383	3847.GLYMA11G10480.2	1970
885358	3847.GLYMA18G52250.1	1964
850976	3847.GLYMA06G18120.1	1943
865122	3847.GLYMA11G07670.1	1939
884587	3847.GLYMA18G43650.2	1930
859216	3847.GLYMA09G05230.1	1926
886519	3847.GLYMA19G28240.1	1906
876371	3847.GLYMA15G13141.1	1902
872617	3847.GLYMA13G41120.2	1890
858945	3847.GLYMA09G02241.1	1886
876403	3847.GLYMA15G13500.1	1879
868432	3847.GLYMA12G19520.1	1878
878266	3847.GLYMA16G04940.1	1872
869668	3847.GLYMA13G04050.1	1868
867039	3847.GLYMA11G38220.1	1866
864108	3847.GLYMA10G41330.1	1829
872725	3847.GLYMA13G42330.1	1803
846261	3847.GLYMA04G36860.1	1792
863449	3847.GLYMA10G34260.1	1770
879399	3847.GLYMA16G27900.1	1744
860601	3847.GLYMA09G32540.1	1722
849499	3847.GLYMA06G02300.1	1714
864831	3847.GLYMA11G04530.1	1714
881615	3847.GLYMA17G17730.1	1689
846262	3847.GLYMA04G36870.3	1683
876544	3847.GLYMA15G15200.1	1680
838349	3847.GLYMA01G40810.1	1665
847348	3847.GLYMA05G05693.1	1665
853979	3847.GLYMA07G19060.1	1649
872693	3847.GLYMA13G41960.1	1581
840844	3847.GLYMA02G37150.1	1569
879873	3847.GLYMA16G33710.1	1562
866963	3847.GLYMA11G37360.1	1556
838740	3847.GLYMA01G45110.1	1548
867066	3847.GLYMA12G00390.1	1516
844577	3847.GLYMA04G01380.1	1513
877297	3847.GLYMA15G34690.1	1512
882674	3847.GLYMA18G01330.1	1499
876661	3847.GLYMA15G16560.1	1466
861573	3847.GLYMA10G00920.1	1466
868661	3847.GLYMA12G29100.1	1461
843988	3847.GLYMA03G37800.1	1429
844257	3847.GLYMA03G40640.1	1424
850754	3847.GLYMA06G15540.1	1420
838067	3847.GLYMA01G37630.1	1416
869523	3847.GLYMA13G01891.1	1407
887598	3847.GLYMA19G40400.1	1372
848111	3847.GLYMA05G25810.1	1360
867961	3847.GLYMA12G10160.1	1339
838858	3847.GLYMA02G00810.1	1335
851538	3847.GLYMA06G34190.1	1327
863933	3847.GLYMA10G39460.1	1325
846277	3847.GLYMA04G37120.1	1316
866094	3847.GLYMA11G19840.1	1316
860411	3847.GLYMA09G30370.1	1309
878414	3847.GLYMA16G06500.1	1300
867948	3847.GLYMA12G09940.2	1291
880444	3847.GLYMA17G05150.1	1288
875029	3847.GLYMA14G39140.1	1278
885604	3847.GLYMA19G01200.1	1271
875432	3847.GLYMA15G03050.1	1241
849238	3847.GLYMA05G37900.1	1233
841234	3847.GLYMA02G41700.1	1230
881845	3847.GLYMA17G23900.1	1229
878527	3847.GLYMA16G07870.1	1218
856782	3847.GLYMA08G17610.1	1217
852232	3847.GLYMA06G45910.2	1204
871083	3847.GLYMA13G24600.1	1202
853477	3847.GLYMA07G11810.1	1179
870425	3847.GLYMA13G17350.1	1179
847641	3847.GLYMA05G11630.3	1179
870696	3847.GLYMA13G20310.1	1176
868914	3847.GLYMA12G32170.1	1154
850959	3847.GLYMA06G17930.5	1145
840842	3847.GLYMA02G37120.1	1138
871401	3847.GLYMA13G28180.5	1138
889108	3847.GLYMA20G24500.1	1110
879051	3847.GLYMA16G23710.1	1108
839269	3847.GLYMA02G05350.1	1103
877687	3847.GLYMA15G41540.1	1094
842332	3847.GLYMA03G06420.1	1089
863581	3847.GLYMA10G35700.2	1081
878487	3847.GLYMA16G07350.1	1079
861560	3847.GLYMA10G00790.1	1073
855282	3847.GLYMA08G01700.1	1065
