#id: 1025129521
#name: Oryza sativa Japonica Group - Leaf (Integrated)
#score: 2.8
#coverage: 30
#description: integrated dataset: weighted average of all Oryza sativa Japonica Group LEAF: 2.8, Coverage: 30
#organ: LEAF
#integrated: true
#weights: PXD008069_rice_leaf:0.286;PXD004118_Wu_Journal_of_proteomics_2016_Osativa_IAC1131:0.258;PXD004118_Wu_Journal_of_proteomics_2016_Osativa_Nipponbare:0.229;PXD020940_Osativa_leaf:0.217;PXD012810_McWhite_Cell_2020_Rice_green:0.01;
#publication_year: 2023
#filename: 39947-LEAF-integrated.txt
#
#string_external_id	abundance
39947.P0C512	27929
39947.A0A0P0Y838	18774
39947.Q8GTK4	17716
39947.Q943W1	12972
39947.Q7F2G3	12429
39947.Q40677	11284
39947.Q7X8A1	11252
39947.P12331	9918
39947.A0A0P0WP33	9789
39947.P12330	9630
39947.Q0DFC9	9143
39947.P93431	8943
39947.Q53N83	8924
39947.Q0DEU8	8645
39947.Q9SNK3	8299
39947.P12085	7842
39947.Q6H748	7702
39947.Q8W0E6	7656
39947.Q84PB4	7629
39947.Q0J8M2	7415
39947.P0C2Z6	7400
39947.A0A0P0V969	7302
39947.P0C364	7211
39947.Q8S6F2	7087
39947.Q6ZBZ2	7039
39947.Q6ZF30	6836
39947.Q6ER94	6210
39947.Q7XV11	5962
39947.A0A0P0X592	5863
39947.B9F813	5832
39947.A0A0P0Y832	5496
39947.O64937	5496
39947.Q0DI00	5398
39947.Q10D68	5325
39947.A0A0P0VBL9	5297
39947.A3C6G9	5279
39947.Q10CE4	5253
39947.P0C367	5227
39947.Q7XZW5	5186
39947.P0C370	4873
39947.Q2QSR7	4851
39947.P14655	4812
39947.P0C437	4653
39947.Q6Z411	4630
39947.P48494	4502
39947.P93407	4425
39947.Q5JNB0	4373
39947.P0C361	4313
39947.Q0D5P8	4309
39947.P18566	4295
39947.Q0INY7	4295
39947.Q2QTJ1	4295
39947.Q6ZH98	4023
39947.Q6YT73	3999
39947.Q6F361	3953
39947.Q7XPR2	3935
39947.P0C2Z3	3909
39947.P0C434	3878
39947.Q0J8A4	3872
39947.Q10S82	3707
39947.Q75M32	3658
39947.Q6ZFI6	3531
39947.Q69JX7	3485
39947.Q9LWT6	3404
39947.Q6YWJ7	3341
39947.P0C389	3341
39947.Q7XDC8	3290
39947.P0C422	3285
39947.Q943K1	3278
39947.Q7FAH2	3271
39947.Q69S39	3253
39947.Q69K00	3162
39947.Q69UU3	3133
39947.Q2QU06	3130
39947.Q6YU90	3011
39947.O64422	2947
39947.P41344	2875
39947.Q69V57	2869
39947.Q10HD0	2706
39947.Q8GTK8	2668
39947.Q7EYM8	2643
39947.Q8S7H8	2586
39947.Q2QND6	2411
39947.Q0IWS0	2408
39947.Q10N21	2404
39947.Q9FE01	2372
39947.Q6Z8F4	2359
39947.Q6ZBV1	2338
39947.Q94JA2	2291
39947.Q84PB5	2266
39947.Q93X08	2238
39947.Q0E4K1	2198
39947.Q0JKB4	2189
39947.Q9ZTP5	2175
39947.Q07661	2137
39947.Q306J3	2130
39947.Q7F8S5	2127
39947.Q01859	2083
39947.Q0J8G4	2061
39947.Q9ASP4	2058
39947.A0A0P0XTT3	2057
39947.Q6ZEZ2	2057
39947.P0C5D5	2031
39947.Q6ZI53	2024
39947.P0C358	2013
39947.Q2QWN3	2007
39947.A0A0P0V7A3	1996
39947.Q6ZL95	1992
39947.Q6K5G8	1967
39947.Q948T6	1956
39947.Q84NW1	1927
39947.Q7X7H3	1923
39947.Q65XA0	1921
39947.Q6ZFJ3	1872
39947.Q0DG05	1839
39947.Q5N725	1833
39947.Q42971	1809
39947.Q2R0I1	1761
39947.P0C522	1729
39947.Q69RJ0	1708
39947.A0A0P0Y1Y5	1699
