#id: 3882094884
#name: Microcystis aeruginosa - Whole organism, Hub5-3, SC (Alexova,mcp,2011)
#score: 2.2
#description: abundance based on Spectral counting HUB5-3, HUB5-3, Interaction consistency score: 2.2, Coverage: 46
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 46
#link: http://www.ncbi.nlm.nih.gov/pubmed/21610102
#publication_year: 2011
#filename: 449447-MicrocystisAeruginosa_strainNIES-843_HUB5-3_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
14502070	449447.MAE_24450	155769	6075
14502071	449447.MAE_24460	91575	3778
14500651	449447.MAE_10260	43921	1984
14505026	449447.MAE_54000	31432	22
14500652	449447.MAE_10270	31378	1118
14500649	449447.MAE_10240	23810	219
14503385	449447.MAE_37620	19723	551
14502073	449447.MAE_24480	18140	787
14504459	449447.MAE_48340	15431	755
14500235	449447.MAE_06090	14575	1504
14504354	449447.MAE_47290	13445	456
14504419	449447.MAE_47940	11391	326
14502256	449447.MAE_26300	10249	729
14504418	449447.MAE_47930	10131	260
14505549	449447.MAE_59230	9618	178
14503206	449447.MAE_35830	9468	361
14501105	449447.MAE_14800	8965	825
14501516	449447.MAE_18910	8714	661
14502128	449447.MAE_25030	8615	795
14502425	449447.MAE_27990	7514	1071
14500809	449447.MAE_11840	6811	127
14503274	449447.MAE_36510	6761	235
14500248	449447.MAE_06220	6553	596
14499718	449447.MAE_00920	6350	689
14502871	449447.MAE_32470	6009	397
14505253	449447.MAE_56280	5948	76
14501548	449447.MAE_19230	5393	306
14501955	449447.MAE_23300	5376	142
14503992	449447.MAE_43690	5348	78
14500987	449447.MAE_13620	5268	539
14504048	449447.MAE_44250	5229	365
14504638	449447.MAE_50130	5146	121
14504414	449447.MAE_47890	5009	320
14501547	449447.MAE_19220	4785	192
14502825	449447.MAE_32010	4684	44
14504412	449447.MAE_47870	4491	125
14505371	449447.MAE_57460	4446	66
14504562	449447.MAE_49370	4288	835
14503253	449447.MAE_36300	4248	288
14502873	449447.MAE_32490	4155	221
14503990	449447.MAE_43670	4072	327
14502626	449447.MAE_30020	4043	188
14501789	449447.MAE_21640	4001	178
14501552	449447.MAE_19270	3988	425
14505252	449447.MAE_56270	3887	81
14504231	449447.MAE_46080	3735	444
14500681	449447.MAE_10560	3579	234
14505025	449447.MAE_53990	3544	184
14503136	449447.MAE_35130	3385	87
14504246	449447.MAE_46230	3338	95
14499719	449447.MAE_00930	3325	49
14503468	449447.MAE_38450	3081	244
14499905	449447.MAE_02790	3033	78
14502978	449447.MAE_33560	2941	47
14504641	449447.MAE_50160	2851	214
