#id: 4146265595
#name: Microcystis aeruginosa - Whole organism, Pcc7055, SC (Alexova,mcp,2011)
#score: 2.8
#description: abundance based on Spectral counting PCC7055, PCC7055, Interaction consistency score: 2.8, Coverage: 52
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 52
#link: http://www.ncbi.nlm.nih.gov/pubmed/21610102
#publication_year: 2011
#filename: 449447-MicrocystisAeruginosa_strainNIES-843_PCC7005_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
14502070	449447.MAE_24450	120309	8459
14502071	449447.MAE_24460	89973	5370
14500652	449447.MAE_10270	28925	1748
14505026	449447.MAE_54000	26627	47
14500651	449447.MAE_10260	24642	1927
14503992	449447.MAE_43690	19198	468
14502073	449447.MAE_24480	14487	1171
14504354	449447.MAE_47290	12575	722
14503206	449447.MAE_35830	12095	680
14501516	449447.MAE_18910	10837	1414
14504459	449447.MAE_48340	10293	883
14502626	449447.MAE_30020	10116	808
14502871	449447.MAE_32470	9159	1046
14500649	449447.MAE_10240	9056	200
14504419	449447.MAE_47940	8761	504
14500248	449447.MAE_06220	8741	1247
14504418	449447.MAE_47930	8558	467
14500881	449447.MAE_12560	7954	180
14501955	449447.MAE_23300	7707	311
14499690	449447.MAE_00640	7239	693
14502873	449447.MAE_32490	7182	631
14504414	449447.MAE_47890	7123	784
14502128	449447.MAE_25030	6880	1134
14499718	449447.MAE_00920	6782	1237
14500235	449447.MAE_06090	6539	1142
14502978	449447.MAE_33560	6331	136
14505635	449447.MAE_60090	6119	110
14502825	449447.MAE_32010	6099	145
14500809	449447.MAE_11840	5899	211
14505549	449447.MAE_59230	5855	218
14501548	449447.MAE_19230	5523	520
14504231	449447.MAE_46080	5142	1041
14503274	449447.MAE_36510	5132	281
14501105	449447.MAE_14800	5089	807
14501547	449447.MAE_19220	4774	332
14505025	449447.MAE_53990	4623	399
14501138	449447.MAE_15130	4579	228
14504412	449447.MAE_47870	4503	231
14502804	449447.MAE_31800	4447	70
14501789	449447.MAE_21640	4363	384
14502256	449447.MAE_26300	4324	494
14502425	449447.MAE_27990	4296	963
14504246	449447.MAE_46230	4213	194
14504562	449447.MAE_49370	4060	1371
14503990	449447.MAE_43670	4050	541
14503899	449447.MAE_42760	4030	644
14500994	449447.MAE_13690	4027	213
14504638	449447.MAE_50130	3971	148
14500987	449447.MAE_13620	3894	649
14504048	449447.MAE_44250	3889	445
14505371	449447.MAE_57460	3779	127
14501552	449447.MAE_19270	3757	733
14503295	449447.MAE_36720	3659	555
14504641	449447.MAE_50160	3643	431
14504650	449447.MAE_50250	3397	511
14500882	449447.MAE_12570	3296	496
14499719	449447.MAE_00930	3234	82
14503136	449447.MAE_35130	3118	143
14501190	449447.MAE_15650	3049	35
14505062	449447.MAE_54370	3006	105
14503227	449447.MAE_36040	2937	171
14505333	449447.MAE_57080	2864	295
14500802	449447.MAE_11770	2821	316
14501456	449447.MAE_18310	2737	224
14504226	449447.MAE_46030	2723	88
14503294	449447.MAE_36710	2572	270
14502927	449447.MAE_33030	2546	76
14503253	449447.MAE_36300	2517	264
14504639	449447.MAE_50140	2488	140
14504230	449447.MAE_46070	2413	79
14503112	449447.MAE_34890	2383	329
14505795	449447.MAE_61690	2269	145
14499967	449447.MAE_03410	2233	522
14501231	449447.MAE_16060	2231	246
14504642	449447.MAE_50170	2212	207
14504105	449447.MAE_44820	2204	142
14504633	449447.MAE_50080	2202	113
14505253	449447.MAE_56280	2155	82
14502053	449447.MAE_24280	2108	50
14505164	449447.MAE_55390	2061	118
14504089	449447.MAE_44660	2035	284
14505909	449447.MAE_62840	1997	108
14504640	449447.MAE_50150	1974	98
14503285	449447.MAE_36620	1959	101
14505356	449447.MAE_57310	1902	139
14504880	449447.MAE_52550	1864	89
14503738	449447.MAE_41150	1863	262
14503714	449447.MAE_40910	1738	113
14503468	449447.MAE_38450	1723	224
14505354	449447.MAE_57290	1718	108
14504793	449447.MAE_51680	1707	123
14502159	449447.MAE_25340	1701	245
14505358	449447.MAE_57330	1689	78
14501624	449447.MAE_19990	1688	247
14502923	449447.MAE_32990	1670	151
14504222	449447.MAE_45990	1669	83
14505355	449447.MAE_57300	1660	80
14505512	449447.MAE_58860	1627	70
14505826	449447.MAE_62000	1613	243
14504796	449447.MAE_51710	1605	90
14501463	449447.MAE_18380	1604	153
14502779	449447.MAE_31550	1600	153
14504664	449447.MAE_50390	1596	51
14504792	449447.MAE_51670	1586	67
14505841	449447.MAE_62150	1548	123
14504116	449447.MAE_44930	1548	127
14505352	449447.MAE_57270	1547	92
14504382	449447.MAE_47570	1524	182
14505344	449447.MAE_57190	1478	122
14504881	449447.MAE_52560	1474	63
14503292	449447.MAE_36690	1416	91
14505351	449447.MAE_57260	1412	80
14501122	449447.MAE_14970	1408	233
14505368	449447.MAE_57430	1361	83
14505657	449447.MAE_60310	1350	213
14504630	449447.MAE_50050	1331	91
14505365	449447.MAE_57400	1306	80
14504637	449447.MAE_50120	1305	6
14502979	449447.MAE_33570	1305	82
14501509	449447.MAE_18840	1302	185
14502926	449447.MAE_33020	1299	18
14504463	449447.MAE_48380	1293	130
14501785	449447.MAE_21600	1293	65
14502846	449447.MAE_32220	1285	58
14505625	449447.MAE_59990	1258	39
14505808	449447.MAE_61820	1249	290
14504875	449447.MAE_52500	1247	72
14500149	449447.MAE_05230	1246	117
14504117	449447.MAE_44940	1245	114
14500262	449447.MAE_06360	1237	138
14500803	449447.MAE_11780	1226	76
14505719	449447.MAE_60930	1215	85
14504378	449447.MAE_47530	1215	54
14499808	449447.MAE_01820	1213	132
14503162	449447.MAE_35390	1193	150
14503786	449447.MAE_41630	1165	37
14504416	449447.MAE_47910	1158	372
14503132	449447.MAE_35090	1147	108
14499888	449447.MAE_02620	1131	301
14502867	449447.MAE_32430	1130	73
14505590	449447.MAE_59640	1118	142
14505898	449447.MAE_62720	1109	77
14505362	449447.MAE_57370	1070	64
14504228	449447.MAE_46050	1068	87
14504209	449447.MAE_45860	1049	78
14505652	449447.MAE_60260	1048	192
14504060	449447.MAE_44370	1030	38
14504857	449447.MAE_52320	1019	184
14505063	449447.MAE_54380	1014	83
14505299	449447.MAE_56740	1008	54
14503736	449447.MAE_41130	979	32
14503551	449447.MAE_39280	978	7
14503282	449447.MAE_36590	975	37
14500756	449447.MAE_11310	967	37
14505036	449447.MAE_54100	950	75
14505303	449447.MAE_56780	945	93
14500589	449447.MAE_09640	927	28
14500256	449447.MAE_06300	927	148
14501982	449447.MAE_23570	921	116
14501126	449447.MAE_15010	913	33
14501795	449447.MAE_21700	898	52
14505343	449447.MAE_57180	884	68
14499720	449447.MAE_00940	879	40
14505543	449447.MAE_59170	873	65
14501090	449447.MAE_14650	871	84
14500451	449447.MAE_08250	863	16
14502015	449447.MAE_23900	859	94
