#id: 3141380789
#name: Microcystis aeruginosa - Whole organism, Uwoccmrd, SC (Alexova,mcp,2011)
#score: 2.3
#description: abundance based on Spectral counting UWOCCMRD, UWOCCMRD, Interaction consistency score: 2.3, Coverage: 39
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 39
#link: http://www.ncbi.nlm.nih.gov/pubmed/21610102
#publication_year: 2011
#filename: 449447-MicrocystisAeruginosa_strainNIES-843_UWOCCMRD_PRIDE.txt
#
#string_external_id	abundance	raw_spectral_count
449447.MAE_24450	132592	4881
449447.MAE_24460	67328	2226
449447.MAE_10270	36183	1085
449447.MAE_10260	35121	1355
449447.MAE_10240	24809	243
449447.MAE_12560	24645	241
449447.MAE_47290	20672	556
449447.MAE_54000	18142	18
449447.MAE_43690	17422	222
449447.MAE_48340	16838	780
449447.MAE_24480	14792	570
449447.MAE_11840	13896	214
449447.MAE_47930	13836	331
449447.MAE_47940	13500	339
449447.MAE_06090	10856	1017
449447.MAE_59230	10779	189
449447.MAE_35830	9209	285
449447.MAE_18910	8772	565
449447.MAE_32010	8307	86
449447.MAE_27990	7750	821
449447.MAE_53990	7748	284
449447.MAE_30020	7203	362
449447.MAE_32470	6840	437
449447.MAE_00920	6242	635
449447.MAE_14800	6225	562
449447.MAE_46230	6210	139
449447.MAE_44250	5957	338
449447.MAE_19230	5879	334
449447.MAE_46070	5818	91
449447.MAE_15650	5805	31
449447.MAE_00640	5802	295
449447.MAE_06220	5717	450
449447.MAE_21640	5520	208
449447.MAE_50130	5519	103
449447.MAE_47870	5446	147
449447.MAE_19220	5195	181
449447.MAE_42760	5036	486
449447.MAE_31800	4976	51
449447.MAE_33560	4669	63
449447.MAE_23300	4651	116
449447.MAE_00930	4583	61
449447.MAE_21600	4506	101
449447.MAE_36510	4435	128
449447.MAE_56280	4308	76
449447.MAE_26300	4268	251
449447.MAE_43670	4244	293
449447.MAE_46080	4191	441
449447.MAE_54370	4006	69
449447.MAE_35130	3864	93
449447.MAE_41130	3699	54
449447.MAE_44820	3691	127
449447.MAE_57460	3573	55
449447.MAE_44660	3516	240
449447.MAE_60090	3409	55
449447.MAE_05330	3388	79
449447.MAE_13690	3226	100
449447.MAE_19270	3216	344
449447.MAE_62150	3179	150
449447.MAE_55390	3125	82
449447.MAE_60930	3106	110
449447.MAE_33030	2978	46
449447.MAE_50080	2957	85
449447.MAE_50160	2915	182
449447.MAE_24280	2909	32
449447.MAE_49370	2904	557
449447.MAE_25030	2885	261
449447.MAE_13620	2883	287
449447.MAE_31550	2777	134
449447.MAE_18310	2594	116
449447.MAE_36300	2490	164
449447.MAE_32490	2473	120
449447.MAE_57330	2452	59
449447.MAE_06600	2428	25
449447.MAE_15130	2340	64
449447.MAE_18840	2308	212
449447.MAE_45600	2267	39
449447.MAE_50150	2263	68
449447.MAE_32220	2235	59
449447.MAE_57310	2223	74
449447.MAE_08250	2177	18
449447.MAE_41630	2137	38
449447.MAE_03410	2092	233
449447.MAE_48380	2092	117
449447.MAE_34890	2062	136
449447.MAE_32990	2026	106
449447.MAE_50250	1960	168
449447.MAE_50050	1954	70
449447.MAE_51670	1913	39
449447.MAE_18380	1852	108
449447.MAE_36040	1839	52
449447.MAE_57190	1797	79
449447.MAE_39060	1781	44
449447.MAE_33570	1751	74
449447.MAE_05880	1658	1
449447.MAE_36490	1649	39
449447.MAE_36010	1613	4
449447.MAE_62840	1609	46
449447.MAE_06270	1541	34
449447.MAE_47570	1525	125
449447.MAE_22040	1513	16
449447.MAE_46030	1480	22
449447.MAE_50120	1451	3
449447.MAE_47920	1377	18
449447.MAE_44940	1377	63
449447.MAE_56270	1366	21
449447.MAE_44650	1316	30
449447.MAE_62720	1312	53
449447.MAE_38450	1295	87
449447.MAE_41320	1294	47
449447.MAE_19620	1290	16
449447.MAE_13310	1265	30
449447.MAE_47950	1248	18
449447.MAE_06830	1231	13
449447.MAE_57080	1227	79
449447.MAE_02790	1211	29
449447.MAE_11770	1208	77
449447.MAE_53690	1191	26
449447.MAE_33020	1186	9
449447.MAE_25340	1143	91
449447.MAE_06820	1115	14
449447.MAE_27590	1109	32
449447.MAE_02500	1088	35
449447.MAE_59180	1078	27
449447.MAE_59170	1073	62
449447.MAE_44370	1057	22
449447.MAE_11310	1031	19
449447.MAE_23490	1008	21
449447.MAE_57240	983	31
449447.MAE_00940	981	23
449447.MAE_48050	973	9
449447.MAE_58860	966	40
449447.MAE_12570	964	85
449447.MAE_16060	963	54
449447.MAE_51680	957	32
449447.MAE_57180	945	46
449447.MAE_45990	936	28
449447.MAE_36620	925	20
449447.MAE_50170	915	52
449447.MAE_15820	910	37
449447.MAE_54380	893	46
449447.MAE_50140	885	33
449447.MAE_45690	881	20
449447.MAE_23910	870	23
449447.MAE_57340	852	7
449447.MAE_06250	845	38
449447.MAE_51160	844	12
449447.MAE_28090	837	22
449447.MAE_61690	819	28
449447.MAE_07070	816	34
449447.MAE_21670	810	23
449447.MAE_23080	807	48
449447.MAE_53390	798	120
449447.MAE_40910	797	25
449447.MAE_14970	793	66
449447.MAE_56880	775	19
449447.MAE_45870	758	15
449447.MAE_47530	730	18
449447.MAE_41150	727	48
449447.MAE_47890	718	38
449447.MAE_47560	703	85
449447.MAE_15610	695	6
449447.MAE_49860	690	42
449447.MAE_36630	689	34
449447.MAE_60310	686	54
449447.MAE_41160	674	52
449447.MAE_17980	674	52
449447.MAE_42750	674	11
449447.MAE_46700	666	14
449447.MAE_47910	661	94
449447.MAE_15680	660	14
449447.MAE_13090	655	66
449447.MAE_59450	649	17
449447.MAE_18530	648	15
449447.MAE_57380	637	13
449447.MAE_44160	631	4
449447.MAE_11870	628	40
449447.MAE_07350	607	17
449447.MAE_10010	605	148
449447.MAE_56780	603	30
449447.MAE_43910	600	41
449447.MAE_37770	598	23
449447.MAE_52320	598	60
449447.MAE_59990	595	9
449447.MAE_50390	593	10
449447.MAE_35090	589	34
449447.MAE_32640	585	18
449447.MAE_47020	576	9
449447.MAE_27510	550	32
449447.MAE_19160	541	15
449447.MAE_14730	540	45
449447.MAE_37950	540	17
449447.MAE_43370	533	44
449447.MAE_23900	531	30
449447.MAE_14280	521	36
449447.MAE_58300	507	13
449447.MAE_24350	500	17
449447.MAE_46250	496	24
449447.MAE_46050	496	24
449447.MAE_62680	487	26
449447.MAE_23570	486	38
449447.MAE_57350	484	6
449447.MAE_52500	483	13
449447.MAE_57430	467	12
449447.MAE_55900	466	26
449447.MAE_21700	465	14
449447.MAE_18430	457	16
449447.MAE_31740	448	10
449447.MAE_62100	447	6
449447.MAE_04080	429	20
449447.MAE_59640	429	31
449447.MAE_09640	425	9
449447.MAE_38110	424	16
449447.MAE_21730	424	28
449447.MAE_06300	421	33
449447.MAE_40610	407	10
449447.MAE_56440	404	14
449447.MAE_47010	401	1
449447.MAE_51710	401	18
449447.MAE_13140	401	7
449447.MAE_15220	399	34
449447.MAE_00210	395	22
449447.MAE_07310	391	12
449447.MAE_30620	391	25
449447.MAE_08570	390	2
449447.MAE_10370	384	11
449447.MAE_42340	383	9
449447.MAE_01820	383	17
449447.MAE_26420	381	28
449447.MAE_59370	378	29
449447.MAE_37450	371	7
449447.MAE_29060	370	11
449447.MAE_29190	370	1
449447.MAE_26210	365	30
449447.MAE_26290	363	11
449447.MAE_39250	356	10
449447.MAE_30540	356	13
449447.MAE_50230	353	1
449447.MAE_33070	353	15
449447.MAE_16920	345	15
449447.MAE_02840	342	17
449447.MAE_07860	341	24
449447.MAE_09540	335	19
449447.MAE_09550	333	4
449447.MAE_60240	323	1
449447.MAE_56740	323	8
449447.MAE_51290	321	7
449447.MAE_59430	320	5
449447.MAE_28690	318	8
449447.MAE_40290	318	3
449447.MAE_13910	315	16
449447.MAE_53430	314	17
449447.MAE_18970	313	5
449447.MAE_45790	312	14
449447.MAE_61220	310	1
449447.MAE_26790	307	8
449447.MAE_25440	301	1
449447.MAE_20050	301	9
449447.MAE_49030	300	4
449447.MAE_04860	300	1
449447.MAE_50450	297	24
449447.MAE_56920	297	8
449447.MAE_18810	295	2
449447.MAE_50690	295	22
449447.MAE_53760	295	16
449447.MAE_38190	293	4
449447.MAE_35080	292	14
449447.MAE_50060	285	17
449447.MAE_32360	284	3
449447.MAE_18550	282	15
449447.MAE_51270	280	11
449447.MAE_14160	279	1
449447.MAE_39970	278	8
449447.MAE_61820	278	33
449447.MAE_63100	278	28
449447.MAE_04030	277	3
449447.MAE_56000	276	2
449447.MAE_14050	274	1
449447.MAE_01240	273	4
449447.MAE_45040	273	9
449447.MAE_13380	272	1
449447.MAE_26280	269	17
449447.MAE_53380	266	1
449447.MAE_20180	266	57
449447.MAE_52610	265	11
449447.MAE_39110	263	14
449447.MAE_48040	262	1
449447.MAE_60140	261	13
449447.MAE_56350	258	11
449447.MAE_28420	258	7
449447.MAE_46270	257	17
449447.MAE_10510	256	69
449447.MAE_58140	256	69
449447.MAE_10220	256	69
449447.MAE_10380	256	69
449447.MAE_10800	256	69
449447.MAE_02980	255	4
449447.MAE_03120	255	8
449447.MAE_28670	254	44
449447.MAE_45330	254	15
449447.MAE_57400	253	6
449447.MAE_18390	253	15
449447.MAE_43890	252	1
449447.MAE_18880	252	10
449447.MAE_31680	251	4
449447.MAE_27160	249	20
449447.MAE_17040	247	1
449447.MAE_19990	247	50
449447.MAE_61940	246	17
449447.MAE_07290	245	8
449447.MAE_15410	244	1
449447.MAE_31180	243	17
449447.MAE_44430	241	13
449447.MAE_58660	240	7
449447.MAE_31290	240	6
449447.MAE_02620	240	38
449447.MAE_52540	240	16
449447.MAE_36340	236	2
449447.MAE_60690	235	6
449447.MAE_08610	234	1
449447.MAE_52080	228	1
449447.MAE_23930	228	4
449447.MAE_12680	226	14
449447.MAE_30080	226	1
449447.MAE_19600	225	10
449447.MAE_24380	222	1
449447.MAE_48610	222	4
449447.MAE_32380	222	12
449447.MAE_45800	219	14
449447.MAE_18090	217	3
449447.MAE_62690	216	12
449447.MAE_57300	216	5
449447.MAE_31930	215	5
449447.MAE_28340	214	3
449447.MAE_00710	204	16
449447.MAE_20870	203	1
449447.MAE_37620	203	6
449447.MAE_59730	201	12
449447.MAE_02460	201	1
449447.MAE_22160	200	6
449447.MAE_42740	200	19
449447.MAE_10410	197	25
449447.MAE_25130	195	23
449447.MAE_06000	195	18
449447.MAE_36760	193	19
449447.MAE_62000	192	16
449447.MAE_45970	188	12
449447.MAE_24120	187	1
449447.MAE_11390	187	3
449447.MAE_12150	187	5
449447.MAE_11120	186	6
449447.MAE_00590	186	10
449447.MAE_33770	186	1
449447.MAE_20880	184	2
449447.MAE_23340	184	5
449447.MAE_35040	182	1
449447.MAE_59000	182	16
449447.MAE_21920	181	11
449447.MAE_44670	180	1
449447.MAE_45940	179	3
449447.MAE_36030	178	6
449447.MAE_13660	176	4
449447.MAE_15720	176	12
449447.MAE_50000	175	1
449447.MAE_57290	173	8
449447.MAE_51340	173	6
449447.MAE_49290	173	2
449447.MAE_38260	172	3
449447.MAE_32420	172	3
449447.MAE_01330	170	4
449447.MAE_30090	170	16
449447.MAE_59560	169	1
449447.MAE_42020	169	7
449447.MAE_61990	168	2
449447.MAE_36590	168	2
449447.MAE_34350	168	1
449447.MAE_29300	167	1
449447.MAE_15230	167	8
449447.MAE_56930	167	4
449447.MAE_61590	167	2
449447.MAE_09670	166	4
449447.MAE_33630	166	7
449447.MAE_09790	165	5
449447.MAE_14550	165	8
449447.MAE_49700	164	1
449447.MAE_19010	162	5
449447.MAE_39540	162	1
449447.MAE_38180	161	3
449447.MAE_20780	159	8
449447.MAE_57140	158	5
449447.MAE_36690	158	5
449447.MAE_45220	156	3
449447.MAE_33520	154	1
449447.MAE_16590	153	16
449447.MAE_24110	153	1
449447.MAE_05910	153	2
449447.MAE_46570	153	3
449447.MAE_22010	153	11
449447.MAE_50400	153	2
449447.MAE_33860	153	1
449447.MAE_14150	153	3
449447.MAE_11780	152	5
449447.MAE_21900	152	14
449447.MAE_02600	152	10
449447.MAE_11290	152	10
449447.MAE_62060	151	27
449447.MAE_02590	151	13
449447.MAE_56050	151	1
449447.MAE_00450	150	1
449447.MAE_29090	150	2
449447.MAE_46800	150	4
449447.MAE_56680	149	10
449447.MAE_45300	149	2
449447.MAE_60170	148	2
449447.MAE_56190	146	1
449447.MAE_54130	146	13
449447.MAE_46930	145	1
449447.MAE_33660	145	3
449447.MAE_42810	145	2
449447.MAE_37070	145	5
449447.MAE_11430	145	6
449447.MAE_39210	144	21
449447.MAE_53750	144	3
449447.MAE_16210	144	1
449447.MAE_49710	143	1
449447.MAE_52550	141	3
449447.MAE_30990	141	1
449447.MAE_17120	141	1
449447.MAE_13850	141	2
449447.MAE_18100	140	1
449447.MAE_02910	139	4
449447.MAE_06280	139	4
449447.MAE_02090	139	16
449447.MAE_23190	139	7
449447.MAE_12090	138	1
449447.MAE_24150	137	8
449447.MAE_36720	137	10
449447.MAE_57260	136	4
449447.MAE_52860	136	6
449447.MAE_57110	136	1
449447.MAE_15300	136	1
449447.MAE_43650	134	16
449447.MAE_49880	134	1
449447.MAE_00650	134	1
449447.MAE_53610	133	3
449447.MAE_29820	133	67
449447.MAE_05390	132	1
449447.MAE_13570	132	5
449447.MAE_51980	132	13
449447.MAE_54570	132	6
449447.MAE_03550	132	1
449447.MAE_61960	132	12
449447.MAE_39950	131	19
449447.MAE_60900	131	2
449447.MAE_29560	130	1
449447.MAE_30570	130	3
449447.MAE_22340	130	5
449447.MAE_40080	130	1
449447.MAE_03650	129	3
449447.MAE_06100	129	2
449447.MAE_22830	128	5
449447.MAE_37200	128	3
449447.MAE_54010	128	5
449447.MAE_53590	128	1
449447.MAE_24270	128	8
449447.MAE_00700	128	14
449447.MAE_47830	127	1
449447.MAE_17430	127	3
449447.MAE_06370	127	5
449447.MAE_61700	126	2
449447.MAE_15560	126	2
449447.MAE_62820	126	3
449447.MAE_59410	126	1
449447.MAE_26400	126	12
449447.MAE_57420	125	5
449447.MAE_27260	125	13
449447.MAE_21910	124	3
449447.MAE_27250	124	3
449447.MAE_43600	124	11
449447.MAE_11760	123	2
449447.MAE_45210	123	1
449447.MAE_01830	122	6
449447.MAE_06360	122	6
449447.MAE_42770	122	17
449447.MAE_14950	122	1
449447.MAE_62810	122	1
449447.MAE_54040	122	5
449447.MAE_32350	122	2
449447.MAE_45240	122	4
449447.MAE_26270	122	3
449447.MAE_46540	121	1
449447.MAE_29900	121	4
449447.MAE_55400	121	1
449447.MAE_45950	121	11
449447.MAE_48640	121	2
449447.MAE_32030	120	2
449447.MAE_21830	120	2
449447.MAE_22990	119	1
449447.MAE_03820	118	17
449447.MAE_34320	118	1
449447.MAE_00330	118	2
449447.MAE_45620	118	1
449447.MAE_54630	118	1
449447.MAE_29620	118	1
449447.MAE_46260	118	13
449447.MAE_41300	117	2
449447.MAE_57270	117	4
449447.MAE_16180	116	4
449447.MAE_46460	116	13
449447.MAE_52710	116	6
449447.MAE_59420	115	1
449447.MAE_08600	115	25
449447.MAE_40900	115	13
449447.MAE_62290	115	1
449447.MAE_14900	114	11
449447.MAE_03480	114	1
449447.MAE_09980	113	1
449447.MAE_38300	113	1
449447.MAE_57550	113	3
449447.MAE_37690	113	2
449447.MAE_17250	112	1
449447.MAE_19940	112	1
449447.MAE_54390	112	2
449447.MAE_10680	112	1
449447.MAE_19300	111	3
449447.MAE_17750	111	1
449447.MAE_59380	110	5
449447.MAE_59390	110	9
449447.MAE_15580	110	5
449447.MAE_20440	110	1
449447.MAE_47760	110	1
449447.MAE_61840	110	19
449447.MAE_39680	109	1
449447.MAE_15500	109	1
449447.MAE_15540	109	5
449447.MAE_54100	109	5
449447.MAE_02220	109	1
449447.MAE_38280	109	1
449447.MAE_62790	108	1
449447.MAE_06450	107	4
449447.MAE_48580	107	1
449447.MAE_50510	106	3
449447.MAE_05660	106	3
449447.MAE_09200	106	3
449447.MAE_49340	105	17
449447.MAE_56800	105	4
449447.MAE_43870	105	4
449447.MAE_56910	105	8
449447.MAE_07660	105	1
449447.MAE_49240	105	3
449447.MAE_31340	105	1
449447.MAE_06710	105	3
449447.MAE_37150	105	10
449447.MAE_15570	104	5
449447.MAE_33690	104	7
449447.MAE_43200	104	1
449447.MAE_05110	104	1
449447.MAE_06010	103	9
449447.MAE_07720	103	1
449447.MAE_14520	103	1
449447.MAE_43230	103	1
449447.MAE_52220	103	1
449447.MAE_08300	103	1
449447.MAE_51810	103	1
449447.MAE_56660	102	1
449447.MAE_01150	102	1
449447.MAE_55580	102	18
449447.MAE_00960	102	1
449447.MAE_08700	102	1
449447.MAE_00770	102	1
449447.MAE_24260	102	4
449447.MAE_39750	101	2
449447.MAE_21450	101	6
449447.MAE_03070	101	5
449447.MAE_38310	101	4
449447.MAE_59880	100	2
449447.MAE_56320	100	6
449447.MAE_21520	100.0	2
449447.MAE_46730	99.8	2
449447.MAE_28230	99.6	9
449447.MAE_48600	99.5	1
449447.MAE_13540	99.2	1
449447.MAE_58120	99.2	1
449447.MAE_46680	98.6	1
449447.MAE_11250	98.5	4
449447.MAE_61200	98.2	4
449447.MAE_35980	97.9	1
449447.MAE_26750	97.7	1
449447.MAE_21240	97.6	4
449447.MAE_52790	97.3	1
449447.MAE_54850	97.1	9
449447.MAE_31700	97.1	3
449447.MAE_01960	96.6	2
449447.MAE_61760	96.6	1
449447.MAE_46740	96.5	5
449447.MAE_28010	96.2	5
449447.MAE_05540	96.0	4
449447.MAE_02930	96.0	1
449447.MAE_19750	95.6	3
449447.MAE_44560	95.6	1
449447.MAE_22730	95.6	1
449447.MAE_49250	95.4	6
449447.MAE_50910	95.3	1
449447.MAE_62120	95.3	1
449447.MAE_17680	95.2	1
449447.MAE_53120	95.1	2
449447.MAE_15850	95.1	6
449447.MAE_56430	94.8	1
449447.MAE_21680	94.4	3
449447.MAE_54200	94.1	1
449447.MAE_11880	94.1	2
449447.MAE_58560	93.9	1
449447.MAE_54600	93.9	1
449447.MAE_22080	93.9	1
449447.MAE_42030	93.5	1
449447.MAE_26730	93.3	6
449447.MAE_33980	93.2	3
449447.MAE_32130	92.9	1
449447.MAE_07910	92.6	2
449447.MAE_08650	92.6	2
449447.MAE_39580	92.4	1
449447.MAE_35670	92.2	2
449447.MAE_23520	92.0	2
449447.MAE_01380	91.8	1
449447.MAE_38030	91.7	3
449447.MAE_05320	91.5	2
449447.MAE_37010	91.3	1
449447.MAE_56150	91.2	1
449447.MAE_50420	90.9	17
449447.MAE_34200	90.5	1
449447.MAE_07320	90.4	3
449447.MAE_38380	89.8	5
449447.MAE_11050	89.7	2
449447.MAE_22330	89.3	3
449447.MAE_41400	89.3	7
449447.MAE_39560	89.2	2
449447.MAE_20980	88.5	3
449447.MAE_30060	88.2	2
449447.MAE_31270	88.1	3
449447.MAE_12990	88.0	5
449447.MAE_33200	87.9	1
449447.MAE_12080	87.7	3
449447.MAE_45000	87.6	1
449447.MAE_29920	87.5	2
449447.MAE_08940	87.3	2
449447.MAE_30210	87.0	1
449447.MAE_63070	86.7	1
449447.MAE_51610	86.1	9
449447.MAE_54580	86.0	1
449447.MAE_12060	85.9	3
449447.MAE_05530	85.8	1
449447.MAE_27220	85.5	1
449447.MAE_30830	85.2	2
449447.MAE_04500	85.2	2
449447.MAE_18780	85.1	1
449447.MAE_07410	85.1	1
449447.MAE_30490	85.0	1
449447.MAE_37430	84.9	1
449447.MAE_42730	84.1	4
449447.MAE_24210	84.1	9
449447.MAE_34950	84.1	1
449447.MAE_22960	84.0	2
449447.MAE_01580	83.7	1
449447.MAE_24410	83.6	6
449447.MAE_54810	83.4	4
449447.MAE_51570	83.1	2
449447.MAE_34710	83.0	1
449447.MAE_49040	82.9	3
449447.MAE_59460	82.7	1
449447.MAE_13720	82.6	3
449447.MAE_17290	82.4	10
449447.MAE_53640	82.4	2
449447.MAE_55440	82.4	6
449447.MAE_44630	81.9	3
449447.MAE_35170	81.9	2
449447.MAE_62700	81.9	6
449447.MAE_23960	81.7	1
449447.MAE_02820	81.5	2
449447.MAE_11400	81.4	8
449447.MAE_21960	81.4	2
449447.MAE_03110	81.3	2
449447.MAE_10350	81.2	1
449447.MAE_01900	80.6	1
449447.MAE_46690	80.5	1
449447.MAE_00910	80.4	1
449447.MAE_54450	80.1	3
449447.MAE_28930	79.9	2
449447.MAE_28000	79.8	1
449447.MAE_01720	79.8	3
449447.MAE_25650	79.7	1
449447.MAE_02890	79.5	3
449447.MAE_45640	79.4	1
449447.MAE_16290	79.3	1
449447.MAE_00240	79.3	1
449447.MAE_11820	79.1	3
449447.MAE_46450	79.0	4
449447.MAE_59550	78.7	19
449447.MAE_58150	78.7	4
449447.MAE_10390	78.7	4
449447.MAE_23860	78.6	5
449447.MAE_62650	78.6	5
449447.MAE_13130	78.6	7
449447.MAE_01610	78.2	1
449447.MAE_30900	78.1	1
449447.MAE_39070	78.0	3
449447.MAE_51260	77.9	2
449447.MAE_21120	77.8	1
449447.MAE_09050	77.5	12
449447.MAE_09850	77.4	1
449447.MAE_42370	77.3	3
449447.MAE_10050	77.2	3
449447.MAE_16720	77.1	3
449447.MAE_43660	77.0	4
449447.MAE_05950	76.5	1
449447.MAE_22910	76.3	2
449447.MAE_00080	76.3	2
449447.MAE_13600	76.0	1
449447.MAE_53890	75.8	3
449447.MAE_48970	75.8	1
449447.MAE_22490	75.8	2
449447.MAE_01910	75.8	12
449447.MAE_17650	75.4	1
449447.MAE_61930	75.3	3
449447.MAE_24570	74.9	1
449447.MAE_62780	74.6	6
449447.MAE_38860	74.5	4
449447.MAE_25840	74.5	1
449447.MAE_28170	74.4	6
449447.MAE_55820	74.4	1
449447.MAE_59440	74.2	6
449447.MAE_05230	74.0	3
449447.MAE_02610	74.0	1
449447.MAE_35390	73.4	5
449447.MAE_25430	73.1	2
449447.MAE_54320	72.7	2
449447.MAE_22440	72.7	1
449447.MAE_19150	72.2	3
449447.MAE_62950	72.0	2
449447.MAE_56010	72.0	11
449447.MAE_43480	71.8	1
449447.MAE_58180	71.8	4
449447.MAE_15620	71.6	9
449447.MAE_36730	71.6	1
449447.MAE_00690	71.6	3
449447.MAE_55450	71.5	1
449447.MAE_59950	71.4	5
449447.MAE_61240	71.1	13
449447.MAE_29370	70.8	1
449447.MAE_35610	70.8	1
449447.MAE_57720	70.4	1
449447.MAE_19610	70.4	5
449447.MAE_28220	70.4	2
449447.MAE_23320	70.3	3
449447.MAE_52370	70.3	1
449447.MAE_40190	70.0	1
449447.MAE_19720	69.9	1
449447.MAE_03580	69.7	2
449447.MAE_61660	69.7	2
449447.MAE_08280	69.5	3
449447.MAE_57160	69.5	3
449447.MAE_07120	69.3	3
449447.MAE_21170	69.3	6
449447.MAE_57730	69.2	1
449447.MAE_39770	69.2	3
449447.MAE_09270	69.1	2
449447.MAE_57410	68.5	1
449447.MAE_51320	68.5	2
449447.MAE_07110	68.4	4
449447.MAE_18470	68.3	1
449447.MAE_60880	68.3	1
449447.MAE_11950	68.1	3
449447.MAE_59870	68.0	2
449447.MAE_50540	67.8	3
449447.MAE_03080	67.7	1
449447.MAE_29120	67.3	1
449447.MAE_18230	67.3	2
449447.MAE_33170	67.2	1
449447.MAE_08530	67.1	2
449447.MAE_17790	67.0	6
449447.MAE_02140	67.0	1
449447.MAE_26350	66.8	1
449447.MAE_05060	66.8	3
449447.MAE_61580	66.8	1
449447.MAE_31450	66.4	1
449447.MAE_16370	66.4	1
449447.MAE_19440	66.3	1
449447.MAE_37020	66.3	1
449447.MAE_51900	66.3	1
449447.MAE_47550	66.2	6
449447.MAE_06880	66.1	4
449447.MAE_26430	66.1	3
449447.MAE_17210	66.0	1
449447.MAE_26660	65.9	2
449447.MAE_49840	65.6	2
449447.MAE_06620	65.5	1
449447.MAE_50520	65.5	4
449447.MAE_32070	65.5	3
449447.MAE_08890	65.4	2
449447.MAE_21260	65.3	5
449447.MAE_11940	65.3	4
449447.MAE_59060	65.2	7
449447.MAE_52360	64.9	2
449447.MAE_55270	64.7	1
449447.MAE_16860	64.5	3
449447.MAE_17330	64.5	4
449447.MAE_34980	64.4	1
449447.MAE_14590	64.2	5
449447.MAE_51690	64.1	4
449447.MAE_11720	64.1	2
449447.MAE_55430	64.1	2
449447.MAE_55930	63.5	2
449447.MAE_01970	63.5	2
449447.MAE_35250	63.5	1
449447.MAE_57970	63.3	2
449447.MAE_36170	63.3	2
449447.MAE_16430	63.1	1
449447.MAE_34940	63.0	1
449447.MAE_56510	62.9	4
449447.MAE_39850	62.7	1
449447.MAE_39000	62.7	3
449447.MAE_52740	62.6	3
449447.MAE_34740	62.5	1
449447.MAE_23130	62.5	3
449447.MAE_06840	62.4	2
449447.MAE_45090	62.4	4
449447.MAE_10070	62.3	2
449447.MAE_24660	62.2	1
449447.MAE_48250	62.2	1
449447.MAE_09300	62.2	3
449447.MAE_22030	62.0	2
449447.MAE_50360	61.8	7
449447.MAE_28270	61.7	1
449447.MAE_46330	61.6	1
449447.MAE_14130	61.6	1
449447.MAE_56870	61.4	4
449447.MAE_59610	61.3	1
449447.MAE_62490	61.3	1
449447.MAE_41120	61.2	1
449447.MAE_33010	61.1	1
449447.MAE_05960	61.1	4
449447.MAE_36050	61.1	5
449447.MAE_30580	61.0	1
449447.MAE_17220	60.9	2
449447.MAE_53090	60.8	4
449447.MAE_52260	60.7	5
449447.MAE_41760	60.6	3
449447.MAE_28740	60.2	1
449447.MAE_52490	59.8	1
449447.MAE_40560	59.6	1
449447.MAE_32430	59.5	2
449447.MAE_46820	59.5	1
449447.MAE_57130	59.5	1
449447.MAE_45310	59.5	2
449447.MAE_06730	59.2	2
449447.MAE_11700	59.2	1
449447.MAE_14010	59.1	1
449447.MAE_28940	59.0	7
449447.MAE_32660	59.0	3
449447.MAE_17400	59.0	2
449447.MAE_40320	59.0	1
449447.MAE_03640	58.6	1
449447.MAE_19890	58.5	4
449447.MAE_52660	58.5	1
449447.MAE_50290	58.4	2
449447.MAE_06380	58.2	2
449447.MAE_27930	58.2	5
449447.MAE_18350	58.1	3
449447.MAE_28880	58.1	1
449447.MAE_07100	58.0	3
449447.MAE_04240	57.9	1
449447.MAE_12970	57.9	1
449447.MAE_49900	57.8	4
449447.MAE_15280	57.8	2
449447.MAE_55280	57.6	2
449447.MAE_11320	57.5	7
449447.MAE_00190	57.4	3
449447.MAE_07360	57.4	2
449447.MAE_30180	57.4	1
449447.MAE_61490	57.4	2
449447.MAE_00290	57.3	1
449447.MAE_15550	57.2	1
449447.MAE_12720	57.2	1
449447.MAE_62240	56.9	3
449447.MAE_13650	56.9	4
449447.MAE_01750	56.9	4
449447.MAE_07170	56.8	4
449447.MAE_30040	56.7	2
449447.MAE_32460	56.7	3
449447.MAE_39640	56.5	5
449447.MAE_14790	56.4	1
449447.MAE_25780	56.4	3
449447.MAE_11350	56.3	7
