#id: 3674544124
#name: Triticum aestivum - Root, NSAF (Ghataketal,frontplantsci2020)
#score: 1.3
#description: abundance based on NSAF, Interaction consistency score: 1.3, Coverage: 1
#organ: ROOT
#integrated: false
#coverage: 1
#link: http://www.ncbi.nlm.nih.gov/pubmed/33519854
#publication_year: 2020
#filename: 4565-PXD021446_Ghatak_Front_Plant_Sci_2020_wheat_root_TRI5630.txt
#
#string_external_id	abundance
4565.Traes_4DS_8D47B4C37.1	16346
4565.Traes_3B_D59C1CA8B.2	16103
4565.Traes_2AL_197BC062C.2	13106
4565.Traes_5BL_8FFD203BD.1	13056
4565.Traes_3DL_1118D4779.2	10092
4565.Traes_3B_319690489.1	8836
4565.Traes_3DL_CDBB45EBA.1	8338
4565.Traes_6DS_08F52DEBD.1	8331
4565.Traes_1BL_D0A3F2067.1	7830
4565.Traes_5AL_8962E6992.2	6961
4565.Traes_1DS_A7A785837.1	6849
4565.Traes_1DL_9926BBAE1.1	6807
4565.Traes_5BL_881FB6FDE.1	6750
4565.Traes_4BS_9F3A928B7.1	6709
4565.Traes_4DL_E1F977668.1	6630
4565.Traes_4BS_342A62CE6.1	6274
4565.Traes_5BL_4BD0ED173.1	6264
4565.Traes_7DL_CE37E2AF1.1	6161
4565.Traes_1DS_D8B54340D.1	5957
4565.Traes_3AL_2BC7F1249.1	5820
4565.EPlTAEP00000010092	5661
4565.Traes_6BL_B095FC217.1	5619
4565.Traes_5BL_423673029.1	5377
4565.Traes_2BL_A6E213603.1	5344
4565.Traes_7DL_98846F89F1.1	5341
4565.Traes_5DL_89CF7F5DE.1	5307
4565.Traes_6BS_535A1590A.1	5287
4565.Traes_7AL_A761447C9.2	5287
4565.Traes_7DL_6AC3E4622.2	5287
4565.Traes_6DS_0C583365E.2	5256
4565.Traes_6AS_82E93D872.1	5065
4565.Traes_2AL_535042319.1	5005
4565.Traes_1BS_190C56A4E.1	4986
4565.Traes_6AL_174253A751.1	4952
4565.Traes_5BS_FF89E832D.1	4941
4565.Traes_3B_4EFCCC882.1	4737
4565.Traes_7AL_0B424865F.2	4690
4565.Traes_2AL_6061FA883.1	4613
4565.Traes_7AL_7C3AF19DC.1	4611
4565.Traes_3DS_9C173AB38.1	4605
4565.Traes_1AS_91A304B6B.1	4601
4565.Traes_1BL_34814DE4A.1	4538
4565.Traes_7BS_ADB21EADB.1	4250
4565.Traes_5BS_4833CA0C2.1	4209
4565.Traes_2BL_2825A3D0F.1	4153
4565.Traes_1AS_D25875432.1	4078
4565.Traes_5BL_77F9DBF02.1	4015
4565.Traes_6DS_CDB16CE3F.1	4005
4565.Traes_4AL_ED8E895D21.1	3918
4565.Traes_3B_E8C1C95A7.2	3887
4565.Traes_3AL_6D1917532.2	3875
4565.Traes_3B_DB88E6398.1	3874
4565.Traes_2BL_54C69C35D.1	3809
4565.Traes_3B_1C1D702D1.1	3803
4565.Traes_1BL_C0E61FAC9.1	3752
4565.Traes_4DS_AFAF2A29E.1	3656
4565.Traes_7AL_AD817EBE6.1	3592
4565.Traes_7AL_ADBB39E9C.1	3580
4565.Traes_5BL_999585B72.1	3554
4565.Traes_3DL_24BB937CF.1	3532
4565.Traes_2DL_D17DCB9CB.1	3522
4565.Traes_6BL_53A305F99.2	3520
4565.Traes_4BS_E159CEEDF.1	3466
4565.Traes_6AS_B4F412249.1	3409
4565.Traes_1AS_EAF9A03B2.1	3405
4565.Traes_7DL_EDE77652A.1	3402
4565.Traes_5BL_6C28037C8.1	3334
4565.Traes_5DS_1BD5492E6.1	3334
4565.Traes_6DS_2F1995526.1	3296
4565.Traes_2DL_F48387F4E.1	3271
4565.Traes_3B_9C144DF1F.2	3254
4565.Traes_2BL_E8A65526C.1	3250
4565.Traes_1AL_999A02D6C.1	3250
4565.Traes_2DL_1C4C67BC8.1	3231
4565.Traes_4AL_5BD269FF3.1	3190
4565.Traes_2DS_68B68A00D.1	3174
4565.Traes_2BS_C3CF1817A.1	3150
4565.Traes_3B_E653839AD1.1	3123
4565.Traes_3B_862027156.1	3120
4565.Traes_5BS_1AC8D3009.2	3100
4565.Traes_7DS_425ED0B6D.1	3057
4565.Traes_2AL_A45F6AEBE.1	3046
4565.Traes_7DL_46D8A0EC9.1	3035
4565.Traes_3AL_238C46A6F.2	3011
4565.Traes_1BL_CD6DA1BD3.1	2984
4565.Traes_7AS_8B382E1D0.1	2970
4565.Traes_7AS_FFB7CAFC3.1	2959
4565.Traes_4DS_50708AF98.1	2950
4565.Traes_5BL_E99B4DCCB.1	2921
4565.Traes_6DL_24A8AB125.2	2872
4565.Traes_3AS_3A0D17C58.1	2856
4565.Traes_3B_C0F416702.1	2856
4565.Traes_2AL_CADDB1089.1	2829
4565.Traes_4BL_4DB9F4DFF.1	2770
4565.Traes_2BL_1B580814E.1	2769
4565.Traes_4AL_3C11D1759.1	2744
4565.Traes_6AS_8D0CA00F1.1	2730
4565.Traes_4BS_410CDF5FA.1	2687
4565.Traes_1AS_5C9586342.2	2677
4565.Traes_6DL_1FB712919.1	2670
4565.Traes_5BS_DCB2B616C.1	2613
4565.Traes_5DL_43046228D.1	2610
4565.Traes_2DS_2CCCA54C1.1	2608
4565.Traes_7AS_3247D97E8.2	2604
4565.Traes_2DS_3C3A2A12A.2	2587
4565.EPlTAEP00000010081	2577
4565.Traes_2AL_E6C281385.1	2513
4565.Traes_1BL_C5CD09285.1	2472
4565.Traes_2DL_B7F8FFEB9.1	2444
4565.Traes_4AS_5B20D8401.1	2422
4565.Traes_3B_106795328.1	2394
4565.Traes_2BL_699DB5420.1	2389
4565.Traes_4DS_E39A952AD.1	2384
4565.Traes_2AL_91E6A8ED6.1	2372
4565.Traes_4BL_362225B2C.1	2367
4565.Traes_5DS_BFF4B778D.1	2355
4565.Traes_7DS_304EAFD6B.1	2355
4565.Traes_2AL_BA500D777.1	2354
4565.Traes_1DS_4F51F6DFA.1	2321
4565.Traes_7DL_E87B15560.1	2320
4565.Traes_2BS_E7D211A51.1	2306
4565.Traes_1AS_138CC1708.1	2304
4565.Traes_4AS_8F8B908D3.1	2300
4565.Traes_4DS_90B3A8BF0.1	2267
4565.Traes_2DL_13C10DB2C.1	2266
4565.Traes_4BL_88634CB1B.1	2245
4565.Traes_2DS_3B16D8173.1	2233
4565.Traes_3DL_3F38A341F.1	2219
4565.Traes_3B_4CBEDCDA8.1	2217
4565.Traes_4BS_83AF90FC5.1	2169
4565.Traes_7AS_C8EC43BEB.2	2166
4565.Traes_6DL_FF2824756.1	2159
4565.Traes_4DS_083223974.1	2156
4565.Traes_3DL_CDEC31960.1	2154
4565.Traes_4AL_77FA77D61.1	2144
4565.Traes_3B_7F4348FC3.2	2121
4565.Traes_6AS_1E6A90D78.1	2103
4565.Traes_6DL_1AEA7B869.1	2101
4565.Traes_1BS_548536A26.2	2084
4565.Traes_3B_0CDF6A16D.2	2080
4565.Traes_4AS_B50BC531A.1	2068
4565.Traes_4BL_52F044A40.1	2044
4565.Traes_4DL_65CDCF95A.1	2042
4565.Traes_2BL_9DBC04D47.1	2041
4565.Traes_3B_68A92F3EE.2	2030
4565.Traes_3B_637E6E81C.2	2029
4565.Traes_5BL_45A5C2D6B.2	2028
4565.Traes_2DS_C6B631387.1	2021
4565.Traes_1AL_EA998D3E1.1	2003
4565.Traes_4AS_620D02FAE.1	1989
4565.Traes_4BS_8D7331E3A.1	1978
4565.Traes_2DL_8CEB98016.2	1970
4565.Traes_6BL_ABB3BA783.1	1968
4565.Traes_4DL_CF7C86CD1.1	1963
4565.Traes_1DS_32958E4C2.1	1959
4565.Traes_3B_D846391F5.3	1957
4565.Traes_7AL_085BDBA1B.1	1947
4565.Traes_7DL_930094B08.1	1923
4565.Traes_7AL_46FF52BCC.1	1922
4565.Traes_3B_EEBA7EEDC.1	1907
4565.Traes_4DS_C1AA363F7.1	1901
4565.Traes_7DL_471B4134B.1	1901
