#id: 3261977917
#name: Z.mays - Leaf, Zone1, SC (Facette,plantcell,2013)
#score: 7.2
#weight:  1%
#description: abundance based on Spectral counting, zone1, Interaction consistency score: 7.2, Coverage: 29
#organ: LEAF
#integrated: false
#coverage: 29
#link: http://www.ncbi.nlm.nih.gov/pubmed/23933881
#publication_year: 2013
#filename: 4577-Mays_SC_zone1_rep1234_Facette_2013.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
1716401	4577.GRMZM2G164020_P01	12043	2859
1701381	4577.GRMZM2G047813_P01	9124	1876
1695682	4577.GRMZM2G003306_P01	8292	1748
1725142	4577.GRMZM2G448458_P01	6754	2313
1705358	4577.GRMZM2G078022_P03	6754	1388
1719788	4577.GRMZM2G326111_P01	6377	3181
1695645	4577.GRMZM2G003002_P01	5829	800
1699229	4577.GRMZM2G030731_P01	5338	735
1710859	4577.GRMZM2G121221_P01	5248	722
1718827	4577.GRMZM2G305046_P02	4983	2363
1710268	4577.GRMZM2G116273_P01	4944	946
1714971	4577.GRMZM2G152908_P01	4780	8101
1704704	4577.GRMZM2G073275_P01	4336	7873
1723946	4577.GRMZM2G421279_P01	4336	7873
1706137	4577.GRMZM2G084195_P01	4336	7873
1697368	4577.GRMZM2G016232_P01	4336	7873
1713758	4577.GRMZM2G143780_P02	4336	7873
1714461	4577.GRMZM2G149178_P01	4336	7873
1693161	4577.AC196961.2_FGP003	4336	7873
1718535	4577.GRMZM2G181153_P01	4336	7873
1726547	4577.GRMZM2G479684_P01	4336	7873
1695025	4577.AC233865.1_FGP001	4336	7873
1704652	4577.GRMZM2G072855_P01	4336	7873
1720770	4577.GRMZM2G349651_P01	4336	7873
1714910	4577.GRMZM2G152466_P01	4326	11021
1712078	4577.GRMZM2G130746_P02	4260	1621
1709367	4577.GRMZM2G109448_P01	4169	1634
1703502	4577.GRMZM2G063896_P01	4161	7873
1715020	4577.GRMZM2G153292_P05	4035	10872
1698000	4577.GRMZM2G020940_P01	3922	3239
1705689	4577.GRMZM2G080603_P01	3713	759
1731289	4577.GRMZM5G895313_P01	3542	1515
1715050	4577.GRMZM2G153541_P06	3516	10948
1701370	4577.GRMZM2G047727_P01	3484	5308
1701857	4577.GRMZM2G051677_P02	3431	2504
1700773	4577.GRMZM2G043279_P01	3134	199
1718471	4577.GRMZM2G180625_P03	3074	4192
1717144	4577.GRMZM2G169890_P02	3048	1193
1702777	4577.GRMZM2G058522_P06	3043	1203
