#id: 1572849780
#name: Zea mays - Leaf, Zone3, SC (Facette,plantcell,2013)
#score: 8.9
#description: abundance based on Spectral counting, zone3, Interaction consistency score: 8.9, Coverage: 31
#organ: LEAF
#integrated: false
#coverage: 31
#link: http://www.ncbi.nlm.nih.gov/pubmed/23933881
#publication_year: 2013
#filename: 4577-Mays_SC_zone3_rep1234_Facette_2013.txt
#
#string_external_id	abundance	raw_spectral_count
4577.GRMZM2G164020_P01	15585	7844
4577.GRMZM2G003002_P01	11822	3715
4577.GRMZM2G121221_P01	10787	3467
4577.GRMZM2G047813_P01	10652	5838
4577.GRMZM2G003306_P01	10089	5706
4577.GRMZM2G448458_P01	7390	6625
4577.GRMZM2G130746_P02	6277	5975
4577.GRMZM2G109448_P01	6267	6080
4577.GRMZM2G152908_P01	5989	20793
4577.GRMZM2G064096_P01	5948	2759
4577.GRMZM2G080603_P01	5944	2077
4577.GRMZM2G305046_P02	5702	6743
4577.GRMZM2G327564_P01	5274	1480
4577.GRMZM2G051677_P02	5235	7532
4577.GRMZM2G326111_P01	4845	5154
4577.GRMZM2G030731_P01	4813	1267
4577.GRMZM2G084195_P01	4757	17636
4577.GRMZM2G149178_P01	4757	17636
4577.AC233865.1_FGP001	4757	17636
4577.GRMZM2G072855_P01	4757	17636
4577.GRMZM2G349651_P01	4757	17636
4577.GRMZM2G073275_P01	4757	17636
4577.GRMZM2G421279_P01	4757	17636
4577.GRMZM2G016232_P01	4757	17636
4577.GRMZM2G143780_P02	4757	17636
4577.AC196961.2_FGP003	4757	17636
4577.GRMZM2G181153_P01	4757	17636
4577.GRMZM2G479684_P01	4757	17636
4577.GRMZM2G063896_P01	4554	17636
4577.GRMZM2G152466_P01	4527	22889
4577.GRMZM2G041238_P01	4316	1254
4577.GRMZM2G153292_P05	4246	22561
4577.GRMZM2G116273_P01	3770	1596
4577.GRMZM2G153541_P06	3315	22052
4577.GRMZM2G180625_P03	3107	8753
4577.GRMZM2G030293_P01	3049	1005
4577.GRMZM2G455828_P03	3049	1005
4577.GRMZM2G001327_P03	2957	22366
4577.GRMZM2G149768_P01	2957	22366
4577.GRMZM2G154218_P01	2957	22387
4577.GRMZM2G047727_P01	2910	8417
4577.GRMZM2G168149_P01	2893	4186
4577.GRMZM2G169890_P02	2860	2339
4577.GRMZM2G058522_P06	2855	2354
4577.GRMZM2G110509_P01	2837	21928
4577.AC233866.1_FGP006	2829	21876
4577.GRMZM2G151193_P01	2829	21876
4577.GRMZM2G389768_P01	2729	2493
4577.GRMZM5G895313_P01	2692	2231
4577.GRMZM2G043279_P01	2628	353
4577.GRMZM2G032315_P01	2558	470
4577.GRMZM2G046804_P07	2520	8411
4577.GRMZM2G050730_P01	2432	600
4577.GRMZM2G162388_P01	2431	3843
4577.GRMZM2G015295_P01	2400	4106
4577.GRMZM2G078022_P03	2370	1100
4577.AC195340.3_FGP001	2343	14810
4577.GRMZM2G057823_P01	2260	5594
4577.GRMZM2G018197_P01	2242	5050
4577.GRMZM2G080274_P01	2173	588
4577.GRMZM2G141432_P01	2168	6502
4577.GRMZM2G427014_P01	2152	635
4577.GRMZM2G046841_P01	2133	7260
4577.GRMZM2G119071_P01	2133	7260
4577.GRMZM2G161560_P01	2099	653
4577.GRMZM2G340251_P03	2081	17134
4577.GRMZM2G431821_P01	2053	8511
4577.GRMZM2G102499_P02	2045	4688
4577.GRMZM2G112795_P01	2043	155
4577.GRMZM2G106133_P02	2042	1379
4577.GRMZM2G006293_P01	2036	8464
4577.GRMZM2G357296_P01	2036	8464
4577.GRMZM2G151252_P01	2032	565
4577.GRMZM2G472696_P01	2013	7195
4577.GRMZM2G100403_P02	2013	4333
4577.GRMZM2G401147_P01	2006	7173
4577.GRMZM2G009936_P01	1937	433
4577.GRMZM2G047732_P01	1916	8505
4577.GRMZM2G124143_P01	1901	1005
4577.GRMZM2G030016_P02	1878	1849
4577.GRMZM2G071959_P01	1841	6488
4577.GRMZM2G157443_P01	1840	370
4577.GRMZM2G053652_P02	1831	1283
4577.GRMZM2G066024_P01	1820	4727
4577.GRMZM5G850966_P03	1818	417
4577.GRMZM2G377797_P01	1788	881
4577.GRMZM2G304575_P02	1785	6498
4577.GRMZM2G163939_P02	1784	6283
4577.GRMZM2G013214_P01	1782	205
4577.GRMZM2G102356_P01	1766	1211
4577.GRMZM2G353103_P01	1762	881
4577.GRMZM2G056039_P01	1715	16197
4577.GRMZM2G038032_P01	1693	4070
4577.GRMZM2G342515_P01	1681	6240
4577.GRMZM2G116292_P05	1680	8417
4577.GRMZM2G033208_P01	1643	2449
4577.GRMZM2G040477_P01	1620	3989
4577.GRMZM2G439201_P02	1615	1267
4577.GRMZM2G358059_P01	1582	4541
4577.GRMZM5G831399_P01	1563	104
4577.GRMZM2G057852_P01	1560	6062
4577.GRMZM2G042118_P01	1550	1220
4577.GRMZM2G332838_P01	1535	17636
4577.GRMZM2G020940_P01	1518	2635
4577.GRMZM2G079089_P01	1514	6120
4577.GRMZM2G305027_P01	1514	6120
4577.GRMZM5G854138_P02	1513	552
4577.GRMZM2G306258_P01	1511	6124
4577.GRMZM2G112912_P01	1511	6124
4577.GRMZM2G382914_P04	1503	5270
4577.GRMZM5G834758_P03	1491	1512
4577.AC212565.3_FGP001	1434	17636
4577.GRMZM2G116135_P01	1424	1050
4577.AC210013.4_FGP019	1422	3066
4577.GRMZM2G163081_P01	1394	1798
4577.GRMZM2G122937_P03	1391	373
4577.GRMZM2G081102_P01	1368	988
4577.GRMZM2G096585_P06	1366	2142
4577.GRMZM2G127609_P06	1328	1329
4577.GRMZM2G048371_P01	1325	3883
4577.GRMZM2G091155_P02	1308	4718
4577.GRMZM2G142640_P02	1301	959
4577.GRMZM2G074898_P01	1301	959
4577.GRMZM2G110328_P01	1301	959
4577.GRMZM2G153569_P03	1300	1658
4577.GRMZM2G149751_P05	1270	7018
4577.GRMZM2G157018_P01	1252	651
4577.GRMZM2G086906_P01	1246	874
4577.GRMZM2G165901_P01	1231	1219
4577.GRMZM2G031545_P02	1227	1808
4577.GRMZM2G090422_P01	1207	779
4577.GRMZM2G073150_P01	1185	865
4577.GRMZM2G079908_P01	1175	438
4577.GRMZM2G099352_P03	1175	2125
4577.GRMZM2G026216_P01	1156	301
4577.GRMZM5G815894_P03	1147	1802
4577.AC217050.4_FGP006	1143	3755
4577.GRMZM2G378770_P01	1136	371
4577.GRMZM2G112165_P01	1132	5848
4577.GRMZM2G074687_P01	1131	3832
4577.GRMZM2G137839_P01	1130	3691
4577.GRMZM5G801031_P02	1108	486
4577.GRMZM2G092663_P02	1077	2483
4577.GRMZM2G099167_P01	1064	8016
4577.GRMZM2G083243_P01	1064	8016
4577.GRMZM2G152925_P01	1061	357
4577.GRMZM5G890561_P01	1052	338
4577.GRMZM2G044027_P01	1043	1848
4577.GRMZM2G087233_P01	1040	1257
4577.GRMZM5G887054_P01	1036	938
4577.GRMZM2G074300_P02	1034	2178
4577.GRMZM2G024099_P01	1033	1066
4577.GRMZM2G058432_P01	1033	441
4577.GRMZM2G094388_P01	1032	880
4577.GRMZM2G071450_P01	1000	378
4577.GRMZM2G055276_P01	990	1625
4577.GRMZM2G415359_P02	987	1575
4577.GRMZM2G012631_P01	985	5794
4577.GRMZM2G091481_P01	977	2891
4577.GRMZM2G385287_P01	965	1882
4577.GRMZM2G028955_P01	961	413
4577.GRMZM2G010599_P02	960	165
4577.GRMZM2G154595_P01	957	1415
4577.GRMZM2G020801_P01	943	2962
4577.GRMZM2G084739_P01	940	1857
4577.GRMZM2G063340_P01	939	1231
4577.GRMZM2G139900_P01	939	1231
4577.GRMZM2G071630_P01	937	5093
4577.GRMZM2G176307_P01	936	5093
4577.GRMZM2G343543_P05	927	3014
4577.GRMZM2G116282_P02	917	1512
4577.GRMZM5G863656_P01	914	691
4577.GRMZM2G172342_P02	909	642
4577.GRMZM2G085420_P03	906	1831
4577.GRMZM2G064133_P01	894	658
4577.GRMZM2G113720_P01	894	1243
4577.GRMZM2G464401_P01	892	573
4577.GRMZM2G083716_P01	889	3434
4577.GRMZM2G064302_P01	882	2888
4577.GRMZM2G022619_P01	882	1216
4577.GRMZM2G030523_P01	878	2228
4577.GRMZM2G108712_P03	875	2218
4577.GRMZM2G412503_P01	870	5107
4577.GRMZM2G108348_P01	863	1041
4577.GRMZM5G802801_P01	857	12173
4577.GRMZM2G027451_P04	852	1257
4577.GRMZM2G071089_P01	848	603
4577.GRMZM2G072315_P01	839	644
4577.GRMZM2G157470_P01	838	1344
4577.GRMZM5G855672_P02	829	1052
4577.GRMZM2G119782_P01	820	361
4577.GRMZM2G401308_P04	814	560
4577.GRMZM2G118637_P02	800	8417
4577.AC206642.4_FGP001	799	132
4577.GRMZM2G012224_P01	798	1278
4577.GRMZM2G001887_P01	797	777
4577.GRMZM2G145280_P01	794	801
4577.GRMZM2G150356_P01	793	2776
4577.GRMZM2G122871_P01	792	2445
4577.GRMZM2G165357_P01	790	1612
4577.GRMZM2G035017_P01	782	1504
4577.GRMZM2G154312_P01	777	494
4577.AC230013.2_FGP007	771	1120
4577.GRMZM2G093346_P01	759	2776
4577.GRMZM2G126928_P01	759	1097
4577.GRMZM2G043822_P02	753	9112
4577.GRMZM2G104025_P01	753	661
4577.GRMZM5G803952_P03	753	661
4577.GRMZM5G882228_P02	750	563
4577.GRMZM2G142834_P01	738	331
4577.AC203173.3_FGP004	734	10283
4577.GRMZM2G040369_P01	734	10288
4577.GRMZM2G095851_P01	734	10288
4577.GRMZM2G139617_P01	733	972
4577.GRMZM2G152552_P01	727	228
4577.GRMZM2G179703_P02	724	1541
4577.GRMZM2G102829_P01	722	1682
4577.GRMZM2G125271_P01	718	1507
4577.GRMZM2G171426_P01	715	407
4577.AC199526.5_FGP002	708	3319
4577.GRMZM2G310431_P01	705	11754
4577.GRMZM2G032564_P01	704	277
4577.GRMZM2G166963_P01	704	277
4577.GRMZM2G152573_P04	704	277
4577.GRMZM2G054300_P04	703	3423
4577.GRMZM2G476933_P01	702	1251
4577.GRMZM2G078143_P01	701	1744
4577.GRMZM2G178341_P01	699	686
4577.GRMZM2G139296_P01	694	309
4577.GRMZM2G054123_P02	690	3290
4577.GRMZM2G054136_P01	686	855
4577.GRMZM2G153227_P01	686	155
4577.GRMZM2G015989_P02	684	2409
4577.GRMZM2G131577_P01	683	730
4577.GRMZM2G373522_P01	683	642
4577.GRMZM2G088060_P01	682	269
4577.GRMZM2G069651_P01	677	5281
4577.GRMZM2G112050_P01	673	885
4577.GRMZM2G146246_P02	671	827
4577.GRMZM2G004878_P01	669	539
4577.AC209784.3_FGP007	668	11610
4577.GRMZM2G146358_P01	668	533
4577.GRMZM2G140051_P01	665	1035
4577.GRMZM2G139349_P01	664	677
4577.GRMZM2G117642_P02	652	632
4577.GRMZM2G465333_P01	652	1372
4577.GRMZM2G428391_P01	651	11248
4577.GRMZM2G174757_P01	651	1819
4577.GRMZM2G130544_P02	648	664
4577.GRMZM2G095252_P01	637	2381
4577.GRMZM5G851266_P01	637	1446
4577.GRMZM2G057608_P01	630	668
4577.GRMZM5G884242_P01	629	271
4577.GRMZM2G162688_P01	629	1686
4577.GRMZM2G077851_P01	628	1763
