#id: 2237145803
#name: Schizosaccharomyces pombe - Whole organism, SC (Marguerat,cell,2012)
#score: 28.7
#description: abundance based on Spectral counting, Interaction consistency score: 28.7, Coverage: 80
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 80
#link: http://www.cell.com/abstract/S0092-8674%2812%2901126-9
#publication_year: 2012
#filename: 4896-Schizosaccharomyces_pombe_SC_biomart_29627_E_BTO0000214cellculture_1reps.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
1812332	4896.SPBC32F12.11.1	17215	2295
1811813	4896.SPBC1815.01.1	9221	1698
1811872	4896.SPBC19C2.07.1	6818	1103
1809693	4896.SPAC1F8.07c.1	6611	1415
1810596	4896.SPAC4H3.10c.1	6170	1308
1812399	4896.SPBC354.12.1	5856	1203
1813237	4896.SPCC13B11.01.1	5076	835
1811475	4896.SPBC14F5.04c.1	4901	990
1809700	4896.SPAC20G4.06c.1	4805	235
1809869	4896.SPAC23A1.10.1	4245	1290
1812856	4896.SPBC839.15c.1	4245	1290
1812348	4896.SPBC32H8.12c.1	4238	718
1810904	4896.SPAC821.10c.1	4184	221
1810078	4896.SPAC26F1.06.1	4018	457
1812107	4896.SPBC26H8.01.1	3988	562
1813924	4896.SPCC794.09c.1	3568	1074
1813732	4896.SPCC576.03c.1	3476	307
1813598	4896.SPCC330.06c.1	3196	247
1812150	4896.SPBC28F2.03.1	2859	256
1809227	4896.SPAC15E1.03.1	2797	39
1811114	4896.SPAP8A3.04c.1	2745	53
1813988	4896.SPCP1E11.09c.1	2718	91
1810748	4896.SPAC664.05.1	2631	134
1809883	4896.SPAC23C11.05.1	2622	293
1811476	4896.SPBC14F5.05c.1	2606	455
1810880	4896.SPAC7D4.07c.1	2595	123
1810534	4896.SPAC4F10.14c.1	2591	158
1813537	4896.SPCC24B10.21.1	2588	359
1809264	4896.SPAC1687.06c.1	2570	117
1811212	4896.SPAPJ698.02c.1	2515	239
1812739	4896.SPBC660.16.1	2445	574
1811564	4896.SPBC1685.10.1	2440	72
1813396	4896.SPCC1739.13.1	2411	887
1812897	4896.SPBC8D2.18c.1	2388	360
1811003	4896.SPAC926.04c.1	2387	766
1808913	4896.SPAC1006.07.1	2387	460
1810990	4896.SPAC9.09.1	2350	867
1810792	4896.SPAC6B12.15.1	2337	333
1813835	4896.SPCC663.04.1	2262	23
1809459	4896.SPAC1805.13.1	2217	119
1810965	4896.SPAC8E11.02c.1	2150	332
1812666	4896.SPBC56F2.12.1	2134	386
1812198	4896.SPBC29B5.03c.1	2123	74
1809511	4896.SPAC18G6.14c.1	2118	137
1811689	4896.SPBC1709.05.1	2108	594
1809748	4896.SPAC222.12c.1	2105	487
1813780	4896.SPCC613.05c.1	2075	69
