#id: 907937537
#name: S.pombe - Whole organism, Empai (Gunaratne,mcp,2013)
#score: 9.6
#weight:  8%
#description: abundance based on MAPPED_BY_AUTHORS, emPAI, Interaction consistency score: 9.6, Coverage: 79
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 79
#link: http://www.mcponline.org/content/12/6/1741.abstract
#publication_year: 2013
#filename: 4896-Spombe_emPAI_Gunaratne_2013.txt
#
#internal_id	string_external_id	abundance
1810276	4896.SPAC30D11.12.1	81373
1809066	4896.SPAC12G12.13c.1	60940
1812989	4896.SPBP35G2.08c.1	41736
1810739	4896.SPAC644.15.1	31166
1813864	4896.SPCC736.08.1	27323
1813781	4896.SPCC613.06.1	25722
1812666	4896.SPBC56F2.12.1	21983
1812921	4896.SPBC947.10.1	20870
1808969	4896.SPAC110.03.1	15419
1812470	4896.SPBC3B9.13c.1	14458
1812669	4896.SPBC577.02.1	14458
1811345	4896.SPBC1289.05c.1	14458
1812543	4896.SPBC405.07.1	12888
1811016	4896.SPAC959.08.1	11439
1810666	4896.SPAC589.10c.1	10401
1809098	4896.SPAC13D6.01.1	8848
1810078	4896.SPAC26F1.06.1	8631
1811746	4896.SPBC1773.01.1	7547
1811729	4896.SPBC1718.07c.1	7494
1811851	4896.SPBC18H10.13.1	7077
1810464	4896.SPAC3H5.05c.1	7077
1811119	4896.SPAP8A3.09c.1	6833
1812611	4896.SPBC4F6.04.1	6703
1812392	4896.SPBC354.05c.1	6650
1810471	4896.SPAC3H5.12c.1	4754
1812049	4896.SPBC23G7.05.1	4562
1813525	4896.SPCC24B10.09.1	4562
1811563	4896.SPBC1685.09.1	4562
1809693	4896.SPAC1F8.07c.1	4343
1810582	4896.SPAC4G9.16c.1	4107
1810517	4896.SPAC4D7.11.1	3960
1811176	4896.SPAPB1E7.12.1	3945
1809116	4896.SPAC13G6.07c.1	3910
1811503	4896.SPBC15D4.03.1	3889
1812707	4896.SPBC646.13.1	3704
1810901	4896.SPAC821.07c.1	3627
1809715	4896.SPAC20H4.02.1	3403
1812841	4896.SPBC83.18c.1	3155
1813738	4896.SPCC576.09.1	3104
1812656	4896.SPBC56F2.02.1	3045
1810311	4896.SPAC31G5.17c.1	2873
1809511	4896.SPAC18G6.14c.1	2871
1813029	4896.SPBP8B7.11.1	2743
1809165	4896.SPAC1486.02c.1	2706
1811740	4896.SPBC1734.11.1	2571
1810380	4896.SPAC3A12.11c.1	2475
1810363	4896.SPAC3A11.07.1	2279
1811239	4896.SPBC106.18.1	2235
1813747	4896.SPCC584.01c.1	2130
1812198	4896.SPBC29B5.03c.1	1916
1813598	4896.SPCC330.06c.1	1916
1810613	4896.SPAC521.05.1	1916
1809649	4896.SPAC1F12.07.1	1859
1811286	4896.SPBC1198.05.1	1855
1811476	4896.SPBC14F5.05c.1	1770
1809247	4896.SPAC1635.01.1	1740
1810682	4896.SPAC5H10.03.1	1739
1812433	4896.SPBC365.12c.1	1714
1809156	4896.SPAC144.11.1	1676
1813780	4896.SPCC613.05c.1	1676
1812791	4896.SPBC725.16.1	1556
1813551	4896.SPCC285.15c.1	1552
1813225	4896.SPCC1393.03.1	1552
1810043	4896.SPAC25G10.06.1	1552
1813135	4896.SPCC1223.04c.1	1527
1812813	4896.SPBC800.04c.1	1521
1813374	4896.SPCC16C4.13c.1	1521
1809013	4896.SPAC11E3.15.1	1437
1812739	4896.SPBC660.16.1	1436
1811774	4896.SPBC17A3.02.1	1433
1811100	4896.SPAP27G11.13c.1	1433
1811042	4896.SPAC9E9.06c.1	1433
1810694	4896.SPAC607.03c.1	1433
1811556	4896.SPBC1685.02c.1	1433
1812264	4896.SPBC2G5.03.1	1427
1812856	4896.SPBC839.15c.1	1414
1809869	4896.SPAC23A1.10.1	1407
1809459	4896.SPAC1805.13.1	1390
1812445	4896.SPBC36B7.08c.1	1376
1811831	4896.SPBC18E5.06.1	1371
1813698	4896.SPCC550.05.1	1360
1810332	4896.SPAC328.10c.1	1349
1810748	4896.SPAC664.05.1	1297
1808913	4896.SPAC1006.07.1	1279
1810611	4896.SPAC521.03.1	1227
1811689	4896.SPBC1709.05.1	1224
1811015	4896.SPAC959.07.1	1213
1809453	4896.SPAC1805.07c.1	1192
1811579	4896.SPBC16A3.08c.1	1181
1813211	4896.SPCC1322.04.1	1170
1813954	4896.SPCC962.04.1	1167
1812105	4896.SPBC25H2.16c.1	1159
1813415	4896.SPCC1795.11.1	1148
1810059	4896.SPAC26A3.04.1	1141
1808937	4896.SPAC1071.08.1	1140
1812963	4896.SPBP22H7.08.1	1135
1812546	4896.SPBC409.05.1	1116
1811709	4896.SPBC1711.05.1	1107
1810596	4896.SPAC4H3.10c.1	1101
1813632	4896.SPCC364.07.1	1071
1810553	4896.SPAC4F8.13c.1	1062
1811998	4896.SPBC21B10.10.1	1050
1813537	4896.SPCC24B10.21.1	1038
1811054	4896.SPAC9G1.03c.1	1035
1811874	4896.SPBC19C2.09.1	1034
1812266	4896.SPBC2G5.05.1	1027
1813872	4896.SPCC737.02c.1	1027
1809245	4896.SPAC1610.03c.1	1014
1810669	4896.SPAC5D6.01.1	1004
1809778	4896.SPAC22A12.04c.1	1004
1811364	4896.SPBC12C2.07c.1	1001
1812704	4896.SPBC646.10c.1	1001
1814001	4896.SPCP31B10.07.1	989
1811057	4896.SPAC9G1.06c.1	979
1811224	4896.SPBC106.03.1	950
1813799	4896.SPCC622.12c.1	938
1812746	4896.SPBC685.07c.1	913
1809790	4896.SPAC22A12.16.1	903
1811996	4896.SPBC21B10.08c.1	899
1811117	4896.SPAP8A3.07c.1	899
1810556	4896.SPAC4G8.02c.1	899
1811490	4896.SPBC1539.06.1	899
1810029	4896.SPAC25B8.12c.1	899
1809442	4896.SPAC17H9.16.1	899
1813354	4896.SPCC16A11.10c.1	899
1812745	4896.SPBC685.06.1	886
1811068	4896.SPACUNK4.06c.1	881
1809441	4896.SPAC17H9.14c.1	880
1811654	4896.SPBC16H5.02.1	879
1812188	4896.SPBC29A3.12.1	870
1811813	4896.SPBC1815.01.1	863
1811937	4896.SPBC1D7.04.1	856
1809867	4896.SPAC23A1.08c.1	854
1811212	4896.SPAPJ698.02c.1	844
1811475	4896.SPBC14F5.04c.1	831
1813836	4896.SPCC663.05c.1	830
1811273	4896.SPBC119.10.1	814
1809966	4896.SPAC23H4.09.1	799
1809883	4896.SPAC23C11.05.1	799
1809949	4896.SPAC23H3.07c.1	799
1813988	4896.SPCP1E11.09c.1	799
1812794	4896.SPBC776.02c.1	790
1811850	4896.SPBC18H10.12c.1	786
1812242	4896.SPBC2F12.14c.1	775
1810042	4896.SPAC25G10.05c.1	769
1813023	4896.SPBP8B7.05c.1	769
1808903	4896.SPAC1002.17c.1	758
1812948	4896.SPBP16F5.08c.1	758
1811304	4896.SPBC11B10.09.1	742
