#id: 74416259
#name: Saccharomyces cerevisiae - Whole organism, SC (Gpm,oct,2012)
#score: 18.4
#description: abundance based on Spectral counting, Interaction consistency score: 18.4, Coverage: 90
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 90
#link: http://www.thegpm.org/
#publication_year: 2012
#filename: 4932-GPM_2012_09_Saccharomyces_cerevisiae.txt
#
#string_external_id	abundance	raw_spectral_count
4932.YJL189W	15453	10
4932.YMR123W	8451	8
4932.YGR034W	6225	319
4932.YLR344W	6010	312
4932.YPR170W-B	5795	5
4932.YOL109W	4864	125
4932.YGR182C	4309	102
4932.YKL060C	4146	679
4932.YLR075W	4029	150
4932.YOL086C	3994	582
4932.YGR192C	3916	741
4932.YLR438C-A	3826	85
4932.YDR050C	3716	327
4932.YFL014W	3642	101
4932.YCR012W	3615	676
4932.YER090C-A	3600	34
4932.YKL152C	3437	338
4932.YGR254W	3218	839
4932.YHR174W	3185	872
4932.YBL026W	3138	109
4932.YGL103W	3058	104
4932.YAL003W	3029	197
4932.YOR312C	2867	242
4932.YMR242C	2867	242
4932.YIL053W	2720	477
4932.YEL034W	2666	212
4932.YLR340W	2653	198
4932.YBR118W	2528	661
4932.YPR080W	2528	661
4932.YDR382W	2519	144
4932.YJL124C	2492	120
4932.YJR123W	2476	148
4932.YGL123W	2443	190
4932.YOL127W	2427	85
4932.YLR044C	2377	726
4932.YJL052W	2290	455
4932.YJR104C	2144	130
4932.YDR155C	2103	151
4932.YLR109W	2080	165
4932.YJR009C	2063	544
4932.YLR325C	2046	39
4932.YOR369C	2038	136
4932.YOR096W	1921	136
4932.YOL040C	1912	73
4932.YPL131W	1841	180
4932.YOR167C	1828	48
4932.YGR027C	1806	59
4932.YML028W	1806	165
4932.YOR063W	1804	243
4932.YBL092W	1776	45
4932.YLR264W	1726	47
4932.YLR333C	1705	57
4932.YFL039C	1701	299
4932.YLR150W	1673	159
4932.YBR196C	1656	344
4932.YLR355C	1639	254
4932.YKL056C	1623	77
4932.YAL038W	1615	398
4932.YDL075W	1603	96
4932.YER112W	1589	46
4932.YER043C	1585	225
4932.YPL037C	1562	73
4932.YGL029W	1556	14
4932.YLL024C	1544	713
4932.YDR226W	1539	128
4932.YHR072W-A	1497	21
4932.YBL002W	1484	92
4932.YHR193C	1478	94
4932.YLR262C-A	1473	18
4932.YOR298C-A	1466	53
4932.YNL178W	1458	152
4932.YDR224C	1434	89
4932.YLR029C	1432	96
4932.YHL015W	1421	76
4932.YGR148C	1403	49
4932.YDL081C	1398	67
4932.YDL130W	1394	63
4932.YGL030W	1392	64
4932.YHR039C-A	1389	43
4932.YNL069C	1385	77
4932.YDR378C	1376	58
4932.YNL079C	1361	86
4932.YPL061W	1349	294
4932.YDL136W	1346	67
4932.YDL191W	1346	67
4932.YMR142C	1333	94
4932.YER074W	1327	89
4932.YIL069C	1327	89
4932.YGR037C	1327	36
4932.YGL253W	1327	273
4932.YIL018W	1314	174
4932.YFR031C-A	1314	174
4932.YBR011C	1308	147
4932.YLR406C	1304	86
4932.YEL026W	1303	45
4932.YPL106C	1296	376
4932.YKL006W	1289	84
4932.YHL001W	1289	84
4932.YOR122C	1285	45
4932.YBL027W	1269	96
4932.YBR084C-A	1269	96
4932.YGL031C	1268	46
4932.YMR116C	1260	180
4932.YPL143W	1257	50
4932.YHR010W	1239	84
4932.YLR167W	1230	119
4932.YDL229W	1224	555
4932.YDL085C-A	1224	6
4932.YER091C	1219	394
4932.YNL209W	1213	555
4932.YHR203C	1210	152
4932.YJR145C	1210	152
4932.YDL208W	1204	30
4932.YLR287C-A	1203	27
4932.YOR182C	1203	27
4932.YER165W	1192	253
4932.YDR464C-A	1190	37
4932.YER146W	1185	49
4932.YGR118W	1185	58
4932.YPR132W	1185	58
4932.YKL216W	1182	117
4932.YKL180W	1179	119
4932.YFR032C-A	1177	8
4932.YOL039W	1160	78
4932.YFR053C	1157	267
4932.YMR303C	1140	262
4932.YDR064W	1140	66
4932.YML063W	1132	174
4932.YLR441C	1129	173
4932.YBR009C	1126	59
4932.YNL030W	1126	59
4932.YDL055C	1123	197
4932.YJL136C	1123	75
4932.YAL005C	1117	613
4932.YJL177W	1116	115
4932.YBR031W	1107	289
4932.YKR057W	1107	75
4932.YAL012W	1107	136
4932.YOL058W	1103	138
4932.YNL055C	1097	135
4932.YNL096C	1094	102
4932.YMR173W	1078	89
4932.YML024W	1076	116
4932.YDR447C	1076	116
4932.YPL249C-A	1066	44
4932.YLR388W	1061	33
4932.YDR471W	1059	78
4932.YDR012W	1055	281
4932.YNL302C	1054	92
4932.YEL073C	1051	5
4932.YER177W	1050	168
4932.YLR249W	1049	497
4932.YJL191W	1047	108
4932.YDL061C	1043	33
4932.YER062C	1042	272
4932.YGR209C	1038	66
4932.YLR259C	1037	246
4932.YDL082W	1037	86
4932.YLL045C	1025	157
4932.YMR121C	1020	76
4932.YJR139C	1017	142
4932.YPL090C	1013	128
4932.YBR181C	1013	128
4932.YJR045C	1011	272
4932.YGL009C	1011	246
4932.YIL148W	1005	106
4932.YKR094C	1005	106
4932.YLR185W	1001	23
4932.YGL076C	995	162
4932.YMR186W	991	440
4932.YML073C	989	83
4932.YLR043C	987	56
4932.YLR061W	987	41
4932.YBR072W	985	111
4932.YIL133C	979	65
4932.YBL030C	976	139
4932.YBR285W	973	65
4932.YDR099W	966	160
4932.YGR169C-A	966	17
4932.YDR385W	966	636
4932.YOR133W	966	636
4932.YHL033C	965	151
4932.YOR234C	960	43
4932.YCR031C	956	102
4932.YBR189W	953	81
4932.YPL198W	946	156
4932.YPR074C	940	239
4932.YJR071W	939	31
4932.YOR332W	936	80
4932.YHR141C	931	18
4932.YNL162W	931	18
4932.YGL008C	928	436
4932.YPL240C	927	429
4932.YLL050C	921	67
4932.YLR448W	920	82
4932.YIL051C	919	65
4932.YLR154W-E	919	4
4932.YML026C	916	98
4932.YDR450W	916	98
4932.YIL134C-A	913	13
4932.YLR058C	913	157
4932.YMR194W	909	40
4932.YOR007C	904	99
4932.YER178W	898	114
4932.YOL121C	895	88
4932.YOR198C	884	114
4932.YOR381W-A	883	14
4932.YBR249C	881	111
4932.YMR239C	874	163
4932.YDR225W	874	51
4932.YBL003C	874	51
4932.YDR032C	863	60
4932.YBR085C-A	858	22
4932.YNL325C	855	294
4932.YMR205C	851	276
4932.YHL034C	851	84
4932.YJR105W	850	134
4932.YPR145W	846	209
4932.YKL081W	843	149
4932.YNL015W	842	25
4932.YGR240C	837	353
4932.YDR513W	835	49
4932.YOR027W	831	163
4932.YDR500C	824	18
4932.YLR304C	823	210
4932.YBR082C	821	26
4932.YDR158W	820	107
4932.YJL190C	818	78
4932.YLR354C	817	116
4932.YOR375C	816	199
4932.YML078W	815	57
4932.YKL016C	810	39
4932.YPL231W	810	629
4932.YDR002W	809	45
4932.YER150W	806	17
4932.YPL078C	804	50
4932.YGL147C	795	98
4932.YOR020C	793	30
4932.YNL064C	790	103
4932.YDR418W	786	102
4932.YEL054C	786	102
4932.YGR159C	786	102
4932.YGR155W	785	163
4932.YIL052C	784	30
4932.YER056C-A	784	30
4932.YIR037W	782	29
4932.YGL245W	781	229
4932.YOL139C	781	60
4932.YLR367W	781	75
4932.YNL007C	777	68
4932.YBR010W	777	23
4932.YNL031C	777	23
4932.YJR121W	775	187
4932.YKL182W	774	657
4932.YGR285C	774	102
4932.YGR086C	772	106
4932.YBL072C	769	105
4932.YER102W	769	105
4932.YDR381W	768	33
4932.YGL105W	767	108
4932.YPL004C	766	98
4932.YJR056C	764	68
4932.YMR083W	763	144
4932.YPL081W	762	75
4932.YNL067W	761	97
4932.YFL045C	757	86
4932.YER063W	753	25
4932.YBR109C	752	48
4932.YNL301C	752	50
4932.YOL120C	752	50
4932.YMR072W	749	28
4932.YHR179W	748	120
4932.YMR226C	744	78
4932.YNL244C	742	37
4932.YGR234W	740	127
4932.YBR127C	738	183
4932.YDR037W	736	146
4932.YDL126C	731	247
4932.YOR136W	731	65
4932.YGR185C	729	96
4932.YIL138C	726	37
4932.YHR183W	722	194
4932.YLR192C	714	51
4932.YLR216C	710	75
4932.YPL079W	706	49
4932.YER057C	703	44
4932.YDR502C	700	146
4932.YDR371C-A	697	9
4932.YLR180W	697	140
