#id: 2226156413
#name: Saccharomyces cerevisiae - Whole organism, SC (Serikawa,mcp,2003)
#score: 1.6
#description: abundance based on Spectral counting, Interaction consistency score: 1.6, Coverage: 20
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 20
#link: http://www.ncbi.nlm.nih.gov/pubmed/12684541
#publication_year: 2003
#filename: 4932-Saccharomyces_cerevisiae_SC_biomart_18097_O__1reps.txt
#
#string_external_id	abundance	raw_spectral_count
4932.YKL060C	37984	2336
4932.YAL038W	32844	2104
4932.YDL191W	27598	226
4932.YDL136W	27598	226
4932.YBR048W	16357	235
4932.YDR025W	16357	235
4932.YPR132W	16025	164
4932.YGR118W	16025	164
4932.YBR118W	15490	1128
4932.YPR080W	15490	1128
4932.YLR167W	15289	152
4932.YOL120C	14132	149
4932.YNL301C	14132	149
4932.YMR116C	13570	550
4932.YLR249W	11338	1238
4932.YBL087C	11295	397
4932.YER117W	11295	397
4932.YLR075W	10896	84
4932.YBR082C	10433	138
4932.YAL003W	10345	142
4932.YGL135W	9985	380
4932.YPL220W	9985	380
4932.YLR109W	9096	249
4932.YHR089C	8900	69
4932.YML063W	8337	346
4932.YLR441C	8075	341
4932.YLR390W-A	8068	206
4932.YGR234W	7510	427
4932.YLR388W	6989	47
4932.YOL086C	6677	287
4932.YCR012W	6495	330
4932.YNL244C	6485	59
4932.YGR124W	6440	339
4932.YDL061C	6317	40
4932.YHR174W	6263	711
4932.YGR192C	6148	579
4932.YJL052W	5572	540
4932.YJR009C	5401	559
4932.YDR037W	5111	245
4932.YML126C	5101	280
4932.YDR385W	5085	894
4932.YOR133W	5085	894
4932.YGL253W	5073	248
4932.YLR044C	4957	437
4932.YBR025C	4898	239
4932.YPR035W	4864	143
4932.YLL024C	4665	853
4932.YNL255C	4612	61
4932.YER023W	4547	135
4932.YDR158W	4363	160
4932.YLR029C	4349	43
4932.YGL009C	4346	339
4932.YLR180W	4315	166
4932.YDL055C	4280	239
4932.YER043C	4144	163
4932.YEL020W-A	4116	22
4932.YNL064C	3969	160
4932.YPR145W	3873	191
4932.YNL067W	3848	172
4932.YGL147C	3848	172
4932.YGR254W	3752	557
4932.YKL216W	3737	91
4932.YGL189C	3505	50
4932.YER131W	3505	50
4932.YGL008C	3488	478
4932.YDR447C	3464	101
4932.YML024W	3464	101
4932.YLR355C	3411	159
4932.YCL050C	3394	128
4932.YBR249C	3262	103
4932.YPL061W	3227	180
4932.YEL054C	3102	158
4932.YDR418W	3102	158
4932.YDR050C	3102	62
4932.YMR121C	3034	30
4932.YML028W	3011	64
4932.YLR303W	2925	134
4932.YEL046C	2913	166
4932.YER056C-A	2876	17
4932.YIL052C	2876	17
4932.YHR005C-A	2860	50
4932.YML008C	2836	133
4932.YHR208W	2767	180
4932.YDR002W	2719	32
4932.YBL030C	2603	137
4932.YPR060C	2427	42
4932.YGL202W	2413	101
4932.YDL229W	2350	174
4932.YOR375C	2348	130
4932.YEL027W	2288	57
4932.YML012W	2251	45
4932.YPR062W	2205	73
4932.YER177W	2168	86
4932.YPL036W	2159	333
4932.YGL026C	2149	171
4932.YBL075C	2058	707
4932.YHR183W	2018	104
4932.YKL009W	2005	41
4932.YMR093W	1976	69
4932.YKL033W-A	1974	41
4932.YGL105W	1945	53
4932.YKR042W	1930	31
4932.YDR353W	1918	76
4932.YLR186W	1902	47
4932.YLL050C	1892	41
4932.YGR214W	1875	84
4932.YLR048W	1875	84
4932.YHL034C	1861	61
4932.YER133W	1853	97
