#id: 2153090981
#name: S.cerevisiae - Whole organism, YPD normalized data (Lu,nat_biotechnol,2007)
#score: 5.7
#weight:  1%
#description: abundance based on YPD normalized data, Interaction consistency score: 5.7, Coverage: 16
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 16
#link: http://www.nature.com/nbt/journal/v25/n1/full/nbt1270.html
#publication_year: 2007
#filename: 4932-Yeast_Lu_2007_YPD.txt
#
#internal_id	string_external_id	abundance
1861564	4932.YHR174W	61104
1862335	4932.YKL060C	40894
1861191	4932.YGR192C	40075
1859281	4932.YCR012W	37974
1861255	4932.YGR254W	36852
1862734	4932.YLR044C	26717
1864248	4932.YOL086C	25838
1858995	4932.YBR118W	23635
1862113	4932.YJR009C	18883
1858663	4932.YAL038W	18347
1862435	4932.YKL152C	16053
1862229	4932.YJR123W	14178
1859701	4932.YDR050C	13557
1859467	4932.YDL081C	12742
1862800	4932.YLR109W	12152
1863236	4932.YML028W	12099
1860134	4932.YDR450W	11339
1860157	4932.YDR471W	10997
1861705	4932.YIL069C	10892
1862064	4932.YJL189W	9742
1862277	4932.YKL006W	8622
1863572	4932.YMR194W	8430
1859081	4932.YBR196C	8272
1860612	4932.YFL039C	8244
1863938	4932.YNL209W	8072
1859624	4932.YDL229W	7907
1858819	4932.YBL072C	7884
1864199	4932.YOL040C	7877
1862738	4932.YLR048W	7684
1860065	4932.YDR382W	7524
1862980	4932.YLR264W	7385
1859891	4932.YDR226W	7319
1863094	4932.YLR367W	6683
1860969	4932.YGL253W	6562
1860068	4932.YDR385W	6436
1861599	4932.YHR203C	6412
1858620	4932.YAL003W	6365
1862643	4932.YLL024C	6155
1859810	4932.YDR155C	6021
1861140	4932.YGR148C	5565
1861646	4932.YIL018W	5485
1858899	4932.YBR031W	5368
1862765	4932.YLR075W	5335
1863232	4932.YML024W	5313
1859753	4932.YDR099W	5295
1859073	4932.YBR189W	5221
1864439	4932.YOR096W	5205
1861072	4932.YGR085C	5190
1858622	4932.YAL005C	5118
1858956	4932.YBR084C-A	5089
1860279	4932.YEL034W	5081
1864895	4932.YPL131W	5003
1864823	4932.YPL061W	4895
1861687	4932.YIL053W	4850
1863067	4932.YLR344W	4649
1863480	4932.YMR116C	4641
1862718	4932.YLR029C	4640
1862669	4932.YLL050C	4620
1861340	4932.YHL033C	4514
1864966	4932.YPL198W	4497
1860836	4932.YGL123W	4306
1863079	4932.YLR355C	4242
1863062	4932.YLR340W	4131
1863907	4932.YNL178W	3819
1859461	4932.YDL075W	3781
1858834	4932.YBL087C	3762
1860903	4932.YGL189C	3741
1864988	4932.YPL220W	3719
1859305	4932.YCR031C	3461
1863561	4932.YMR186W	3432
1864287	4932.YOL121C	3366
1863510	4932.YMR142C	3312
1862962	4932.YLR249W	3311
1864647	4932.YOR293W	3291
1859715	4932.YDR064W	3194
1862465	4932.YKL180W	3139
1862358	4932.YKL081W	3093
1860815	4932.YGL103W	3078
1862009	4932.YJL136C	3064
1859441	4932.YDL055C	3029
1859469	4932.YDL083C	2868
1864731	4932.YOR369C	2811
1865134	4932.YPR074C	2806
1865009	4932.YPL240C	2748
1864668	4932.YOR312C	2693
1864852	4932.YPL090C	2688
1858916	4932.YBR048W	2674
1862331	4932.YKL056C	2661
1860301	4932.YEL054C	2643
1861686	4932.YIL052C	2627
1858628	4932.YAL012W	2593
1864404	4932.YOR063W	2564
1860860	4932.YGL147C	2544
1861319	4932.YHL015W	2535
