#id: 33718394
#name: Escherichia coli K12 substr. MG1655 - Whole organism, SC (Krug,mcp,2013)
#score: 15.8
#description: abundance based on Spectral counting, Interaction consistency score: 15.8, Coverage: 65
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 65
#link: http://www.ncbi.nlm.nih.gov/pubmed/23908556
#publication_year: 2013
#filename: 511145-Ecoli_Krug_2013.txt
#
#string_external_id	abundance	raw_spectral_count
511145.b0957	14885	-306328118
511145.b1677	13210	372802254
511145.b0755	9589	-447731304
511145.b2414	9076	2062315408
511145.b1304	8801	1369694965
511145.b3339	8752	-1858773732
511145.b3980	8745	-1989981732
511145.b0605	8275	-1452057928
511145.b1779	7574	-2008437950
511145.b3495	7394	-1741870280
511145.b3308	7095	-1218333648
511145.b1136	6779	-1145860844
511145.b1857	6697	-213040328
511145.b1482	6554	-376801222
511145.b4015	6422	1428777802
511145.b4203	6353	-2009314888
511145.b3317	6237	-1506132734
511145.b4411	6070	-1145901888
511145.b1261	5971	-563125528
511145.b3296	5929	1720646744
511145.b1094	5886	1953044112
511145.b3340	5541	1753900506
511145.b2913	5354	1895410860
511145.b3341	5281	88150306
511145.b3314	5214	-1702122494
511145.b3321	5204	1082302624
511145.b3774	5192	1374286910
511145.b2600	5184	1791532473
511145.b2551	5182	-563569640
511145.b2606	5101	885506843
511145.b2323	5073	519500652
511145.b4142	5064	2138385120
511145.b0903	5059	1949567510
511145.b3305	4989	120247330
511145.b0197	4976	1456063052
511145.b3319	4903	1153528490
511145.b0014	4898	-1740678310
511145.b3165	4882	-1382130692
511145.b3985	4770	-1420086472
511145.b3298	4744	-1165104226
511145.b2417	4685	1076511742
511145.b3986	4625	-355515272
511145.b1243	4595	-1746005000
511145.b0170	4552	-1822058732
511145.b4143	4543	1413528328
511145.b3984	4503	-721238648
511145.b3294	4477	-890862184
511145.b1260	4371	-1345464944
511145.b3186	4309	-1468124780
511145.b0911	4298	-611808618
511145.b3303	4258	-1646589878
511145.b2007	4233	-1594569544
511145.b2779	4229	1201475064
511145.b0814	4227	-1046212054
511145.b2925	4206	1058555808
511145.b1973	4152	1764525668
511145.b3311	4124	-1145537592
511145.b0169	4077	886444644
511145.b2926	4027	241612998
511145.b3236	4022	1783994924
511145.b3301	4001	2051717124
511145.b2942	3953	-88727936
511145.b4000	3813	1386666816
511145.b0565	3698	-1092996036
511145.b3908	3579	910086820
511145.b3313	3547	-283272588
511145.b0812	3539	1309219809
511145.b3231	3398	1972507806
511145.b3092	3397	1609927664
511145.b1263	3329	-1395670252
511145.b3230	3318	1956955576
511145.b2153	3281	1672190224
511145.b2609	3184	631865408
511145.b3320	3170	-365220394
511145.b1241	3158	1597981828
511145.b2029	3150	1110442360
511145.b3919	3122	-2079423586
511145.b1716	3096	475645178
511145.b2185	3084	-1785300760
511145.b0114	3054	499891900
511145.b3310	2996	-1248779594
511145.b2665	2976	-674379972
511145.b1064	2929	389273649
511145.b3295	2918	1956305044
511145.b0907	2909	541606948
511145.b3637	2890	-1563046872
511145.b1324	2887	237079020
511145.b1237	2869	-1662096184
511145.b2464	2838	1026564562
