#id: 3357291475
#name: Escherichia coli K12 substr. MG1655 - Whole organism, SC (Wright,mcp,2012)
#score: 9.8
#description: abundance based on Spectral counting, Interaction consistency score: 9.8, Coverage: 58
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 58
#link: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3412976
#publication_year: 2012
#filename: 511145-Ecoli_strainK12_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
15202928	511145.b4045	28634	264
15202042	511145.b3065	15866	81
15202267	511145.b3315	10653	205
15199799	511145.b0605	10204	561
15200382	511145.b1237	9015	246
15202888	511145.b4000	8433	229
15200394	511145.b1251	8136	35
15202256	511145.b3304	7808	61
15201460	511145.b2415	7760	137
15202269	511145.b3317	7689	372
15202151	511145.b3185	7679	94
15203078	511145.b4202	7623	91
15200245	511145.b1089	7424	76
15202266	511145.b3314	7397	308
15202293	511145.b3341	7177	294
15202265	511145.b3313	7160	181
15202246	511145.b3294	7110	118
15199272	511145.b0023	7057	79
15202263	511145.b3311	6839	53
15199649	511145.b0440	6793	120
15202273	511145.b3321	6634	197
15202259	511145.b3307	6340	46
15202255	511145.b3303	6297	301
15202874	511145.b3986	6245	129
15201791	511145.b2779	6184	557
15201250	511145.b2185	6118	139
15202260	511145.b3308	6111	297
15199264	511145.b0014	5975	793
15203226	511145.b4376	5955	217
15202573	511145.b3636	5614	57
15202261	511145.b3309	5529	146
15202268	511145.b3316	5376	164
15201645	511145.b2606	5323	116
15202195	511145.b3230	5160	117
15202574	511145.b3637	5150	48
15199412	511145.b0169	5124	298
15199901	511145.b0727	5097	312
15202868	511145.b3980	5003	1271
15202291	511145.b3339	4986	1268
15199682	511145.b0474	4971	242
15202250	511145.b3298	4911	138
15202637	511145.b3708	4824	676
15202262	511145.b3310	4810	110
15202257	511145.b3305	4722	193
15202196	511145.b3231	4708	120
15200250	511145.b1094	4696	61
15201901	511145.b2904	4676	32
15201648	511145.b2609	4520	65
15199727	511145.b0525	4425	160
15203021	511145.b4142	4392	136
15203079	511145.b4203	4061	200
15199922	511145.b0755	4057	214
15202873	511145.b3985	3801	150
15200292	511145.b1136	3756	349
15202248	511145.b3296	3696	160
15201563	511145.b2518	3650	117
15202585	511145.b3649	3636	71
15199409	511145.b0166	3577	215
15202660	511145.b3731	3484	39
15201596	511145.b2551	3433	263
15200076	511145.b0911	3405	453
15199645	511145.b0436	3373	502
15199415	511145.b0172	3373	91
15202834	511145.b3936	3367	69
15199772	511145.b0578	3343	135
15201920	511145.b2925	3304	218
15202152	511145.b3186	3294	63
15202871	511145.b3983	3202	90
15203304	511145.b4517	3169	37
15202988	511145.b4108	3156	51
15200049	511145.b0884	3138	67
15201710	511145.b2696	3123	24
15202494	511145.b3556	3118	62
15202299	511145.b3347	3112	181
15201910	511145.b2914	3066	89
15202872	511145.b3984	3050	237
15200823	511145.b1718	3037	129
15202632	511145.b3703	3024	5
15201633	511145.b2592	3010	750
15203022	511145.b4143	3004	408
15199358	511145.b0114	2985	574
15202249	511145.b3297	2983	84
15202685	511145.b3764	2953	59
15202218	511145.b3256	2933	326
15200926	511145.b1823	2917	94
15199360	511145.b0116	2875	328
15200363	511145.b1215	2808	155
15201525	511145.b2480	2797	107
15200934	511145.b1831	2791	116
15202271	511145.b3319	2782	134
15199475	511145.b0246	2772	4
15201090	511145.b2012	2730	24
15200093	511145.b0928	2713	284
15200077	511145.b0912	2605	56
15202254	511145.b3302	2605	26
15202253	511145.b3301	2557	101
15200415	511145.b1273	2555	48
15202003	511145.b3024	2543	70
15202699	511145.b3783	2529	303
15199413	511145.b0170	2519	228
15202301	511145.b3349	2429	62
15202272	511145.b3320	2403	106
15201706	511145.b2687	2390	129
15203053	511145.b4177	2374	322
15202826	511145.b3928	2350	48
15202264	511145.b3312	2332	49
15199421	511145.b0178	2246	76
