#id: 2942555145
#name: Escherichia coli K12 substr. MG1655 - Whole organism, SC (Valgepea,bmc_syst_biol,2010)
#score: 14.9
#description: abundance based on Spectral counting, Interaction consistency score: 14.9, Coverage: 69
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 69
#link: http://www.biomedcentral.com/1752-0509/4/166
#publication_year: 2010
#filename: 511145-Escherichia_coli_SC_biomart_12189_E__2reps.txt
#
#string_external_id	abundance	raw_spectral_count
511145.b3307	11838	226
511145.b4202	9405	248
511145.b3986	9085	628
511145.b1823	8370	507
511145.b3185	7717	303
511145.b2606	6791	545
511145.b3065	6597	123
511145.b3636	6269	144
511145.b3302	6165	201
511145.b2185	6162	378
511145.b3309	6061	329
511145.b0957	5966	1287
511145.b3495	5914	269
511145.b3703	5751	42
511145.b3165	5717	106
511145.b2609	5629	282
511145.b1089	5623	179
511145.b2096	5622	538
511145.b0912	5494	251
511145.b3314	5490	640
511145.b3296	5316	604
511145.b3304	5082	205
511145.b0929	5006	942
511145.b3298	4956	390
511145.b3236	4950	682
511145.b3341	4925	539
511145.b1677	4792	270
511145.b2414	4655	841
511145.b3908	4512	422
511145.b3315	4441	255
511145.b3321	4311	335
511145.b3339	4259	2438
511145.b3980	4259	2438
511145.b1136	4188	1051
511145.b3637	4147	193
511145.b1237	4107	299
511145.b4015	3999	963
511145.b0605	3896	510
511145.b0169	3718	591
511145.b1094	3669	134
511145.b3294	3656	209
511145.b2415	3587	136
511145.b0197	3586	519
511145.b0023	3579	140
511145.b0814	3546	325
511145.b2779	3538	829
511145.b3316	3524	203
511145.b2095	3495	657
511145.b2215	3415	751
511145.b1251	3372	77
511145.b2417	3360	298
511145.b1480	3281	74
511145.b4243	3278	144
511145.b4203	3270	412
511145.b0755	3263	516
511145.b3308	3169	385
511145.b3305	3162	397
511145.b2926	3110	698
511145.b4244	3078	285
511145.b3919	3078	345
511145.b3317	3054	480
511145.b3180	3025	90
511145.b2094	3019	261
511145.b1716	3001	134
511145.b3984	2907	498
511145.b1482	2905	207
511145.b3319	2884	310
511145.b4245	2821	565
511145.b3029	2741	104
511145.b4143	2739	891
511145.b2093	2703	122
511145.b3303	2680	332
511145.b3312	2680	101
511145.b0415	2680	198
511145.b3829	2655	1070
511145.b3313	2650	137
511145.b3340	2646	1135
511145.b3301	2632	288
511145.b0440	2622	171
511145.b2809	2559	66
511145.b0884	2555	103
511145.b3774	2452	849
511145.b3320	2435	327
511145.b2665	2430	255
511145.b0623	2411	153
511145.b4142	2408	172
511145.b1004	2404	296
511145.b3460	2377	371
511145.b3306	2366	229
511145.b3230	2353	188
511145.b3985	2332	222
511145.b4045	2298	63
511145.b0631	2274	121
511145.b2518	2259	188
511145.b1051	2257	75
511145.b0911	2245	748
511145.b1426	2235	53
511145.b4200	2231	185
511145.b3311	2205	85
511145.b3231	2203	179
511145.b4000	2197	136
511145.b3342	2195	74
511145.b2551	2176	382
511145.b4226	2158	227
511145.b0720	2103	533
511145.b3737	2102	71
511145.b2696	2094	92
511145.b2310	2082	380
511145.b1712	2072	135
511145.b3983	2064	166
511145.b3190	2041	60
511145.b4401	2041	270
511145.b0170	2039	436
511145.b3732	2022	675
511145.b3310	2021	154
511145.b2007	2020	96
511145.b0729	1980	410
511145.b0118	1942	1112
511145.b3349	1938	157
511145.b3098	1903	100
511145.b1836	1896	76
511145.b3928	1892	101
511145.b4411	1885	46
511145.b0903	1870	933
511145.b4014	1842	565
511145.b1779	1836	369
511145.b3544	1822	551
511145.b0573	1819	72
511145.b1641	1780	124
511145.b3203	1770	68
511145.b1550	1768	99
511145.b1415	1746	608
511145.b3781	1735	161
511145.b1219	1733	106
511145.b0728	1727	559
511145.b0436	1713	585
511145.b0811	1710	317
511145.b0329	1645	96
511145.b1739	1623	84
511145.b0008	1617	447
511145.b2925	1570	291
511145.b4069	1567	526
511145.b1817	1562	289
511145.b0607	1550	148
511145.b3433	1544	224
511145.b0426	1542	204
511145.b2913	1523	297
511145.b3649	1514	101
511145.b3734	1510	503
511145.b0953	1507	52
511145.b1324	1474	162
511145.b4144	1471	48
