#id: 4222750758
#name: E.coli - Whole organism, APEX (Lu,nat_biotechnol,2007)
#score: 8.1
#weight:  6%
#description: abundance based on APEX, Interaction consistency score: 8.1, Coverage: 11
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 11
#link: http://www.nature.com/nbt/journal/v25/n1/full/nbt1270.html
#publication_year: 2007
#filename: 511145-Lu_ecoli_2007.txt
#
#internal_id	string_external_id	abundance
15202874	511145.b3986	44217
15202868	511145.b3980	35429
15200250	511145.b1094	30679
15203021	511145.b4142	26133
15200882	511145.b1779	19838
15202738	511145.b3829	16675
15200926	511145.b1823	16307
15202270	511145.b3318	15080
15201648	511145.b2609	11942
15202201	511145.b3236	11733
15202255	511145.b3303	11405
15202250	511145.b3298	11088
15199799	511145.b0605	10349
15202292	511145.b3340	9950
15201459	511145.b2414	9860
15202249	511145.b3297	9675
15201909	511145.b2913	9481
15202267	511145.b3315	9288
15202196	511145.b3231	9098
15202264	511145.b3312	8774
15202257	511145.b3305	8735
15201250	511145.b2185	8688
15202693	511145.b3774	8527
15200076	511145.b0911	8345
15202261	511145.b3309	8302
15202293	511145.b3341	8251
15200764	511145.b1656	7936
15200292	511145.b1136	7872
15201563	511145.b2518	7690
15203079	511145.b4203	7567
15202248	511145.b3296	7282
15202247	511145.b3295	7194
15201645	511145.b2606	7191
15202152	511145.b3186	7176
15202273	511145.b3321	7135
15202260	511145.b3308	7122
15200382	511145.b1237	7092
15202266	511145.b3314	7035
15202272	511145.b3320	6863
15201920	511145.b2925	6597
15201165	511145.b2094	6489
15201382	511145.b2323	6483
15202269	511145.b3317	6107
15199413	511145.b0170	6100
15202888	511145.b4000	6072
15202379	511145.b3433	6050
15201921	511145.b2926	5933
15202271	511145.b3319	5928
15202872	511145.b3984	5838
15203076	511145.b4200	5601
15199264	511145.b0014	5583
15202223	511145.b3261	5569
15202573	511145.b3636	5508
15202546	511145.b3609	5445
15199412	511145.b0169	5294
15199816	511145.b0623	5262
15199255	511145.b0004	5222
15202770	511145.b3870	5139
15202246	511145.b3294	5131
15202133	511145.b3165	5077
15202871	511145.b3983	5031
15202268	511145.b3316	4922
15201934	511145.b2942	4841
15203022	511145.b4143	4708
15199409	511145.b0166	4642
15201791	511145.b2779	4559
15202494	511145.b3556	4474
15202826	511145.b3928	4467
15199259	511145.b0008	4262
15202973	511145.b4090	4206
15199903	511145.b0729	4146
15200465	511145.b1324	4107
15199645	511145.b0436	4058
15199362	511145.b0118	4011
15199272	511145.b0023	3901
15201164	511145.b2093	3894
15201462	511145.b2417	3813
15203078	511145.b4202	3804
15202042	511145.b3065	3793
15202574	511145.b3637	3751
15202817	511145.b3919	3680
15202265	511145.b3313	3661
15202139	511145.b3172	3584
15199253	511145.b0002	3582
15202195	511145.b3230	3577
15199902	511145.b0728	3561
15202254	511145.b3302	3556
15201525	511145.b2480	3511
15201106	511145.b2029	3409
15200093	511145.b0928	3366
15203100	511145.b4226	3364
15200072	511145.b0907	3356
15199895	511145.b0720	3341
15201368	511145.b2309	3326
15199360	511145.b0116	3059
15199318	511145.b0071	2946
15199455	511145.b0220	2898
15200864	511145.b1761	2887
15202908	511145.b4024	2768
15202256	511145.b3304	2696
15202253	511145.b3301	2683
15202853	511145.b3956	2649
15202301	511145.b3349	2637
15202178	511145.b3212	2602
15203053	511145.b4177	2571
15200355	511145.b1207	2515
15201596	511145.b2551	2498
15201778	511145.b2764	2490
15202258	511145.b3306	2463
15199358	511145.b0114	2443
15202873	511145.b3985	2385
15199649	511145.b0440	2381
15199624	511145.b0415	2377
15199646	511145.b0437	2338
15201766	511145.b2752	2305
15202262	511145.b3310	2286
15199389	511145.b0145	2266
15200823	511145.b1718	2218
15201218	511145.b2153	2170
15201901	511145.b2904	2156
15201166	511145.b2095	2144
15200386	511145.b1243	2124
15201553	511145.b2508	2105
15200430	511145.b1288	2095
15200068	511145.b0903	2064
15199921	511145.b0754	2050
15202364	511145.b3414	2025
15200821	511145.b1716	2020
15199922	511145.b0755	1969
15199945	511145.b0778	1940
15199727	511145.b0525	1925
15200762	511145.b1654	1885
15199359	511145.b0115	1875
15202699	511145.b3783	1862
15202661	511145.b3732	1840
15199319	511145.b0072	1828
15200404	511145.b1261	1803
15202311	511145.b3359	1802
15199370	511145.b0126	1795
15202875	511145.b3987	1788
15200095	511145.b0930	1773
15200384	511145.b1241	1763
15201461	511145.b2416	1721
15199415	511145.b0172	1712
15200248	511145.b1092	1707
15202498	511145.b3560	1685
15199457	511145.b0222	1679
15201576	511145.b2531	1648
15199901	511145.b0727	1647
15202876	511145.b3988	1634
15199900	511145.b0726	1625
15201552	511145.b2507	1590
15199682	511145.b0474	1549
15201777	511145.b2763	1509
15202585	511145.b3649	1495
15201117	511145.b2041	1495
15199647	511145.b0438	1484
15201371	511145.b2312	1466
15202259	511145.b3307	1460
15201651	511145.b2614	1440
15200782	511145.b1676	1425
15202606	511145.b3671	1409
15199437	511145.b0194	1358
15202436	511145.b3495	1356
15199421	511145.b0178	1354
15202217	511145.b3255	1349
15200322	511145.b1174	1329
15200287	511145.b1131	1329
15200192	511145.b1035	1329
15202814	511145.b3916	1328
15199321	511145.b0074	1326
15202759	511145.b3858	1325
15200026	511145.b0860	1317
15202299	511145.b3347	1310
15201624	511145.b2579	1302
15201765	511145.b2751	1284
15201931	511145.b2938	1271
15201521	511145.b2476	1236
15199677	511145.b0469	1234
15200119	511145.b0954	1228
15200053	511145.b0888	1217
15200881	511145.b1778	1216
15202194	511145.b3229	1213
15199725	511145.b0523	1191
15199281	511145.b0032	1176
15199681	511145.b0473	1168
15201129	511145.b2053	1155
15199341	511145.b0095	1152
15201703	511145.b2684	1147
15200818	511145.b1712	1140
15200952	511145.b1849	1136
15201690	511145.b2669	1127
15201017	511145.b1920	1121
15199378	511145.b0134	1116
15201466	511145.b2421	1112
15202685	511145.b3764	1109
15202937	511145.b4054	1105
15200247	511145.b1091	1064
15202179	511145.b3213	1049
15201100	511145.b2023	1045
15200249	511145.b1093	1040
15201449	511145.b2400	1026
15200377	511145.b1232	993
15203026	511145.b4147	967
15200403	511145.b1260	896
15200218	511145.b1062	886
15199403	511145.b0159	881
15203241	511145.b4391	876
15201887	511145.b2890	859
15199978	511145.b0811	857
15202857	511145.b3960	842
15200545	511145.b1415	833
15201895	511145.b2898	832
15202483	511145.b3544	826
15200820	511145.b1714	816
15202663	511145.b3734	809
15202136	511145.b3168	800
15200054	511145.b0889	798
15199822	511145.b0631	790
15202834	511145.b3936	788
15199428	511145.b0185	780
15200363	511145.b1215	777
15200742	511145.b1634	775
15202549	511145.b3612	771
15201989	511145.b3008	765
15202309	511145.b3357	757
15199864	511145.b0684	753
15202918	511145.b4034	750
15201355	511145.b2296	742
15201279	511145.b2217	741
15199365	511145.b0121	726
15200655	511145.b1539	726
15199405	511145.b0161	708
15200745	511145.b1637	704
15201562	511145.b2517	699
15202218	511145.b3256	698
15202840	511145.b3942	688
15199863	511145.b0683	680
15201910	511145.b2914	680
15200969	511145.b1866	677
15201711	511145.b2697	667
15202401	511145.b3458	652
15199282	511145.b0033	647
15199400	511145.b0156	646
15200819	511145.b1713	644
15202673	511145.b3744	635
15202497	511145.b3559	631
15201888	511145.b2891	616
15202870	511145.b3982	612
15202897	511145.b4013	603
15200428	511145.b1286	592
15202137	511145.b3169	588
15200671	511145.b1557	587
15202664	511145.b3735	575
15200766	511145.b1658	571
15202658	511145.b3729	569
15201776	511145.b2762	565
15200358	511145.b1210	562
15199265	511145.b0015	547
15199968	511145.b0801	547
15200381	511145.b1236	546
15199553	511145.b0337	545
