#id: 413431377
#name: Escherichia coli K12 substr. MG1655 - Whole organism, Hcd,cid, SC (Mancuso,j-proteomics,2012)
#score: 9.5
#description: abundance based on Spectral counting, HCD,CID, Interaction consistency score: 9.5, Coverage: 25
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 25
#link: http://www.sciencedirect.com/science/article/pii/S187439191200437X
#publication_year: 2012
#filename: 511145-ecoli1_HCD_CID_PRIDE.txt
#
#string_external_id	abundance	raw_spectral_count
511145.b4143	37474	44034
511145.b2779	31601	24368
511145.b3339	28419	58658
511145.b3980	28419	58658
511145.b3236	21116	10171
511145.b2551	17759	14263
511145.b1779	16449	9572
511145.b0014	16437	21238
511145.b3732	15981	18592
511145.b3342	15164	3863
511145.b2926	14525	10701
511145.b3829	14428	20508
511145.b3988	13843	49917
511145.b3341	12718	4971
511145.b3774	12351	13399
511145.b3317	9421	4715
511145.b4200	8691	2069
511145.b3460	7967	2897
511145.b3065	7630	419
511145.b3315	7621	1442
511145.b4203	7588	3587
511145.b3340	7412	11263
511145.b0474	7407	4032
511145.b3296	7277	4112
511145.b3985	7244	2409
511145.b3314	7144	3226
511145.b3316	6759	1820
511145.b3313	6710	1183
511145.b3987	6612	20780
511145.b3295	6319	6066
511145.b3983	6294	1762
511145.b0755	6112	3493
511145.b2942	5864	6047
511145.b3312	5845	723
511145.b3303	5741	2385
511145.b0438	5683	6934
511145.b3986	5581	1260
511145.b3165	5553	688
511145.b4000	5353	1026
511145.b1237	5248	1242
511145.b3298	5012	1564
511145.b4177	4999	4415
511145.b3308	4963	1843
511145.b3636	4933	365
511145.b3305	4893	2254
511145.b0169	4862	2919
511145.b3306	4802	1515
511145.b0023	4749	534
511145.b0440	4747	837
511145.b0170	4673	3945
511145.b3984	4518	2938
511145.b3310	4479	986
511145.b2414	4471	2679
511145.b0166	4444	2662
511145.b0605	4382	1799
511145.b2699	4376	3524
511145.b1260	4315	2289
511145.b3637	4244	550
511145.b3304	4195	693
511145.b3734	4182	5741
511145.b4243	4087	390
511145.b0008	4006	4419
511145.b0436	3978	4671
511145.b1136	3958	2872
511145.b3309	3839	748
511145.b3311	3748	314
511145.b2592	3692	7658
511145.b3320	3645	1674
511145.b2498	3640	1775
511145.b3294	3581	796
511145.b3231	3458	871
511145.b3172	3431	4159
511145.b3319	3422	1417
511145.b1089	3233	319
511145.b1324	3216	1177
511145.b3321	3204	874
511145.b0907	3197	2309
511145.b1718	3194	1036
511145.b4142	3193	742
511145.b3307	3164	189
511145.b0728	3146	3895
511145.b2687	3107	1487
511145.b1261	3029	1939
511145.b3301	3027	1137
511145.b0415	2940	830
511145.b1716	2931	374
511145.b3297	2872	855
511145.b4244	2785	708
511145.b3495	2769	446
511145.b2579	2709	989
511145.b0074	2665	3441
511145.b0912	2638	538
511145.b4245	2631	2205
511145.b2476	2630	1509
511145.b0930	2596	2368
511145.b3302	2561	345
511145.b1857	2550	1251
511145.b0073	2512	1594
511145.b3956	2487	4898
511145.b2029	2467	2404
511145.b4015	2467	2064
511145.b4226	2460	677
511145.b3919	2436	863
511145.b3433	2302	1163
511145.b2185	2287	553
511145.b1712	2280	477
511145.b2507	2259	2359
511145.b1062	2257	1180
511145.b2019	2242	1178
511145.b0957	2223	1751
511145.b3168	2172	4755
511145.b0172	2164	486
511145.b0185	2115	1480
511145.b2914	2082	587
511145.b1761	1996	2122
511145.b2007	1979	321
511145.b3609	1959	394
511145.b3916	1953	1523
511145.b2925	1919	1225
511145.b3185	1902	243
511145.b0154	1877	1369
511145.b1215	1854	1143
511145.b0072	1849	1638
511145.b1480	1846	76
511145.b0178	1812	507
511145.b4025	1802	2427
511145.b2316	1752	1173
511145.b0296	1745	258
511145.b2913	1739	1070
511145.b1717	1739	101
511145.b2518	1730	415
511145.b2153	1716	742
511145.b3783	1698	1838
511145.b1094	1668	225
511145.b1850	1611	436
511145.b2609	1611	219
511145.b2508	1610	1276
511145.b2530	1603	1656
511145.b2415	1598	195
511145.b4172	1585	380
511145.b0720	1561	1394
511145.b3733	1556	995
511145.b4202	1553	147
511145.b1866	1536	3093
511145.b1823	1513	293
511145.b0033	1504	3339
511145.b2780	1502	1751
511145.b2416	1466	1582
511145.b2669	1454	446
511145.b2601	1445	1011
511145.b1207	1410	1070
511145.b1973	1392	414
511145.b2020	1386	760
511145.b3908	1379	404
511145.b4006	1338	1577
511145.b1243	1337	1276
511145.b0114	1321	2222
511145.b0471	1317	356
511145.b0197	1312	739
511145.b3559	1302	2248
511145.b1241	1285	2207
511145.b3870	1271	1339
511145.b3318	1243	295
511145.b3164	1233	1861
511145.b0116	1221	1046
511145.b2480	1206	350
511145.b0003	1185	410
511145.b2891	1159	657
511145.b2935	1147	1080
511145.b1654	1146	234
511145.b1067	1146	580
511145.b3510	1140	118
511145.b1482	1134	195
511145.b0754	1124	757
511145.b0004	1120	1004
511145.b2309	1117	571
511145.b3649	1116	178
511145.b3553	1107	512
511145.b0928	1103	1000
511145.b0163	1101	308
511145.b1676	1099	1011
511145.b0426	1097	547
511145.b2697	1096	2167
511145.b1174	1085	391
511145.b4511	1080	153
511145.b3544	1065	1021
511145.b0078	1063	312
511145.b4014	1061	965
511145.b1714	1056	906
511145.b2531	1055	256
511145.b0595	1032	619
511145.b1018	1031	820
511145.b1637	1022	800
511145.b0194	1014	1348
511145.b3230	1010	254
511145.b1831	981	369
511145.b0903	978	2121
511145.b0104	967	583
511145.b1452	959	754
511145.b1740	951	608
511145.b1178	950	245
511145.b1092	945	310
511145.b3781	944	359
511145.b1251	941	65
511145.b0631	935	154
511145.b0222	921	355
511145.b0911	913	911
511145.b3928	908	218
511145.b0655	906	589
511145.b0814	898	237
511145.b2021	895	705
511145.b3736	885	312
511145.b0740	885	714
511145.b2114	876	1494
511145.b1864	873	378
511145.b3458	863	745
511145.b1905	850	187
511145.b3186	849	254
511145.b1719	846	1422
511145.b0002	835	1606
511145.b2614	826	230
511145.b2464	817	1284
511145.b3384	808	418
511145.b3189	805	658
511145.b0115	804	1147
511145.b0473	800	1283
511145.b0729	798	578
511145.b0071	790	300
511145.b1175	786	444
511145.b2478	771	435
511145.b1713	770	1165
511145.b2557	764	1995
511145.b0684	760	175
511145.b4024	757	638
511145.b2417	757	243
511145.b3703	748	20
511145.b1093	748	441
511145.b3764	747	159
511145.b4506	744	16
511145.b0469	742	266
511145.b0642	740	1238
511145.b3831	736	202
511145.b0727	735	405
511145.b3251	735	451
511145.b1642	734	273
511145.b0888	734	386
511145.b3982	724	278
511145.b2962	718	224
511145.b2025	717	548
511145.b3619	715	772
511145.b3181	713	278
511145.b3213	710	740
511145.b2296	710	626
511145.b2954	706	156
511145.b1550	692	109
511145.b2898	687	575
511145.b2763	683	759
511145.b3960	682	784
511145.b3686	676	195
511145.b0525	672	221
511145.b1780	672	413
511145.b2294	665	281
511145.b0523	658	150
511145.b2323	656	342
511145.b1288	655	282
511145.b2042	653	470
511145.b0594	647	622
511145.b0593	629	440
511145.b0578	628	334
511145.b4260	627	585
511145.b3169	624	725
511145.b0098	615	1196
511145.b3941	610	458
511145.b0032	605	465
511145.b0819	600	183
511145.b3255	600	159
511145.b4401	598	280
511145.b0159	596	360
511145.b0893	594	709
511145.b0422	594	112
511145.b0710	593	320
511145.b2890	591	854
511145.b0134	584	169
511145.b4381	581	340
511145.b3212	576	1543
511145.b3959	576	254
511145.b2499	574	312
511145.b1103	573	128
511145.b0053	572	486
511145.b3414	572	208
511145.b3029	570	72
511145.b3929	566	239
511145.b2752	564	384
511145.b3640	563	116
511145.b4258	555	1129
511145.b3735	552	211
511145.b4232	551	462
511145.b0161	548	411
511145.b2310	545	405
511145.b0220	540	191
511145.b1765	534	235
511145.b0680	532	683
511145.b2606	531	114
511145.b3509	528	136
511145.b0804	527	268
511145.b1131	524	432
511145.b2400	524	624
511145.b2515	521	439
511145.b0889	520	234
511145.b4147	518	176
