#id: 1147724094
#name: Deinococcus deserti - Whole organism, SC (Baudet,mcp,2012)
#score: 6.6
#description: abundance based on Spectral counting, Interaction consistency score: 6.6, Coverage: 51
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 51
#link: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2830850/
#publication_year: 2012
#filename: 546414-DeinococcusDeserti_PRIDE.txt
#
#string_external_id	abundance	raw_spectral_count
546414.Deide_22590	17856	3025
546414.Deide_11730	13094	554
546414.Deide_21200	9831	844
546414.Deide_11060	9793	2004
546414.Deide_07720	9217	968
546414.Deide_02590	9187	628
546414.Deide_18890	8839	336
546414.Deide_19110	8488	1836
546414.Deide_13190	8428	632
546414.Deide_05050	8362	1112
546414.Deide_22580	8338	341
546414.Deide_12590	8077	1255
546414.Deide_20610	7936	1795
546414.Deide_00950	7831	419
546414.Deide_12690	7358	233
546414.Deide_18990	7037	1871
546414.Deide_06120	6710	2252
546414.Deide_18970	6710	2252
546414.Deide_19340	6228	735
546414.Deide_13580	6058	880
546414.Deide_00990	6051	1224
546414.Deide_12300	5798	813
546414.Deide_18670	5679	16
546414.Deide_18920	5519	497
546414.Deide_07830	5433	293
546414.Deide_11420	5425	696
546414.Deide_14320	5354	980
546414.Deide_01470	5257	442
546414.Deide_01000	5200	959
546414.Deide_20240	5152	620
546414.Deide_18630	5013	519
546414.Deide_07680	5001	504
546414.Deide_07760	4959	224
546414.Deide_06150	4951	732
546414.Deide_18780	4938	291
546414.Deide_05920	4784	132
546414.Deide_16090	4744	211
546414.Deide_18600	4725	246
546414.Deide_02720	4722	97
546414.Deide_22060	4668	573
546414.Deide_02360	4512	476
546414.Deide_19550	4504	434
546414.Deide_09500	4501	831
546414.Deide_18900	4490	197
546414.Deide_19210	4282	494
546414.Deide_10250	4243	651
546414.Deide_05710	4185	179
546414.Deide_03310	4173	343
546414.Deide_11710	4157	424
546414.Deide_05790	4150	981
546414.Deide_00030	4049	580
546414.Deide_14540	4043	345
546414.Deide_07920	4024	1101
546414.Deide_18810	4014	222
546414.Deide_19570	3948	209
546414.Deide_19000	3940	145
546414.Deide_18850	3920	124
546414.Deide_07310	3868	98
546414.Deide_10791	3840	413
546414.Deide_06550	3769	73
546414.Deide_06080	3654	238
546414.Deide_18640	3520	236
546414.Deide_21340	3482	163
546414.Deide_03300	3447	248
546414.Deide_18880	3423	103
546414.Deide_19640	3415	354
546414.Deide_03350	3413	342
546414.Deide_06070	3379	247
546414.Deide_00960	3361	164
546414.Deide_13180	3356	380
546414.Deide_09930	3344	123
546414.Deide_02140	3287	324
546414.Deide_00200	3285	91
546414.Deide_22650	3249	468
546414.Deide_02580	3176	90
546414.Deide_06030	3174	1422
546414.Deide_07240	3145	145
546414.Deide_05750	3132	445
546414.Deide_21440	3131	369
546414.Deide_20100	3096	80
546414.Deide_06020	3079	1759
546414.Deide_11650	3056	291
546414.Deide_06050	3038	144
546414.Deide_18820	3036	7
546414.Deide_05300	3005	294
546414.Deide_06180	2992	197
546414.Deide_01720	2948	73
546414.Deide_20600	2925	496
546414.Deide_01510	2914	261
546414.Deide_18950	2871	185
546414.Deide_05580	2868	485
546414.Deide_02550	2867	558
546414.Deide_16140	2778	92
546414.Deide_10600	2729	295
546414.Deide_16110	2697	154
546414.Deide_19090	2685	333
546414.Deide_17290	2531	381
546414.Deide_00600	2417	538
546414.Deide_13850	2410	455
546414.Deide_00710	2349	34
546414.Deide_11700	2347	162
546414.Deide_02240	2346	138
546414.Deide_09040	2322	359
546414.Deide_06060	2301	118
546414.Deide_00350	2296	209
546414.Deide_07540	2279	252
546414.Deide_20930	2261	360
546414.Deide_09880	2258	130
546414.Deide_15120	2246	94
546414.Deide_21050	2215	326
546414.Deide_03330	2213	443
546414.Deide_16830	2209	260
546414.Deide_18830	2208	166
546414.Deide_18680	2192	73
546414.Deide_00700	2191	748
546414.Deide_09530	2176	269
546414.Deide_09860	2149	104
546414.Deide_16370	2136	377
546414.Deide_15920	2132	130
546414.Deide_19350	2097	90
546414.Deide_12490	2085	31
546414.Deide_03280	2082	247
546414.Deide_05530	2059	307
546414.Deide_18660	2054	83
546414.Deide_06380	2035	121
546414.Deide_12270	2031	99
546414.Deide_05640	2031	243
546414.Deide_15100	2011	145
546414.Deide_05290	2005	244
546414.Deide_16910	1998	317
546414.Deide_05540	1996	190
546414.Deide_12500	1986	59
546414.Deide_20540	1984	284
546414.Deide_18960	1965	53
546414.Deide_08080	1958	226
546414.Deide_18440	1955	476
546414.Deide_05730	1948	179
546414.Deide_06790	1938	311
