#id: 113269583
#name: N. magadii ATCC43099 - Whole organism, calculated iBAQ (Cerlettietal,proteomics2018)
#score: 1.9
#weight:  10%
#description: abundance based on calculated iBAQ, Interaction consistency score: 1.9, Coverage: 48
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 48
#link: http://www.ncbi.nlm.nih.gov/pubmed/29888524
#publication_year: 2018
#filename: 547559-PXD009116_Cerletti_Proteomics_2018_N_magadii_stat.txt
#
#internal_id	string_external_id	abundance
15631177	547559.Nmag_0795	19250
15633152	547559.Nmag_2800	11882
15632874	547559.Nmag_2516	11416
15632627	547559.Nmag_2264	10450
15633289	547559.Nmag_2939	10442
15631422	547559.Nmag_1040	10199
15632306	547559.Nmag_1937	8088
15631192	547559.Nmag_0810	7988
15631327	547559.Nmag_0945	7573
15632691	547559.Nmag_2331	7458
15632041	547559.Nmag_1667	7332
15631713	547559.Nmag_1336	6749
15633661	547559.Nmag_3313	6713
15632525	547559.Nmag_2158	6476
15630967	547559.Nmag_0582	6295
15633699	547559.Nmag_3351	5857
15631341	547559.Nmag_0959	5712
15631653	547559.Nmag_1275	5582
15632491	547559.Nmag_2124	5538
15632533	547559.Nmag_2168	5245
15632742	547559.Nmag_2383	5037
15630606	547559.Nmag_0216	4941
15630469	547559.Nmag_0072	4888
15630965	547559.Nmag_0580	4840
15632741	547559.Nmag_2382	4802
15630603	547559.Nmag_0213	4683
15632613	547559.Nmag_2250	4667
15632682	547559.Nmag_2322	4613
15631748	547559.Nmag_1371	4529
15631851	547559.Nmag_1476	4408
15634037	547559.Nmag_4051	4406
15630934	547559.Nmag_0549	4371
15632764	547559.Nmag_2405	4328
15632652	547559.Nmag_2290	4282
15633891	547559.Nmag_3543	4263
15633013	547559.Nmag_2657	4207
15632791	547559.Nmag_2432	3997
15630807	547559.Nmag_0421	3988
15631346	547559.Nmag_0964	3956
15633035	547559.Nmag_2679	3898
15631747	547559.Nmag_1370	3816
15633889	547559.Nmag_3541	3762
15631409	547559.Nmag_1027	3671
15632439	547559.Nmag_2072	3654
15630828	547559.Nmag_0442	3630
15631433	547559.Nmag_1051	3566
15632489	547559.Nmag_2122	3472
15633012	547559.Nmag_2656	3451
15633256	547559.Nmag_2905	3405
15630816	547559.Nmag_0430	3347
15631197	547559.Nmag_0815	3290
15632714	547559.Nmag_2354	3286
15632203	547559.Nmag_1831	3147
15633934	547559.Nmag_3586	3107
15631189	547559.Nmag_0807	3060
15633339	547559.Nmag_2989	3059
15630839	547559.Nmag_0453	3056
15631845	547559.Nmag_1469	3047
15633458	547559.Nmag_3108	3017
15632180	547559.Nmag_1808	2982
15632790	547559.Nmag_2431	2943
15630963	547559.Nmag_0578	2908
15632823	547559.Nmag_2465	2845
15631750	547559.Nmag_1373	2780
15631454	547559.Nmag_1072	2773
15630935	547559.Nmag_0550	2760
15631412	547559.Nmag_1030	2751
15631207	547559.Nmag_0825	2721
15633457	547559.Nmag_3107	2701
15631119	547559.Nmag_0736	2689
15632220	547559.Nmag_1849	2679
15632040	547559.Nmag_1666	2641
15630417	547559.Nmag_0019	2627
15630620	547559.Nmag_0230	2610
15632042	547559.Nmag_1668	2598
15633470	547559.Nmag_3120	2593
15633824	547559.Nmag_3476	2584
15633478	547559.Nmag_3128	2575
15631880	547559.Nmag_1506	2554
15632039	547559.Nmag_1665	2547
15633464	547559.Nmag_3114	2542
15631635	547559.Nmag_1256	2531
15633143	547559.Nmag_2791	2488
15632668	547559.Nmag_2307	2481
15632385	547559.Nmag_2017	2479
15631787	547559.Nmag_1410	2457
15630783	547559.Nmag_0397	2447
15633655	547559.Nmag_3307	2404
15633407	547559.Nmag_3057	2375
15632081	547559.Nmag_1707	2359
15630600	547559.Nmag_0210	2345
15632946	547559.Nmag_2589	2339
15631056	547559.Nmag_0673	2326
15631326	547559.Nmag_0944	2317
15632343	547559.Nmag_1974	2280
15630690	547559.Nmag_0301	2235
15633583	547559.Nmag_3235	2217
