#id: 1628916059
#name: C.albicans - Whole organism, SC (Peptideatlas,feb,2015)
#score: 23.2
#weight: 100%
#description: abundance based on Spectral counting, Interaction consistency score: 23.2, Coverage: 68
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 68
#link: http://www.peptideatlas.org/
#publication_year: 2015
#filename: 5476-Candida-albicans_PA_2015-2.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
2188106	5476.C4YE14	25396	136
2193350	5476.Q92211	21967	20926
2187923	5476.C4YDI1	18075	18511
2187935	5476.C4YDJ3	14796	12291
2190445	5476.C4YKR7	12802	4572
2189404	5476.C4YHS0	12407	12654
2193348	5476.P78590	12004	3731
2192626	5476.C4YS13	11503	13395
2191853	5476.C4YPT5	11049	8870
2188979	5476.C4YGJ3	10511	16073
2192985	5476.C4YT24	8862	1122
2188721	5476.C4YFT3	6883	4674
2193127	5476.C4YTG6	6725	2986
2188561	5476.C4YFC3	6714	1517
2189700	5476.C4YIL8	5809	8599
2192136	5476.C4YQM1	5787	1547
2187708	5476.C4YCW2	5734	1183
2192451	5476.C4YRI8	5672	2779
2190088	5476.C4YJQ8	5587	10611
2190104	5476.C4YJS4	5503	3368
2188705	5476.C4YFR7	5454	4503
2191902	5476.C4YPY4	5376	2292
2188107	5476.C4YE15	5355	1552
2193330	5476.P0CC07	5271	3310
2191569	5476.C4YNZ5	5269	3724
2189627	5476.C4YIE3	5226	1254
2193123	5476.C4YTG2	5069	1901
2193196	5476.C4YTN5	4944	2510
2188464	5476.C4YF24	4932	1644
2192164	5476.C4YQP9	4912	638
2191474	5476.C4YNQ0	4768	2021
2193349	5476.P87222	4746	6900
2188417	5476.C4YEX6	4714	4892
2190152	5476.C4YJX2	4656	1355
2193219	5476.C4YTQ8	4626	8619
2188779	5476.C4YFZ1	4425	10729
2187690	5476.C4YCU4	4399	2011
2188414	5476.C4YEX3	4289	1314
2188304	5476.C4YEL2	4220	922
2193253	5476.C4YTU2	4182	2093
2188298	5476.C4YEK6	4150	10883
2188415	5476.C4YEX4	4128	1469
2191846	5476.C4YPS8	4105	2204
2192912	5476.C4YSV1	4100	1266
2189820	5476.C4YIY9	4089	578
2190823	5476.C4YLU5	3996	3021
2192310	5476.C4YR46	3924	9560
2191671	5476.C4YPA3	3873	2445
2193145	5476.C4YTI4	3829	3036
2189438	5476.C4YHV4	3727	1813
2188554	5476.C4YFB5	3718	1652
2190649	5476.C4YLC1	3707	1011
2189342	5476.C4YHK7	3651	1489
2192137	5476.C4YQM2	3610	808
2192119	5476.C4YQK4	3586	1070
2188108	5476.C4YE16	3575	909
2191465	5476.C4YNP1	3575	1036
2191257	5476.C4YN32	3554	3558
2192885	5476.C4YSS4	3550	2020
2190795	5476.C4YLR7	3546	4643
2189566	5476.C4YI82	3526	494
2188868	5476.C4YG81	3508	625
2191098	5476.C4YMM3	3478	1248
2189532	5476.C4YI48	3447	4377
2191124	5476.C4YMP9	3417	1202
2188814	5476.C4YG27	3399	820
2190756	5476.C4YLM8	3364	1046
2192221	5476.C4YQV6	3320	3038
2192488	5476.C4YRM5	3245	679
2192540	5476.C4YRS7	3181	2775
2188479	5476.C4YF39	3138	794
2188728	5476.C4YFU0	3116	3813
2188406	5476.C4YEW4	3084	1636
2188269	5476.C4YEH7	3025	4144
2189389	5476.C4YHQ5	3020	2553
2190945	5476.C4YM67	2986	4032
2190526	5476.C4YKZ8	2973	6393
2190279	5476.C4YK99	2969	855
2191491	5476.C4YNR7	2968	2202
2188413	5476.C4YEX2	2929	1163
2188399	5476.C4YEV7	2902	2097
2192433	5476.C4YRH0	2840	1306
2189120	5476.C4YGY4	2830	920
2189121	5476.C4YGY5	2750	633
2192307	5476.C4YR43	2733	429
2190493	5476.C4YKW5	2733	2720
2191104	5476.C4YMM9	2730	3700
2190718	5476.C4YLJ0	2697	2770
2187634	5476.C4YCN8	2686	784
2191935	5476.C4YQ17	2680	1398
2189355	5476.C4YHM1	2660	1806
2190168	5476.C4YJY8	2660	1108
2191053	5476.C4YMH7	2647	483
2189714	5476.C4YIN2	2647	1631
2188923	5476.C4YGD6	2576	1526
2190340	5476.C4YKG1	2561	2043
2192086	5476.C4YQH1	2560	1497
2190393	5476.C4YKL4	2558	2250
2188538	5476.C4YF99	2553	2428
2187653	5476.C4YCQ7	2511	2764
2189408	5476.C4YHS4	2488	368
