#id: 2108835063
#name: P.falciparum - Whole organism, SC (Peptideatlas,sep,2012)
#score: 15.6
#weight:  100%
#description: abundance based on Spectral counting, Interaction consistency score: 15.6, Coverage: 35
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 35
#link: http://www.peptideatlas.org/builds/
#publication_year: 2012
#filename: 5833-PA_201209.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
2526086	5833.PFC0210c	27821	2153
2524121	5833.PF11_0061	16537	806
2524553	5833.PF11_0545	16456	505
2523762	5833.PF10_0084	14918	3646
2524741	5833.PF13_0201	11669	2894
2527011	5833.PFF0865w	10348	150
2524122	5833.PF11_0062	8930	506
2526556	5833.PFE0165w	8490	632
2527190	5833.PFI0180w	8095	2064
2526937	5833.PFF0510w	7606	134
2526499	5833.PFD1110w	7491	681
2524959	5833.PF14_0065	7254	500
2524772	5833.PF13_0233	7248	2454
2522738	5833.MAL13P1.130	7136	470
2525487	5833.PF14_0598	7093	1200
2524968	5833.PF14_0074	6964	1541
2525351	5833.PF14_0467	6947	932
2523385	5833.MAL8P1.78	6839	603
2527010	5833.PFF0860c	6817	232
2524682	5833.PF13_0141	6235	862
2525255	5833.PF14_0368	6061	572
2524369	5833.PF11_0325	5983	234
2527974	5833.PFL2215w	5963	1622
2527332	5833.PFI0880c	5959	812
2523790	5833.PF10_0112	5935	234
2525709	5833.PFA0200w	5819	337
2526245	5833.PFC0920w	5795	379
2524388	5833.PF11_0344	5717	1864
2523374	5833.MAL8P1.69	5617	898
2526364	5833.PFD0425w	5234	2520
2526652	5833.PFE0660c	4821	536
2526710	5833.PFE0965c	4705	74
2524841	5833.PF13_0304	4576	2180
2524842	5833.PF13_0305	4576	2180
2523610	5833.PF08_0073	4452	906
2527875	5833.PFL1725w	4423	1641
2523591	5833.PF08_0054	4422	1453
2523378	5833.MAL8P1.72	4270	129
2523712	5833.PF10_0039	4261	402
2526487	5833.PFD1050w	4248	1406
2526776	5833.PFE1285w	4232	384
2527331	5833.PFI0875w	4077	1170
2526256	5833.PFC0975c	3981	304
2527017	5833.PFF0895w	3966	692
2523545	5833.PF08_0008	3787	948
2525432	5833.PF14_0545	3603	196
2524810	5833.PF13_0272	3567	252
2527345	5833.PFI0945w	3527	602
2527347	5833.PFI0955w	3491	346
2526365	5833.PFD0430c	3465	1502
2527742	5833.PFL1070c	3459	1772
2527734	5833.PFL1030w	3448	796
2527448	5833.PFI1455c	3437	440
2527959	5833.PFL2140c	3409	410
2524607	5833.PF13_0058	3396	292
2524879	5833.PF13_0346	3306	396
2527976	5833.PFL2225w	3243	222
2527600	5833.PFL0370w	3243	784
2527689	5833.PFL0800c	3221	168
2527377	5833.PFI1105w	3208	758
2526079	5833.PFC0180c	3127	1573
2525312	5833.PF14_0425	2991	798
2527657	5833.PFL0650c	2950	1074
2525545	5833.PF14_0655	2936	512
2523622	5833.PF08_0085	2851	46
2524257	5833.PF11_0208	2841	534
2523945	5833.PF10_0268	2790	322
2523456	5833.PF07_0054	2786	154
2522848	5833.MAL13P1.237	2783	414
2524882	5833.PF13_0349	2764	234
2525013	5833.PF14_0122	2734	218
2525858	5833.PFB0210c	2725	343
2525466	5833.PF14_0578	2699	278
2525884	5833.PFB0325c	2675	943
2523298	5833.MAL8P1.17	2652	654
2527884	5833.PFL1770c	2633	262
2526727	5833.PFE1050w	2629	394
2526133	5833.PFC0400w	2609	90
2526163	5833.PFC0535w	2557	44
2526080	5833.PFC0185w	2548	646
2526381	5833.PFD0520c	2543	174
2526579	5833.PFE0285c	2525	72
2522868	5833.MAL13P1.254	2493	306
2527746	5833.PFL1090w	2482	346
2523611	5833.PF08_0074	2469	212
2524041	5833.PF10_0366	2412	398
2523278	5833.MAL8P1.142	2392	316
2527044	5833.PFF1035w	2382	494
2525906	5833.PFB0425c	2371	582
2523368	5833.MAL8P1.62	2357	426
2523736	5833.PF10_0061	2353	318
2523850	5833.PF10_0170	2351	262
2523834	5833.PF10_0155	2325	570
2527104	5833.PFF1335c	2315	322
2524619	5833.PF13_0069a	2215	26
2523544	5833.PF08_0007	2215	76
2524451	5833.PF11_0415	2203	98
2525755	5833.PFA0440w	2189	224
2526675	5833.PFE0785c	2182	462
2522824	5833.MAL13P1.214	2172	420
2524509	5833.PF11_0474	2085	150
2525710	5833.PFA0205w	2049	780
2526707	5833.PFE0950c	2043	248
2524225	5833.PF11_0175a	2040	246
2524156	5833.PF11_0098	2026	358
2523738	5833.PF10_0063	2021	156
2525372	5833.PF14_0486	2016	800
2525095	5833.PF14_0205	2004	134
2523799	5833.PF10_0121	1978	218
2526789	5833.PFE1350c	1938	78
2527342	5833.PFI0930c	1917	308
2524862	5833.PF13_0328	1913	296
2522922	5833.MAL13P1.308	1901	2294
