#id: 3589598601
#name: Caenorhabditis elegans - Whole organism, SC (Gpm,oct,2012)
#score: 14.1
#description: abundance based on Spectral counting, Interaction consistency score: 14.1, Coverage: 49
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 49
#link: http://www.thegpm.org/
#publication_year: 2012
#filename: 6239-GPM_2012_09_Caenorhabditis_elegans.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
2768815	6239.Y48B6A.2.1	22130	344
2765806	6239.T21H3.3	14317	684
2753824	6239.C26F1.9	8955	2
2760359	6239.F53A3.3a.3	8916	305
2759730	6239.F45E1.6	8859	295
2766829	6239.W05B10.1	8721	244
2770955	6239.ZK1010.1	8492	350
2762369	6239.K07F5.11	7986	238
2767264	6239.Y105E8B.1a	6566	355
2762383	6239.K07F5.9	4778	380
2766054	6239.T24B8.3a.1	4147	26
2756618	6239.F09F7.2a.1	4012	182
2756129	6239.E03H12.10	3908	305
2766489	6239.T28H11.6	3908	305
2756589	6239.F09E5.15b	3774	284
2762822	6239.K11H12.2	3473	76
2763241	6239.M7.1	3412	107
2767684	6239.Y22D7AL.5a.2	3199	647
2754902	6239.C44B11.3	3147	1472
2761853	6239.K01G5.4	3135	212
2763702	6239.R08C7.3.2	3037	89
2758272	6239.F28H1.2	3014	162
2765730	6239.T21B10.2c.1	2865	514
2768074	6239.Y38H6C.1a.1	2835	72
2767939	6239.Y37E3.7.2	2674	100
2768666	6239.Y46H3D.1	2632	45
2769767	6239.Y62E10A.1	2464	82
2752823	6239.C09H10.2	2336	9
2755753	6239.C56C10.8.1	2291	103
2771169	6239.ZK154.3	2249	762
2771520	6239.ZK652.4.3	2221	16
2766154	6239.T25C8.2.1	2138	1066
2764488	6239.T04C12.5.1	2058	1554
2763056	6239.M03F4.2a	2032	1573
2764489	6239.T04C12.6.2	2024	1565
2764487	6239.T04C12.4.1	2024	1565
2768641	6239.Y46G5A.34	1999	54
2759230	6239.F40F4.5	1964	1077
2764691	6239.T05H4.12.2	1927	67
2756263	6239.F02A9.2a	1926	83
2761730	6239.H28O16.1a	1838	290
2758023	6239.F26D10.3.1	1792	553
2757950	6239.F25H2.11	1699	98
2765960	6239.T23D8.5	1652	469
2756348	6239.F07B7.9	1652	469
2759761	6239.F45F2.3	1652	469
2757699	6239.F22B3.1	1652	469
2751376	6239.B0035.9	1652	469
2762244	6239.K06C4.10	1652	469
2757357	6239.F17E9.12	1652	469
