#id: 2609266926
#name: Caenorhabditis elegans - Whole organism, SC (Gpm,aug,2014)
#score: 18.6
#description: abundance based on Spectral counting, Interaction consistency score: 18.6, Coverage: 32
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 32
#link: http://www.thegpm.org/
#publication_year: 2014
#filename: 6239-GPM_201408.txt
#
#string_external_id	abundance	raw_spectral_count
6239.ZK1010.1	42675	775616
6239.Y38H6C.1a.1	13609	123970
6239.C09D4.5.1	12784	109560
6239.T27E9.1a.1	12047	699336
6239.M03F4.2a	10127	2260503
6239.F53A3.3a.3	10108	125377
6239.T04C12.6.2	10023	2252717
6239.T04C12.4.1	10023	2252717
6239.F07A5.7a.4	9492	898402
6239.R03G5.1a.1	9371	831952
6239.F31E3.5.1	9371	831952
6239.T04C12.5.1	8940	2120618
6239.Y105E8B.1a	8723	204846
6239.H28O16.1a	8543	420319
6239.Y71F9AL.13a.1	8150	97250
6239.Y45F10D.12.3	7032	90728
6239.F09F7.2a.1	6803	111019
6239.F25H5.4a.1	6632	529086
6239.F28C6.7a.3	6374	57949
6239.Y37E3.7.2	6170	120065
6239.F54H12.6	6081	81255
6239.Y62E10A.1	5602	107752
6239.T24B8.1a.1	5401	47811
6239.R13A5.8	5350	58804
6239.F25H2.5.1	5170	68415
6239.T24B8.3a.1	5039	10763
6239.Y48B6A.2.1	4982	29541
6239.ZK652.4.3	4609	15069
6239.F25B5.4a.2	4261	775376
6239.Y73B6BL.6b.1	4123	70361
6239.B0336.10.3	3995	58930
6239.F46H5.3a.3	3943	163328
6239.T07A9.11.1	3892	29867
6239.C34E10.6.1	3738	248199
6239.F52B5.6.4	3721	46404
6239.R11A5.4a.1	3717	334684
6239.F09E5.15b	3662	77817
6239.F54C1.7.1	3621	69697
6239.F11C3.3.1	3600	755443
6239.K04D7.1.3	3574	114564
6239.E04A4.8	3480	42266
6239.F56E10.4.1	3364	36895
6239.F27C1.7b	3357	90568
6239.T21B10.2c.1	3327	179541
6239.F08G2.2	3229	566712
6239.T23D8.6	3229	566712
