#id: 611919012
#name: H.salinarum(NRC-1) - Whole organism, SC (Peptideatlas,march,2008)
#score: 11.2
#weight:  40%
#description: abundance based on Spectral counting, Interaction consistency score: 11.2, Coverage: 66
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 66
#link: http://www.peptideatlas.org/builds/halo/index.php
#publication_year: 2008
#filename: 64091-HalobacteriumBuild_Mar2008.peptides.new.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
58398033	64091.VNG_2243G	29163	1510
58397949	64091.VNG_2143G	23247	285
58398370	64091.VNG_2679G	20430	3210
58396562	64091.VNG_0315G	13476	1282
58397623	64091.VNG_1714G	12936	209
58398350	64091.VNG_2649G	9912	1500
58398019	64091.VNG_2226G	8909	1705
58398357	64091.VNG_2658G	8560	276
58398074	64091.VNG_2293G	7302	387
58397908	64091.VNG_2096G	7127	1810
58398192	64091.VNG_2443G	7100	412
58398356	64091.VNG_2657G	6356	521
58396731	64091.VNG_0540G	5866	417
58397481	64091.VNG_1524C	5835	987
58397166	64091.VNG_1103G	5806	26
58397437	64091.VNG_1464G	5581	796
58398120	64091.VNG_2349G	5484	1258
58398288	64091.VNG_2574G	5390	903
58397607	64091.VNG_1692G	5374	333
58397624	64091.VNG_1715G	5303	350
58397618	64091.VNG_1706G	5287	93
58398312	64091.VNG_2604G	5273	543
58397232	64091.VNG_1190G	5273	217
58397510	64091.VNG_1562H	5106	190
58397604	64091.VNG_1689G	5094	591
58398057	64091.VNG_2273H	5030	42
58397306	64091.VNG_1289H	4963	27
58397614	64091.VNG_1701G	4839	348
58396932	64091.VNG_0801C	4727	98
58397901	64091.VNG_2086G	4552	299
58397189	64091.VNG_1137G	4458	275
58397501	64091.VNG_1550G	4235	263
58397625	64091.VNG_1716G	4205	138
58397621	64091.VNG_1711G	4169	231
58397186	64091.VNG_1133G	4146	280
58396921	64091.VNG_0787G	4041	429
58397626	64091.VNG_1718G	3988	89
58397414	64091.VNG_1433G	3940	64
58397619	64091.VNG_1707G	3892	311
58397873	64091.VNG_2047G	3836	77
58398224	64091.VNG_2486G	3770	445
58397187	64091.VNG_1134G	3707	142
58396911	64091.VNG_0771G	3688	730
58398354	64091.VNG_2654G	3573	1043
58397610	64091.VNG_1697G	3524	274
58396666	64091.VNG_0457G	3465	248
58397400	64091.VNG_1414G	3442	370
58397006	64091.VNG_0903C	3392	338
58398296	64091.VNG_2584C	3315	135
58396522	64091.VNG_0259G	3305	272
58396396	64091.VNG_0099G	3288	159
58397309	64091.VNG_1294G	3265	127
58396460	64091.VNG_0177G	3259	121
58397205	64091.VNG_1157G	3199	86
58397023	64091.VNG_0924G	3180	263
58397605	64091.VNG_1690G	3172	387
58397154	64091.VNG_1088C	3122	106
58397195	64091.VNG_1143G	3091	175
58398211	64091.VNG_2469G	3070	8
58397588	64091.VNG_1668G	3064	166
58396483	64091.VNG_0207H	3042	212
58397463	64091.VNG_1496G	3023	77
58397191	64091.VNG_1139G	3002	89
58397787	64091.VNG_1934H	2979	110
58396694	64091.VNG_0491G	2979	521
58398256	64091.VNG_2527G	2971	485
58396504	64091.VNG_0234C	2955	135
58397206	64091.VNG_1158G	2944	47
58397495	64091.VNG_1542G	2940	258
58396719	64091.VNG_0524G	2873	356
58397613	64091.VNG_1700G	2857	134
58397620	64091.VNG_1709G	2853	116
58398322	64091.VNG_2616G	2775	534
58396518	64091.VNG_0254G	2770	439
58396739	64091.VNG_0550G	2767	86
58398243	64091.VNG_2513G	2748	388
58397741	64091.VNG_1873G	2743	447
58397681	64091.VNG_1793C	2737	284
58397874	64091.VNG_2048G	2717	170
58398018	64091.VNG_2224G	2707	94
58397506	64091.VNG_1557G	2692	180
58397622	64091.VNG_1713G	2682	191
58396999	64091.VNG_0891G	2681	206
58396447	64091.VNG_0161G	2648	352
58397846	64091.VNG_2010G	2637	242
58397217	64091.VNG_1173G	2610	7
58396793	64091.VNG_0620G	2556	185
58398152	64091.VNG_2393G	2538	165
58397167	64091.VNG_1104G	2527	159
58396880	64091.VNG_0734G	2525	317
58397182	64091.VNG_1128G	2515	432
58397190	64091.VNG_1138G	2505	106
58397181	64091.VNG_1125G	2498	340
58396924	64091.VNG_0790G	2481	184
58397660	64091.VNG_1768G	2470	76
58397503	64091.VNG_1553G	2466	198
58396618	64091.VNG_0394C	2451	258
58398344	64091.VNG_2643H	2433	129
58398013	64091.VNG_2218G	2386	341
58397944	64091.VNG_2138G	2380	467
58396451	64091.VNG_0166G	2367	290
58398309	64091.VNG_2600G	2345	145
58396668	64091.VNG_0459G	2339	184
58397116	64091.VNG_1038C	2338	35
58397583	64091.VNG_1663C	2325	379
58398014	64091.VNG_2219G	2322	419
58397945	64091.VNG_2139G	2320	550
58397199	64091.VNG_1149C	2302	522
58397906	64091.VNG_2093G	2296	445
58396927	64091.VNG_0795G	2293	42
58398215	64091.VNG_2473G	2237	254
58397608	64091.VNG_1693G	2219	143
58396792	64091.VNG_0617H	2201	140
58397930	64091.VNG_2122G	2198	304
58397505	64091.VNG_1555G	2184	156
58397168	64091.VNG_1105G	2157	188
58396767	64091.VNG_0586C	2151	72
58397615	64091.VNG_1702G	2141	99
58397854	64091.VNG_2021C	2121	457
58397911	64091.VNG_2099C	2086	111
58397398	64091.VNG_1412H	2075	192
58397169	64091.VNG_1108G	2059	83
58396840	64091.VNG_0679G	2038	293
58396567	64091.VNG_0321G	2023	299
58398044	64091.VNG_2256G	2007	168
58397086	64091.VNG_1001G	2000	448
58397462	64091.VNG_1494G	1991	50
58397494	64091.VNG_1541G	1980	360
58397956	64091.VNG_2151G	1979	137
58397606	64091.VNG_1691G	1969	106
58397356	64091.VNG_1356G	1944	356
58397616	64091.VNG_1703G	1922	105
58397215	64091.VNG_1170G	1917	87
58396918	64091.VNG_0782H	1892	271
58398130	64091.VNG_2366C	1882	69
58396844	64091.VNG_0683C	1847	174
58396998	64091.VNG_0890G	1841	166
58398271	64091.VNG_2549C	1840	238
58397840	64091.VNG_2001G	1827	309
58396783	64091.VNG_0606G	1825	71
58396507	64091.VNG_0239C	1820	101
58397155	64091.VNG_1089G	1813	267
58397759	64091.VNG_1898C	1809	67
58398136	64091.VNG_2372G	1800	96
58396392	64091.VNG_0095G	1796	257
58398207	64091.VNG_2465C	1792	42
58396766	64091.VNG_0585H	1789	54
58396674	64091.VNG_0467G	1781	173
58398349	64091.VNG_2648G	1759	92
58397151	64091.VNG_1085H	1738	56
58397786	64091.VNG_1933G	1736	188
58396521	64091.VNG_0258H	1720	93
58398197	64091.VNG_2449G	1710	233
58396721	64091.VNG_0527C	1676	285
58398039	64091.VNG_2251G	1670	194
58397185	64091.VNG_1132G	1666	117
58397609	64091.VNG_1695G	1661	112
58398131	64091.VNG_2367G	1645	136
58397092	64091.VNG_1008G	1613	372
58398345	64091.VNG_2644C	1599	66
58397948	64091.VNG_2142G	1590	91
58397502	64091.VNG_1551G	1568	181
58397724	64091.VNG_1850G	1563	103
58396807	64091.VNG_0637G	1562	425
58397504	64091.VNG_1554G	1559	158
58397611	64091.VNG_1698G	1554	50
58396740	64091.VNG_0551G	1550	24
58396799	64091.VNG_0628G	1544	205
58398209	64091.VNG_2467G	1536	64
58396640	64091.VNG_0424C	1535	49
58397771	64091.VNG_1912G	1532	218
58397617	64091.VNG_1705G	1523	84
58397830	64091.VNG_1989H	1507	14
