#id: 4142497775
#name: H.salinarum(NRC-1) - Whole organism, SC (Peptideatlas,aug,2013)
#score: 10.3
#weight:  35%
#description: abundance based on Spectral counting, Interaction consistency score: 10.3, Coverage: 67
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 67
#link: http://www.peptideatlas.org/builds/
#publication_year: 2013
#filename: 64091-PA_201308.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
58397949	64091.VNG_2143G	46931	1776
58398370	64091.VNG_2679G	42943	19162
58398057	64091.VNG_2273H	22516	458
58398033	64091.VNG_2243G	14680	2007
58398192	64091.VNG_2443G	14040	2530
58397623	64091.VNG_1714G	13264	870
58398350	64091.VNG_2649G	10200	3751
58398019	64091.VNG_2226G	10190	4913
58397187	64091.VNG_1134G	8648	595
58398209	64091.VNG_2467G	8279	814
58397205	64091.VNG_1157G	7756	614
58397625	64091.VNG_1716G	7397	611
58397614	64091.VNG_1701G	7391	1034
58396562	64091.VNG_0315G	6835	1452
58396921	64091.VNG_0787G	6831	1623
58397908	64091.VNG_2096G	6729	3953
58397191	64091.VNG_1139G	6617	383
58398120	64091.VNG_2349G	6157	3665
58397116	64091.VNG_1038C	6084	198
58397615	64091.VNG_1702G	6061	599
58397189	64091.VNG_1137G	6051	772
58397190	64091.VNG_1138G	5979	880
58398356	64091.VNG_2657G	5942	1073
58397607	64091.VNG_1692G	5940	791
58397846	64091.VNG_2010G	5872	1077
58397232	64091.VNG_1190G	5816	580
58397186	64091.VNG_1133G	5724	933
58397622	64091.VNG_1713G	5700	896
58397605	64091.VNG_1690G	5606	1674
58397621	64091.VNG_1711G	5463	797
58397182	64091.VNG_1128G	5290	1947
58397604	64091.VNG_1689G	5270	1628
58397620	64091.VNG_1709G	5199	629
58398131	64091.VNG_2367G	5196	877
58398357	64091.VNG_2658G	5173	391
58398288	64091.VNG_2574G	5114	2439
58396522	64091.VNG_0259G	5105	940
58396618	64091.VNG_0394C	5032	1076
58396911	64091.VNG_0771G	4969	2473
58397168	64091.VNG_1105G	4507	957
58396739	64091.VNG_0550G	4499	447
58397609	64091.VNG_1695G	4493	709
58397901	64091.VNG_2086G	4452	774
58398354	64091.VNG_2654G	4436	3007
58396504	64091.VNG_0234C	4416	561
58397481	64091.VNG_1524C	4331	2020
58396924	64091.VNG_0790G	4177	715
58397167	64091.VNG_1104G	4017	500
58398244	64091.VNG_2514G	3988	400
58397185	64091.VNG_1132G	3945	614
58398013	64091.VNG_2218G	3932	1235
58398074	64091.VNG_2293G	3918	501
58396447	64091.VNG_0161G	3907	1130
58398312	64091.VNG_2604G	3838	1095
58397617	64091.VNG_1705G	3756	469
58397874	64091.VNG_2048G	3729	490
58397930	64091.VNG_2122G	3706	1233
58397613	64091.VNG_1700G	3668	618
58397588	64091.VNG_1668G	3642	437
58397215	64091.VNG_1170G	3577	411
58397583	64091.VNG_1663C	3522	1433
58397626	64091.VNG_1718G	3519	185
58397619	64091.VNG_1707G	3425	565
58396694	64091.VNG_0491G	3390	1332
58397208	64091.VNG_1160G	3341	658
58397400	64091.VNG_1414G	3332	993
58397608	64091.VNG_1693G	3329	634
58396999	64091.VNG_0891G	3213	646
58396460	64091.VNG_0177G	3197	239
58397624	64091.VNG_1715G	3188	478
58398207	64091.VNG_2465C	3127	191
58397606	64091.VNG_1691G	3060	324
58397741	64091.VNG_1873G	3059	1201
58398322	64091.VNG_2616G	3034	1464
58398211	64091.VNG_2469G	3021	10
58398243	64091.VNG_2513G	2894	1105
58397948	64091.VNG_2142G	2834	367
58396793	64091.VNG_0620G	2833	501
58396731	64091.VNG_0540G	2822	812
58397154	64091.VNG_1088C	2800	191
58397023	64091.VNG_0924G	2774	672
58397906	64091.VNG_2093G	2747	1301
58397610	64091.VNG_1697G	2687	495
58396840	64091.VNG_0679G	2678	812
58397840	64091.VNG_2001G	2551	1046
58397437	64091.VNG_1464G	2545	1158
58397501	64091.VNG_1550G	2539	425
58397873	64091.VNG_2047G	2532	87
58396927	64091.VNG_0795G	2532	109
58398256	64091.VNG_2527G	2488	1136
58397510	64091.VNG_1562H	2470	290
58397199	64091.VNG_1149C	2467	1306
58396451	64091.VNG_0166G	2462	747
58397309	64091.VNG_1294G	2461	281
58397356	64091.VNG_1356G	2439	1021
58397618	64091.VNG_1706G	2409	102
58397006	64091.VNG_0903C	2404	750
58396780	64091.VNG_0601H	2384	212
58397945	64091.VNG_2139G	2372	1355
58396483	64091.VNG_0207H	2341	405
58397771	64091.VNG_1912G	2321	744
58397207	64091.VNG_1159G	2310	122
58398215	64091.VNG_2473G	2300	741
58398014	64091.VNG_2219G	2294	1014
58396932	64091.VNG_0801C	2294	135
58397414	64091.VNG_1433G	2261	58
58396792	64091.VNG_0617H	2249	319
58397181	64091.VNG_1125G	2249	769
58398039	64091.VNG_2251G	2232	672
58398015	64091.VNG_2220G	2116	608
58397724	64091.VNG_1850G	2109	271
58397453	64091.VNG_1482G	2092	536
58397854	64091.VNG_2021C	2078	1095
58397495	64091.VNG_1542G	2069	493
58396567	64091.VNG_0321G	2047	728
58397563	64091.VNG_1638H	2029	338
58397092	64091.VNG_1008G	2012	1231
58397306	64091.VNG_1289H	2007	17
58397195	64091.VNG_1143G	2003	293
58397786	64091.VNG_1933G	1997	511
58397956	64091.VNG_2151G	1990	392
58397944	64091.VNG_2138G	1984	981
58397473	64091.VNG_1511C	1966	1137
58396396	64091.VNG_0099G	1964	239
58397681	64091.VNG_1793C	1943	473
58396844	64091.VNG_0683C	1926	437
58398018	64091.VNG_2224G	1913	160
58396668	64091.VNG_0459G	1905	419
58396766	64091.VNG_0585H	1901	103
58397494	64091.VNG_1541G	1898	863
58396719	64091.VNG_0524G	1845	604
58396514	64091.VNG_0249G	1844	591
58396799	64091.VNG_0628G	1834	547
58398012	64091.VNG_2217G	1820	544
58396721	64091.VNG_0527C	1815	913
58396392	64091.VNG_0095G	1783	542
58398224	64091.VNG_2486G	1775	493
58397611	64091.VNG_1698G	1764	83
58398152	64091.VNG_2393G	1758	395
58397169	64091.VNG_1108G	1753	150
58397155	64091.VNG_1089G	1746	669
58397553	64091.VNG_1624G	1735	1025
58396966	64091.VNG_0849C	1713	428
58397914	64091.VNG_2102G	1695	481
58396666	64091.VNG_0457G	1690	329
58397506	64091.VNG_1557G	1664	260
58396696	64091.VNG_0494G	1663	207
58396776	64091.VNG_0597H	1654	43
58397052	64091.VNG_0961G	1652	1062
58397277	64091.VNG_1250H	1601	314
58397503	64091.VNG_1553G	1597	318
58397787	64091.VNG_1934H	1582	158
58396574	64091.VNG_0330G	1581	1040
58398232	64091.VNG_2499G	1572	441
58396518	64091.VNG_0254G	1559	543
58397505	64091.VNG_1555G	1549	256
58398271	64091.VNG_2549C	1548	561
58396918	64091.VNG_0782H	1547	563
58397504	64091.VNG_1554G	1521	435
58396916	64091.VNG_0779C	1513	800
58397319	64091.VNG_1306G	1488	1053
58397772	64091.VNG_1914G	1479	167
58396681	64091.VNG_0474G	1476	774
58396669	64091.VNG_0461G	1473	601
58396842	64091.VNG_0681G	1472	385
58397567	64091.VNG_1644G	1442	1329
58398269	64091.VNG_2546G	1433	485
58397166	64091.VNG_1103G	1431	13
58396783	64091.VNG_0606G	1425	163
58396998	64091.VNG_0890G	1407	251
58397217	64091.VNG_1173G	1406	5
58398349	64091.VNG_2648G	1406	201
58396736	64091.VNG_0546C	1404	364
58397206	64091.VNG_1158G	1402	33
58398344	64091.VNG_2643H	1402	195
58398309	64091.VNG_2600G	1399	212
58397513	64091.VNG_1566G	1391	1395
58398136	64091.VNG_2372G	1389	179
58398296	64091.VNG_2584C	1380	163
58397051	64091.VNG_0960G	1379	692
58396680	64091.VNG_0473G	1375	301
58397086	64091.VNG_1001G	1353	750
58397616	64091.VNG_1703G	1343	196
58398121	64091.VNG_2351C	1327	417
58397398	64091.VNG_1412H	1326	336
58398044	64091.VNG_2256G	1309	356
58397324	64091.VNG_1313G	1297	713
58396990	64091.VNG_0880G	1296	282
58397759	64091.VNG_1898C	1293	94
58396880	64091.VNG_0734G	1257	359
58397911	64091.VNG_2099C	1245	153
58396507	64091.VNG_0239C	1245	167
58397242	64091.VNG_1204G	1234	450
58397690	64091.VNG_1804G	1221	418
58397173	64091.VNG_1114G	1219	411
58396807	64091.VNG_0637G	1218	780
58397122	64091.VNG_1048G	1213	369
58397255	64091.VNG_1220H	1210	148
58398360	64091.VNG_2664G	1208	993
58398359	64091.VNG_2662G	1204	439
58397782	64091.VNG_1926G	1191	170
58397463	64091.VNG_1496G	1182	77
58396521	64091.VNG_0258H	1177	128
58397587	64091.VNG_1667G	1162	1012
58398362	64091.VNG_2666G	1143	654
58397444	64091.VNG_1472G	1142	911
58398130	64091.VNG_2366C	1140	104
58396740	64091.VNG_0551G	1118	27
58397660	64091.VNG_1768G	1114	78
58396744	64091.VNG_0557H	1114	111
58397216	64091.VNG_1172G	1110	212
58396710	64091.VNG_0510G	1107	383
58396941	64091.VNG_0815G	1102	332
58398197	64091.VNG_2449G	1100	433
58397487	64091.VNG_1532G	1098	567
58397093	64091.VNG_1009G	1085	803
58396720	64091.VNG_0525C	1083	587
58398265	64091.VNG_2539H	1079	418
58396800	64091.VNG_0629G	1071	335
58396640	64091.VNG_0424C	1069	98
58397395	64091.VNG_1408G	1066	568
58397695	64091.VNG_1814G	1061	632
58398116	64091.VNG_2343G	1059	391
58398187	64091.VNG_2437G	1057	326
58397995	64091.VNG_2195G	1042	107
58398361	64091.VNG_2665G	1041	609
58397543	64091.VNG_1611C	1040	212
58396674	64091.VNG_0467G	1017	293
58398084	64091.VNG_2305C	1015	155
58397951	64091.VNG_2146H	1007	129
58397083	64091.VNG_0998G	996	346
58398274	64091.VNG_2553G	994	113
58397492	64091.VNG_1538H	992	169
58397462	64091.VNG_1494G	992	38
58396660	64091.VNG_0448G	985	354
58397053	64091.VNG_0962G	981	661
58397581	64091.VNG_1659G	980	512
58397631	64091.VNG_1724G	975	263
58397333	64091.VNG_1325C	966	366
58397705	64091.VNG_1829G	963	260
58396485	64091.VNG_0209H	963	253
58396763	64091.VNG_0582C	950	239
58398325	64091.VNG_2620G	950	744
58397213	64091.VNG_1168C	937	187
58397338	64091.VNG_1332G	934	213
58397796	64091.VNG_1944C	930	131
58397879	64091.VNG_2056G	918	201
58398097	64091.VNG_2321G	907	102
58397502	64091.VNG_1551G	891	256
58396645	64091.VNG_0429H	891	115
58396839	64091.VNG_0678G	888	206
58397813	64091.VNG_1967G	882	353
58397923	64091.VNG_2115H	878	28
58398276	64091.VNG_2555C	872	120
58398323	64091.VNG_2617G	871	265
58398238	64091.VNG_2508C	869	93
58396878	64091.VNG_0732G	869	127
58396745	64091.VNG_0559G	868	202
58397735	64091.VNG_1866G	867	133
58397706	64091.VNG_1830G	865	504
58396393	64091.VNG_0096C	851	129
58397955	64091.VNG_2150G	849	78
58397889	64091.VNG_2072G	844	374
58397950	64091.VNG_2144G	838	239
58398101	64091.VNG_2326G	836	295
58396465	64091.VNG_0183G	834	98
58398179	64091.VNG_2424G	834	358
58397535	64091.VNG_1601G	832	335
58396997	64091.VNG_0889G	823	583
58398345	64091.VNG_2644C	811	74
58397465	64091.VNG_1498G	805	298
58397064	64091.VNG_0976G	805	213
58397263	64091.VNG_1233G	804	171
58397449	64091.VNG_1478G	801	59
58398270	64091.VNG_2547G	800	724
58397843	64091.VNG_2005G	794	289
58397698	64091.VNG_1818G	788	185
58397711	64091.VNG_1835G	784	537
58398065	64091.VNG_2283G	783	618
58396571	64091.VNG_0326G	782	486
58396440	64091.VNG_0153C	782	192
58398137	64091.VNG_2373G	770	319
58397283	64091.VNG_1257H	769	31
58397515	64091.VNG_1568G	768	119
58397214	64091.VNG_1169C	763	113
58397287	64091.VNG_1262G	759	84
58397158	64091.VNG_1093C	757	164
58397651	64091.VNG_1756G	754	73
58398340	64091.VNG_2639G	749	295
58396917	64091.VNG_0780H	746	48
58397188	64091.VNG_1136G	745	188
58396624	64091.VNG_0403G	742	382
58396399	64091.VNG_0104G	741	139
58396558	64091.VNG_0310C	741	248
58396767	64091.VNG_0586C	740	83
58397514	64091.VNG_1567G	735	216
58398159	64091.VNG_2400H	735	144
58396552	64091.VNG_0303G	734	448
58397037	64091.VNG_0940G	732	314
58396808	64091.VNG_0639G	726	133
58397447	64091.VNG_1475C	716	314
58396934	64091.VNG_0806G	712	333
58397194	64091.VNG_1142G	703	246
