#id: 4137986993
#name: H.salinarum(NRC-1) - Whole organism (Integrated)
#score: 13.2
#description: integrated dataset: weighted average of all H.salinarum(NRC-1) WHOLE_ORGANISM, Interaction consistency score: 13.2, Coverage: 85
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 85
#publication_year: 2022
#filename: 64091-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
58398370	64091.VNG_2679G	30602
58397949	64091.VNG_2143G	29727
58398057	64091.VNG_2273H	13333
58398033	64091.VNG_2243G	12016
58398350	64091.VNG_2649G	10935
58398019	64091.VNG_2226G	9353
58397623	64091.VNG_1714G	9212
58397232	64091.VNG_1190G	8269
58398192	64091.VNG_2443G	7895
58397908	64091.VNG_2096G	7040
58398312	64091.VNG_2604G	6445
58397205	64091.VNG_1157G	5865
58398288	64091.VNG_2574G	5523
58397614	64091.VNG_1701G	5301
58398357	64091.VNG_2658G	5287
58398120	64091.VNG_2349G	5129
58398356	64091.VNG_2657G	5023
58397189	64091.VNG_1137G	5018
58397187	64091.VNG_1134G	4934
58398074	64091.VNG_2293G	4873
58396921	64091.VNG_0787G	4801
58398209	64091.VNG_2467G	4704
58397605	64091.VNG_1690G	4628
58397607	64091.VNG_1692G	4528
58397186	64091.VNG_1133G	4514
58397625	64091.VNG_1716G	4513
58397481	64091.VNG_1524C	4439
58396562	64091.VNG_0315G	4354
58397166	64091.VNG_1103G	4225
58397154	64091.VNG_1088C	4180
58397306	64091.VNG_1289H	4162
58397621	64091.VNG_1711G	4089
58397414	64091.VNG_1433G	4083
58397604	64091.VNG_1689G	4058
58396522	64091.VNG_0259G	4058
58396911	64091.VNG_0771G	3971
58396504	64091.VNG_0234C	3899
58398354	64091.VNG_2654G	3882
58397615	64091.VNG_1702G	3879
58397191	64091.VNG_1139G	3814
58397622	64091.VNG_1713G	3800
58398131	64091.VNG_2367G	3767
58397846	64091.VNG_2010G	3727
58397182	64091.VNG_1128G	3715
58396618	64091.VNG_0394C	3663
58396694	64091.VNG_0491G	3570
58396924	64091.VNG_0790G	3541
58397588	64091.VNG_1668G	3527
58397620	64091.VNG_1709G	3524
58397583	64091.VNG_1663C	3482
58398211	64091.VNG_2469G	3473
58397190	64091.VNG_1138G	3385
58397741	64091.VNG_1873G	3315
58397619	64091.VNG_1707G	3312
58397874	64091.VNG_2048G	3268
58397610	64091.VNG_1697G	3262
58397930	64091.VNG_2122G	3213
58397613	64091.VNG_1700G	3210
58397901	64091.VNG_2086G	3194
58397501	64091.VNG_1550G	3190
58397116	64091.VNG_1038C	3184
58396483	64091.VNG_0207H	3176
58397215	64091.VNG_1170G	3167
58397400	64091.VNG_1414G	3125
58396451	64091.VNG_0166G	3110
58397167	64091.VNG_1104G	3089
58396739	64091.VNG_0550G	3063
58396460	64091.VNG_0177G	3036
58397510	64091.VNG_1562H	3031
58397168	64091.VNG_1105G	3031
58397624	64091.VNG_1715G	3007
58396447	64091.VNG_0161G	2954
58397609	64091.VNG_1695G	2913
58397618	64091.VNG_1706G	2889
58398243	64091.VNG_2513G	2873
58397617	64091.VNG_1705G	2859
58398244	64091.VNG_2514G	2856
58398322	64091.VNG_2616G	2812
58398013	64091.VNG_2218G	2766
58397626	64091.VNG_1718G	2721
58397185	64091.VNG_1132G	2712
58397606	64091.VNG_1691G	2711
58397681	64091.VNG_1793C	2708
58396844	64091.VNG_0683C	2702
58397608	64091.VNG_1693G	2696
58397495	64091.VNG_1542G	2683
58396719	64091.VNG_0524G	2683
58398152	64091.VNG_2393G	2668
58397309	64091.VNG_1294G	2668
58396793	64091.VNG_0620G	2647
58397181	64091.VNG_1125G	2646
58396731	64091.VNG_0540G	2560
58397195	64091.VNG_1143G	2548
58397759	64091.VNG_1898C	2471
58398256	64091.VNG_2527G	2455
58396396	64091.VNG_0099G	2447
