#id: 1171986544
#name: Lasius niger - Whole organism, LFQ (Ququeetal,jinsectphysiol2019)
#score: 7.2
#description: abundance based on LFQ, Interaction consistency score: 7.2, Coverage: 7
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 7
#link: http://www.ncbi.nlm.nih.gov/pubmed/31255645
#publication_year: 2019
#filename: 67767-PXD006779_Quque_J_Insect_Physiol_2019_L_niger_foraging_worker.txt
#
#internal_id	string_external_id	abundance
58610087	67767.A0A0J7KGH2	96215
58610443	67767.A0A0J7KHS7	38926
58614586	67767.A0A0J7KXJ4	30749
58608007	67767.A0A0J7K8V0	30400
58613028	67767.A0A0J7KS28	22966
58616963	67767.A0A0J7L5X7	21752
58608261	67767.A0A0J7K9T4	21571
58615242	67767.A0A0J7KZV4	20621
58619086	67767.A0A0J7N062	19927
58612927	67767.A0A0J7KRQ1	19742
58614519	67767.A0A0J7KXB1	18746
58615709	67767.A0A0J7L1I1	16589
58621034	67767.A0A0J7NU10	16064
58610873	67767.A0A0J7KJC4	15518
58614017	67767.A0A0J7KVJ8	15285
58617638	67767.A0A0J7L8Z8	14182
58617079	67767.A0A0J7L6B8	14024
58620885	67767.A0A0J7NRU0	13994
58613415	67767.A0A0J7KTG0	13413
58611189	67767.A0A0J7KKI1	12271
58621375	67767.A0A0J7NZ32	12174
58620781	67767.A0A0J7NQC1	12038
58620645	67767.A0A0J7NN60	12023
58610349	67767.A0A0J7KHF9	10797
58620886	67767.A0A0J7NRU4	9505
58615231	67767.A0A0J7KZU0	9104
58620529	67767.A0A0J7NLK9	8929
58620684	67767.A0A0J7NNS3	8695
58615118	67767.A0A0J7KZF0	8407
58621618	67767.A0A0J7P334	8402
58616024	67767.A0A0J7L2L8	8090
58614860	67767.A0A0J7KYH5	7552
58609704	67767.A0A0J7KF28	7092
58617020	67767.A0A0J7L648	5804
58611455	67767.A0A0J7KLG9	5754
58617631	67767.A0A0J7L8Y9	5464
58608392	67767.A0A0J7KAA0	5377
58610133	67767.A0A0J7KGN2	5306
58621546	67767.A0A0J7P1G1	5264
58616631	67767.A0A0J7L4R6	5261
58615907	67767.A0A0J7L274	5086
58616140	67767.A0A0J7L314	4645
58620698	67767.A0A0J7NNY7	4563
58610732	67767.A0A0J7KIU6	4185
58617383	67767.A0A0J7L7N3	4027
58621298	67767.A0A0J7NXT7	4023
58620618	67767.A0A0J7NMT2	3440
58620045	67767.A0A0J7NEG4	3358
58617055	67767.A0A0J7L686	3331
58616564	67767.A0A0J7L4I7	3265
58610980	67767.A0A0J7KJQ7	3214
58614607	67767.A0A0J7KXM1	3103
58608090	67767.A0A0J7K959	3057
58617308	67767.A0A0J7L788	2972
58617205	67767.A0A0J7L6T4	2865
58615503	67767.A0A0J7L0T2	2843
58610706	67767.A0A0J7KIR4	2757
58617264	67767.A0A0J7L715	2742
58615752	67767.A0A0J7L1N3	2623
58615087	67767.A0A0J7KZB0	2536
58608722	67767.A0A0J7KBI7	2518
58616997	67767.A0A0J7L622	2484
58614966	67767.A0A0J7KYV9	2441
58620610	67767.A0A0J7NMP8	2369
58620102	67767.A0A0J7NF99	2336
58617062	67767.A0A0J7L696	2307
58617230	67767.A0A0J7L6X0	2256
58619763	67767.A0A0J7NA12	2166
58617046	67767.A0A0J7L675	2143
58615484	67767.A0A0J7L0Q8	2074
58610380	67767.A0A0J7KHJ8	2061
58609023	67767.A0A0J7KCL5	2059
58616463	67767.A0A0J7L465	2048
58613966	67767.A0A0J7KVD0	2018
58620668	67767.A0A0J7NNK3	2015
58621501	67767.A0A0J7P0T6	1966
58617374	67767.A0A0J7L7M0	1929
58615862	67767.A0A0J7L217	1907
58615623	67767.A0A0J7L180	1899
58610088	67767.A0A0J7KGH4	1880
58611898	67767.A0A0J7KN25	1847
58617656	67767.A0A0J7L936	1832
58611855	67767.A0A0J7KMX1	1830
58613084	67767.A0A0J7KS88	1816
58614311	67767.A0A0J7KWL1	1771
58607049	67767.A0A0J7K5E2	1738
58613358	67767.A0A0J7KT88	1721
58610961	67767.A0A0J7KJN3	1718
58620976	67767.A0A0J7NT78	1718
58609488	67767.A0A0J7KE95	1718
58613997	67767.A0A0J7KVH2	1703
58607567	67767.A0A0J7K784	1649
58609839	67767.A0A0J7KFJ9	1629
58613288	67767.A0A0J7KSZ6	1623
58608738	67767.A0A0J7KBK7	1606
58612514	67767.A0A0J7KQ82	1604
58613875	67767.A0A0J7KV28	1591
58613187	67767.A0A0J7KSL7	1587
58616020	67767.A0A0J7L2L4	1574
58610031	67767.A0A0J7KG97	1570
58611907	67767.A0A0J7KN36	1540
58613065	67767.A0A0J7KS69	1525
58613112	67767.A0A0J7KSC2	1510
58620769	67767.A0A0J7NQ73	1505
58615150	67767.A0A0J7KZI8	1431
58613921	67767.A0A0J7KV83	1418
58621498	67767.A0A0J7P0S3	1332
58611020	67767.A0A0J7KJV2	1309
58617960	67767.A0A0J7LAM2	1297
58611930	67767.A0A0J7KN64	1274
58621201	67767.A0A0J7NWG2	1258
58619651	67767.A0A0J7N8E3	1239
58609492	67767.A0A0J7KEA0	1213
58614714	67767.A0A0J7KY03	1210
58616932	67767.A0A0J7L5T7	1195
58614690	67767.A0A0J7KXX4	1171
58608031	67767.A0A0J7K8Y1	1170
