#id: 3442439297
#name: Lasius niger - Whole organism, LFQ (Ququeetal,jinsectphysiol2019)
#score: 7.2
#description: abundance based on LFQ, Interaction consistency score: 7.2, Coverage: 7
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 7
#link: http://www.ncbi.nlm.nih.gov/pubmed/31255645
#publication_year: 2019
#filename: 67767-PXD006779_Quque_J_Insect_Physiol_2019_L_niger_nest_worker.txt
#
#string_external_id	abundance
67767.A0A0J7KGH2	90596
67767.A0A0J7KS28	43693
67767.A0A0J7KVJ8	34789
67767.A0A0J7KHS7	28901
67767.A0A0J7K8V0	28357
67767.A0A0J7KXJ4	24065
67767.A0A0J7L5X7	20337
67767.A0A0J7KZU0	18377
67767.A0A0J7KRQ1	17917
67767.A0A0J7KKI1	17412
67767.A0A0J7K9T4	16492
67767.A0A0J7N062	16286
67767.A0A0J7L8Z8	15858
67767.A0A0J7KJC4	15367
67767.A0A0J7NU10	14732
67767.A0A0J7NN60	14019
67767.A0A0J7L1I1	13919
67767.A0A0J7KZV4	13702
67767.A0A0J7NQC1	12273
67767.A0A0J7NRU0	11925
67767.A0A0J7L6B8	10718
67767.A0A0J7KGN2	10218
67767.A0A0J7KTG0	9947
67767.A0A0J7KYH5	8746
67767.A0A0J7P334	8631
67767.A0A0J7NZ32	8546
67767.A0A0J7KXB1	8173
67767.A0A0J7L648	8159
67767.A0A0J7LBG8	7852
67767.A0A0J7NRU4	7593
67767.A0A0J7NNS3	7127
67767.A0A0J7KF28	6766
67767.A0A0J7NLK9	6608
67767.A0A0J7KHF9	6387
67767.A0A0J7KN36	6165
67767.A0A0J7LAM2	6131
67767.A0A0J7L8Y9	5711
67767.A0A0J7NXT7	5572
67767.A0A0J7P1G1	4941
67767.A0A0J7KLG9	4761
67767.A0A0J7KAA0	4713
67767.A0A0J7NNY7	4712
67767.A0A0J7L7N3	4546
67767.A0A0J7KZF0	4265
67767.A0A0J7LBP8	4070
67767.A0A0J7KIU6	3967
67767.A0A0J7L2L8	3959
67767.A0A0J7L4R6	3881
67767.A0A0J7NMT2	3793
67767.A0A0J7KJQ7	3743
67767.A0A0J7NMP8	3598
67767.A0A0J7K959	3578
67767.A0A0J7L314	3261
67767.A0A0J7NEG4	3202
67767.A0A0J7L274	3186
67767.A0A0J7L1N3	3186
67767.A0A0J7KZB0	2882
67767.A0A0J7KM87	2811
67767.A0A0J7KBI7	2782
67767.A0A0J7KIR4	2746
67767.A0A0J7L696	2706
67767.A0A0J7L6T4	2579
67767.A0A0J7NA12	2531
67767.A0A0J7NF99	2480
67767.A0A0J7KYV9	2467
67767.A0A0J7L0B9	2459
67767.A0A0J7L4I7	2443
67767.A0A0J7L0T2	2403
67767.A0A0J7L936	2382
67767.A0A0J7L2L4	2346
67767.A0A0J7KVD0	2325
67767.A0A0J7NYI7	2309
67767.A0A0J7L788	2305
67767.A0A0J7KRD9	2205
67767.A0A0J7L6X0	2200
67767.A0A0J7L622	2167
67767.A0A0J7L0Q8	2133
67767.A0A0J7L686	2132
67767.A0A0J7NT78	2109
67767.A0A0J7KVH2	2100
67767.A0A0J7KCL5	2046
67767.A0A0J7KKL0	2040
67767.A0A0J7L675	2020
67767.A0A0J7L217	2015
67767.A0A0J7KMX1	1904
67767.A0A0J7P0T6	1847
67767.A0A0J7NNT5	1845
67767.A0A0J7L715	1825
67767.A0A0J7L7M0	1801
67767.A0A0J7KN25	1799
67767.A0A0J7KXM1	1796
67767.A0A0J7KV83	1743
67767.A0A0J7KFJ9	1736
67767.A0A0J7KJT5	1707
67767.A0A0J7KT88	1680
67767.A0A0J7KEA0	1638
67767.A0A0J7L5T7	1631
67767.A0A0J7KHJ8	1624
67767.A0A0J7KGH4	1614
67767.A0A0J7K5E2	1610
67767.A0A0J7KE95	1593
67767.A0A0J7KS69	1567
67767.A0A0J7KBK7	1469
67767.A0A0J7NNK3	1453
67767.A0A0J7KTU0	1430
67767.A0A0J7KYF8	1417
67767.A0A0J7K8Y1	1397
67767.A0A0J7NQ73	1396
67767.A0A0J7KXX4	1390
67767.A0A0J7KJN3	1384
67767.A0A0J7K784	1375
67767.A0A0J7KV28	1375
67767.A0A0J7L3Y2	1374
67767.A0A0J7KJV2	1357
67767.A0A0J7P0S3	1293
67767.A0A0J7KSC2	1279
67767.A0A0J7KWL1	1277
67767.A0A0J7L180	1274
67767.A0A0J7NWG2	1237
67767.A0A0J7L465	1237
67767.A0A0J7KZ12	1210
67767.A0A0J7NJS6	1203
67767.A0A0J7KZI8	1154
67767.A0A0J7KN64	1129
67767.A0A0J7L3G7	1123
67767.A0A0J7L271	1088
67767.A0A0J7K6K7	1075
67767.A0A0J7KSZ6	1069
67767.A0A0J7NLQ4	1063
67767.A0A0J7KEL6	1054
67767.A0A0J7KNU7	1023
67767.A0A0J7KY03	1009
67767.A0A0J7LBD9	990
67767.A0A0J7KG97	972
67767.A0A0J7KQ82	961
67767.A0A0J7L1J9	961
67767.A0A0J7L1W9	942
67767.A0A0J7KSQ9	940
67767.A0A0J7L6A5	933
67767.A0A0J7KSK5	932
67767.A0A0J7L156	931
67767.A0A0J7L1B1	922
67767.A0A0J7K6N7	918
67767.A0A0J7L730	913
67767.A0A0J7KPX6	903
67767.A0A0J7NTY9	898
67767.A0A0J7L080	894
67767.A0A0J7MQP6	890
67767.A0A0J7N6L4	874
67767.A0A0J7L7W7	866
67767.A0A0J7KV60	864
67767.A0A0J7L0C5	861
67767.A0A0J7KPF9	858
67767.A0A0J7L5G1	855
67767.A0A0J7NM94	854
67767.A0A0J7LAI1	841
67767.A0A0J7LAV9	838
67767.A0A0J7KWJ8	833
67767.A0A0J7L0H7	829
67767.A0A0J7N8E3	822
67767.A0A0J7KVS1	822
67767.A0A0J7KZ01	822
67767.A0A0J7NL92	821
67767.A0A0J7KZN5	819
67767.A0A0J7JYK1	803
67767.A0A0J7KUZ8	791
67767.A0A0J7KSL7	790
67767.A0A0J7KKC3	788
67767.A0A0J7KR77	777
67767.A0A0J7KN99	763
67767.A0A0J7L3L0	761
67767.A0A0J7KX77	745
67767.A0A0J7KAQ6	745
67767.A0A0J7L3R9	742
67767.A0A0J7KS88	737
67767.A0A0J7N0B9	733
67767.A0A0J7KVR3	716
67767.A0A0J7KJY8	715
67767.A0A0J7K2Y2	714
67767.A0A0J7L8H1	711
67767.A0A0J7K7Q7	699
67767.A0A0J7L210	691
67767.A0A0J7L9M1	684
67767.A0A0J7KF04	678
67767.A0A0J7NZ86	674
67767.A0A0J7L5C7	669
67767.A0A0J7NAZ8	663
67767.A0A0J7NV70	662
67767.A0A0J7KU63	660
67767.A0A0J7NLG9	652
67767.A0A0J7KZQ0	644
67767.A0A0J7KWI6	640
67767.A0A0J7KUF8	634
67767.A0A0J7KLI7	631
67767.A0A0J7L4Y7	630
67767.A0A0J7KZD9	624
67767.A0A0J7LAJ2	623
67767.A0A0J7NNW8	620
67767.A0A0J7KYU0	618
67767.A0A0J7KQ45	615
67767.A0A0J7NH77	604
67767.A0A0J7KYT7	602
67767.A0A0J7KU07	594
67767.A0A0J7L466	588
67767.A0A0J7NUN8	586
67767.A0A0J7KA72	585
67767.A0A0J7L8T2	584
67767.A0A0J7P2M1	579
67767.A0A0J7KIZ9	576
67767.A0A0J7KAV5	571
67767.A0A0J7L587	570
67767.A0A0J7KC06	570
67767.A0A0J7NZR8	570
67767.A0A0J7KVG9	569
67767.A0A0J7MY44	567
67767.A0A0J7KHK4	564
67767.A0A0J7KLZ0	562
67767.A0A0J7KQB8	558
67767.A0A0J7KPB2	556
