#id: 2018568442
#name: Aedes aegypti - Midgut, iBAQ (Epelboinetal,plosone2021)
#score: 17.2
#description: abundance based on iBAQ, Interaction consistency score: 17.2, Coverage: 23
#organ: MIDGUT
#integrated: false
#coverage: 23
#link: http://www.ncbi.nlm.nih.gov/pubmed/33428654
#publication_year: 2021
#filename: 7159-PXD020408_susceptible_reference_strain_new_orleans_midgut.txt
#
#string_external_id	abundance
7159.AAEL011197-PB	22889
7159.AAEL003833-PA	15752
7159.AAEL015683-PA	14705
7159.AAEL006158-PA	12127
7159.AAEL011180-PA	9565
7159.AAEL006860-PA	9428
7159.AAEL005270-PA	9402
7159.AAEL004060-PB	9051
7159.AAEL003687-PA	8679
7159.AAEL017096-PA	8030
7159.AAEL012175-PA	6931
7159.AAEL007715-PA	6740
7159.AAEL012326-PA	6721
7159.AAEL002827-PA	6321
7159.AAEL000010-PA	6296
7159.AAEL009467-PA	6165
7159.AAEL013536-PA	6144
7159.AAEL009341-PA	5894
7159.AAEL004930-PA	5792
7159.AAEL012585-PA	5612
7159.AAEL009496-PA	5262
7159.AAEL004457-PA	5101
7159.AAEL001872-PA	5099
7159.AAEL001759-PA	5061
7159.AAEL009185-PA	4913
7159.AAEL008093-PA	4901
7159.AAEL012697-PA	4820
7159.AAEL002309-PA	4707
7159.AAEL000823-PB	4632
7159.AAEL005085-PA	4622
7159.AAEL004175-PA	4589
7159.AAEL012062-PB	4579
7159.AAEL014583-PC	4550
7159.AAEL002851-PA	4550
7159.AAEL000182-PA	4473
7159.AAEL002372-PB	4443
7159.AAEL005722-PA	4440
7159.AAEL011414-PA	4402
7159.AAEL004855-PA	4379
7159.AAEL010299-PB	4340
7159.AAEL006785-PB	4314
7159.AAEL002534-PA	4305
7159.AAEL008880-PA	4300
7159.AAEL009747-PA	4293
7159.AAEL003942-PA	4276
7159.AAEL008188-PA	4241
7159.AAEL003530-PA	4179
7159.AAEL000294-PA	4155
7159.AAEL008103-PB	4135
7159.AAEL007824-PA	4082
7159.AAEL016984-PA	4060
7159.AAEL002047-PA	4010
7159.AAEL012359-PA	3981
7159.AAEL000274-PA	3960
7159.AAEL003957-PC	3959
7159.AAEL009506-PA	3958
7159.AAEL012736-PE	3937
7159.AAEL003427-PA	3892
7159.AAEL009825-PA	3864
7159.AAEL008481-PA	3859
7159.AAEL008353-PB	3852
7159.AAEL005901-PB	3732
7159.AAEL011471-PC	3703
7159.AAEL005266-PB	3647
7159.AAEL015464-PA	3632
7159.AAEL001668-PA	3621
7159.AAEL011756-PA	3613
7159.AAEL008329-PA	3602
7159.AAEL009151-PB	3560
7159.AAEL012686-PA	3483
7159.AAEL005401-PA	3413
7159.AAEL010821-PA	3389
7159.AAEL007771-PB	3371
7159.AAEL010145-PC	3342
7159.AAEL010823-PA	3297
7159.AAEL011656-PA	3272
7159.AAEL005817-PA	3195
7159.AAEL008787-PA	3193
7159.AAEL017198-PA	3189
7159.AAEL003872-PA	3166
7159.AAEL012819-PA	3144
7159.AAEL005629-PA	3141
7159.AAEL014944-PA	3135
7159.AAEL002956-PA	3098
7159.AAEL012035-PA	3088
7159.AAEL007699-PD	3082
7159.AAEL011447-PB	3076
7159.AAEL009994-PA	3014
7159.AAEL008166-PA	2952
7159.AAEL000641-PA	2951
7159.AAEL008083-PA	2938
7159.AAEL006885-PA	2924
7159.AAEL006698-PA	2867
7159.AAEL013009-PA	2818
7159.AAEL004284-PA	2802
7159.AAEL006642-PA	2791
7159.AAEL011758-PA	2784
7159.AAEL013069-PA	2776
7159.AAEL013221-PC	2772
7159.AAEL010168-PB	2753
7159.AAEL010756-PB	2738
7159.AAEL013272-PA	2735
7159.AAEL017212-PA	2657
7159.AAEL003160-PA	2650
7159.AAEL009201-PA	2644
7159.AAEL010754-PA	2631
7159.AAEL005292-PA	2617
7159.AAEL001052-PA	2612
7159.AAEL007752-PA	2506
7159.AAEL013625-PD	2500
7159.AAEL005733-PA	2449
7159.AAEL006922-PB	2414
7159.AAEL011741-PA	2405
7159.AAEL003582-PA	2403
7159.AAEL003835-PB	2379
7159.AAEL005435-PB	2371
7159.AAEL012733-PA	2361
7159.AAEL013353-PC	2353
7159.AAEL008192-PB	2331
7159.AAEL012897-PA	2320
7159.AAEL004325-PA	2280
7159.AAEL004500-PB	2278
7159.AAEL012944-PB	2272
7159.AAEL001887-PB	2270
7159.AAEL014734-PA	2251
7159.AAEL000951-PA	2223
7159.AAEL007868-PA	2221
7159.AAEL008801-PA	2210
7159.AAEL002504-PA	2154
7159.AAEL005097-PA	2154
7159.AAEL003750-PB	2152
7159.AAEL002813-PA	2142
7159.AAEL011116-PB	2123
7159.AAEL010032-PA	2097
7159.AAEL002542-PA	2082
7159.AAEL006509-PA	2078
7159.AAEL000092-PA	2077
7159.AAEL015064-PB	2053
7159.AAEL000032-PC	2048
7159.AAEL011587-PA	1994
7159.AAEL005179-PA	1963
7159.AAEL009214-PA	1947
7159.AAEL001005-PA	1934
7159.AAEL002759-PA	1930
7159.AAEL000987-PA	1915
7159.AAEL005798-PA	1909
7159.AAEL014562-PA	1907
7159.AAEL017419-PA	1896
7159.AAEL005961-PA	1894
7159.AAEL008006-PA	1868
7159.AAEL008697-PA	1829
7159.AAEL000667-PB	1814
7159.AAEL003396-PA	1807
7159.AAEL000219-PA	1804
7159.AAEL002417-PB	1773
7159.AAEL010205-PB	1757
7159.AAEL011551-PA	1724
7159.AAEL004699-PA	1713
7159.AAEL011641-PA	1710
7159.AAEL000529-PA	1710
7159.AAEL011584-PA	1697
7159.AAEL011288-PA	1673
7159.AAEL005269-PC	1657
7159.AAEL013097-PA	1632
7159.AAEL012271-PA	1601
7159.AAEL008848-PA	1600
7159.AAEL017516-PB	1590
7159.AAEL013989-PA	1584
7159.AAEL014935-PA	1569
7159.AAEL005143-PB	1568
7159.AAEL007549-PA	1566
7159.AAEL017349-PA	1563
7159.AAEL010850-PA	1561
7159.AAEL012576-PA	1560
7159.AAEL009842-PA	1515
7159.AAEL005293-PA	1503
7159.AAEL004434-PA	1446
7159.AAEL005451-PA	1433
7159.AAEL004112-PA	1416
7159.AAEL009313-PA	1416
7159.AAEL011905-PA	1408
7159.AAEL013629-PA	1393
7159.AAEL007609-PA	1371
7159.AAEL006833-PA	1365
7159.AAEL004088-PA	1354
7159.AAEL000766-PA	1351
7159.AAEL003011-PA	1344
7159.AAEL010777-PA	1335
7159.AAEL000941-PA	1333
7159.AAEL004118-PA	1316
7159.AAEL000293-PA	1316
7159.AAEL013359-PB	1310
7159.AAEL007707-PA	1303
7159.AAEL002457-PA	1301
7159.AAEL005336-PA	1280
7159.AAEL017481-PA	1277
7159.AAEL011708-PA	1270
7159.AAEL004369-PA	1261
7159.AAEL010801-PB	1246
7159.AAEL017022-PA	1230
7159.AAEL012578-PA	1225
7159.AAEL010403-PA	1222
7159.AAEL004151-PD	1211
7159.AAEL010573-PA	1211
7159.AAEL014889-PA	1176
7159.AAEL003993-PA	1167
7159.AAEL005056-PA	1166
7159.AAEL004423-PA	1164
7159.AAEL007883-PB	1139
7159.AAEL010975-PA	1134
7159.AAEL012282-PC	1128
7159.AAEL013661-PA	1126
7159.AAEL014821-PA	1124
7159.AAEL000454-PA	1123
7159.AAEL003986-PB	1117
7159.AAEL013279-PA	1108
7159.AAEL000757-PB	1095
7159.AAEL010230-PA	1093
7159.AAEL005524-PA	1088
7159.AAEL006070-PA	1084
7159.AAEL013320-PA	1084
7159.AAEL002761-PC	1084
7159.AAEL009601-PA	1063
7159.AAEL013739-PA	1039
7159.AAEL002833-PA	1039
7159.AAEL007765-PA	1038
7159.AAEL001588-PA	1036
7159.AAEL009287-PA	1032
7159.AAEL006928-PA	1021
7159.AAEL011157-PA	1016
7159.AAEL012207-PB	1010
7159.AAEL006169-PA	1002
7159.AAEL015065-PA	983
7159.AAEL010582-PA	974
7159.AAEL002399-PA	969
7159.AAEL008303-PA	962
7159.AAEL009653-PB	961
7159.AAEL003675-PA	955
