#id: 259848635
#name: Mycoplasma pneumoniae - Whole organism, Copy per cell, cpc normalized data (Kuhner,science,2009)
#score: 2.4
#description: abundance based on cpc normalized data, copy per cell, Interaction consistency score: 2.4, Coverage: 61
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 61
#link: http://www.sciencemag.org/content/326/5957/1235.full
#publication_year: 2009
#filename: 722438-Mycoplasma_pneumoniae_M129_Kuhner_et_al_Science2009.txt
#
#string_external_id	abundance
722438.MPNE_0775	38909
722438.MPNE_0503	37856
722438.MPNE_0675	37075
722438.MPNE_0456	29942
722438.MPNE_0508	26137
722438.MPNE_0707	22588
722438.MPNE_0674	21926
722438.MPNE_0676	21875
722438.MPNE_0295	21484
722438.MPNE_0453	21025
722438.MPNE_0028	20346
722438.MPNE_0786	17629
722438.MPNE_0455	16797
722438.MPNE_0502	16576
722438.MPNE_0366	13655
722438.MPNE_0058	12755
722438.MPNE_0630	12143
722438.MPNE_0452	11905
722438.MPNE_0306	11430
722438.MPNE_0367	11260
722438.MPNE_0165	10309
722438.MPNE_0559	10088
722438.MPNE_0240	9120
722438.MPNE_0282	9103
722438.MPNE_0337	9035
722438.MPNE_0525	8950
722438.MPNE_0451	8797
722438.MPNE_0501	8135
722438.MPNE_0239	8067
722438.MPNE_0220	8050
722438.MPNE_0336	7982
722438.MPNE_0375	7744
722438.MPNE_0551	7354
722438.MPNE_0072	7252
722438.MPNE_0345	7099
722438.MPNE_0256	7048
722438.MPNE_0678	6980
722438.MPNE_0057	6657
722438.MPNE_0744	6539
722438.MPNE_0603	6216
722438.MPNE_0741	5961
722438.MPNE_0736	5689
722438.MPNE_0299	5622
722438.MPNE_0628	5231
722438.MPNE_0076	5146
722438.MPNE_0377	5112
722438.MPNE_0293	5078
722438.MPNE_0093	4993
722438.MPNE_0469	4891
722438.MPNE_0085	4840
722438.MPNE_0730	4738
722438.MPNE_0138	4636
722438.MPNE_0001	4518
722438.MPNE_0381	4501
722438.MPNE_0132	4382
722438.MPNE_0454	4229
722438.MPNE_0637	4195
722438.MPNE_0699	4178
722438.MPNE_0259	4144
722438.MPNE_0444	4093
722438.MPNE_0605	4059
722438.MPNE_0800	4042
722438.MPNE_0226	3957
722438.MPNE_0194	3906
722438.MPNE_0055	3804
722438.MPNE_0531	3804
722438.MPNE_0654	3753
722438.MPNE_0137	3702
722438.MPNE_0373	3668
722438.MPNE_0164	3668
722438.MPNE_0433	3465
722438.MPNE_0384	3431
722438.MPNE_0447	3431
722438.MPNE_0653	3397
722438.MPNE_0772	3397
722438.MPNE_0248	3363
722438.MPNE_0721	3295
722438.MPNE_0196	3244
722438.MPNE_0180	3193
722438.MPNE_0790	3142
722438.MPNE_0782	3057
722438.MPNE_0797	2921
722438.MPNE_0726	2904
722438.MPNE_0554	2887
722438.MPNE_0276	2870
722438.MPNE_0604	2853
722438.MPNE_0261	2836
722438.MPNE_0073	2768
722438.MPNE_0437	2734
722438.MPNE_0211	2649
722438.MPNE_0668	2649
722438.MPNE_0190	2632
722438.MPNE_0439	2615
722438.MPNE_0074	2531
722438.MPNE_0032	2514
722438.MPNE_0660	2514
722438.MPNE_0445	2480
722438.MPNE_0449	2463
722438.MPNE_0071	2412
722438.MPNE_0727	2412
722438.MPNE_0519	2395
722438.MPNE_0191	2395
722438.MPNE_0257	2361
722438.MPNE_0290	2327
722438.MPNE_0278	2293
722438.MPNE_0410	2242
722438.MPNE_0241	2242
722438.MPNE_0500	2208
722438.MPNE_0270	2208
722438.MPNE_0408	2208
722438.MPNE_0263	2174
722438.MPNE_0197	2089
722438.MPNE_0385	2072
722438.MPNE_0183	2055
722438.MPNE_0624	2038
722438.MPNE_0778	2021
722438.MPNE_0272	2004
722438.MPNE_0247	1953
722438.MPNE_0200	1953
722438.MPNE_0275	1936
722438.MPNE_0209	1936
722438.MPNE_0376	1919
722438.MPNE_0279	1885
722438.MPNE_0359	1834
722438.MPNE_0005	1800
722438.MPNE_0157	1766
722438.MPNE_0392	1749
722438.MPNE_0251	1749
722438.MPNE_0287	1732
722438.MPNE_0789	1698
722438.MPNE_0458	1698
722438.MPNE_0219	1698
722438.MPNE_0571	1681
722438.MPNE_0258	1613
722438.MPNE_0520	1596
722438.MPNE_0627	1579
722438.MPNE_0527	1512
722438.MPNE_0731	1444
722438.MPNE_0195	1444
722438.MPNE_0362	1393
722438.MPNE_0796	1376
722438.MPNE_0288	1376
722438.MPNE_0006	1359
722438.MPNE_0077	1359
722438.MPNE_0324	1342
722438.MPNE_0733	1325
722438.MPNE_0374	1308
722438.MPNE_0791	1274
722438.MPNE_0380	1257
722438.MPNE_0024	1257
722438.MPNE_0047	1257
722438.MPNE_0203	1257
722438.MPNE_0271	1240
722438.MPNE_0269	1240
722438.MPNE_0141	1223
722438.MPNE_0723	1206
722438.MPNE_0643	1189
722438.MPNE_0480	1189
722438.MPNE_0037	1189
722438.MPNE_0242	1189
722438.MPNE_0491	1172
722438.MPNE_0341	1172
722438.MPNE_0121	1121
722438.MPNE_0629	1121
722438.MPNE_0260	1104
722438.MPNE_0252	1104
722438.MPNE_0734	1070
722438.MPNE_0701	1070
722438.MPNE_0785	1053
722438.MPNE_0056	1053
722438.MPNE_0086	1053
722438.MPNE_0774	1053
722438.MPNE_0339	1036
722438.MPNE_0344	1036
722438.MPNE_0372	1002
722438.MPNE_0343	1002
722438.MPNE_0522	1002
722438.MPNE_0669	985
722438.MPNE_0510	968
722438.MPNE_0575	968
722438.MPNE_0494	951
722438.MPNE_0213	951
722438.MPNE_0243	934
722438.MPNE_0798	934
722438.MPNE_0780	917
722438.MPNE_0192	917
722438.MPNE_0499	900
722438.MPNE_0441	849
722438.MPNE_0770	849
722438.MPNE_0493	832
722438.MPNE_0289	832
722438.MPNE_0284	832
722438.MPNE_0517	815
