#id: 1621505028
#name: Drosophila melanogaster - Whole organism, SC (Xing,proteomics,2014)
#score: 25.8
#description: abundance based on Spectral counting, Interaction consistency score: 25.8, Coverage: 60
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 60
#link: http://www.ncbi.nlm.nih.gov/pubmed/24259522
#publication_year: 2014
#filename: 7227-Drosophila_melanogaster_SC_biomart_31126_O_BTO0001489wholebody_119reps.txt
#
#string_external_id	abundance	raw_spectral_count
7227.FBpp0079865	15127	6546
7227.FBpp0079716	11688	42
7227.FBpp0305828	11266	10839
7227.FBpp0088688	10130	2493
7227.FBpp0071794	9855	6675
7227.FBpp0080452	8843	24425
7227.FBpp0075128	8716	186
7227.FBpp0073280	8501	4169
7227.FBpp0087977	8377	4817
7227.FBpp0073922	7979	4846
7227.FBpp0302781	7759	4768
7227.FBpp0305117	7572	1123
7227.FBpp0079123	7075	354
7227.FBpp0288711	6700	231
7227.FBpp0079772	6208	2982
7227.FBpp0082985	5822	2492
7227.FBpp0082597	5747	9278
7227.FBpp0075069	5541	4527
7227.FBpp0072125	5434	7312
7227.FBpp0112436	5333	1501
7227.FBpp0305431	4537	3484
7227.FBpp0076270	4493	3453
7227.FBpp0082535	4444	1458
7227.FBpp0289654	4422	4572
7227.FBpp0070871	4419	3468
7227.FBpp0078131	4377	8877
7227.FBpp0075134	4199	1030
7227.FBpp0071448	4169	9632
7227.FBpp0077580	4120	1159
7227.FBpp0082253	4078	9653
7227.FBpp0077572	3998	3388
7227.FBpp0076729	3995	800
7227.FBpp0070766	3945	53
7227.FBpp0100048	3909	2383
7227.FBpp0300338	3890	1998
7227.FBpp0085721	3759	3777
7227.FBpp0084565	3629	498
7227.FBpp0088502	3511	5635
7227.FBpp0085615	3318	1632
7227.FBpp0082522	3291	962
7227.FBpp0292847	3288	227
7227.FBpp0301709	3184	416
7227.FBpp0304260	3117	2143
7227.FBpp0076320	2999	4480
7227.FBpp0073682	2931	1073
7227.FBpp0073010	2902	1258
7227.FBpp0082987	2745	1414
7227.FBpp0079406	2724	1852
7227.FBpp0074906	2692	1663
7227.FBpp0083611	2674	2801
7227.FBpp0077501	2565	3675
7227.FBpp0084968	2508	2141
7227.FBpp0305168	2486	166
7227.FBpp0080446	2474	535
7227.FBpp0075182	2463	1221
7227.FBpp0079122	2419	86
7227.FBpp0084907	2314	1355
7227.FBpp0082459	2278	1658
7227.FBpp0082139	2194	2080
7227.FBpp0112201	2182	1241
7227.FBpp0100177	2171	485
7227.FBpp0291726	2145	183
7227.FBpp0291001	2145	1370
7227.FBpp0075184	2095	975
7227.FBpp0072748	2045	304
7227.FBpp0081820	2041	360
7227.FBpp0074298	2039	635
7227.FBpp0076207	1992	278
7227.FBpp0073594	1957	627
7227.FBpp0100180	1940	175
7227.FBpp0100124	1938	5240
7227.FBpp0084735	1930	1310
