#id: 2652612982
#name: D.melanogaster - Whole organism, SC (Peptideatlas,aug,2012)
#score: 13.1
#weight:  4%
#description: abundance based on Spectral counting, Interaction consistency score: 13.1, Coverage: 40
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 40
#link: http://www.peptideatlas.org/builds/
#publication_year: 2012
#filename: 7227-PA_201208.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3224208	7227.FBpp0070766	37887	50
3228746	7227.FBpp0079716	29692	33
3237141	7227.FBpp0304260	10979	4626
3237408	7227.FBpp0305117	9190	1225
3233306	7227.FBpp0089424	9175	1193
3232439	7227.FBpp0086895	9152	1348
3235981	7227.FBpp0293502	8959	1160
3227008	7227.FBpp0076270	8711	4171
3228952	7227.FBpp0080102	7943	294
3236828	7227.FBpp0302781	7874	3350
3225202	7227.FBpp0072687	7705	439
3227052	7227.FBpp0076359	7623	425
3233181	7227.FBpp0088688	7456	1285
3236542	7227.FBpp0300615	7166	1097
3228624	7227.FBpp0079484	6898	296
3237655	7227.FBpp0305828	6898	5119
3227672	7227.FBpp0077572	6709	3146
3231792	7227.FBpp0085585	6639	293
3230195	7227.FBpp0082535	6272	1119
3228583	7227.FBpp0079406	6010	3182
3230872	7227.FBpp0083802	5766	839
3224601	7227.FBpp0071518	5483	61
3233552	7227.FBpp0099688	5394	977
3225487	7227.FBpp0073280	5142	1482
3230191	7227.FBpp0082516	5128	4054
3231873	7227.FBpp0085721	4972	3344
3227217	7227.FBpp0076702	4952	1144
3227216	7227.FBpp0076701	4952	1144
3236397	7227.FBpp0297923	4819	402
3225576	7227.FBpp0073445	4798	3266
3231292	7227.FBpp0084617	4627	954
3225880	7227.FBpp0074017	4623	1199
3225656	7227.FBpp0073594	4537	1095
3224518	7227.FBpp0071354	4447	2211
3233556	7227.FBpp0099728	4437	759
3225907	7227.FBpp0074086	4343	233
3225492	7227.FBpp0073290	4289	2773
3229701	7227.FBpp0081581	4246	1864
3231153	7227.FBpp0084340	4111	18
3232575	7227.FBpp0087164	4056	1790
3227532	7227.FBpp0077309	3944	347
3230434	7227.FBpp0082987	3941	1296
3237680	7227.FBpp0305911	3939	235
3223957	7227.FBpp0070279	3845	1034
3237211	7227.FBpp0304478	3845	1279
3229819	7227.FBpp0081822	3796	1052
3237429	7227.FBpp0305182	3705	3473
3226771	7227.FBpp0075764	3676	995
3233630	7227.FBpp0100048	3659	1677
3225562	7227.FBpp0073422	3439	1610
3228463	7227.FBpp0079168	3404	11
3229122	7227.FBpp0080452	3384	5914
3232546	7227.FBpp0087115	3356	158
3232131	7227.FBpp0086269	3338	462
3225413	7227.FBpp0073126	3272	786
3231620	7227.FBpp0085223	3212	583
3237212	7227.FBpp0304479	3210	939
3236987	7227.FBpp0303728	3127	288
3228385	7227.FBpp0078984	3103	194
3230432	7227.FBpp0082985	2978	978
3233111	7227.FBpp0088441	2952	615
3226687	7227.FBpp0075612	2950	397
3235505	7227.FBpp0291653	2884	390
3229253	7227.FBpp0080707	2862	954
3224520	7227.FBpp0071359	2792	1506
3237000	7227.FBpp0303780	2765	120
3226120	7227.FBpp0074503	2755	522
3237348	7227.FBpp0304879	2727	503
3224907	7227.FBpp0072083	2653	593
3225686	7227.FBpp0073652	2614	1391
3228111	7227.FBpp0078416	2600	57
3237511	7227.FBpp0305400	2597	714
3225327	7227.FBpp0072957	2586	176
3233847	7227.FBpp0111335	2567	49
3231862	7227.FBpp0085703	2560	504
3230025	7227.FBpp0082198	2553	2105
3228706	7227.FBpp0079640	2552	715
3224118	7227.FBpp0070607	2537	235
3224769	7227.FBpp0071846	2530	260
3236453	7227.FBpp0298342	2525	290
3230778	7227.FBpp0083648	2507	447
3229417	7227.FBpp0081062	2497	3116
3226119	7227.FBpp0074500	2478	364
3229470	7227.FBpp0081153	2471	3107
3225252	7227.FBpp0072801	2461	456
3233221	7227.FBpp0088904	2446	1069
3224752	7227.FBpp0071808	2409	391
3237464	7227.FBpp0305272	2377	1134
3224767	7227.FBpp0071844	2376	436
3226014	7227.FBpp0074285	2353	708
3224563	7227.FBpp0071448	2325	5188
3227181	7227.FBpp0076622	2243	158
3233124	7227.FBpp0088506	2211	399
3230227	7227.FBpp0082597	2191	4437
3231604	7227.FBpp0085193	2184	1837
3230061	7227.FBpp0082253	2165	5080
3227032	7227.FBpp0076318	2102	98
3234233	7227.FBpp0112436	2076	445
3226324	7227.FBpp0074906	2044	1000
3232588	7227.FBpp0087186	2015	519
3224379	7227.FBpp0071087	2013	285
3231270	7227.FBpp0084565	1978	219
3227463	7227.FBpp0077159	1940	451
3226957	7227.FBpp0076152	1934	124
3228689	7227.FBpp0079606	1888	552
3229093	7227.FBpp0080395	1878	761
3228170	7227.FBpp0078561	1844	714
3226685	7227.FBpp0075609	1801	110
3236391	7227.FBpp0297911	1781	942
3225514	7227.FBpp0073328	1781	476
3232960	7227.FBpp0087972	1776	696
3233795	7227.FBpp0111272	1772	38
3225313	7227.FBpp0072932	1769	251
3237326	7227.FBpp0304792	1768	357
3234029	7227.FBpp0111818	1768	1597
3225676	7227.FBpp0073631	1755	470
3226404	7227.FBpp0075069	1745	931
3224252	7227.FBpp0070842	1698	357
3224574	7227.FBpp0071470	1682	293
3235027	7227.FBpp0290037	1642	101
3232376	7227.FBpp0086769	1641	634
3237665	7227.FBpp0305858	1641	138
3228759	7227.FBpp0079746	1621	364
3229135	7227.FBpp0080490	1616	216
3224821	7227.FBpp0071942	1615	163
3232727	7227.FBpp0087500	1590	434
3237422	7227.FBpp0305168	1586	90
3224926	7227.FBpp0072125	1579	1394
3229995	7227.FBpp0082139	1576	1010
3231295	7227.FBpp0084623	1553	1013
3234908	7227.FBpp0289654	1540	1150
3232640	7227.FBpp0087285	1535	258
3228875	7227.FBpp0079979	1476	334
3232813	7227.FBpp0087704	1474	434
3226766	7227.FBpp0075759	1471	353
3227131	7227.FBpp0076520	1466	445
3227961	7227.FBpp0078131	1454	3789
3229587	7227.FBpp0081370	1436	990
3228519	7227.FBpp0079282	1428	873
3228599	7227.FBpp0079443	1426	198
3225008	7227.FBpp0072250	1422	606
3230165	7227.FBpp0082459	1418	712
3225050	7227.FBpp0072335	1403	185
3236501	7227.FBpp0300338	1393	451
3233642	7227.FBpp0100124	1391	4004
3231677	7227.FBpp0085365	1390	4003
3231591	7227.FBpp0085166	1376	237
3230193	7227.FBpp0082522	1359	198
3232350	7227.FBpp0086719	1351	431
3233873	7227.FBpp0111379	1332	233
3237633	7227.FBpp0305759	1332	233
3223861	7227.FBpp0070087	1304	525
3224453	7227.FBpp0071226	1304	823
3228353	7227.FBpp0078918	1291	193
3230699	7227.FBpp0083503	1256	276
3233123	7227.FBpp0088502	1231	1334
3236550	7227.FBpp0300652	1228	111
3225704	7227.FBpp0073682	1202	248
3226994	7227.FBpp0076238	1199	242
3225673	7227.FBpp0073623	1189	153
3229666	7227.FBpp0081524	1163	1561
3224656	7227.FBpp0071625	1155	97
3228880	7227.FBpp0079992	1149	452
3232179	7227.FBpp0086354	1147	219
3231098	7227.FBpp0084242	1146	112
3235317	7227.FBpp0291001	1143	430
3230634	7227.FBpp0083354	1133	108
3234496	7227.FBpp0288532	1130	3176
3229880	7227.FBpp0081930	1129	233
3227795	7227.FBpp0077790	1127	368
3229285	7227.FBpp0080763	1126	406
3226818	7227.FBpp0075869	1120	334
3237520	7227.FBpp0305431	1106	598
3230322	7227.FBpp0082787	1104	625
3236822	7227.FBpp0302741	1098	310
3226480	7227.FBpp0075209	1096	230
3223889	7227.FBpp0070154	1091	12
3232444	7227.FBpp0086905	1090	389
3224901	7227.FBpp0072073	1087	95
3224272	7227.FBpp0070871	1086	609
3228619	7227.FBpp0079472	1078	499
3237192	7227.FBpp0304417	1073	1097
3227986	7227.FBpp0078174	1069	109
3224996	7227.FBpp0072233	1065	123
3230069	7227.FBpp0082264	1060	520
3232848	7227.FBpp0087764	1035	510
3226357	7227.FBpp0074963	1034	433
3231913	7227.FBpp0085821	1029	334
3228848	7227.FBpp0079908	1024	127
3226463	7227.FBpp0075170	1019	385
3229607	7227.FBpp0081401	1006	637
3224793	7227.FBpp0071892	994	281
3231485	7227.FBpp0084968	991	595
3226289	7227.FBpp0074843	985	469
3225825	7227.FBpp0073902	983	465
3236470	7227.FBpp0300161	980	526
3228257	7227.FBpp0078742	971	866
3231359	7227.FBpp0084735	971	383
3224111	7227.FBpp0070589	961	191
3225034	7227.FBpp0072306	946	1904
3236121	7227.FBpp0296963	940	170
3230040	7227.FBpp0082219	940	445
3225871	7227.FBpp0073995	937	56
3235852	7227.FBpp0292999	933	897
3227292	7227.FBpp0076827	928	375
3226610	7227.FBpp0075461	926	437
3232537	7227.FBpp0087095	924	504
3231364	7227.FBpp0084753	924	298
3231556	7227.FBpp0085107	906	102
3230756	7227.FBpp0083604	895	199
3237183	7227.FBpp0304375	886	392
3233722	7227.FBpp0110179	885	63
3229471	7227.FBpp0081156	884	159
3227634	7227.FBpp0077501	884	829
3229348	7227.FBpp0080905	879	283
3229694	7227.FBpp0081565	878	1583
3236225	7227.FBpp0297299	877	379
3229689	7227.FBpp0081560	874	180
3224933	7227.FBpp0072135	872	314
3236377	7227.FBpp0297875	869	321
3227184	7227.FBpp0076634	867	57
3230644	7227.FBpp0083376	866	83
3233236	7227.FBpp0088988	859	521
3237273	7227.FBpp0304650	850	107
3228885	7227.FBpp0079999	849	847
3228297	7227.FBpp0078822	848	19
3234166	7227.FBpp0112201	837	316
3233217	7227.FBpp0088881	830	281
3225052	7227.FBpp0072341	823	161
3224884	7227.FBpp0072050	814	214
3223831	7227.FBpp0070006	807	266
3227262	7227.FBpp0076769	806	190
3226029	7227.FBpp0074331	805	529
3224445	7227.FBpp0071213	801	338
3230663	7227.FBpp0083413	798	125
3235709	7227.FBpp0292397	794	320
3228598	7227.FBpp0079436	792	127
3225881	7227.FBpp0074019	791	299
3230751	7227.FBpp0083588	789	247
3229037	7227.FBpp0080277	788	285
3233637	7227.FBpp0100079	787	228
3230750	7227.FBpp0083584	783	287
3236287	7227.FBpp0297592	781	204
3231605	7227.FBpp0085195	780	70
3226018	7227.FBpp0074298	779	144
3233626	7227.FBpp0100030	779	443
3232390	7227.FBpp0086790	770	391
3225493	7227.FBpp0073292	769	300
3234543	7227.FBpp0288711	759	19
3232620	7227.FBpp0087252	758	74
3231487	7227.FBpp0084971	752	127
3235241	7227.FBpp0290753	744	315
3227891	7227.FBpp0077992	741	430
3230798	7227.FBpp0083683	736	400
3234016	7227.FBpp0111775	733	227
3232735	7227.FBpp0087519	732	163
3232019	7227.FBpp0086051	729	200
3232501	7227.FBpp0087031	728	84
3232922	7227.FBpp0087892	727	98
3234368	7227.FBpp0271782	725	74
3232394	7227.FBpp0086795	724	99
3234834	7227.FBpp0289513	721	263
3231949	7227.FBpp0085889	721	360
3227118	7227.FBpp0076470	713	145
3229855	7227.FBpp0081882	705	96
3229826	7227.FBpp0081834	703	269
3226478	7227.FBpp0075203	703	945
3227215	7227.FBpp0076700	697	64
