#id: 770468011
#name: Drosophila melanogaster - Whole organism, SC (Peptideatlas,july,2009)
#score: 17.8
#description: abundance based on Spectral counting, Interaction consistency score: 17.8, Coverage: 48
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 48
#link: http://www.peptideatlas.org/builds/drosophila//index.php
#publication_year: 2009
#filename: 7227-drosophila_peptideatlas_July_2009.new.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3224208	7227.FBpp0070766	29022	49
3232342	7227.FBpp0086701	7968	760
3228952	7227.FBpp0080102	7444	310
3225202	7227.FBpp0072687	6911	461
3227052	7227.FBpp0076359	6780	438
3237408	7227.FBpp0305117	6509	973
3236542	7227.FBpp0300615	6413	1149
3237145	7227.FBpp0304265	6377	906
3233306	7227.FBpp0089424	6341	971
3237141	7227.FBpp0304260	6325	3313
3231792	7227.FBpp0085585	6232	311
3223888	7227.FBpp0070150	6185	181
3235981	7227.FBpp0293502	6065	1000
3232439	7227.FBpp0086895	5903	1007
3237713	7227.FBpp0306039	5531	310
3224746	7227.FBpp0071794	5297	2657
3228624	7227.FBpp0079484	5291	266
3233552	7227.FBpp0099688	5237	1170
3227173	7227.FBpp0076602	5019	661
3230195	7227.FBpp0082535	4997	1013
3228463	7227.FBpp0079168	4904	26
3229818	7227.FBpp0081820	4863	1012
3236828	7227.FBpp0302781	4834	2403
3233181	7227.FBpp0088688	4674	850
3232879	7227.FBpp0087823	4626	666
3226981	7227.FBpp0076207	4521	513
3233551	7227.FBpp0099686	4505	788
3226578	7227.FBpp0075401	4440	3214
3227672	7227.FBpp0077572	4313	2391
3237655	7227.FBpp0305828	4307	3860
3224911	7227.FBpp0072097	4257	788
3224601	7227.FBpp0071518	4089	53
3224799	7227.FBpp0071903	3992	325
3232546	7227.FBpp0087115	3952	231
3227008	7227.FBpp0076270	3857	2052
3225836	7227.FBpp0073922	3824	2765
3230872	7227.FBpp0083802	3772	640
3230191	7227.FBpp0082516	3697	3728
3236564	7227.FBpp0300803	3694	983
3225576	7227.FBpp0073445	3692	3238
3224752	7227.FBpp0071808	3662	752
3232473	7227.FBpp0086971	3584	736
3233763	7227.FBpp0110412	3571	66
3225038	7227.FBpp0072312	3560	206
3225880	7227.FBpp0074017	3551	1145
3231873	7227.FBpp0085721	3545	2813
3227448	7227.FBpp0077142	3541	78
3237680	7227.FBpp0305911	3531	227
3231292	7227.FBpp0084617	3486	938
3225492	7227.FBpp0073290	3475	2622
3225656	7227.FBpp0073594	3399	1001
3233642	7227.FBpp0100124	3388	5366
3226771	7227.FBpp0075764	3380	1105
3237616	7227.FBpp0305732	3319	478
3226689	7227.FBpp0075618	3271	621
3230639	7227.FBpp0083371	3253	332
3228583	7227.FBpp0079406	3251	2125
3228773	7227.FBpp0079772	3201	1368
3231677	7227.FBpp0085365	3188	5280
3226663	7227.FBpp0075575	3121	554
3237211	7227.FBpp0304478	3071	1241
3232575	7227.FBpp0087164	3070	1586
3231153	7227.FBpp0084340	3062	13
3232046	7227.FBpp0086103	3047	144
3227532	7227.FBpp0077309	3033	293
3232963	7227.FBpp0087977	2973	2428
3233277	7227.FBpp0089196	2961	603
3224118	7227.FBpp0070607	2870	319
3230434	7227.FBpp0082987	2863	1166
3228541	7227.FBpp0079328	2860	147
3223957	7227.FBpp0070279	2853	871
3229253	7227.FBpp0080707	2793	1119
3225413	7227.FBpp0073126	2786	767
3233556	7227.FBpp0099728	2783	630
3232418	7227.FBpp0086858	2742	535
3236987	7227.FBpp0303728	2733	301
3237420	7227.FBpp0305165	2707	892
3237404	7227.FBpp0305095	2690	2515
3231620	7227.FBpp0085223	2645	569
3236397	7227.FBpp0297923	2638	262
3237000	7227.FBpp0303780	2577	134
3237212	7227.FBpp0304479	2526	897
3229701	7227.FBpp0081581	2483	1328
3224734	7227.FBpp0071766	2481	201
3225487	7227.FBpp0073280	2471	925
3229819	7227.FBpp0081822	2456	870
3232131	7227.FBpp0086269	2437	393
3224518	7227.FBpp0071354	2398	1470
3223884	7227.FBpp0070143	2394	500
3227217	7227.FBpp0076702	2349	629
3227216	7227.FBpp0076701	2349	629
3225907	7227.FBpp0074086	2301	164
3224907	7227.FBpp0072083	2298	634
3237758	7227.FBpp0306232	2268	832
3232727	7227.FBpp0087500	2241	743
3237429	7227.FBpp0305182	2226	2609
3224496	7227.FBpp0071295	2200	95
3233630	7227.FBpp0100048	2193	1148
3228075	7227.FBpp0078354	2187	193
3233111	7227.FBpp0088441	2176	557
3228764	7227.FBpp0079752	2148	421
3225562	7227.FBpp0073422	2130	1240
3232775	7227.FBpp0087608	2083	149
3230087	7227.FBpp0082320	2069	598
3235505	7227.FBpp0291653	2042	331
3230025	7227.FBpp0082198	2024	2117
3226119	7227.FBpp0074500	2003	365
3228636	7227.FBpp0079500	1999	497
3237348	7227.FBpp0304879	1982	444
3224769	7227.FBpp0071846	1981	241
3228111	7227.FBpp0078416	1978	54
3226014	7227.FBpp0074285	1935	699
3226279	7227.FBpp0074825	1902	1502
3224767	7227.FBpp0071844	1898	463
3228653	7227.FBpp0079536	1861	341
3226687	7227.FBpp0075612	1787	446
3231478	7227.FBpp0084959	1783	193
3231862	7227.FBpp0085703	1783	430
3229470	7227.FBpp0081153	1740	2851
3226622	7227.FBpp0075491	1724	1998
3229417	7227.FBpp0081062	1720	2842
3229833	7227.FBpp0081845	1700	71
3224906	7227.FBpp0072081	1654	415
3225327	7227.FBpp0072957	1648	136
3226685	7227.FBpp0075609	1640	114
3224520	7227.FBpp0071359	1637	1116
3233221	7227.FBpp0088904	1617	876
3235536	7227.FBpp0291726	1617	96
3225514	7227.FBpp0073328	1611	504
3228689	7227.FBpp0079606	1609	559
3237665	7227.FBpp0305858	1587	158
3226957	7227.FBpp0076152	1577	126
3226120	7227.FBpp0074503	1552	348
3225252	7227.FBpp0072801	1551	358
3228759	7227.FBpp0079746	1550	391
3237464	7227.FBpp0305272	1548	959
3236665	7227.FBpp0301282	1546	425
3227463	7227.FBpp0077159	1542	441
3224379	7227.FBpp0071087	1539	253
3231454	7227.FBpp0084918	1535	273
3236976	7227.FBpp0303680	1534	730
3230432	7227.FBpp0082985	1532	680
3224363	7227.FBpp0071050	1530	538
3224364	7227.FBpp0071052	1530	538
3229122	7227.FBpp0080452	1530	3304
3230758	7227.FBpp0083611	1529	1363
3233124	7227.FBpp0088506	1522	355
3224277	7227.FBpp0070877	1518	327
3228706	7227.FBpp0079640	1463	525
3234233	7227.FBpp0112436	1430	396
3228875	7227.FBpp0079979	1393	391
3226324	7227.FBpp0074906	1392	885
3224305	7227.FBpp0070940	1362	137
3228657	7227.FBpp0079542	1361	393
3225302	7227.FBpp0072908	1354	162
3227032	7227.FBpp0076318	1347	82
3225686	7227.FBpp0073652	1328	848
3231369	7227.FBpp0084761	1319	679
3234029	7227.FBpp0111818	1308	1437
3237619	7227.FBpp0305736	1280	304
3224252	7227.FBpp0070842	1274	326
3231098	7227.FBpp0084242	1270	161
3224860	7227.FBpp0072009	1269	234
3226968	7227.FBpp0076182	1265	321
3232588	7227.FBpp0087186	1261	407
