#id: 3259391242
#name: Drosophila melanogaster - Whole organism, SC (Peptideatlas,june,2010)
#score: 18.5
#description: abundance based on Spectral counting, Interaction consistency score: 18.5, Coverage: 49
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 49
#link: http://www.peptideatlas.org/builds/drosophila//index.php
#publication_year: 2010
#filename: 7227-drosophila_peptideatlas_June_2010.new.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3224208	7227.FBpp0070766	27267	52
3232342	7227.FBpp0086701	7742	777
3233306	7227.FBpp0089424	7578	1264
3228952	7227.FBpp0080102	7152	319
3225202	7227.FBpp0072687	6656	471
3227052	7227.FBpp0076359	6564	451
3237145	7227.FBpp0304265	6376	982
3223888	7227.FBpp0070150	6347	196
3237141	7227.FBpp0304260	6265	3480
3237408	7227.FBpp0305117	6229	980
3236542	7227.FBpp0300615	6189	1190
3232439	7227.FBpp0086895	6144	1098
3231792	7227.FBpp0085585	5982	320
3235981	7227.FBpp0293502	5945	1025
3237713	7227.FBpp0306039	5467	325
3228463	7227.FBpp0079168	5388	30
3224746	7227.FBpp0071794	5160	2733
3233552	7227.FBpp0099688	5154	1230
3228624	7227.FBpp0079484	5059	274
3229818	7227.FBpp0081820	4988	1085
3227173	7227.FBpp0076602	4930	683
3230195	7227.FBpp0082535	4788	1027
3226981	7227.FBpp0076207	4750	569
3236828	7227.FBpp0302781	4728	2479
3233181	7227.FBpp0088688	4478	857
3232879	7227.FBpp0087823	4425	667
3233551	7227.FBpp0099686	4385	816
3226578	7227.FBpp0075401	4363	3324
3224911	7227.FBpp0072097	4256	836
3227672	7227.FBpp0077572	4233	2485
3237655	7227.FBpp0305828	4175	3940
3225836	7227.FBpp0073922	4088	3020
3225880	7227.FBpp0074017	4044	1398
3224601	7227.FBpp0071518	3945	55
3224799	7227.FBpp0071903	3889	332
3232546	7227.FBpp0087115	3864	239
3227008	7227.FBpp0076270	3711	2107
3230872	7227.FBpp0083802	3685	668
3231873	7227.FBpp0085721	3652	3070
3230191	7227.FBpp0082516	3625	3872
3225576	7227.FBpp0073445	3573	3319
3227448	7227.FBpp0077142	3544	84
3224752	7227.FBpp0071808	3543	765
3236564	7227.FBpp0300803	3525	998
3225038	7227.FBpp0072312	3522	217
3232473	7227.FBpp0086971	3509	758
3237680	7227.FBpp0305911	3448	236
3233642	7227.FBpp0100124	3444	5709
3225656	7227.FBpp0073594	3393	1055
3233763	7227.FBpp0110412	3383	67
3225492	7227.FBpp0073290	3382	2691
3231292	7227.FBpp0084617	3381	964
3230434	7227.FBpp0082987	3337	1402
3226771	7227.FBpp0075764	3303	1134
3224118	7227.FBpp0070607	3265	385
3231677	7227.FBpp0085365	3256	5624
3237616	7227.FBpp0305732	3180	480
3226689	7227.FBpp0075618	3163	635
3228583	7227.FBpp0079406	3158	2180
3230639	7227.FBpp0083371	3114	341
3226663	7227.FBpp0075575	3105	582
3228773	7227.FBpp0079772	3099	1403
3232575	7227.FBpp0087164	3026	1650
3233277	7227.FBpp0089196	2969	638
3223957	7227.FBpp0070279	2959	932
3232963	7227.FBpp0087977	2953	2560
3232046	7227.FBpp0086103	2939	149
3237211	7227.FBpp0304478	2935	1256
3227532	7227.FBpp0077309	2920	298
3224656	7227.FBpp0071625	2894	326
3231153	7227.FBpp0084340	2824	13
3237420	7227.FBpp0305165	2800	966
3233556	7227.FBpp0099728	2779	673
3228541	7227.FBpp0079328	2749	150
3237404	7227.FBpp0305095	2713	2690
3236987	7227.FBpp0303728	2711	316
3225413	7227.FBpp0073126	2707	784
3229253	7227.FBpp0080707	2671	1137
3232418	7227.FBpp0086858	2617	540
3231620	7227.FBpp0085223	2566	588
3224734	7227.FBpp0071766	2536	218
3236397	7227.FBpp0297923	2530	267
3237000	7227.FBpp0303780	2521	139
3232727	7227.FBpp0087500	2484	852
3229701	7227.FBpp0081581	2481	1405
3229819	7227.FBpp0081822	2406	899
3237212	7227.FBpp0304479	2403	909
3223884	7227.FBpp0070143	2376	527
3225487	7227.FBpp0073280	2368	945
3232131	7227.FBpp0086269	2365	405
3224496	7227.FBpp0071295	2337	107
3224518	7227.FBpp0071354	2329	1504
3237758	7227.FBpp0306232	2306	898
3225907	7227.FBpp0074086	2276	175
3227217	7227.FBpp0076702	2262	634
3227216	7227.FBpp0076701	2262	634
3224907	7227.FBpp0072083	2224	645
3237429	7227.FBpp0305182	2173	2693
3228075	7227.FBpp0078354	2172	201
3233111	7227.FBpp0088441	2112	576
3233630	7227.FBpp0100048	2101	1163
3228111	7227.FBpp0078416	2085	62
3225562	7227.FBpp0073422	2083	1281
3228764	7227.FBpp0079752	2081	435
3235505	7227.FBpp0291653	2057	350
3232775	7227.FBpp0087608	2029	155
3228657	7227.FBpp0079542	2029	553
3230087	7227.FBpp0082320	1993	610
3230025	7227.FBpp0082198	1963	2161
3228636	7227.FBpp0079500	1946	513
3226119	7227.FBpp0074500	1946	375
3237348	7227.FBpp0304879	1944	462
3224769	7227.FBpp0071846	1936	249
3229833	7227.FBpp0081845	1927	88
3226014	7227.FBpp0074285	1873	712
3224767	7227.FBpp0071844	1865	479
3228653	7227.FBpp0079536	1863	361
3226279	7227.FBpp0074825	1839	1536
3229470	7227.FBpp0081153	1762	3034
3231862	7227.FBpp0085703	1761	445
3229417	7227.FBpp0081062	1743	3025
3226687	7227.FBpp0075612	1740	456
3231478	7227.FBpp0084959	1724	198
3226685	7227.FBpp0075609	1717	128
3231049	7227.FBpp0084150	1715	633
3226622	7227.FBpp0075491	1657	2033
3235536	7227.FBpp0291726	1640	102
3225327	7227.FBpp0072957	1603	142
3224906	7227.FBpp0072081	1602	427
3225514	7227.FBpp0073328	1587	526
3226957	7227.FBpp0076152	1583	136
3224520	7227.FBpp0071359	1578	1147
3228759	7227.FBpp0079746	1567	419
3237665	7227.FBpp0305858	1566	165
3228689	7227.FBpp0079606	1561	578
3233221	7227.FBpp0088904	1561	898
3237464	7227.FBpp0305272	1559	1016
3226120	7227.FBpp0074503	1521	361
3231626	7227.FBpp0085233	1520	799
3227463	7227.FBpp0077159	1513	457
3224277	7227.FBpp0070877	1512	350
3224379	7227.FBpp0071087	1511	262
3225252	7227.FBpp0072801	1509	369
3230758	7227.FBpp0083611	1496	1410
3233124	7227.FBpp0088506	1495	366
3236976	7227.FBpp0303680	1492	751
3236665	7227.FBpp0301282	1487	432
3230432	7227.FBpp0082985	1486	704
3229122	7227.FBpp0080452	1483	3379
3224363	7227.FBpp0071050	1481	553
3224364	7227.FBpp0071052	1481	553
3231454	7227.FBpp0084918	1477	282
3224252	7227.FBpp0070842	1474	384
3228706	7227.FBpp0079640	1417	539
3228875	7227.FBpp0079979	1374	404
3234233	7227.FBpp0112436	1359	399
3226324	7227.FBpp0074906	1351	913
3234029	7227.FBpp0111818	1349	1568
3225302	7227.FBpp0072908	1339	170
3227032	7227.FBpp0076318	1327	87
3224305	7227.FBpp0070940	1310	140
3232588	7227.FBpp0087186	1304	435
3231369	7227.FBpp0084761	1297	704
3231604	7227.FBpp0085193	1290	1407
3225686	7227.FBpp0073652	1288	871
3230215	7227.FBpp0082574	1262	228
3228170	7227.FBpp0078561	1256	687
3231098	7227.FBpp0084242	1254	169
3225963	7227.FBpp0074180	1253	280
3237619	7227.FBpp0305736	1237	312
3226968	7227.FBpp0076182	1229	331
3228599	7227.FBpp0079443	1222	226
3224860	7227.FBpp0072009	1214	236
3229093	7227.FBpp0080395	1206	682
3228519	7227.FBpp0079282	1199	970
3236550	7227.FBpp0300652	1191	137
3231591	7227.FBpp0085166	1188	270
3229995	7227.FBpp0082139	1169	908
3232813	7227.FBpp0087704	1168	438
3227904	7227.FBpp0078024	1168	172
3229884	7227.FBpp0081947	1156	180
3230193	7227.FBpp0082522	1132	207
3225313	7227.FBpp0072932	1126	233
3232350	7227.FBpp0086719	1123	470
3225008	7227.FBpp0072250	1121	637
3236391	7227.FBpp0297911	1108	767
