#id: 3406635144
#name: D.melanogaster - Whole organism, Earlier embyro, SC (Pride,prd000083,2013)
#score: 2.0
#weight:  2%
#description: abundance based on Spectral counting, earlier embyro, Interaction consistency score: 2.0, Coverage: 92
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 92
#link: http://www.ebi.ac.uk/pride/
#publication_year: 2013
#filename: 7227-fruitFly2_earlyEmbryoCell_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3225202	7227.FBpp0072687	19528	3868
3224208	7227.FBpp0070766	9103	280
3224518	7227.FBpp0071354	8144	14710
3224520	7227.FBpp0071359	7558	12369
3225686	7227.FBpp0073652	6876	9496
3237141	7227.FBpp0304260	5458	8867
3225038	7227.FBpp0072312	5282	1020
3231500	7227.FBpp0084993	5252	41
3236542	7227.FBpp0300615	4777	2530
3227463	7227.FBpp0077159	4764	3834
3230191	7227.FBpp0082516	4336	13852
3224601	7227.FBpp0071518	4289	250
3225327	7227.FBpp0072957	4221	896
3233572	7227.FBpp0099824	3814	2102
3227448	7227.FBpp0077142	3749	479
3228689	7227.FBpp0079606	3493	3956
3228541	7227.FBpp0079328	3477	468
3232546	7227.FBpp0087115	3370	576
3237348	7227.FBpp0304879	3313	3029
3234374	7227.FBpp0271790	3283	1905
3231873	7227.FBpp0085721	3230	15565
3229833	7227.FBpp0081845	3148	349
3225907	7227.FBpp0074086	3059	742
3224630	7227.FBpp0071571	3033	9713
3231591	7227.FBpp0085166	3020	1287
3230872	7227.FBpp0083802	2940	1384
3235563	7227.FBpp0291942	2915	8
3233306	7227.FBpp0089424	2878	702
3224379	7227.FBpp0071087	2865	953
3231153	7227.FBpp0084340	2841	148
3231292	7227.FBpp0084617	2729	1821
3229720	7227.FBpp0081614	2666	240
3229668	7227.FBpp0081527	2563	313
3237000	7227.FBpp0303780	2552	284
3228952	7227.FBpp0080102	2537	401
3229884	7227.FBpp0081947	2462	718
3237665	7227.FBpp0305858	2338	606
3236987	7227.FBpp0303728	2258	486
3224769	7227.FBpp0071846	2240	435
3227052	7227.FBpp0076359	2238	470
3235575	7227.FBpp0292009	2201	2
3231792	7227.FBpp0085585	2136	459
3230434	7227.FBpp0082987	2130	1792
3223888	7227.FBpp0070150	2115	199
3228746	7227.FBpp0079716	2063	10
3224118	7227.FBpp0070607	2034	372
3228653	7227.FBpp0079536	2010	1042
3237713	7227.FBpp0306039	1999	894
3228111	7227.FBpp0078416	1965	327
3235505	7227.FBpp0291653	1951	577
3228463	7227.FBpp0079168	1928	124
3227648	7227.FBpp0077537	1905	2383
3224277	7227.FBpp0070877	1868	934
3237211	7227.FBpp0304478	1848	1622
3226298	7227.FBpp0074859	1841	105
3224767	7227.FBpp0071844	1840	1036
3237452	7227.FBpp0305238	1829	11
3226014	7227.FBpp0074285	1822	1460
3225252	7227.FBpp0072801	1773	991
3226578	7227.FBpp0075401	1755	2658
3231157	7227.FBpp0084345	1713	285
3231478	7227.FBpp0084959	1696	469
3225836	7227.FBpp0073922	1692	2748
3226957	7227.FBpp0076152	1682	496
3230520	7227.FBpp0083141	1670	773
3224734	7227.FBpp0071766	1633	374
3227672	7227.FBpp0077572	1622	1846
3225656	7227.FBpp0073594	1608	1102
3224821	7227.FBpp0071942	1588	224
3225880	7227.FBpp0074017	1586	1731
3224101	7227.FBpp0070575	1579	3344
3224099	7227.FBpp0070573	1579	3344
3226986	7227.FBpp0076224	1525	1084
3226164	7227.FBpp0074584	1524	316
3237608	7227.FBpp0305700	1505	3866
3224799	7227.FBpp0071903	1493	244
3232131	7227.FBpp0086269	1428	455
3232046	7227.FBpp0086103	1417	256
3233551	7227.FBpp0099686	1334	458
3226771	7227.FBpp0075764	1311	644
3226119	7227.FBpp0074500	1308	490
3234029	7227.FBpp0111818	1289	3951
3237655	7227.FBpp0305828	1266	3561
3225457	7227.FBpp0073222	1263	861
3224961	7227.FBpp0072177	1261	11464
3225514	7227.FBpp0073328	1249	758
3230639	7227.FBpp0083371	1231	264
3228624	7227.FBpp0079484	1229	281
3227795	7227.FBpp0077790	1207	1348
3230069	7227.FBpp0082264	1207	1664
3229666	7227.FBpp0081524	1194	10526
