#id: 2146369212
#name: D.rerio - Whole organism (Integrated)
#score: 31.3
#description: integrated dataset: weighted average of all D.rerio WHOLE_ORGANISM, Interaction consistency score: 31.3, Coverage: 57
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 57
#publication_year: 2022
#filename: 7955-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
3577262	7955.ENSDARP00000092488	9614
3583776	7955.ENSDARP00000109518	9614
3579636	7955.ENSDARP00000100779	8464
3579761	7955.ENSDARP00000101082	8046
3579931	7955.ENSDARP00000101541	7287
3566348	7955.ENSDARP00000006339	6192
3570303	7955.ENSDARP00000050237	5423
3572361	7955.ENSDARP00000063799	5304
3576353	7955.ENSDARP00000088354	5125
3589178	7955.ENSDARP00000122263	4670
3570965	7955.ENSDARP00000054986	4664
3581582	7955.ENSDARP00000105443	4483
3571894	7955.ENSDARP00000060744	4463
3585260	7955.ENSDARP00000112199	4009
3570984	7955.ENSDARP00000055135	3983
3573917	7955.ENSDARP00000072687	3965
3575763	7955.ENSDARP00000084277	3732
3579803	7955.ENSDARP00000101193	3732
3585524	7955.ENSDARP00000112824	3732
3585724	7955.ENSDARP00000113307	3732
3591366	7955.ENSDARP00000127943	3732
3591753	7955.ENSDARP00000128757	3732
3592023	7955.ENSDARP00000129330	3732
3569236	7955.ENSDARP00000037871	3615
3579413	7955.ENSDARP00000100195	3564
3573044	7955.ENSDARP00000067896	3560
3577531	7955.ENSDARP00000093781	3560
3577534	7955.ENSDARP00000093790	3560
3579085	7955.ENSDARP00000099321	3560
3581455	7955.ENSDARP00000105220	3560
3582828	7955.ENSDARP00000107737	3560
3585047	7955.ENSDARP00000111851	3560
3590883	7955.ENSDARP00000126796	3560
3586362	7955.ENSDARP00000115012	3467
3591762	7955.ENSDARP00000128775	3394
3571683	7955.ENSDARP00000059365	3344
3571958	7955.ENSDARP00000061164	3343
3574937	7955.ENSDARP00000077832	3317
3575508	7955.ENSDARP00000082327	3317
3579848	7955.ENSDARP00000101311	3317
3579903	7955.ENSDARP00000101467	3317
3580053	7955.ENSDARP00000101862	3317
3581027	7955.ENSDARP00000104379	3317
3581376	7955.ENSDARP00000105059	3317
3581427	7955.ENSDARP00000105168	3317
3582030	7955.ENSDARP00000106245	3317
3582143	7955.ENSDARP00000106443	3317
3582167	7955.ENSDARP00000106496	3317
3582243	7955.ENSDARP00000106634	3317
3582447	7955.ENSDARP00000107028	3317
3582507	7955.ENSDARP00000107148	3317
3582717	7955.ENSDARP00000107547	3317
3582747	7955.ENSDARP00000107585	3317
3582939	7955.ENSDARP00000107946	3317
3582961	7955.ENSDARP00000107998	3317
3583513	7955.ENSDARP00000109044	3317
3583528	7955.ENSDARP00000109071	3317
3583635	7955.ENSDARP00000109257	3317
3583658	7955.ENSDARP00000109299	3317
3583687	7955.ENSDARP00000109355	3317
3584547	7955.ENSDARP00000110935	3317
3584679	7955.ENSDARP00000111175	3317
3584867	7955.ENSDARP00000111526	3317
3585008	7955.ENSDARP00000111786	3317
3585088	7955.ENSDARP00000111930	3317
3585153	7955.ENSDARP00000112034	3317
3591884	7955.ENSDARP00000129044	3317
3592042	7955.ENSDARP00000129378	3317
3583232	7955.ENSDARP00000108502	3307
3585976	7955.ENSDARP00000113988	3278
3571826	7955.ENSDARP00000060309	3104
3571556	7955.ENSDARP00000058628	3098
3570634	7955.ENSDARP00000052760	3090
3573421	7955.ENSDARP00000069948	3087
3572118	7955.ENSDARP00000062369	3066
3579514	7955.ENSDARP00000100434	3066
3568540	7955.ENSDARP00000027947	3002
3570056	7955.ENSDARP00000047268	2915
3576638	7955.ENSDARP00000089753	2915
3587461	7955.ENSDARP00000117879	2915
3588427	7955.ENSDARP00000120344	2915
3573914	7955.ENSDARP00000072678	2883
3570642	7955.ENSDARP00000052837	2847
3574408	7955.ENSDARP00000075110	2837
3570678	7955.ENSDARP00000053076	2597
3572771	7955.ENSDARP00000066429	2572
3570414	7955.ENSDARP00000051361	2543
3578167	7955.ENSDARP00000096504	2527
3573043	7955.ENSDARP00000067895	2524
3581301	7955.ENSDARP00000104918	2524
3582368	7955.ENSDARP00000106877	2524
3583181	7955.ENSDARP00000108417	2524
3585311	7955.ENSDARP00000112301	2524
3586968	7955.ENSDARP00000116574	2524
3589719	7955.ENSDARP00000123619	2524
3573041	7955.ENSDARP00000067891	2524
3573054	7955.ENSDARP00000067945	2524
3577530	7955.ENSDARP00000093780	2524
3580599	7955.ENSDARP00000103318	2524
3582554	7955.ENSDARP00000107234	2524
3573042	7955.ENSDARP00000067893	2524
3576832	7955.ENSDARP00000090632	2524
3581495	7955.ENSDARP00000105290	2524
3580367	7955.ENSDARP00000102682	2523
3581033	7955.ENSDARP00000104399	2522
3577533	7955.ENSDARP00000093787	2522
3578856	7955.ENSDARP00000098726	2522
3580387	7955.ENSDARP00000102749	2522
3580705	7955.ENSDARP00000103576	2522
3580802	7955.ENSDARP00000103819	2522
3581151	7955.ENSDARP00000104630	2522
3583393	7955.ENSDARP00000108828	2522
3584507	7955.ENSDARP00000110869	2522
3576869	7955.ENSDARP00000090794	2521
3569433	7955.ENSDARP00000040396	2517
3582552	7955.ENSDARP00000107232	2477
3577521	7955.ENSDARP00000093747	2417
3591308	7955.ENSDARP00000127819	2377
3576784	7955.ENSDARP00000090434	2289
3584444	7955.ENSDARP00000110759	2286
3572340	7955.ENSDARP00000063661	2197
3567392	7955.ENSDARP00000016453	2173
3574520	7955.ENSDARP00000075658	2167
3583765	7955.ENSDARP00000109497	2144
3583335	7955.ENSDARP00000108711	2096
3586775	7955.ENSDARP00000116075	2042
3571955	7955.ENSDARP00000061148	2014
3567332	7955.ENSDARP00000015917	2009
3583079	7955.ENSDARP00000108224	2008
3578212	7955.ENSDARP00000096674	2006
3567480	7955.ENSDARP00000017326	2001
3568837	7955.ENSDARP00000032453	1982
3576174	7955.ENSDARP00000087462	1975
3568041	7955.ENSDARP00000023063	1962
3569365	7955.ENSDARP00000039656	1958
3586379	7955.ENSDARP00000115054	1927
3587939	7955.ENSDARP00000119055	1923
3588581	7955.ENSDARP00000120742	1921
3569689	7955.ENSDARP00000043172	1916
3569423	7955.ENSDARP00000040327	1893
3586591	7955.ENSDARP00000115580	1891
3579264	7955.ENSDARP00000099772	1878
3584765	7955.ENSDARP00000111326	1869
3590857	7955.ENSDARP00000126732	1846
3569507	7955.ENSDARP00000041278	1833
3567578	7955.ENSDARP00000018197	1827
3570974	7955.ENSDARP00000055061	1785
3566285	7955.ENSDARP00000005719	1720
3571967	7955.ENSDARP00000061273	1715
3568052	7955.ENSDARP00000023177	1699
3567991	7955.ENSDARP00000022592	1697
3567233	7955.ENSDARP00000014978	1682
3568675	7955.ENSDARP00000029933	1623
3566070	7955.ENSDARP00000003641	1596
3567128	7955.ENSDARP00000013777	1594
3584450	7955.ENSDARP00000110768	1585
3569437	7955.ENSDARP00000040421	1583
3590849	7955.ENSDARP00000126712	1581
3581392	7955.ENSDARP00000105094	1522
3568045	7955.ENSDARP00000023121	1521
3570716	7955.ENSDARP00000053303	1513
3569934	7955.ENSDARP00000045900	1495
3583001	7955.ENSDARP00000108089	1493
3577111	7955.ENSDARP00000091899	1489
3567727	7955.ENSDARP00000019888	1470
3567271	7955.ENSDARP00000015328	1467
3566380	7955.ENSDARP00000006624	1446
3577535	7955.ENSDARP00000093791	1437
3578737	7955.ENSDARP00000098432	1436
3570302	7955.ENSDARP00000050236	1436
3579924	7955.ENSDARP00000101525	1436
3581760	7955.ENSDARP00000105746	1436
3584315	7955.ENSDARP00000110511	1436
3585117	7955.ENSDARP00000111973	1436
3582808	7955.ENSDARP00000107702	1436
3585814	7955.ENSDARP00000113541	1436
3589594	7955.ENSDARP00000123323	1436
3580400	7955.ENSDARP00000102775	1436
3584751	7955.ENSDARP00000111298	1436
3584846	7955.ENSDARP00000111493	1436
3585190	7955.ENSDARP00000112092	1436
3587029	7955.ENSDARP00000116739	1436
3588853	7955.ENSDARP00000121459	1436
3573055	7955.ENSDARP00000067948	1433
3571119	7955.ENSDARP00000055912	1433
3567087	7955.ENSDARP00000013329	1432
3572834	7955.ENSDARP00000066858	1420
3582492	7955.ENSDARP00000107122	1420
3589069	7955.ENSDARP00000122009	1419
3574007	7955.ENSDARP00000073057	1418
3579276	7955.ENSDARP00000099813	1418
3573768	7955.ENSDARP00000072006	1415
3585431	7955.ENSDARP00000112527	1411
3565901	7955.ENSDARP00000002175	1404
3567605	7955.ENSDARP00000018594	1404
3571029	7955.ENSDARP00000055379	1401
3568238	7955.ENSDARP00000024900	1397
3573057	7955.ENSDARP00000067953	1389
3588935	7955.ENSDARP00000121670	1388
3580592	7955.ENSDARP00000103300	1356
3577261	7955.ENSDARP00000092484	1346
3571508	7955.ENSDARP00000058383	1342
3572065	7955.ENSDARP00000061957	1341
3583665	7955.ENSDARP00000109315	1340
3577465	7955.ENSDARP00000093490	1339
3582317	7955.ENSDARP00000106781	1326
3584817	7955.ENSDARP00000111447	1326
3591926	7955.ENSDARP00000129150	1325
3580850	7955.ENSDARP00000103937	1323
3572107	7955.ENSDARP00000062323	1314
3567186	7955.ENSDARP00000014456	1277
3570413	7955.ENSDARP00000051359	1272
3573022	7955.ENSDARP00000067802	1257
3568227	7955.ENSDARP00000024752	1232
3578291	7955.ENSDARP00000097050	1230
3580564	7955.ENSDARP00000103208	1224
3584687	7955.ENSDARP00000111194	1218
3570274	7955.ENSDARP00000049894	1218
3582141	7955.ENSDARP00000106441	1214
3576867	7955.ENSDARP00000090766	1211
3573318	7955.ENSDARP00000069300	1202
3566197	7955.ENSDARP00000004932	1200
3566729	7955.ENSDARP00000010055	1195
3568926	7955.ENSDARP00000033600	1179
3568732	7955.ENSDARP00000030881	1178
3583471	7955.ENSDARP00000108965	1171
3586737	7955.ENSDARP00000115964	1165
3570629	7955.ENSDARP00000052729	1126
3572732	7955.ENSDARP00000066176	1126
3577519	7955.ENSDARP00000093734	1120
