#id: 3913726085
#name: Danio rerio - Brain, SC (Kelkar,mcp,2014)
#score: 13.1
#description: abundance based on Spectral counting, Interaction consistency score: 13.1, Coverage: 13
#organ: BRAIN
#integrated: false
#coverage: 13
#link: http://www.ncbi.nlm.nih.gov/pubmed/25060758
#publication_year: 2014
#filename: 7955-ZF_Brain_Kelkar_2014_SEQUEST.txt
#
#string_external_id	abundance	raw_spectral_count
7955.ENSDARP00000049894	47053	1693
7955.ENSDARP00000096504	13308	1501
7955.ENSDARP00000100779	9764	707
7955.ENSDARP00000024900	9547	1144
7955.ENSDARP00000126314	8532	329
7955.ENSDARP00000101541	7669	640
7955.ENSDARP00000014456	7065	479
7955.ENSDARP00000058383	6879	556
7955.ENSDARP00000109518	6283	948
7955.ENSDARP00000092488	6283	948
7955.ENSDARP00000101478	6061	348
7955.ENSDARP00000023121	6023	377
7955.ENSDARP00000018865	5900	271
7955.ENSDARP00000013329	5836	487
7955.ENSDARP00000022077	5251	781
7955.ENSDARP00000023671	5022	463
7955.ENSDARP00000066176	4983	2278
7955.ENSDARP00000105094	4890	2811
7955.ENSDARP00000066372	4816	381
7955.ENSDARP00000063661	4525	428
7955.ENSDARP00000061957	4368	150
7955.ENSDARP00000112199	4354	265
7955.ENSDARP00000060309	4223	677
7955.ENSDARP00000012776	4159	595
7955.ENSDARP00000107557	4114	195
7955.ENSDARP00000072006	3778	2613
7955.ENSDARP00000003389	3734	235
7955.ENSDARP00000051848	3716	296
7955.ENSDARP00000054986	3597	939
7955.ENSDARP00000122263	3597	939
7955.ENSDARP00000024492	3527	295
7955.ENSDARP00000002175	3496	1442
7955.ENSDARP00000061012	3491	33
7955.ENSDARP00000027947	3361	475
7955.ENSDARP00000073439	3358	305
7955.ENSDARP00000040396	3278	169
7955.ENSDARP00000019888	3266	2505
7955.ENSDARP00000034555	3240	111
7955.ENSDARP00000061273	3237	61
7955.ENSDARP00000072376	3229	172
7955.ENSDARP00000108556	3227	293
7955.ENSDARP00000003738	3189	557
7955.ENSDARP00000119055	3071	1731
7955.ENSDARP00000023177	3011	165
7955.ENSDARP00000013777	2948	171
7955.ENSDARP00000022592	2942	188
7955.ENSDARP00000053303	2935	2378
7955.ENSDARP00000088354	2845	310
7955.ENSDARP00000038799	2836	116
7955.ENSDARP00000074756	2788	44
7955.ENSDARP00000052729	2764	88
7955.ENSDARP00000030881	2762	595
7955.ENSDARP00000022550	2722	374
7955.ENSDARP00000029933	2696	2263
7955.ENSDARP00000018594	2628	27
7955.ENSDARP00000041278	2603	1807
7955.ENSDARP00000108089	2539	161
7955.ENSDARP00000041959	2515	358
7955.ENSDARP00000055185	2514	39
7955.ENSDARP00000011271	2505	317
7955.ENSDARP00000050220	2501	151
7955.ENSDARP00000012500	2416	415
7955.ENSDARP00000061148	2414	1704
7955.ENSDARP00000032575	2404	445
7955.ENSDARP00000040203	2398	1625
7955.ENSDARP00000060055	2362	279
7955.ENSDARP00000060744	2339	310
7955.ENSDARP00000091899	2327	91
7955.ENSDARP00000053076	2293	113
