#id: 2058772242
#name: Danio rerio - Embryo, 120hr, SC (Kelkar,mcp,2014)
#score: 11.2
#description: abundance based on Spectral counting, 120hr, Interaction consistency score: 11.2, Coverage: 9
#organ: EMBRYO
#integrated: false
#coverage: 9
#link: http://www.ncbi.nlm.nih.gov/pubmed/25060758
#publication_year: 2014
#filename: 7955-ZF_Embryo120hr_Kelkar_2014_SEQUEST.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3571683	7955.ENSDARP00000059365	17338	1555
3581582	7955.ENSDARP00000105443	16437	460
3569236	7955.ENSDARP00000037871	14663	1415
3569764	7955.ENSDARP00000043931	10710	2354
3570634	7955.ENSDARP00000052760	9867	4
3573421	7955.ENSDARP00000069948	7707	580
3572361	7955.ENSDARP00000063799	7605	483
3586379	7955.ENSDARP00000115054	6689	14680
3589375	7955.ENSDARP00000122750	6684	448
3570984	7955.ENSDARP00000055135	6490	3026
3579264	7955.ENSDARP00000099772	5924	13882
3569365	7955.ENSDARP00000039656	5923	393
3579413	7955.ENSDARP00000100195	5795	2385
3584765	7955.ENSDARP00000111326	5706	13541
3584241	7955.ENSDARP00000110377	5572	437
3571556	7955.ENSDARP00000058628	5502	2925
3568041	7955.ENSDARP00000023063	5354	475
3576526	7955.ENSDARP00000089179	5254	193
3568540	7955.ENSDARP00000027947	5212	489
3572340	7955.ENSDARP00000063661	5172	335
3570414	7955.ENSDARP00000051361	5104	12237
3572118	7955.ENSDARP00000062369	5094	2910
3579514	7955.ENSDARP00000100434	5094	2910
3573057	7955.ENSDARP00000067953	5092	205
3583079	7955.ENSDARP00000108224	5075	12271
3566197	7955.ENSDARP00000004932	5030	249
3570642	7955.ENSDARP00000052837	4992	2891
3570045	7955.ENSDARP00000047158	4946	116
3574408	7955.ENSDARP00000075110	4924	2880
3571936	7955.ENSDARP00000061000	4866	253
3578167	7955.ENSDARP00000096504	4812	441
3571826	7955.ENSDARP00000060309	4777	506
3572771	7955.ENSDARP00000066429	4775	2724
3586775	7955.ENSDARP00000116075	4547	12081
3566348	7955.ENSDARP00000006339	4423	372
3572907	7955.ENSDARP00000067159	4375	245
3578212	7955.ENSDARP00000096674	4294	1275
3573022	7955.ENSDARP00000067802	4246	226
3579761	7955.ENSDARP00000101082	4212	104
3570965	7955.ENSDARP00000054986	4174	1342
3589178	7955.ENSDARP00000122263	4174	1342
3589907	7955.ENSDARP00000124217	4065	181
3570974	7955.ENSDARP00000055061	4033	77
3569224	7955.ENSDARP00000037759	4017	93
3569689	7955.ENSDARP00000043172	3916	72
3571508	7955.ENSDARP00000058383	3719	226
3573172	7955.ENSDARP00000068586	3651	228
3591553	7955.ENSDARP00000128327	3499	154
3571504	7955.ENSDARP00000058363	3441	76
3592141	7955.ENSDARP00000129610	3439	341
3576935	7955.ENSDARP00000091082	3436	196
3586591	7955.ENSDARP00000115580	3353	119
