#id: 2371276880
#name: D.rerio - Muscle, SC (Kelkar,mcp,2014)
#score: 11.0
#weight:  100%
#description: abundance based on Spectral counting, Interaction consistency score: 11.0, Coverage: 5
#organ: MUSCLE
#integrated: false
#coverage: 5
#link: http://www.ncbi.nlm.nih.gov/pubmed/25060758
#publication_year: 2014
#filename: 7955-ZF_Muscle_Kelkar_2014_SEQUEST.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3579761	7955.ENSDARP00000101082	57967	814
3581582	7955.ENSDARP00000105443	38450	811
3568482	7955.ENSDARP00000027342	22966	241
3569236	7955.ENSDARP00000037871	20917	1318
3572361	7955.ENSDARP00000063799	20835	772
3571683	7955.ENSDARP00000059365	20341	1289
3573421	7955.ENSDARP00000069948	14624	632
3570414	7955.ENSDARP00000051361	11005	10132
3578212	7955.ENSDARP00000096674	10528	1291
3570303	7955.ENSDARP00000050237	10416	4981
3586591	7955.ENSDARP00000115580	9576	213
3570974	7955.ENSDARP00000055061	9462	134
3579636	7955.ENSDARP00000100779	9095	267
3567128	7955.ENSDARP00000013777	8747	241
3588581	7955.ENSDARP00000120742	8336	449
3578167	7955.ENSDARP00000096504	7899	438
3570984	7955.ENSDARP00000055135	7677	1993
3576647	7955.ENSDARP00000089772	7601	130
3568540	7955.ENSDARP00000027947	7336	447
3568041	7955.ENSDARP00000023063	7281	431
3571826	7955.ENSDARP00000060309	7252	451
3586775	7955.ENSDARP00000116075	7207	8985
3579931	7955.ENSDARP00000101541	6989	240
3573917	7955.ENSDARP00000072687	6822	4082
3568837	7955.ENSDARP00000032453	6719	121
3568732	7955.ENSDARP00000030881	6656	400
3571958	7955.ENSDARP00000061164	6488	2055
3579413	7955.ENSDARP00000100195	6357	1457
3584241	7955.ENSDARP00000110377	6321	308
3586362	7955.ENSDARP00000115012	6160	3824
3566040	7955.ENSDARP00000003389	6037	165
3585976	7955.ENSDARP00000113988	5856	3753
3572340	7955.ENSDARP00000063661	5741	239
3585260	7955.ENSDARP00000112199	5722	149
3583079	7955.ENSDARP00000108224	5439	8675
3570634	7955.ENSDARP00000052760	5248	2
3588935	7955.ENSDARP00000121670	5225	100
3566197	7955.ENSDARP00000004932	5101	149
3569365	7955.ENSDARP00000039656	4963	213
3574334	7955.ENSDARP00000074719	4890	122
3571556	7955.ENSDARP00000058628	4774	1835
3573914	7955.ENSDARP00000072678	4687	3252
3567578	7955.ENSDARP00000018197	4658	137
3583776	7955.ENSDARP00000109518	4588	291
3577262	7955.ENSDARP00000092488	4588	291
3579514	7955.ENSDARP00000100434	4524	1821
3572118	7955.ENSDARP00000062369	4524	1821
3570642	7955.ENSDARP00000052837	4396	1806
3577188	7955.ENSDARP00000092223	4361	278
3574408	7955.ENSDARP00000075110	4297	1796
3571219	7955.ENSDARP00000056539	4270	102
3571747	7955.ENSDARP00000059885	4077	144
3572771	7955.ENSDARP00000066429	4013	1614
3569301	7955.ENSDARP00000038799	4001	73
3586379	7955.ENSDARP00000115054	3932	7225
3570413	7955.ENSDARP00000051359	3798	5951
3586737	7955.ENSDARP00000115964	3729	5593
3571777	7955.ENSDARP00000060055	3673	202
3569400	7955.ENSDARP00000040041	3671	98
3584765	7955.ENSDARP00000111326	3613	7481
3579264	7955.ENSDARP00000099772	3338	6822
3566295	7955.ENSDARP00000005837	3319	16
3581446	7955.ENSDARP00000105206	3268	34
3571186	7955.ENSDARP00000056318	3198	34
3571967	7955.ENSDARP00000061273	3181	21
3566489	7955.ENSDARP00000007716	3132	57
3577855	7955.ENSDARP00000095111	3038	69
3570491	7955.ENSDARP00000051848	3027	107
3582141	7955.ENSDARP00000106441	2962	4938
3567630	7955.ENSDARP00000018850	2902	231
3567186	7955.ENSDARP00000014456	2894	97
3569433	7955.ENSDARP00000040396	2893	67
3588416	7955.ENSDARP00000120315	2887	48
3569764	7955.ENSDARP00000043931	2879	574
3567332	7955.ENSDARP00000015917	2870	469
3565855	7955.ENSDARP00000000803	2860	714
3587154	7955.ENSDARP00000117068	2753	40
3569537	7955.ENSDARP00000041530	2748	47
3569604	7955.ENSDARP00000042199	2698	206
3578291	7955.ENSDARP00000097050	2602	172
3570678	7955.ENSDARP00000053076	2588	44
3568238	7955.ENSDARP00000024900	2571	476
3567924	7955.ENSDARP00000022077	2566	233
3584249	7955.ENSDARP00000110392	2491	24
3573386	7955.ENSDARP00000069695	2439	2835
3568045	7955.ENSDARP00000023121	2439	80
3568490	7955.ENSDARP00000027389	2424	171
3569372	7955.ENSDARP00000039787	2420	34
3569334	7955.ENSDARP00000039143	2322	35
3588413	7955.ENSDARP00000120304	2292	51
3576241	7955.ENSDARP00000087872	2281	25
3582385	7955.ENSDARP00000106906	2197	63
3571867	7955.ENSDARP00000060575	2184	43
3579466	7955.ENSDARP00000100331	2097	14
3573708	7955.ENSDARP00000071656	2081	40
3568990	7955.ENSDARP00000034555	2053	32
3573843	7955.ENSDARP00000072376	2045	49
3570857	7955.ENSDARP00000054204	2043	27
3589183	7955.ENSDARP00000122284	2007	82
3583765	7955.ENSDARP00000109497	2005	24
3571611	7955.ENSDARP00000058954	1996	7
3590683	7955.ENSDARP00000126314	1989	36
3579906	7955.ENSDARP00000101478	1976	49
3566084	7955.ENSDARP00000003738	1973	152
3584872	7955.ENSDARP00000111539	1917	147
3570993	7955.ENSDARP00000055185	1905	14
3570965	7955.ENSDARP00000054986	1898	832
3589178	7955.ENSDARP00000122263	1898	832
3590492	7955.ENSDARP00000125799	1888	12
3573833	7955.ENSDARP00000072337	1885	255
3577261	7955.ENSDARP00000092484	1871	53
3572845	7955.ENSDARP00000066929	1814	55
3571512	7955.ENSDARP00000058402	1808	142
3567605	7955.ENSDARP00000018594	1796	7
3566285	7955.ENSDARP00000005719	1748	23
3566860	7955.ENSDARP00000011269	1741	3988
3568457	7955.ENSDARP00000027046	1736	69
3570629	7955.ENSDARP00000052729	1719	24
3569224	7955.ENSDARP00000037759	1711	32
3576243	7955.ENSDARP00000087874	1709	16
3569554	7955.ENSDARP00000041699	1671	59
3576784	7955.ENSDARP00000090434	1669	56
3566395	7955.ENSDARP00000006783	1662	45
3566228	7955.ENSDARP00000005224	1633	549
3571797	7955.ENSDARP00000060165	1618	98
3589868	7955.ENSDARP00000124085	1587	3
3569571	7955.ENSDARP00000041841	1581	35
