#id: 3578903952
#name: Mycobacterium tuberculosis H37Rv - Whole organism, SC (Peptideatlas,feb,2012)
#score: 13.7
#description: abundance based on Spectral counting, Interaction consistency score: 13.7, Coverage: 81
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 81
#link: http://www.peptideatlas.org/builds/
#publication_year: 2012
#filename: 83332-M.tuberculosis_atlas_build_330.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
8820839	83332.Rv3418c	45862	18905
8819405	83332.Rv2031c	37225	17335
8817775	83332.Rv0440	25510	44125
8819765	83332.Rv2376c	15997	4275
8819625	83332.Rv2244	8975	5664
8821189	83332.Rv3763	8801	2998
8821070	83332.Rv3648c	8687	1544
8817684	83332.Rv0350	8590	16431
8817999	83332.Rv0652	8060	1996
8821302	83332.Rv3874	6849	3919
8818286	83332.Rv0934	6608	4993
8817454	83332.Rv0125	6564	2194
8818032	83332.Rv0685	6478	11513
8819254	83332.Rv1886c	6298	5239
8818490	83332.Rv1133c	5678	13514
8821232	83332.Rv3804c	5425	4976
8819240	83332.Rv1872c	4813	8814
8819351	83332.Rv1980c	4712	3053
8818533	83332.Rv1174c	4591	486
8820022	83332.Rv2623	4366	3889
8819228	83332.Rv1860	4326	2684
8820436	83332.Rv3028c	4082	4836
8821231	83332.Rv3803c	4066	2760
8820392	83332.Rv2986c	4033	1501
8819599	83332.Rv2220	3999	7408
8817649	83332.Rv0315	3811	2156
8820278	83332.Rv2875	3790	1094
8820774	83332.Rv3354	3602	303
8821274	83332.Rv3846	3574	2533
8821303	83332.Rv3875	3542	1530
8818754	83332.Rv1392	3498	4733
8819536	83332.Rv2159c	3471	4021
8821269	83332.Rv3841	3374	2593
8817713	83332.Rv0379	3345	678
8817619	83332.Rv0285	3324	503
8820666	83332.Rv3248c	2991	5265
8819295	83332.Rv1926c	2986	1694
8820878	83332.Rv3457c	2954	3334
8820879	83332.Rv3458c	2903	1995
8819301	83332.Rv1932	2838	1505
8819107	83332.Rv1738	2714	1029
8818030	83332.Rv0683	2659	1286
8820687	83332.Rv3269	2638	1060
8819855	83332.Rv2461c	2593	1650
8820312	83332.Rv2909c	2543	986
8820838	83332.Rv3417c	2538	6674
8817335	83332.Rv0009	2517	2392
8818798	83332.Rv1436	2504	3163
8820454	83332.Rv3045	2458	2443
8819685	83332.Rv2302	2448	613
8819516	83332.Rv2140c	2438	1536
8818054	83332.Rv0706	2415	624
8818670	83332.Rv1310	2413	5290
8818862	83332.Rv1498A	2396	652
8818668	83332.Rv1308	2358	4450
8821141	83332.Rv3716c	2340	1004
8820437	83332.Rv3029c	2326	1709
8821277	83332.Rv3849	2299	1260
8821050	83332.Rv3628	2271	817
8817621	83332.Rv0287	2256	463
8818248	83332.Rv0896	2222	3556
8817697	83332.Rv0363c	2222	3062
8817584	83332.Rv0251c	2215	985
8817911	83332.Rv0569	2211	659
8819277	83332.Rv1908c	2195	6685
8820863	83332.Rv3442c	2175	681
8820640	83332.Rv3224	2171	2138
8819195	83332.Rv1827	2161	1471
8818066	83332.Rv0718	2148	987
8819522	83332.Rv2145c	2145	2388
8817458	83332.Rv0129c	2143	1786
8817685	83332.Rv0351	2141	1349
8818069	83332.Rv0721	2082	1417
8817813	83332.Rv0475	2078	1251
8819003	83332.Rv1636	2069	1633
8817767	83332.Rv0432	2003	1017
8818773	83332.Rv1411c	1986	878
8820624	83332.Rv3208A	1981	922
8818183	83332.Rv0831c	1939	2356
8817494	83332.Rv0164	1938	764
8820144	83332.Rv2744c	1938	2398
8820882	83332.Rv3461c	1936	64
8819684	83332.Rv2301	1931	374
8820292	83332.Rv2889c	1918	2098
8818112	83332.Rv0761c	1905	2052
8817380	83332.Rv0054	1876	1031
