#id: 670931187
#name: Mycobacterium tuberculosis H37Rv - Whole organism (Integrated)
#score: 13.5
#coverage: 85
#description: integrated dataset: weighted average of all Mycobacterium tuberculosis H37Rv WHOLE_ORGANISM: 13.5, Coverage: 85
#organ: WHOLE_ORGANISM
#integrated: true
#weights: 83332_GPM_201408:0.293;M.tuberculosis_atlas_build_330:0.141;Mtuberculosis_Albrethsen_2013:0.127;PXD000111_Albrethsen_Mol_Cell_Proteomics_2013_M-tuberculosis_log_phase:0.113;Mycobacterium-tuberculosis_PA_2013-7:0.084;MycobacteriumTuberculosis:0.073;PXD000111_Albrethsen_Mol_Cell_Proteomics_2013_M-tuberculosis_starvation_phase:0.068;83332-PA_201307:0.059;My_PXD000483_Cortes_2013:0.033;PXD000259_Schubert_Cell_Host_Microbe_2014_Mtuberculosis_complete_proteome:0.01;
#publication_year: 2023
#filename: 83332-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
8820839	83332.Rv3418c	46336
8819405	83332.Rv2031c	38764
8817775	83332.Rv0440	25109
8817684	83332.Rv0350	9349
8821302	83332.Rv3874	8950
8819625	83332.Rv2244	8887
8818490	83332.Rv1133c	8692
8819765	83332.Rv2376c	8550
8817999	83332.Rv0652	7537
8818032	83332.Rv0685	6424
8820666	83332.Rv3248c	6236
8821189	83332.Rv3763	6198
8819599	83332.Rv2220	6077
8818286	83332.Rv0934	5216
8818248	83332.Rv0896	5034
8819254	83332.Rv1886c	4984
8821274	83332.Rv3846	4775
8821232	83332.Rv3804c	4459
8821070	83332.Rv3648c	4250
8819205	83332.Rv1837c	4212
8821342	83332.Rv3914	4155
8821303	83332.Rv3875	4110
8817454	83332.Rv0125	4081
8821269	83332.Rv3841	3994
8820687	83332.Rv3269	3816
8817713	83332.Rv0379	3711
8817799	83332.Rv0462	3688
8819228	83332.Rv1860	3651
8820436	83332.Rv3028c	3558
8817543	83332.Rv0211	3534
8820180	83332.Rv2780	3456
8819351	83332.Rv1980c	3450
8818428	83332.Rv1074c	3393
8820392	83332.Rv2986c	3308
8820454	83332.Rv3045	3217
8817697	83332.Rv0363c	3214
8820774	83332.Rv3354	3214
8819301	83332.Rv1932	3184
8820882	83332.Rv3461c	3146
8817335	83332.Rv0009	3140
8818838	83332.Rv1475c	2927
8817393	83332.Rv0066c	2926
8819516	83332.Rv2140c	2875
8820838	83332.Rv3417c	2813
8817685	83332.Rv0351	2777
8820878	83332.Rv3457c	2763
8819522	83332.Rv2145c	2717
8818166	83332.Rv0814c	2707
8820278	83332.Rv2875	2643
8821231	83332.Rv3803c	2619
8820292	83332.Rv2889c	2552
8818750	83332.Rv1388	2527
8819277	83332.Rv1908c	2508
8819295	83332.Rv1926c	2492
8819622	83332.Rv2241	2475
8820344	83332.Rv2940c	2471
8820528	83332.Rv3118	2467
8819861	83332.Rv2467	2459
8819240	83332.Rv1872c	2436
8818754	83332.Rv1392	2424
8817804	83332.Rv0467	2420
8818112	83332.Rv0761c	2400
8818862	83332.Rv1498A	2388
8821228	83332.Rv3800c	2379
8819195	83332.Rv1827	2369
8817649	83332.Rv0315	2330
8817380	83332.Rv0054	2329
8820437	83332.Rv3029c	2296
8817977	83332.Rv0632c	2294
8819003	83332.Rv1636	2286
8819836	83332.Rv2442c	2252
8818054	83332.Rv0706	2224
8818030	83332.Rv0683	2192
8819487	83332.Rv2111c	2188
8817813	83332.Rv0475	2151
8818062	83332.Rv0714	2142
8820408	83332.Rv3001c	2138
8818810	83332.Rv1448c	2117
8818811	83332.Rv1449c	2093
8820982	83332.Rv3561	2080
8820022	83332.Rv2623	2077
8818536	83332.Rv1177	2073
8818670	83332.Rv1310	2033
8821050	83332.Rv3628	2030
8818668	83332.Rv1308	2026
8818643	83332.Rv1284	1996
8820144	83332.Rv2744c	1983
8818798	83332.Rv1436	1968
8819536	83332.Rv2159c	1959
8818183	83332.Rv0831c	1945
8818067	83332.Rv0719	1912
8818167	83332.Rv0815c	1910
8821141	83332.Rv3716c	1877
8818454	83332.Rv1098c	1873
8820640	83332.Rv3224	1845
8818331	83332.Rv0979A	1836
8818063	83332.Rv0715	1808
8818303	83332.Rv0952	1807
8818082	83332.Rv0733	1799
8821019	83332.Rv3597c	1797
8820624	83332.Rv3208A	1784
8818450	83332.Rv1094	1777
8820879	83332.Rv3458c	1770
8819107	83332.Rv1738	1764
8819593	83332.Rv2215	1758
8819563	83332.Rv2185c	1750
8818051	83332.Rv0703	1748
8820307	83332.Rv2904c	1721
8820809	83332.Rv3389c	1713
8818773	83332.Rv1411c	1712
8818071	83332.Rv0723	1701
8818302	83332.Rv0951	1698
8818049	83332.Rv0701	1681
8818064	83332.Rv0716	1677
8819640	83332.Rv2258c	1672
8817458	83332.Rv0129c	1666
8818070	83332.Rv0722	1658
8819855	83332.Rv2461c	1655
8818449	83332.Rv1093	1631
8820312	83332.Rv2909c	1614
8818056	83332.Rv0708	1611
8818533	83332.Rv1174c	1610
8819626	83332.Rv2245	1610
8817805	83332.Rv0468	1608
8820285	83332.Rv2882c	1586
8819486	83332.Rv2110c	1578
8818052	83332.Rv0704	1572
8820703	83332.Rv3285	1556
8820185	83332.Rv2785c	1555
8817379	83332.Rv0053	1547
8818629	83332.Rv1270c	1544
8817581	83332.Rv0248c	1543
8820863	83332.Rv3442c	1540
8818150	83332.Rv0798c	1536
8817767	83332.Rv0432	1536
8818434	83332.Rv1080c	1524
8820183	83332.Rv2783c	1508
8817381	83332.Rv0055	1494
8820881	83332.Rv3460c	1494
8818058	83332.Rv0710	1490
8818236	83332.Rv0884c	1490
8818176	83332.Rv0824c	1486
8820877	83332.Rv3456c	1485
8818376	83332.Rv1023	1462
8821277	83332.Rv3849	1458
8817908	83332.Rv0566c	1458
8818050	83332.Rv0702	1454
8819582	83332.Rv2204c	1453
8818570	83332.Rv1211	1450
8818993	83332.Rv1626	1427
8818015	83332.Rv0668	1426
8819685	83332.Rv2302	1421
8818057	83332.Rv0709	1420
8819244	83332.Rv1876	1407
8818368	83332.Rv1015c	1407
8817718	83332.Rv0384c	1402
8818212	83332.Rv0860	1401
8818997	83332.Rv1630	1399
8819859	83332.Rv2465c	1396
8818963	83332.Rv1596	1377
8819101	83332.Rv1732c	1372
8819684	83332.Rv2301	1365
8820025	83332.Rv2626c	1364
8818066	83332.Rv0718	1355
8818053	83332.Rv0705	1351
8821202	83332.Rv3774	1342
8818684	83332.Rv1323	1342
8820173	83332.Rv2773c	1336
8820276	83332.Rv2873	1334
8819011	83332.Rv1643	1334
8817621	83332.Rv0287	1331
8820281	83332.Rv2878c	1330
8820445	83332.Rv3036c	1329
8817983	83332.Rv0636	1327
8817911	83332.Rv0569	1325
8817919	83332.Rv0577	1324
8821229	83332.Rv3801c	1312
8821123	83332.Rv3699	1310
8820031	83332.Rv2632c	1305
8819580	83332.Rv2202c	1299
8817619	83332.Rv0285	1299
8817575	83332.Rv0242c	1296
8817477	83332.Rv0148	1290
8818284	83332.Rv0932c	1273
8818370	83332.Rv1017c	1269
8817839	83332.Rv0500	1268
8820698	83332.Rv3280	1265
8818479	83332.Rv1122	1253
8818518	83332.Rv1159A	1245
8817576	83332.Rv0243	1241
8819485	83332.Rv2109c	1238
8820484	83332.Rv3075c	1232
8819735	83332.Rv2346c	1219
8818055	83332.Rv0707	1215
8818431	83332.Rv1077	1202
8820377	83332.Rv2971	1198
8818069	83332.Rv0721	1191
8820692	83332.Rv3274c	1187
8818014	83332.Rv0667	1186
8818842	83332.Rv1479	1163
8818277	83332.Rv0925c	1159
8820527	83332.Rv3117	1155
8818424	83332.Rv1070c	1147
8820110	83332.Rv2711	1142
8821006	83332.Rv3584	1140
8819627	83332.Rv2246	1127
8821309	83332.Rv3881c	1126
8820153	83332.Rv2753c	1122
8820701	83332.Rv3283	1121
8820293	83332.Rv2890c	1120
8820864	83332.Rv3443c	1114
8818599	83332.Rv1240	1114
8818925	83332.Rv1558	1110
8821009	83332.Rv3587c	1108
8818298	83332.Rv0946c	1107
8817988	83332.Rv0641	1101
8821014	83332.Rv3592	1091
8820401	83332.Rv2995c	1090
8819930	83332.Rv2534c	1085
8820350	83332.Rv2945c	1080
8818031	83332.Rv0684	1074
8819663	83332.Rv2280	1068
8819839	83332.Rv2445c	1065
8819854	83332.Rv2460c	1064
8820402	83332.Rv2996c	1062
8818689	83332.Rv1328	1056
8817382	83332.Rv0056	1055
8818048	83332.Rv0700	1047
8817987	83332.Rv0640	1044
8820572	83332.Rv3161c	1044
8821101	83332.Rv3678c	1039
8818685	83332.Rv1324	1035
8818655	83332.Rv1295	1007
8820664	83332.Rv3246c	1001
8820098	83332.Rv2699c	994
8820883	83332.Rv3462c	992
8819780	83332.Rv2391	991
8818800	83332.Rv1438	990
8821173	83332.Rv3747	984
8817494	83332.Rv0164	979
8819919	83332.Rv2524c	973
8817346	83332.Rv0020c	967
8819835	83332.Rv2441c	963
8821135	83332.Rv3710	962
8819211	83332.Rv1843c	962
8817584	83332.Rv0251c	952
8819601	83332.Rv2222c	946
8818391	83332.Rv1037c	943
8821041	83332.Rv3619c	943
8817998	83332.Rv0651	941
8819871	83332.Rv2476c	940
8817566	83332.Rv0234c	940
8818019	83332.Rv0672	938
8820233	83332.Rv2831	935
8817372	83332.Rv0046c	934
8819589	83332.Rv2211c	930
8817922	83332.Rv0580c	922
8818337	83332.Rv0984	917
8820910	83332.Rv3489	915
8819682	83332.Rv2299c	905
8820543	83332.Rv3133c	904
8819804	83332.Rv2412	897
8819356	83332.Rv1984c	894
8821293	83332.Rv3865	873
8818799	83332.Rv1437	866
8819642	83332.Rv2260	863
8820880	83332.Rv3459c	860
8821308	83332.Rv3880c	857
8820580	83332.Rv3169	855
8818103	83332.Rv0753c	848
8817865	83332.Rv0524	843
8821147	83332.Rv3722c	841
8818560	83332.Rv1201c	835
8818669	83332.Rv1309	833
8817980	83332.Rv0634B	827
8819856	83332.Rv2462c	826
8821098	83332.Rv3676	812
8818557	83332.Rv1198	812
8818308	83332.Rv0957	811
8820515	83332.Rv3105c	805
8821143	83332.Rv3718c	804
8818305	83332.Rv0954	803
8820149	83332.Rv2749	797
8821018	83332.Rv3596c	795
8820311	83332.Rv2908c	790
8818280	83332.Rv0928	789
8818211	83332.Rv0859	789
8819161	83332.Rv1793	782
