#id: 3590545518
#name: Helicobacter pylori 26695 - Whole organism, SC (Gpm,aug,2014)
#score: 9.1
#description: abundance based on Spectral counting, Interaction consistency score: 9.1, Coverage: 60
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 60
#link: http://www.thegpm.org/
#publication_year: 2014
#filename: 85962-GPM_201408.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
8921788	85962.C694_00050	48106	1104
8921787	85962.C694_00045	38011	13699
8923344	85962.C694_08100	37560	6149
8921848	85962.C694_00350	23850	7084
8923083	85962.C694_06755	16774	67
8922973	85962.C694_06205	16341	669
8922931	85962.C694_05995	14953	2111
8922077	85962.C694_01495	14700	404
8923018	85962.C694_06430	14520	116
8921849	85962.C694_00355	13550	1533
8922592	85962.C694_04220	12436	1618
8922024	85962.C694_01230	12190	1172
8922980	85962.C694_06240	12096	4387
8923370	85962.C694_08240	12054	1966
8922969	85962.C694_06185	11893	385
8923236	85962.C694_07550	10203	388
8922168	85962.C694_01980	10076	1108
8921852	85962.C694_00370	10002	42
8922604	85962.C694_04280	8042	229
8921886	85962.C694_00540	7634	2674
8922471	85962.C694_03595	7504	2542
8923089	85962.C694_06785	7391	493
8922346	85962.C694_02940	6886	1666
8922470	85962.C694_03590	6633	3401
8922398	85962.C694_03210	6271	386
8923013	85962.C694_06405	6245	242
8922338	85962.C694_02900	6220	32
8922310	85962.C694_02750	6188	8
8923061	85962.C694_06645	6109	440
8922999	85962.C694_06335	6040	252
8922491	85962.C694_03705	5968	81
8922948	85962.C694_06080	5708	2845
8922472	85962.C694_03600	5656	701
8923084	85962.C694_06760	5327	173
8923076	85962.C694_06720	5275	196
8922492	85962.C694_03710	5239	422
8922682	85962.C694_04700	5210	618
8923092	85962.C694_06800	5077	167
8923087	85962.C694_06775	4988	265
8923086	85962.C694_06770	4870	201
8923081	85962.C694_06745	4843	44
8922328	85962.C694_02850	4639	160
8922681	85962.C694_04695	4576	1139
8921803	85962.C694_00125	4542	875
8921859	85962.C694_00405	4486	300
8922545	85962.C694_03985	4472	36
8922837	85962.C694_05515	4409	327
8923067	85962.C694_06675	4398	110
8922100	85962.C694_01610	4359	887
8923234	85962.C694_07540	4310	285
8923094	85962.C694_06810	4236	414
8922921	85962.C694_05945	4234	122
8922340	85962.C694_02910	4186	202
8922004	85962.C694_01130	3998	800
8922975	85962.C694_06215	3968	464
8923276	85962.C694_07750	3928	470
8922593	85962.C694_04225	3856	972
8921975	85962.C694_00985	3854	219
8923069	85962.C694_06685	3818	255
8923071	85962.C694_06695	3792	285
8922944	85962.C694_06060	3777	558
8922368	85962.C694_03050	3677	434
8922877	85962.C694_05715	3564	393
8923090	85962.C694_06790	3532	227
8922643	85962.C694_04480	3471	1015
8922968	85962.C694_06180	3435	1938
8922548	85962.C694_04000	3405	1836
8922374	85962.C694_03080	3401	585
8922325	85962.C694_02825	3399	2347
8921952	85962.C694_00870	3317	371
8922979	85962.C694_06235	3275	53
8922974	85962.C694_06210	3216	281
8922904	85962.C694_05850	3198	886
8922917	85962.C694_05925	3195	178
8923085	85962.C694_06765	3188	43
8923070	85962.C694_06690	3059	163
8922902	85962.C694_05840	3040	1222
8923082	85962.C694_06750	3017	165
8922002	85962.C694_01120	2924	111
8922595	85962.C694_04235	2887	156
8923077	85962.C694_06725	2840	157
8921801	85962.C694_00115	2831	1336
8923335	85962.C694_08055	2813	650
8922167	85962.C694_01975	2754	601
8921903	85962.C694_00625	2735	60
8923079	85962.C694_06735	2729	342
