#id: 1183060503
#name: Desulfovibrio vulgaris Hildenborough - Whole organism, Formate-exponential (Zhang,proteomics,2006)
#score: 1.6
#description: abundance based on MAPPED_BY_AUTHORS, Formate-Exponential, Interaction consistency score: 1.6, Coverage: 28
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 28
#link: http://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16819729&retmode=ref&cmd=prlinks
#publication_year: 2006
#filename: 882-Desulfo_Form_Exp_SC_zhang_2006.txt
#
#string_external_id	abundance
882.DVU_2405	50841
882.DVU_0799	38997
882.DVU_0847	34284
882.DVU_1295	32456
882.DVU_1422	25370
882.DVU_1976	24769
882.DVU_0402	21393
882.DVU_0403	20167
882.DVU_2109	18574
882.DVU_0775	18462
882.DVU_2920	15042
882.DVU_3104	13927
882.DVU_3183	12958
882.DVU_1559	10551
882.DVU_1636	10362
882.DVU_1922	9504
882.DVU_2215	9058
882.DVU_0777	8914
882.DVU_0811	8167
882.DVU_2927	8056
882.DVU_3185	7944
882.DVU_2201	7721
882.DVU_1013	7577
882.DVU_0846	6941
882.DVU_2204	6875
882.DVU_0169	6875
882.DVU_0322	6797
882.DVU_2667	6095
882.DVU_1932	5872
882.DVU_0849	5493
882.DVU_3025	5270
882.DVU_1328	5237
882.DVU_0565	5237
882.DVU_0404	4980
882.DVU_0881	4936
882.DVU_1574	4869
882.DVU_0979	4758
882.DVU_3150	4713
882.DVU_0956	4535
882.DVU_0851	4234
882.DVU_3187	4201
882.DVU_1769	4201
882.DVU_1378	4089
882.DVU_2784	3978
882.DVU_1334	3933
882.DVU_2776	3933
882.DVU_1300	3900
882.DVU_2104	3788
882.DVU_2752	3788
882.DVU_1299	3677
882.DVU_0261	3643
882.DVU_1795	3487
882.DVU_2013	3454
882.DVU_3392	3421
882.DVU_0966	3376
882.DVU_1304	3120
882.DVU_0874	3120
882.DVU_0259	3086
882.DVU_0319	3042
882.DVU_2295	3008
882.DVU_2398	3008
882.DVU_2571	2930
882.DVU_2519	2930
882.DVU_2929	2863
882.DVU_0694	2863
882.DVU_0712	2819
882.DVU_2518	2785
882.DVU_3319	2752
882.DVU_0504	2707
882.DVU_1306	2707
882.DVU_1318	2674
882.DVU_3212	2674
882.DVU_2543	2674
882.DVU_0625	2674
882.DVU_0848	2641
882.DVU_0503	2596
882.DVU_1315	2596
882.DVU_0941	2563
882.DVU_1203	2563
882.DVU_2928	2485
882.DVU_1833	2451
882.DVU_1309	2373
882.DVU_1330	2340
882.DVU_1326	2262
882.DVU_0107	2262
882.DVU_1303	2262
882.DVU_2403	2262
882.DVU_2514	2228
882.DVU_2401	2228
882.DVU_3134	2228
882.DVU_1012	2228
882.DVU_0995	2195
882.DVU_2903	2195
882.DVU_3162	2195
882.DVU_3048	2195
882.DVU_1320	2150
882.DVU_2349	2150
882.DVU_0423	2150
882.DVU_1977	2150
882.DVU_3271	2117
882.DVU_1937	2117
882.DVU_0957	2084
882.DVU_1397	2039
882.DVU_2399	2039
882.DVU_0839	2039
882.DVU_0266	2006
882.DVU_0745	2006
882.DVU_0371	2006
882.DVU_0964	1972
882.DVU_1204	1972
882.DVU_2925	1928
882.DVU_2548	1928
882.DVU_3282	1928
882.DVU_2402	1928
882.DVU_1569	1894
882.DVU_0253	1894
882.DVU_1302	1894
882.DVU_2103	1861
882.DVU_1322	1861
882.DVU_2449	1861
882.DVU_3094	1816
882.DVU_3222	1816
882.DVU_3156	1816
882.DVU_1329	1783
882.DVU_1568	1783
882.DVU_1820	1783
882.DVU_2738	1783
882.DVU_0591	1749
882.DVU_0607	1749
882.DVU_1921	1705
882.DVU_1308	1671
882.DVU_1537	1638
882.DVU_2108	1638
882.DVU_0547	1638
882.DVU_0857	1638
882.DVU_0764	1638
882.DVU_0273	1638
882.DVU_1839	1593
882.DVU_0264	1593
882.DVU_0958	1593
882.DVU_2014	1560
882.DVU_0776	1526
882.DVU_2769	1526
882.DVU_2792	1526
882.DVU_1228	1482
882.DVU_1025	1448
882.DVU_1539	1448
882.DVU_3082	1448
882.DVU_1196	1448
882.DVU_2590	1448
882.DVU_2586	1448
882.DVU_2203	1415
882.DVU_2530	1370
882.DVU_3379	1370
882.DVU_0177	1370
882.DVU_1817	1337
882.DVU_2990	1337
882.DVU_0227	1337
882.DVU_2077	1337
882.DVU_0007	1304
882.DVU_2105	1304
882.DVU_1307	1304
882.DVU_1044	1304
882.DVU_1430	1259
882.DVU_1655	1259
882.DVU_3204	1226
882.DVU_0415	1226
882.DVU_1623	1192
882.DVU_1065	1192
882.DVU_1317	1192
882.DVU_1287	1192
882.DVU_0684	1192
882.DVU_0701	1192
882.DVU_2926	1148
882.DVU_2533	1148
882.DVU_3197	1148
882.DVU_1067	1114
882.DVU_1089	1114
882.DVU_3030	1114
882.DVU_0441	1114
882.DVU_1021	1081
882.DVU_2143	1081
882.DVU_1289	1081
882.DVU_2774	1081
882.DVU_3190	1036
882.DVU_2144	1036
882.DVU_1458	1036
882.DVU_1030	1036
882.DVU_1857	1036
882.DVU_0734	1036
882.DVU_2538	1036
882.DVU_3349	1036
882.DVU_2373	1036
882.DVU_0955	1003
882.DVU_1311	1003
882.DVU_2938	1003
882.DVU_2680	1003
882.DVU_0418	1003
882.DVU_1770	1003
882.DVU_0566	1003
882.DVU_1765	1003
882.DVU_2318	1003
882.DVU_0850	969
882.DVU_1305	969
882.DVU_1468	969
882.DVU_0683	969
882.DVU_0002	925
882.DVU_1064	925
882.DVU_1360	925
882.DVU_1784	925
882.DVU_0675	925
882.DVU_1670	925
882.DVU_1897	925
882.DVU_1868	925
882.DVU_1927	891
882.DVU_0487	891
882.DVU_1043	891
882.DVU_1904	891
882.DVU_0448	891
882.DVU_3168	891
882.DVU_0873	891
882.DVU_0835	891
882.DVU_3053	891
882.DVU_1327	858
882.DVU_1312	858
882.DVU_2247	858
882.DVU_1819	858
882.DVU_0488	858
882.DVU_0414	858
882.DVU_1198	858
882.DVU_0891	813
882.DVU_0186	813
882.DVU_0142	813
882.DVU_0019	813
882.DVU_1457	813
882.DVU_0100	813
882.DVU_0608	813
882.DVU_0935	813
882.DVU_1834	813
882.DVU_1783	813
882.DVU_0752	813
882.DVU_2410	780
882.DVU_2342	780
882.DVU_2400	780
882.DVU_1095	780
882.DVU_2582	780
882.DVU_2291	780
882.DVU_2535	780
882.DVU_1290	780
882.DVU_1570	780
882.DVU_2085	780
882.DVU_0095	747
882.DVU_0494	747
882.DVU_0927	747
882.DVU_2942	747
882.DVU_1199	747
882.DVU_1993	747
882.DVU_1455	747
882.DVU_1530	702
882.DVU_2107	702
882.DVU_0893	702
882.DVU_0341	702
882.DVU_2966	702
882.DVU_1249	702
882.DVU_3272	702
882.DVU_1179	702
882.DVU_0779	702
882.DVU_1343	702
882.DVU_0841	702
882.DVU_0386	702
882.DVU_0339	702
882.DVU_1658	702
882.DVU_1310	669
882.DVU_3033	669
882.DVU_0856	669
882.DVU_2534	669
882.DVU_1939	669
882.DVU_1597	669
882.DVU_2428	669
882.DVU_1901	635
882.DVU_2924	635
882.DVU_3367	635
882.DVU_3084	635
882.DVU_1238	635
882.DVU_0732	635
882.DVU_1869	635
882.DVU_3384	635
882.DVU_0949	635
882.DVU_3172	635
882.DVU_1375	635
882.DVU_2671	635
882.DVU_1873	635
882.DVU_0761	591
882.DVU_0510	591
882.DVU_0073	591
882.DVU_0060	591
882.DVU_2100	591
882.DVU_3373	591
882.DVU_0296	557
882.DVU_0343	557
882.DVU_2669	557
882.DVU_3294	557
882.DVU_2935	557
882.DVU_0283	557
882.DVU_0353	557
882.DVU_1936	557
882.DVU_3293	557
882.DVU_0241	557
882.DVU_0508	524
882.DVU_0810	524
882.DVU_2540	524
882.DVU_2643	524
