#id: 562539239
#name: Bubalus bubalis - Sperm, SC (Fuetal,theriogenology.2019)
#score: 9.5
#description: abundance based on Spectral counting, Interaction consistency score: 9.5, Coverage: 12
#organ: SPERM
#integrated: false
#coverage: 12
#link: http://www.ncbi.nlm.nih.gov/pubmed/31146187
#publication_year: 2019
#filename: 89462-PXD003859_sperm.txt
#
#string_external_id	abundance	raw_spectral_count
89462.XP_006065036.1	47457	925013027
89462.XP_006069822.1	40747	427457833
89462.XP_006046499.1	25404	162813932
89462.XP_006065416.1	23899	1102370676
89462.XP_006078605.1	18706	316625185
89462.XP_006045175.1	16485	1606423561
89462.XP_006062618.1	16449	1750054071
89462.XP_006059540.1	16140	847092413
89462.XP_006071457.1	14949	567804363
89462.XP_006076379.1	12876	49469962
89462.XP_006056494.1	10025	29043095
89462.XP_006068868.1	8579	170325246
89462.XP_006075049.1	8513	368880424
89462.XP_006060598.1	7433	1171983445
89462.XP_006043089.1	7421	1374315615
89462.XP_006042743.1	7352	148664257
89462.XP_006064081.1	7283	60851839
89462.XP_006080129.1	6692	210454178
89462.XP_006050158.1	6618	75733305
89462.XP_006065625.1	6497	447993205
89462.XP_006058141.1	6291	54498216
89462.XP_006050558.1	6243	93667320
89462.XP_006052418.1	6053	1124995705
89462.XP_006046287.1	5978	249496253
89462.XP_006068164.1	5684	91010275
89462.XP_006044299.1	5411	79213391
89462.XP_006047680.1	5411	14490319
89462.XP_006055904.1	5245	90198087
89462.XP_006052462.1	5158	108802014
89462.XP_006078224.1	5129	30463963
89462.XP_006039883.1	5082	115969513
89462.XP_006062160.1	4811	163333892
89462.XP_006057707.1	4779	30416158
89462.XP_006062854.1	4642	1453564148
89462.XP_006041211.1	4548	49737325
89462.XP_006075936.1	4468	94147250
89462.XP_006075344.1	4448	147290486
89462.XP_006057185.1	4428	101187898
89462.XP_006042374.1	4366	332378186
89462.XP_006047823.1	4235	140278937
89462.XP_006060326.1	4199	13555906
89462.XP_006070120.1	4116	75787718
89462.XP_006079497.1	4086	122278494
89462.XP_006078222.1	3988	92814725
89462.XP_006075092.1	3949	87111683
89462.XP_006049114.1	3584	937827827
89462.XP_006061971.1	3554	55966933
89462.XP_006067530.1	3429	78345557
89462.XP_006054375.1	3323	88025798
89462.XP_006059495.1	3305	22466329
89462.XP_006068213.1	3220	96747581
89462.XP_006050953.1	3165	64593472
89462.XP_006072656.1	3161	32719714
89462.XP_006054867.1	3139	78345557
89462.XP_006078511.1	3087	36432813
89462.XP_006062063.1	3077	39785814
89462.XP_006045426.1	3076	47775187
89462.XP_006041198.1	3072	41291309
89462.XP_006053628.1	3068	176846150
89462.XP_006056975.1	3062	101952816
89462.XP_006046285.1	2957	80959895
89462.XP_006080194.1	2935	236129211
89462.XP_006060324.1	2902	117598342
89462.XP_006042315.1	2815	78345557
89462.XP_006071233.1	2774	24247842
89462.XP_006073358.1	2723	56218632
89462.XP_006076910.1	2707	27284152
89462.XP_006075907.1	2671	129639353
89462.XP_006041140.1	2665	31700102
89462.XP_006077658.1	2591	56270084
89462.XP_006080720.1	2587	27239518
89462.XP_006072201.1	2572	129929035
89462.XP_006064086.1	2569	16428246
89462.XP_006052419.1	2463	170418668
89462.XP_006079597.1	2435	39785814
89462.XP_006056124.1	2420	51413836
89462.XP_006062222.1	2410	37347252
89462.XP_006068964.1	2359	122919534
89462.XP_006059042.1	2345	348657232
89462.XP_006070901.1	2339	85191867
89462.XP_006041865.1	2311	22605669
89462.XP_006041132.1	2306	30944941
89462.XP_006067490.1	2277	46921254
89462.XP_006051280.1	2260	13236500
89462.XP_006065910.1	2257	48937831
89462.XP_006073663.1	2137	96099963
89462.XP_006045284.1	2121	22632427
89462.XP_006048328.1	2115	53752237
89462.XP_006079260.1	2082	11476194
89462.XP_006064541.1	2068	21702021
89462.XP_006064816.1	2042	31960288
89462.XP_006041419.1	1976	45631424
89462.XP_006039919.1	1947	53446706
89462.XP_006075774.1	1937	32085830
89462.XP_006076743.1	1931	91154434
89462.XP_006044440.1	1930	33903359
89462.XP_006040008.1	1920	49626637
89462.XP_006039938.1	1892	62554620
89462.XP_006062480.1	1875	5867453
89462.XP_006047011.1	1867	77777681
89462.XP_006070551.1	1852	87210104
89462.XP_006074532.1	1849	57922985
89462.XP_006040063.1	1837	13044673
89462.XP_006079841.1	1823	28522226
89462.XP_006059043.1	1792	286473737
89462.XP_006041391.1	1789	13090756
89462.XP_006066612.1	1787	21379699
89462.XP_006050967.1	1760	29889342
89462.XP_006065096.1	1737	23998057
89462.XP_006051298.1	1717	11515367
89462.XP_006040276.1	1706	17474421
89462.XP_006060915.1	1673	13789932
89462.XP_006057297.1	1670	22412247
89462.XP_006043080.1	1640	57177306
89462.XP_006057476.1	1638	33076903
89462.XP_006056311.1	1633	97157950
89462.XP_006073208.1	1619	5748781
89462.XP_006055341.1	1617	28954393
89462.XP_006040217.1	1609	280159372
89462.XP_006059444.1	1607	212323808
89462.XP_006068865.1	1604	305283099
89462.XP_006071251.1	1574	7206370
89462.XP_006062616.1	1569	30306140
89462.XP_006054596.1	1559	265588632
89462.XP_006066420.1	1558	43958063
89462.XP_006051486.1	1554	21571643
89462.XP_006039763.1	1541	13292756
89462.XP_006067616.1	1536	65219326
89462.XP_006077264.1	1536	61564740
89462.XP_006048536.1	1530	34908798
89462.XP_006046278.1	1480	13801153
89462.XP_006060638.1	1470	13225171
89462.XP_006050567.1	1464	8452108
89462.XP_006066138.1	1430	19506251
89462.XP_006076019.1	1394	18217612
89462.XP_006044096.1	1385	30810167
89462.XP_006059002.1	1374	5766688
89462.XP_006065695.1	1366	208619520
89462.XP_006068859.1	1360	13453992
89462.XP_006060379.1	1296	82759016
89462.XP_006062483.1	1292	30028402
89462.XP_006066111.1	1286	43697642
89462.XP_006040463.1	1276	24942289
89462.XP_006054355.1	1264	7702783
89462.XP_006051882.1	1244	15013846
89462.XP_006039824.1	1238	15607372
89462.XP_006063098.1	1237	14858160
89462.XP_006065305.1	1235	46278537
89462.XP_006048173.1	1234	24169493
89462.XP_006079704.1	1232	76430412
89462.XP_006041924.1	1228	4170791
89462.XP_006050829.1	1225	24403885
89462.XP_006043730.1	1225	20032969
89462.XP_006055861.1	1208	25438556
89462.XP_006065879.1	1205	60359804
89462.XP_006053542.1	1197	30962979
89462.XP_006050992.1	1195	30867861
89462.XP_006067361.1	1184	34078290
89462.XP_006065224.1	1184	23482664
89462.XP_006063314.1	1181	13292756
89462.XP_006044936.1	1174	16702692
89462.XP_006080431.1	1169	16017767
89462.XP_006078122.1	1167	10581427
89462.XP_006052770.1	1158	6779376
89462.XP_006055340.1	1143	5269515
89462.XP_006054645.1	1138	29452667
89462.XP_006060099.1	1135	18685621
89462.XP_006061729.1	1122	36703189
89462.XP_006076300.1	1118	7298793
89462.XP_006052520.1	1116	29387179
89462.XP_006075120.1	1115	30608310
89462.XP_006052592.1	1114	3681555
89462.XP_006060899.1	1112	25649113
89462.XP_006051359.1	1093	53234946
89462.XP_006051354.1	1091	21573681
89462.XP_006053393.1	1089	69613617
89462.XP_006080429.1	1089	11775500
89462.XP_006066362.1	1085	14936516
89462.XP_006056351.1	1083	74627508
89462.XP_006066841.1	1080	19066699
89462.XP_006048413.1	1079	13328968
89462.XP_006043253.1	1079	16781868
89462.XP_006076459.1	1075	32576768
89462.XP_006079468.1	1072	28187941
89462.XP_006075758.1	1046	29795390
89462.XP_006068641.1	1034	13186830
89462.XP_006060199.1	1026	46385655
89462.XP_006041983.1	1026	7580261
89462.XP_006053938.1	1007	36142319
89462.XP_006052043.1	1005	34824270
89462.XP_006050445.1	995	16655057
89462.XP_006068981.1	986	7225200
89462.XP_006064386.1	984	53348651
89462.XP_006042013.1	983	5778253
89462.XP_006076733.1	974	10011849
89462.XP_006041593.1	958	16465772
89462.XP_006049629.1	956	22665993
89462.XP_006063681.1	955	40697623
89462.XP_006040501.1	953	3991944
89462.XP_006066594.1	950	18042900
89462.XP_006069349.1	942	18495634
89462.XP_006079728.1	924	21876572
89462.XP_006058204.1	918	17566840
89462.XP_006080014.1	888	27755403
89462.XP_006041616.1	888	18028529
89462.XP_006068459.1	886	9273790
89462.XP_006044077.1	879	148057074
89462.XP_006053511.1	874	1331805
89462.XP_006060645.1	872	28003333
89462.XP_006080185.1	866	14692175
89462.XP_006040057.1	865	23329101
89462.XP_006047567.1	865	23329101
89462.XP_006058351.1	857	9537712
89462.XP_006062024.1	848	16577901
89462.XP_006072722.1	843	41845830
89462.XP_006076517.1	838	12373066
89462.XP_006073155.1	831	20223131
89462.XP_006062972.1	825	7546678
89462.XP_006063995.1	816	33755178
89462.XP_006065206.1	815	20413508
89462.XP_006053812.1	807	4302193
89462.XP_006047942.1	806	17984457
89462.XP_006078312.1	801	17494486
89462.XP_006066418.1	799	28986397
89462.XP_006042874.1	796	17729878
89462.XP_006048578.1	795	25147775
89462.XP_006059552.1	794	14345143
89462.XP_006072787.1	788	24247138
89462.XP_006080126.1	787	26298734
89462.XP_006073580.1	784	21191290
89462.XP_006054836.1	775	15667388
89462.XP_006071161.1	769	20481179
89462.XP_006048286.1	767	10248956
89462.XP_006076986.1	760	31370651
