#id: 3744651682
#name: Gallus gallus - Whole organism, SC (Gpm,oct,2012)
#score: 0.9
#description: abundance based on Spectral counting, Interaction consistency score: 0.9, Coverage: 71
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 71
#link: http://www.thegpm.org/
#publication_year: 2012
#filename: 9031-GPM_2012_09_Gallus_gallus.txt
#
#string_external_id	abundance	raw_spectral_count
9031.ENSGALP00000041526	25946	4517
9031.ENSGALP00000003846	18242	10913
9031.ENSGALP00000017577	17834	9104
9031.ENSGALP00000039176	14583	53172
9031.ENSGALP00000023278	13756	12414
9031.ENSGALP00000003737	9832	12654
9031.ENSGALP00000038904	9659	4807
9031.ENSGALP00000035996	9380	2644
9031.ENSGALP00000035593	9337	6957
9031.ENSGALP00000015657	9194	48673
9031.ENSGALP00000042680	9180	48617
9031.ENSGALP00000005475	8701	3577
9031.ENSGALP00000038912	7360	4521
9031.ENSGALP00000037266	7347	4146
9031.ENSGALP00000019163	7245	4006
9031.ENSGALP00000012878	7095	7676
9031.ENSGALP00000013964	6887	21259
9031.ENSGALP00000014746	6647	1611
9031.ENSGALP00000010510	6422	13343
9031.ENSGALP00000001474	6339	11364
9031.ENSGALP00000016629	6176	3084
9031.ENSGALP00000018742	6106	6334
9031.ENSGALP00000013574	6064	9170
9031.ENSGALP00000019205	5997	3939
9031.ENSGALP00000019365	5888	5061
9031.ENSGALP00000023396	5859	5415
9031.ENSGALP00000041792	5693	5553
9031.ENSGALP00000012854	5265	1764
9031.ENSGALP00000020744	5113	10035
9031.ENSGALP00000003012	4958	5699
9031.ENSGALP00000034108	4827	7777
9031.ENSGALP00000042290	4816	2261
9031.ENSGALP00000040958	4816	2261
9031.ENSGALP00000025573	4556	12905
9031.ENSGALP00000031320	4460	2262
9031.ENSGALP00000040771	4460	2262
9031.ENSGALP00000040613	4460	2262
9031.ENSGALP00000042501	4434	4474
9031.ENSGALP00000042437	4434	4474
9031.ENSGALP00000021742	4434	4474
9031.ENSGALP00000037260	4434	4474
9031.ENSGALP00000020884	4425	18506
9031.ENSGALP00000011961	4370	2853
9031.ENSGALP00000042274	4365	18414
9031.ENSGALP00000016978	4339	9800
9031.ENSGALP00000022436	4235	16078
9031.ENSGALP00000006093	4219	4222
9031.ENSGALP00000007997	4178	2871
9031.ENSGALP00000014374	4167	2547
9031.ENSGALP00000030892	4049	3072
9031.ENSGALP00000000734	4008	755
9031.ENSGALP00000018265	3945	4597
9031.ENSGALP00000037324	3903	4067
9031.ENSGALP00000028277	3739	2144
9031.ENSGALP00000025356	3678	501
9031.ENSGALP00000014107	3555	4669
9031.ENSGALP00000041766	3524	5308
9031.ENSGALP00000041269	3524	5308
9031.ENSGALP00000040715	3524	5308
9031.ENSGALP00000040653	3524	5308
9031.ENSGALP00000043258	3524	5308
9031.ENSGALP00000040820	3524	5308
9031.ENSGALP00000042528	3506	993
9031.ENSGALP00000014265	3453	2409
9031.ENSGALP00000025606	3298	4297
9031.ENSGALP00000033996	3250	1185
9031.ENSGALP00000021028	3247	4554
9031.ENSGALP00000036285	3212	4256
9031.ENSGALP00000016651	3185	2217
9031.ENSGALP00000024691	3150	751
9031.ENSGALP00000002695	3148	7411
9031.ENSGALP00000038677	3090	2250
9031.ENSGALP00000018042	3022	28192
9031.ENSGALP00000015988	2920	28247
9031.ENSGALP00000038626	2911	2736
9031.ENSGALP00000024757	2898	542
9031.ENSGALP00000008988	2870	2635
9031.ENSGALP00000037524	2827	9613
9031.ENSGALP00000003455	2779	1015
9031.ENSGALP00000023523	2748	25272
9031.ENSGALP00000035591	2726	3951
9031.ENSGALP00000037906	2712	131
9031.ENSGALP00000016648	2672	3195
9031.ENSGALP00000013122	2666	3868
9031.ENSGALP00000017954	2637	2114
9031.ENSGALP00000021743	2637	1472
9031.ENSGALP00000024150	2630	6146
9031.ENSGALP00000030189	2589	506
9031.ENSGALP00000011689	2577	3596
9031.ENSGALP00000010239	2552	25212
9031.ENSGALP00000041715	2546	2365
9031.ENSGALP00000017765	2533	3816
9031.ENSGALP00000018498	2517	5356
9031.ENSGALP00000037676	2493	2379
9031.ENSGALP00000004164	2434	5235
9031.ENSGALP00000028746	2371	1979
9031.ENSGALP00000036122	2347	2112
9031.ENSGALP00000034078	2340	1259
9031.ENSGALP00000024710	2318	379
9031.ENSGALP00000013267	2306	3573
9031.ENSGALP00000038795	2296	6491
9031.ENSGALP00000042600	2286	503
9031.ENSGALP00000028073	2281	294
9031.ENSGALP00000019468	2227	4112
9031.ENSGALP00000023398	2159	4048
9031.ENSGALP00000038282	2159	6
9031.ENSGALP00000000503	2149	230
9031.ENSGALP00000042371	2133	4028
9031.ENSGALP00000026487	2126	2289
9031.ENSGALP00000003373	2100	294
9031.ENSGALP00000013174	2088	1257
9031.ENSGALP00000043305	2077	1965
9031.ENSGALP00000000419	2058	1834
9031.ENSGALP00000022676	2045	1722
9031.ENSGALP00000006097	2032	2862
9031.ENSGALP00000038376	2005	1542
9031.ENSGALP00000003646	1985	2415
9031.ENSGALP00000030864	1929	4386
9031.ENSGALP00000039133	1926	1786
9031.ENSGALP00000041159	1924	477
9031.ENSGALP00000022815	1920	1047
9031.ENSGALP00000016177	1904	1102
9031.ENSGALP00000009960	1874	436
9031.ENSGALP00000020634	1849	2578
9031.ENSGALP00000017773	1837	14088
9031.ENSGALP00000026015	1818	478
9031.ENSGALP00000025745	1788	1005
9031.ENSGALP00000019758	1781	258
9031.ENSGALP00000014097	1764	1078
9031.ENSGALP00000037924	1750	1486
9031.ENSGALP00000019120	1750	6181
9031.ENSGALP00000017250	1740	2209
9031.ENSGALP00000035815	1711	2107
9031.ENSGALP00000025280	1711	558
