#id: 876730400
#name: G.gallus - Plasma, SC (Peptideatlas,jul,2016)
#score: 3.0
#weight: 100%
#description: abundance based on Spectral counting, Interaction consistency score: 3.0, Coverage: 2
#organ: PLASMA
#integrated: false
#coverage: 2
#link: http://www.peptideatlas.org/
#publication_year: 2016
#filename: 9031-Gallus-gallus-plasma_PA_2016-7.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3997610	9031.ENSGALP00000038904	99907	51151
3992306	9031.ENSGALP00000019031	73646	143441
3989105	9031.ENSGALP00000010405	65799	137002
3993016	9031.ENSGALP00000020965	62845	80289
3994161	9031.ENSGALP00000024373	44610	16167
3989512	9031.ENSGALP00000011510	41059	27610
3988752	9031.ENSGALP00000009505	35866	19742
3988240	9031.ENSGALP00000008163	28761	15875
3990839	9031.ENSGALP00000015061	24740	43975
3996767	9031.ENSGALP00000035593	24224	15029
3986212	9031.ENSGALP00000002888	23432	125213
3990840	9031.ENSGALP00000015063	21598	27253
3987223	9031.ENSGALP00000005535	16255	10366
3997612	9031.ENSGALP00000038912	15511	9695
3990836	9031.ENSGALP00000015057	15352	24390
3998898	9031.ENSGALP00000041526	13646	2426
3996378	9031.ENSGALP00000033389	12212	4406
3996722	9031.ENSGALP00000035386	12131	14060
3985274	9031.ENSGALP00000000383	12039	55314
3991262	9031.ENSGALP00000016177	10734	6548
3994168	9031.ENSGALP00000024388	10567	4586
3999711	9031.ENSGALP00000042437	9804	10043
3993241	9031.ENSGALP00000021742	9804	10043
3999770	9031.ENSGALP00000042501	9804	10043
3997175	9031.ENSGALP00000037260	9804	10043
3997179	9031.ENSGALP00000037324	9512	9927
3999677	9031.ENSGALP00000042399	8576	32379
3996252	9031.ENSGALP00000032611	8378	53845
3994643	9031.ENSGALP00000025606	8357	5839
3999930	9031.ENSGALP00000042680	7599	32464
3991054	9031.ENSGALP00000015657	7599	32464
3987868	9031.ENSGALP00000007185	7466	3706
3999586	9031.ENSGALP00000042297	7401	5551
3988766	9031.ENSGALP00000009541	7043	2228
3996960	9031.ENSGALP00000036406	6908	36922
3989508	9031.ENSGALP00000011502	6794	9133
3998920	9031.ENSGALP00000041551	6767	6365
3992277	9031.ENSGALP00000018939	6509	11507
3997681	9031.ENSGALP00000039176	5935	29848
3996379	9031.ENSGALP00000033390	5898	3739
3995018	9031.ENSGALP00000026550	5540	80756
3990757	9031.ENSGALP00000014828	5276	8998
3988772	9031.ENSGALP00000009550	4272	2057
3987284	9031.ENSGALP00000005668	3906	4363
3996766	9031.ENSGALP00000035591	3836	6264
3993730	9031.ENSGALP00000023211	3745	2146
3993018	9031.ENSGALP00000020967	3729	3492
3991446	9031.ENSGALP00000016629	3552	1134
3985947	9031.ENSGALP00000002197	3479	8007
3987715	9031.ENSGALP00000006818	3311	8928
3986456	9031.ENSGALP00000003534	3209	2183
3987910	9031.ENSGALP00000007292	3176	5360
3990425	9031.ENSGALP00000013991	3107	2722
3992071	9031.ENSGALP00000018370	3039	2940
3990476	9031.ENSGALP00000014109	2952	5132
3989676	9031.ENSGALP00000011922	2840	3930
3995394	9031.ENSGALP00000027479	2798	14125
3987509	9031.ENSGALP00000006298	2599	2852
3986211	9031.ENSGALP00000002886	2561	16034
3999915	9031.ENSGALP00000042661	2456	2344
3991972	9031.ENSGALP00000018089	2446	3087
3989345	9031.ENSGALP00000011044	2412	7575
3992825	9031.ENSGALP00000020441	2264	7314
3987275	9031.ENSGALP00000005653	2179	13929
3996375	9031.ENSGALP00000033376	2157	2349
3989218	9031.ENSGALP00000010694	2132	1745
3997248	9031.ENSGALP00000037592	2069	2141
3985918	9031.ENSGALP00000002121	2064	3297
3996501	9031.ENSGALP00000034108	2035	3234
3993666	9031.ENSGALP00000023008	2020	9214
3998669	9031.ENSGALP00000041269	1971	3694
3999105	9031.ENSGALP00000041766	1971	3694
3998162	9031.ENSGALP00000040715	1971	3694
3998107	9031.ENSGALP00000040653	1971	3694
3998256	9031.ENSGALP00000040820	1971	3694
4000451	9031.ENSGALP00000043258	1971	3694
3992239	9031.ENSGALP00000018817	1881	956
3997819	9031.ENSGALP00000039682	1857	1406
3990456	9031.ENSGALP00000014070	1801	3398
3986100	9031.ENSGALP00000002604	1797	5067
3986558	9031.ENSGALP00000003823	1781	8111
3991294	9031.ENSGALP00000016252	1759	1687
3990263	9031.ENSGALP00000013544	1756	3530
3986603	9031.ENSGALP00000003918	1730	994
3991180	9031.ENSGALP00000015988	1692	17501
3991953	9031.ENSGALP00000018042	1692	17501
3999652	9031.ENSGALP00000042371	1613	3694
3988148	9031.ENSGALP00000007934	1575	2742
3999130	9031.ENSGALP00000041792	1529	1962
3989023	9031.ENSGALP00000010239	1485	15356
3993540	9031.ENSGALP00000022631	1456	3251
4000275	9031.ENSGALP00000043060	1407	1954
3997474	9031.ENSGALP00000038462	1364	1294
3996496	9031.ENSGALP00000034078	1319	895
3999639	9031.ENSGALP00000042357	1311	2861
3990658	9031.ENSGALP00000014581	1291	1503
3991449	9031.ENSGALP00000016632	1261	2724
3993825	9031.ENSGALP00000023523	1235	14012
3986020	9031.ENSGALP00000002377	1233	7272
3997780	9031.ENSGALP00000039538	1225	3177
3995571	9031.ENSGALP00000027976	1190	3277
3993506	9031.ENSGALP00000022528	1183	3883
3992456	9031.ENSGALP00000019430	1179	7710
3993539	9031.ENSGALP00000022629	1173	2564
3994608	9031.ENSGALP00000025525	1133	1201
3997628	9031.ENSGALP00000038974	1056	1610
3991877	9031.ENSGALP00000017850	1039	1452
4000372	9031.ENSGALP00000043172	1034	672
3991452	9031.ENSGALP00000016648	936	2454
