#id: 3987477436
#name: M. mulatta - Breast, SC (Leeetal,plosone.2015)
#score: 2.6
#weight: 100%
#description: abundance based on Spectral counting, Interaction consistency score: 2.6, Coverage: 13
#organ: BREAST
#integrated: false
#coverage: 13
#link: http://www.ncbi.nlm.nih.gov/pubmed/25974132
#publication_year: 2015
#filename: 9544-PXD001972_female_breast.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4331621	9544.ENSMMUP00000038937	51957	11654236
4313671	9544.ENSMMUP00000005100	43305	54251102
4314444	9544.ENSMMUP00000006484	37937	16741247
4327991	9544.ENSMMUP00000030837	36118	2480736
4312804	9544.ENSMMUP00000003585	30529	11654236
4319783	9544.ENSMMUP00000016099	25468	48176985
4318324	9544.ENSMMUP00000013415	24944	2195637
4330680	9544.ENSMMUP00000036737	18490	949527
4314639	9544.ENSMMUP00000006823	13591	1986485
4332696	9544.ENSMMUP00000041374	11904	4633275
4311229	9544.ENSMMUP00000000798	11904	4633275
4310984	9544.ENSMMUP00000000334	11493	2249181
4323522	9544.ENSMMUP00000022761	10228	2581014
4318958	9544.ENSMMUP00000014597	8038	16671539
4317731	9544.ENSMMUP00000012328	8026	16671539
4318957	9544.ENSMMUP00000014596	8026	16671539
4323273	9544.ENSMMUP00000022305	7996	8176289
4315599	9544.ENSMMUP00000008504	7962	3317186
4325572	9544.ENSMMUP00000026454	7797	729409
4319587	9544.ENSMMUP00000015738	5679	3888288
4317578	9544.ENSMMUP00000012054	5642	2191085
4312881	9544.ENSMMUP00000003717	5200	1029634
4326697	9544.ENSMMUP00000028500	4920	1982235
4324513	9544.ENSMMUP00000024535	4882	6394938
4318791	9544.ENSMMUP00000014308	4857	1220018
4313197	9544.ENSMMUP00000004265	4532	4816001
4317744	9544.ENSMMUP00000012351	4514	2266412
4317976	9544.ENSMMUP00000012784	4414	5093992
4325038	9544.ENSMMUP00000025458	4370	786731
4315166	9544.ENSMMUP00000007714	4364	1512832
4321360	9544.ENSMMUP00000018913	4278	3482781
4323298	9544.ENSMMUP00000022358	4276	2267696
4314425	9544.ENSMMUP00000006451	4167	3335050
4326657	9544.ENSMMUP00000028426	4161	864535
4331585	9544.ENSMMUP00000038843	4110	1845757
4318611	9544.ENSMMUP00000013958	4002	7806650
4323296	9544.ENSMMUP00000022354	3929	2355403
4325885	9544.ENSMMUP00000027040	3846	1102283
4323802	9544.ENSMMUP00000023267	3838	9447889
4311919	9544.ENSMMUP00000001997	3811	2089973
4312424	9544.ENSMMUP00000002883	3771	8155026
4313484	9544.ENSMMUP00000004753	3653	2896347
4320077	9544.ENSMMUP00000016637	3624	1500347
4314498	9544.ENSMMUP00000006572	3557	763703
4316023	9544.ENSMMUP00000009222	3257	9750246
4314317	9544.ENSMMUP00000006240	3172	2749920
4320293	9544.ENSMMUP00000017039	3153	798253
4323319	9544.ENSMMUP00000022403	3134	5736439
4318259	9544.ENSMMUP00000013283	3110	1854004
4311708	9544.ENSMMUP00000001613	3084	2596797
4330719	9544.ENSMMUP00000036826	3073	995356
4315031	9544.ENSMMUP00000007511	3070	506617
4327027	9544.ENSMMUP00000029086	2979	9437102
4328197	9544.ENSMMUP00000031234	2852	2603897
4327162	9544.ENSMMUP00000029315	2779	3974763
4314423	9544.ENSMMUP00000006446	2772	911336
4329848	9544.ENSMMUP00000034774	2699	580364
4311570	9544.ENSMMUP00000001377	2620	5187518
4320341	9544.ENSMMUP00000017131	2547	1265531
4323667	9544.ENSMMUP00000023030	2537	1340307
4311048	9544.ENSMMUP00000000446	2534	7233860
4328174	9544.ENSMMUP00000031199	2496	4209046
