#id: 859666168
#name: Macaca mulatta - Frontal cortex, SC (Leeetal,plosone.2015)
#score: 5.4
#description: abundance based on Spectral counting, Interaction consistency score: 5.4, Coverage: 21
#organ: FRONTAL_CORTEX
#integrated: false
#coverage: 21
#link: http://www.ncbi.nlm.nih.gov/pubmed/25974132
#publication_year: 2015
#filename: 9544-PXD001972_male_frontal_cortex.txt
#
#string_external_id	abundance	raw_spectral_count
9544.ENSMMUP00000008504	33984	16069464
9544.ENSMMUP00000030837	25254	4740573
9544.ENSMMUP00000041140	22633	8641676
9544.ENSMMUP00000025458	13626	4990359
9544.ENSMMUP00000006823	10593	2712606
9544.ENSMMUP00000027752	9965	30603162
9544.ENSMMUP00000001101	8080	3716293
9544.ENSMMUP00000034513	8040	3315306
9544.ENSMMUP00000016099	7485	24496566
9544.ENSMMUP00000015177	7244	4217748
9544.ENSMMUP00000015958	6238	25588159
9544.ENSMMUP00000024964	5980	4947526
9544.ENSMMUP00000007714	5751	5339142
9544.ENSMMUP00000019114	5733	3847428
9544.ENSMMUP00000032256	5731	22246774
9544.ENSMMUP00000022305	5715	12348454
9544.ENSMMUP00000012976	5663	5934820
9544.ENSMMUP00000017131	5281	4145128
9544.ENSMMUP00000026158	5170	4841436
9544.ENSMMUP00000013484	5154	17884106
9544.ENSMMUP00000017225	5057	4815743
9544.ENSMMUP00000038937	5005	2317232
9544.ENSMMUP00000004316	4830	3780353
9544.ENSMMUP00000026743	4696	4422122
9544.ENSMMUP00000012328	4586	18520064
9544.ENSMMUP00000014596	4586	18520064
9544.ENSMMUP00000014597	4542	18502143
9544.ENSMMUP00000000798	4537	3141224
9544.ENSMMUP00000041374	4537	3141224
9544.ENSMMUP00000037577	4496	22769584
9544.ENSMMUP00000031199	4429	24504929
9544.ENSMMUP00000000188	4415	994254
9544.ENSMMUP00000028714	4382	1528717
9544.ENSMMUP00000036737	4325	685093
9544.ENSMMUP00000016692	4170	8535819
9544.ENSMMUP00000011397	4102	3193633
9544.ENSMMUP00000031327	4094	23927689
9544.ENSMMUP00000006484	4071	3385510
9544.ENSMMUP00000001995	4061	7066629
9544.ENSMMUP00000009962	4035	20585266
9544.ENSMMUP00000028640	3913	20773765
9544.ENSMMUP00000029315	3765	7311451
9544.ENSMMUP00000022911	3717	3380963
9544.ENSMMUP00000008770	3716	20561677
9544.ENSMMUP00000017847	3716	20561677
9544.ENSMMUP00000021336	3713	3520353
9544.ENSMMUP00000004753	3678	5408619
9544.ENSMMUP00000014987	3665	6598085
9544.ENSMMUP00000034530	3596	22402689
9544.ENSMMUP00000021771	3549	2027493
9544.ENSMMUP00000017039	3510	2779509
9544.ENSMMUP00000021568	3368	5326107
9544.ENSMMUP00000036674	3321	560209
9544.ENSMMUP00000039092	3223	3267577
9544.ENSMMUP00000031587	3090	12395749
9544.ENSMMUP00000010673	3077	11090631
9544.ENSMMUP00000038843	3052	2158677
9544.ENSMMUP00000007511	3009	952321
9544.ENSMMUP00000015893	2956	668829
9544.ENSMMUP00000005788	2931	3872696
9544.ENSMMUP00000003585	2902	2317232
9544.ENSMMUP00000014487	2760	1772302
9544.ENSMMUP00000001377	2734	6563360
9544.ENSMMUP00000006240	2676	4785728
9544.ENSMMUP00000024413	2647	1201584
9544.ENSMMUP00000020340	2644	1739989
9544.ENSMMUP00000017169	2628	1104135
9544.ENSMMUP00000022761	2618	1431362
9544.ENSMMUP00000012071	2600	1925112
9544.ENSMMUP00000008547	2586	6088649
9544.ENSMMUP00000020071	2527	754845
9544.ENSMMUP00000030227	2492	4924975
9544.ENSMMUP00000041334	2486	12977239
9544.ENSMMUP00000030329	2467	2683907
9544.ENSMMUP00000006757	2446	1213285
9544.ENSMMUP00000011205	2441	2914780
9544.ENSMMUP00000025002	2367	1073298
9544.ENSMMUP00000001492	2303	3955016
9544.ENSMMUP00000018580	2293	13041895
9544.ENSMMUP00000006636	2275	689996
9544.ENSMMUP00000035315	2256	6174094
9544.ENSMMUP00000012348	2219	3243942
9544.ENSMMUP00000013958	2211	6757178
9544.ENSMMUP00000003713	2185	1441888
9544.ENSMMUP00000026062	2158	553599
9544.ENSMMUP00000010265	2133	1832225
9544.ENSMMUP00000001319	2123	2709532
9544.ENSMMUP00000015364	2116	1674305
9544.ENSMMUP00000009057	2080	3126766
9544.ENSMMUP00000008104	2042	1696167
9544.ENSMMUP00000011547	1995	496529
9544.ENSMMUP00000012219	1985	14869328
9544.ENSMMUP00000037337	1965	1628416
9544.ENSMMUP00000013774	1905	9972196
9544.ENSMMUP00000023449	1873	9248998
9544.ENSMMUP00000020856	1843	89953
9544.ENSMMUP00000021198	1815	2043301
9544.ENSMMUP00000027746	1805	1447489
