#id: 2472873680
#name: Macaca mulatta - Pancreas, SC (Leeetal,plosone.2015)
#score: 6.7
#description: abundance based on Spectral counting, Interaction consistency score: 6.7, Coverage: 18
#organ: PANCREAS
#integrated: false
#coverage: 18
#link: http://www.ncbi.nlm.nih.gov/pubmed/25974132
#publication_year: 2015
#filename: 9544-PXD001972_male_pancreas.txt
#
#string_external_id	abundance	raw_spectral_count
9544.ENSMMUP00000030837	42512	8995330
9544.ENSMMUP00000039585	40508	79105462
9544.ENSMMUP00000006823	22125	6453311
9544.ENSMMUP00000008504	17146	10368968
9544.ENSMMUP00000039577	15535	22946482
9544.ENSMMUP00000012107	13141	18890728
9544.ENSMMUP00000012421	12184	25633400
9544.ENSMMUP00000000203	11542	22845903
9544.ENSMMUP00000022305	10955	28503404
9544.ENSMMUP00000017131	10093	9143684
9544.ENSMMUP00000016099	10041	37430478
9544.ENSMMUP00000006906	7972	16306718
9544.ENSMMUP00000011205	7408	10325661
9544.ENSMMUP00000012669	7259	3395036
9544.ENSMMUP00000027805	7092	4244016
9544.ENSMMUP00000005184	6451	3508567
9544.ENSMMUP00000020169	6301	4494396
9544.ENSMMUP00000027156	6223	1490115
9544.ENSMMUP00000001995	6139	14396405
9544.ENSMMUP00000000812	5929	7830915
9544.ENSMMUP00000007300	5836	7517052
9544.ENSMMUP00000041374	5565	5861224
9544.ENSMMUP00000000798	5565	5861224
9544.ENSMMUP00000016899	5552	3740639
9544.ENSMMUP00000001700	5184	8748091
9544.ENSMMUP00000036826	4975	4751474
9544.ENSMMUP00000005869	4961	4574402
9544.ENSMMUP00000038937	4795	2928501
9544.ENSMMUP00000029684	4757	2447349
9544.ENSMMUP00000027093	4553	619582
9544.ENSMMUP00000002883	4521	21855686
9544.ENSMMUP00000006484	4250	4461054
9544.ENSMMUP00000006451	3733	8615028
9544.ENSMMUP00000031281	3617	4566636
9544.ENSMMUP00000031256	3607	4561893
9544.ENSMMUP00000013941	3472	5624875
9544.ENSMMUP00000029042	3444	4535845
9544.ENSMMUP00000015177	3287	2527978
9544.ENSMMUP00000006513	3273	2881798
9544.ENSMMUP00000021395	3163	2407471
9544.ENSMMUP00000025450	3142	2130830
9544.ENSMMUP00000002254	3093	5553916
9544.ENSMMUP00000031234	3084	5331291
9544.ENSMMUP00000038843	3021	2633660
9544.ENSMMUP00000007511	2930	1078752
9544.ENSMMUP00000018092	2921	6346500
9544.ENSMMUP00000030846	2918	6474972
9544.ENSMMUP00000007715	2855	5854821
9544.ENSMMUP00000017640	2741	1614699
9544.ENSMMUP00000003585	2700	2873360
9544.ENSMMUP00000009466	2686	4653079
9544.ENSMMUP00000003664	2653	4283671
9544.ENSMMUP00000024535	2640	12161693
9544.ENSMMUP00000020002	2604	803054
9544.ENSMMUP00000024182	2517	173414
9544.ENSMMUP00000005100	2489	8074724
9544.ENSMMUP00000037885	2444	2831366
9544.ENSMMUP00000030897	2443	7459992
9544.ENSMMUP00000001123	2433	843395
9544.ENSMMUP00000019224	2278	2541102
9544.ENSMMUP00000022425	2258	833315
9544.ENSMMUP00000013649	2247	1519991
9544.ENSMMUP00000014597	2237	9602823
9544.ENSMMUP00000031232	2228	4466930
9544.ENSMMUP00000013484	2221	9620842
9544.ENSMMUP00000012054	2207	2755731
9544.ENSMMUP00000020071	2204	775480
9544.ENSMMUP00000012328	2198	9602823
9544.ENSMMUP00000014596	2198	9602823
9544.ENSMMUP00000004497	2184	1589881
9544.ENSMMUP00000011547	2180	694954
9544.ENSMMUP00000025674	2131	526323
9544.ENSMMUP00000010595	2097	696644
9544.ENSMMUP00000011350	2089	1268046
9544.ENSMMUP00000005011	2069	12432187
9544.ENSMMUP00000004753	2062	4064373
9544.ENSMMUP00000033854	2032	773929
9544.ENSMMUP00000003717	2028	997531
9544.ENSMMUP00000018825	2017	1530946
9544.ENSMMUP00000029973	2007	5405386
9544.ENSMMUP00000035616	2005	4653079
9544.ENSMMUP00000032317	1964	619582
9544.ENSMMUP00000011581	1953	2094849
9544.ENSMMUP00000024084	1944	4104233
9544.ENSMMUP00000019887	1902	1098540
9544.ENSMMUP00000009153	1885	814292
9544.ENSMMUP00000010378	1856	499641
9544.ENSMMUP00000008154	1842	857977
9544.ENSMMUP00000001613	1835	5110157
9544.ENSMMUP00000000910	1815	1088320
9544.ENSMMUP00000023567	1787	834911
9544.ENSMMUP00000009114	1785	2588620
