#id: 1456536116
#name: Macaca mulatta - Penis, SC (Leeetal,plosone.2015)
#score: 5.6
#description: abundance based on Spectral counting, Interaction consistency score: 5.6, Coverage: 19
#organ: PENIS
#integrated: false
#coverage: 19
#link: http://www.ncbi.nlm.nih.gov/pubmed/25974132
#publication_year: 2015
#filename: 9544-PXD001972_male_penis.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4332696	9544.ENSMMUP00000041374	47339	26444664
4311229	9544.ENSMMUP00000000798	47339	26444664
4313671	9544.ENSMMUP00000005100	27355	39370537
4328197	9544.ENSMMUP00000031234	12019	13032098
4315166	9544.ENSMMUP00000007714	11784	4349129
4319587	9544.ENSMMUP00000015738	11153	12885507
4327991	9544.ENSMMUP00000030837	10278	980172
4328195	9544.ENSMMUP00000031232	10124	11646324
4323273	9544.ENSMMUP00000022305	9560	14714254
4326978	9544.ENSMMUP00000028993	8585	8400008
4314425	9544.ENSMMUP00000006451	8305	8376519
4320293	9544.ENSMMUP00000017039	8083	2862664
4331585	9544.ENSMMUP00000038843	7805	3546491
4314639	9544.ENSMMUP00000006823	7459	1132064
4311918	9544.ENSMMUP00000001995	7223	8994879
4325786	9544.ENSMMUP00000026837	6679	2071707
4313197	9544.ENSMMUP00000004265	6267	7812146
4320960	9544.ENSMMUP00000018208	6168	4806650
4312881	9544.ENSMMUP00000003717	5379	1632396
4313895	9544.ENSMMUP00000005514	5345	3307393
4322612	9544.ENSMMUP00000021173	4972	7149996
4331621	9544.ENSMMUP00000038937	4954	1769121
4312665	9544.ENSMMUP00000003320	4844	8015412
4311154	9544.ENSMMUP00000000663	4816	1707548
4315419	9544.ENSMMUP00000008176	4528	2590108
4331388	9544.ENSMMUP00000038387	4436	4441024
4312739	9544.ENSMMUP00000003467	4295	3469182
4318958	9544.ENSMMUP00000014597	4017	10384436
4317731	9544.ENSMMUP00000012328	3991	10384436
4318957	9544.ENSMMUP00000014596	3991	10384436
4329617	9544.ENSMMUP00000034321	3930	9963994
4311869	9544.ENSMMUP00000001926	3930	9963994
4317864	9544.ENSMMUP00000012596	3930	9963994
4329596	9544.ENSMMUP00000034283	3930	9963994
4314069	9544.ENSMMUP00000005840	3930	9963994
4328206	9544.ENSMMUP00000031247	3930	9963994
4328207	9544.ENSMMUP00000031248	3930	9963994
4332137	9544.ENSMMUP00000040172	3930	9963994
4311876	9544.ENSMMUP00000001935	3930	9963994
4329610	9544.ENSMMUP00000034312	3930	9963994
4328217	9544.ENSMMUP00000031273	3930	9963994
4329607	9544.ENSMMUP00000034308	3930	9963994
4323296	9544.ENSMMUP00000022354	3892	2804291
4326697	9544.ENSMMUP00000028500	3888	2509410
4319783	9544.ENSMMUP00000016099	3796	8496312
4317112	9544.ENSMMUP00000011205	3777	4317103
4323298	9544.ENSMMUP00000022358	3639	2048666
4315305	9544.ENSMMUP00000007964	3600	1351024
4314317	9544.ENSMMUP00000006240	3559	4577695
4315599	9544.ENSMMUP00000008504	3527	1162033
4315458	9544.ENSMMUP00000008247	3225	805193
4323155	9544.ENSMMUP00000022102	3134	3916039
4320077	9544.ENSMMUP00000016637	2950	1904179
4324907	9544.ENSMMUP00000025230	2892	4531718
4328213	9544.ENSMMUP00000031256	2811	2504731
4328223	9544.ENSMMUP00000031281	2811	2504731
4325400	9544.ENSMMUP00000026123	2795	1564091
4328865	9544.ENSMMUP00000032614	2785	2078518
4314673	9544.ENSMMUP00000006872	2779	1648618
4311871	9544.ENSMMUP00000001928	2769	713058
4316184	9544.ENSMMUP00000009518	2750	4441024
4312804	9544.ENSMMUP00000003585	2739	1769121
4327003	9544.ENSMMUP00000029042	2738	2504731
4327658	9544.ENSMMUP00000030227	2707	3561739
4314409	9544.ENSMMUP00000006418	2677	468172
4325948	9544.ENSMMUP00000027156	2651	532717
4327516	9544.ENSMMUP00000029960	2605	944514
4326291	9544.ENSMMUP00000027752	2538	3566685
4317167	9544.ENSMMUP00000011305	2450	1613004
4329491	9544.ENSMMUP00000034046	2358	3369919
4329604	9544.ENSMMUP00000034301	2140	4392102
4316185	9544.ENSMMUP00000009519	2140	4392102
4329598	9544.ENSMMUP00000034287	2140	4392102
4329595	9544.ENSMMUP00000034282	2140	4392102
4329600	9544.ENSMMUP00000034291	2140	4392102
4317866	9544.ENSMMUP00000012598	2140	4392102
4311875	9544.ENSMMUP00000001933	2140	4392102
4311878	9544.ENSMMUP00000001937	2140	4392102
4328210	9544.ENSMMUP00000031251	2140	4392102
4327002	9544.ENSMMUP00000029040	2140	4392102
4311873	9544.ENSMMUP00000001930	2140	4392102
4329592	9544.ENSMMUP00000034277	2140	4392102
4328220	9544.ENSMMUP00000031276	2140	4392102
4329492	9544.ENSMMUP00000034051	2011	3607009
4311708	9544.ENSMMUP00000001613	1997	3211336
4325038	9544.ENSMMUP00000025458	1975	1719610
4328013	9544.ENSMMUP00000030876	1975	3787501
4328174	9544.ENSMMUP00000031199	1973	4556010
4313481	9544.ENSMMUP00000004748	1967	401533
4319524	9544.ENSMMUP00000015635	1879	2564369
4321197	9544.ENSMMUP00000018627	1867	1272725
4315622	9544.ENSMMUP00000008547	1853	3003742
4318073	9544.ENSMMUP00000012953	1819	5643492
4313484	9544.ENSMMUP00000004753	1810	1937826
4314595	9544.ENSMMUP00000006757	1729	477720
4314323	9544.ENSMMUP00000006251	1728	850632
4318611	9544.ENSMMUP00000013958	1700	3060966
4311539	9544.ENSMMUP00000001319	1645	1025002
4327027	9544.ENSMMUP00000029086	1643	6456610
4323694	9544.ENSMMUP00000023085	1637	1030098
4316023	9544.ENSMMUP00000009222	1619	6460597
4327367	9544.ENSMMUP00000029684	1603	574734
4314444	9544.ENSMMUP00000006484	1590	963839
4312532	9544.ENSMMUP00000003083	1580	5084425
4324309	9544.ENSMMUP00000024183	1525	995651
4312255	9544.ENSMMUP00000002591	1486	669498
4315885	9544.ENSMMUP00000008984	1476	2556618
4315908	9544.ENSMMUP00000009023	1463	622467
4330719	9544.ENSMMUP00000036826	1456	837296
4319710	9544.ENSMMUP00000015958	1456	4141532
4322754	9544.ENSMMUP00000021395	1429	582237
4324094	9544.ENSMMUP00000023785	1421	1018781
