#id: 3011264949
#name: M. mulatta - Cardiac ventricle, SC (Leeetal,plosone.2015)
#score: 4.9
#weight:  10%
#description: abundance based on Spectral counting, Interaction consistency score: 4.9, Coverage: 20
#organ: CARDIAC_VENTRICLE
#integrated: false
#coverage: 20
#link: http://www.ncbi.nlm.nih.gov/pubmed/25974132
#publication_year: 2015
#filename: 9544-PXD001972_male_ventricle.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4312564	9544.ENSMMUP00000003144	34246	39211765
4315599	9544.ENSMMUP00000008504	18460	18255812
4311570	9544.ENSMMUP00000001377	16535	94794623
4321622	9544.ENSMMUP00000019382	15930	283305802
4311229	9544.ENSMMUP00000000798	13906	18921478
4332696	9544.ENSMMUP00000041374	13906	18921478
4311744	9544.ENSMMUP00000001683	13211	15367645
4314639	9544.ENSMMUP00000006823	12999	5430808
4330071	9544.ENSMMUP00000035315	12880	84480356
4327027	9544.ENSMMUP00000029086	12491	92421705
4321600	9544.ENSMMUP00000019350	12189	22535414
4321617	9544.ENSMMUP00000019374	12043	238787208
4314972	9544.ENSMMUP00000007425	11952	8499179
4311989	9544.ENSMMUP00000002121	11412	23316419
4316023	9544.ENSMMUP00000009222	11063	92118624
4318089	9544.ENSMMUP00000012976	10997	22650963
4320678	9544.ENSMMUP00000017718	10403	17076844
4323802	9544.ENSMMUP00000023267	10172	77919627
4319783	9544.ENSMMUP00000016099	9590	60649622
4323801	9544.ENSMMUP00000023266	8649	71654222
4313484	9544.ENSMMUP00000004753	8605	25809020
4327991	9544.ENSMMUP00000030837	8266	2714442
4323273	9544.ENSMMUP00000022305	8213	30701720
4313671	9544.ENSMMUP00000005100	7175	36584411
4321675	9544.ENSMMUP00000019472	7110	17143334
4311407	9544.ENSMMUP00000001102	6950	10159114
4322152	9544.ENSMMUP00000020297	6712	18852305
4318720	9544.ENSMMUP00000014159	6536	13805435
4322179	9544.ENSMMUP00000020340	6399	7848132
4311918	9544.ENSMMUP00000001995	6202	20913240
4314551	9544.ENSMMUP00000006664	5937	4802755
4315933	9544.ENSMMUP00000009057	5821	12875493
4320698	9544.ENSMMUP00000017762	5791	7241819
4317309	9544.ENSMMUP00000011547	5727	3082880
4319268	9544.ENSMMUP00000015177	5498	6446672
4327059	9544.ENSMMUP00000029142	5468	5088577
4320293	9544.ENSMMUP00000017039	5466	14198997
4315956	9544.ENSMMUP00000009102	5407	9840381
4319346	9544.ENSMMUP00000015328	5345	6014778
4316815	9544.ENSMMUP00000010665	5242	1189221
4317112	9544.ENSMMUP00000011205	5050	11871099
4328842	9544.ENSMMUP00000032564	5043	11294813
4315166	9544.ENSMMUP00000007714	5040	6206166
4331829	9544.ENSMMUP00000039421	4932	10159114
4327722	9544.ENSMMUP00000030329	4837	10054448
4328197	9544.ENSMMUP00000031234	4219	9854319
4317590	9544.ENSMMUP00000012071	3859	5632976
4331585	9544.ENSMMUP00000038843	3750	5297633
4319325	9544.ENSMMUP00000015287	3745	4499986
4317226	9544.ENSMMUP00000011397	3569	5740426
4314444	9544.ENSMMUP00000006484	3547	5205231
4315031	9544.ENSMMUP00000007511	3531	2106360
4311539	9544.ENSMMUP00000001319	3460	6346742
4331621	9544.ENSMMUP00000038937	3367	3276171
4326216	9544.ENSMMUP00000027614	3226	969061
4315264	9544.ENSMMUP00000007886	3203	8697782
4310930	9544.ENSMMUP00000000226	3086	2997222
4329887	9544.ENSMMUP00000034864	3086	2997222
4320341	9544.ENSMMUP00000017131	2947	4331638
4318957	9544.ENSMMUP00000014596	2896	40773153
4317731	9544.ENSMMUP00000012328	2896	40773153
4318958	9544.ENSMMUP00000014597	2825	40709990
4314076	9544.ENSMMUP00000005855	2781	6753719
4315184	9544.ENSMMUP00000007739	2755	1441677
4325730	9544.ENSMMUP00000026743	2639	4441425
4327104	9544.ENSMMUP00000029206	2625	450540
4322250	9544.ENSMMUP00000020472	2610	17370559
4312675	9544.ENSMMUP00000003339	2574	4145666
4316067	9544.ENSMMUP00000009293	2526	1639523
4321711	9544.ENSMMUP00000019535	2507	4302833
4318365	9544.ENSMMUP00000013484	2453	16923119
4311476	9544.ENSMMUP00000001216	2350	2622921
4311880	9544.ENSMMUP00000001942	2333	8851425
4312111	9544.ENSMMUP00000002322	2300	9993816
4321574	9544.ENSMMUP00000019293	2263	5278863
4313075	9544.ENSMMUP00000004053	2184	4299617
4314317	9544.ENSMMUP00000006240	2143	5958488
4315379	9544.ENSMMUP00000008104	2115	3510323
4313516	9544.ENSMMUP00000004815	2067	5669310
4323739	9544.ENSMMUP00000023168	2057	2331812
4322780	9544.ENSMMUP00000021440	2052	7791784
4317425	9544.ENSMMUP00000011753	2034	3106313
4328195	9544.ENSMMUP00000031232	2009	6248914
4332163	9544.ENSMMUP00000040219	1986	5082361
4329999	9544.ENSMMUP00000035167	1986	5082361
4312804	9544.ENSMMUP00000003585	1986	3276171
4314074	9544.ENSMMUP00000005853	1950	7407798
4323478	9544.ENSMMUP00000022679	1883	922264
4315015	9544.ENSMMUP00000007489	1841	3961541
4319387	9544.ENSMMUP00000015392	1824	7717144
4316155	9544.ENSMMUP00000009469	1821	2842552
4312532	9544.ENSMMUP00000003083	1764	10438750
4323522	9544.ENSMMUP00000022761	1763	1597655
4315687	9544.ENSMMUP00000008640	1751	3501750
4320001	9544.ENSMMUP00000016496	1739	2425395
4322026	9544.ENSMMUP00000020071	1735	917016
4311811	9544.ENSMMUP00000001807	1669	10767682
4325572	9544.ENSMMUP00000026454	1631	1101130
4325642	9544.ENSMMUP00000026578	1617	2787580
4329686	9544.ENSMMUP00000034457	1590	2188325
4327450	9544.ENSMMUP00000029834	1577	10178326
4327872	9544.ENSMMUP00000030606	1570	2176408
4314018	9544.ENSMMUP00000005738	1539	2405107
4323867	9544.ENSMMUP00000023379	1533	685962
4313265	9544.ENSMMUP00000004376	1526	3043920
4315423	9544.ENSMMUP00000008185	1525	2732016
4318425	9544.ENSMMUP00000013616	1508	1292567
4317784	9544.ENSMMUP00000012433	1505	11537481
4328013	9544.ENSMMUP00000030876	1495	6327855
4321190	9544.ENSMMUP00000018617	1449	5114051
4323550	9544.ENSMMUP00000022813	1443	4202426
4313895	9544.ENSMMUP00000005514	1433	1842124
4317236	9544.ENSMMUP00000011411	1421	2104057
4310990	9544.ENSMMUP00000000344	1421	397110
4316923	9544.ENSMMUP00000010873	1414	1816903
4322508	9544.ENSMMUP00000020982	1402	715130
4322716	9544.ENSMMUP00000021336	1376	1994015
4332498	9544.ENSMMUP00000040963	1329	4654886
4322300	9544.ENSMMUP00000020570	1325	2469537
4318519	9544.ENSMMUP00000013788	1324	512297
4322754	9544.ENSMMUP00000021395	1322	1435800
4313147	9544.ENSMMUP00000004179	1317	750849
4312797	9544.ENSMMUP00000003569	1316	6064415
4319619	9544.ENSMMUP00000015794	1315	1649730
4312881	9544.ENSMMUP00000003717	1296	1045480
4326159	9544.ENSMMUP00000027508	1289	499005
4312739	9544.ENSMMUP00000003467	1270	3647360
4313288	9544.ENSMMUP00000004417	1267	5433398
4331388	9544.ENSMMUP00000038387	1254	5140359
4323139	9544.ENSMMUP00000022071	1183	4855158
4317099	9544.ENSMMUP00000011179	1163	424732
4325038	9544.ENSMMUP00000025458	1152	669431
4318705	9544.ENSMMUP00000014132	1135	573843
4324123	9544.ENSMMUP00000023834	1135	3336391
4312877	9544.ENSMMUP00000003713	1112	1563130
4324753	9544.ENSMMUP00000024964	1109	2202930
4325571	9544.ENSMMUP00000026453	1104	748313
4321135	9544.ENSMMUP00000018524	1085	1140850
4326657	9544.ENSMMUP00000028426	1084	661253
4323397	9544.ENSMMUP00000022541	1078	1200083
4321066	9544.ENSMMUP00000018395	1074	1241412
4315178	9544.ENSMMUP00000007731	1058	3926973
4323647	9544.ENSMMUP00000022995	1054	981910
4317917	9544.ENSMMUP00000012680	1051	3119476
4320612	9544.ENSMMUP00000017596	1049	934589
4323296	9544.ENSMMUP00000022354	1035	1569708
4311015	9544.ENSMMUP00000000391	1032	110250
4327746	9544.ENSMMUP00000030368	1028	2805542
4317017	9544.ENSMMUP00000011034	1028	2952901
4328329	9544.ENSMMUP00000031487	1026	2162614
4315755	9544.ENSMMUP00000008760	1025	1574951
4327658	9544.ENSMMUP00000030227	1020	3771933
4318294	9544.ENSMMUP00000013345	1015	2013711
4327733	9544.ENSMMUP00000030343	1013	2952901
4329204	9544.ENSMMUP00000033378	1010	4303837
4315032	9544.ENSMMUP00000007512	1008	1449402
4322606	9544.ENSMMUP00000021162	1007	2025567
4332665	9544.ENSMMUP00000041329	1007	2025567
4318154	9544.ENSMMUP00000013089	990	507338
4314673	9544.ENSMMUP00000006872	988	2004115
4331487	9544.ENSMMUP00000038622	979	2473836
4313889	9544.ENSMMUP00000005506	978	458235
4326323	9544.ENSMMUP00000027805	972	1193512
4322820	9544.ENSMMUP00000021504	965	286255
4310910	9544.ENSMMUP00000000191	961	1515040
4313997	9544.ENSMMUP00000005696	948	1921119
4316184	9544.ENSMMUP00000009518	945	5140359
4322446	9544.ENSMMUP00000020856	944	107011
4330832	9544.ENSMMUP00000037060	925	1872246
4330824	9544.ENSMMUP00000037043	924	93074
4322871	9544.ENSMMUP00000021599	922	3865035
4325317	9544.ENSMMUP00000025990	921	568156
4317867	9544.ENSMMUP00000012599	920	1547207
4323319	9544.ENSMMUP00000022403	912	5146569
4323155	9544.ENSMMUP00000022102	903	2609141
4324262	9544.ENSMMUP00000024101	903	768905
4319587	9544.ENSMMUP00000015738	890	2100350
4311421	9544.ENSMMUP00000001123	882	168485
4325511	9544.ENSMMUP00000026321	881	2368540
4321098	9544.ENSMMUP00000018447	881	495036
4318409	9544.ENSMMUP00000013572	877	1716937
4327346	9544.ENSMMUP00000029651	872	1897672
4315837	9544.ENSMMUP00000008898	867	937778
4313278	9544.ENSMMUP00000004400	866	3147149
4314595	9544.ENSMMUP00000006757	865	667004
4318497	9544.ENSMMUP00000013745	864	5433629
4316217	9544.ENSMMUP00000009586	860	2838349
4322892	9544.ENSMMUP00000021639	858	4883800
4327162	9544.ENSMMUP00000029315	856	3230929
4313197	9544.ENSMMUP00000004265	854	2602548
4318259	9544.ENSMMUP00000013283	847	1578290
4317987	9544.ENSMMUP00000012805	847	59018496
4331221	9544.ENSMMUP00000037953	840	4501811
4316063	9544.ENSMMUP00000009289	839	4303837
4326267	9544.ENSMMUP00000027706	838	2870587
4317973	9544.ENSMMUP00000012779	836	65690426
4332001	9544.ENSMMUP00000039868	835	3499386
4324406	9544.ENSMMUP00000024372	834	2166922
4320308	9544.ENSMMUP00000017069	832	460005
4317977	9544.ENSMMUP00000012785	828	65028900
4327264	9544.ENSMMUP00000029493	828	484672
4327980	9544.ENSMMUP00000030819	826	7508138
4329913	9544.ENSMMUP00000034926	818	5112785
4320356	9544.ENSMMUP00000017157	816	601912
4318536	9544.ENSMMUP00000013817	815	3669798
4322797	9544.ENSMMUP00000021465	812	1189540
