#id: 4294612369
#name: Pan troglodytes - Whole organism, Ibaq (Khan,science,2013)
#score: 10.3
#description: abundance based on MAPPED_BY_AUTHORS, iBAQ, Interaction consistency score: 10.3, Coverage: 15
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 15
#link: http://www.sciencemag.org/content/342/6162/1100.abstract
#publication_year: 2013
#filename: 9598-Chimp_iBAQ_Khan_2013.txt
#
#internal_id	string_external_id	abundance
4396041	9598.ENSPTRP00000007822	40177
4398328	9598.ENSPTRP00000014707	29565
4396365	9598.ENSPTRP00000008686	16106
4405061	9598.ENSPTRP00000034854	10342
4394330	9598.ENSPTRP00000002581	10264
4397559	9598.ENSPTRP00000012388	9309
4409065	9598.ENSPTRP00000051301	8811
4393830	9598.ENSPTRP00000001167	7305
4407327	9598.ENSPTRP00000044721	6321
4403585	9598.ENSPTRP00000030175	6224
4398594	9598.ENSPTRP00000015471	6025
4405119	9598.ENSPTRP00000035000	5595
4400984	9598.ENSPTRP00000022531	5510
4402408	9598.ENSPTRP00000026978	5449
4399327	9598.ENSPTRP00000017487	5232
4409379	9598.ENSPTRP00000052487	5225
4399301	9598.ENSPTRP00000017408	4940
4403831	9598.ENSPTRP00000030891	4922
4400562	9598.ENSPTRP00000021215	4769
4400348	9598.ENSPTRP00000020591	4545
4404499	9598.ENSPTRP00000033039	4531
4410752	9598.ENSPTRP00000058757	4482
4410156	9598.ENSPTRP00000055770	4482
4394053	9598.ENSPTRP00000001812	4312
4401311	9598.ENSPTRP00000023600	4260
4397502	9598.ENSPTRP00000012229	4233
4394002	9598.ENSPTRP00000001659	4194
4397507	9598.ENSPTRP00000012236	4175
4399021	9598.ENSPTRP00000016636	4159
4393758	9598.ENSPTRP00000000984	4051
4411401	9598.ENSPTRP00000060389	3998
4407764	9598.ENSPTRP00000046835	3713
4399022	9598.ENSPTRP00000016637	3468
4401401	9598.ENSPTRP00000023882	3451
4405903	9598.ENSPTRP00000037845	3444
4400840	9598.ENSPTRP00000022069	3391
4409914	9598.ENSPTRP00000054503	3348
4411302	9598.ENSPTRP00000060254	3309
4395316	9598.ENSPTRP00000005906	3236
4411425	9598.ENSPTRP00000060416	3189
4406907	9598.ENSPTRP00000042761	3142
4404335	9598.ENSPTRP00000032472	3062
4410378	9598.ENSPTRP00000056956	3015
4394700	9598.ENSPTRP00000003693	2898
4404254	9598.ENSPTRP00000032145	2855
4397098	9598.ENSPTRP00000010840	2820
4398221	9598.ENSPTRP00000014386	2769
4407718	9598.ENSPTRP00000046641	2767
4396980	9598.ENSPTRP00000010514	2763
4405524	9598.ENSPTRP00000036292	2758
4399754	9598.ENSPTRP00000018758	2733
4408446	9598.ENSPTRP00000048997	2731
4403363	9598.ENSPTRP00000029565	2729
4411688	9598.ENSPTRP00000060772	2718
4407310	9598.ENSPTRP00000044643	2708
4393771	9598.ENSPTRP00000001011	2658
4394185	9598.ENSPTRP00000002194	2651
4400119	9598.ENSPTRP00000019932	2573
4395192	9598.ENSPTRP00000005525	2567
4401022	9598.ENSPTRP00000022674	2551
4403302	9598.ENSPTRP00000029399	2530
4409180	9598.ENSPTRP00000051719	2528
4403311	9598.ENSPTRP00000029435	2468
4399447	9598.ENSPTRP00000017864	2464
4405112	9598.ENSPTRP00000034970	2456
4401822	9598.ENSPTRP00000025339	2444
4403442	9598.ENSPTRP00000029765	2443
4405367	9598.ENSPTRP00000035748	2416
4400203	9598.ENSPTRP00000020159	2404
4400337	9598.ENSPTRP00000020548	2382
4399877	9598.ENSPTRP00000019162	2341
4411527	9598.ENSPTRP00000060553	2313
4406342	9598.ENSPTRP00000040056	2305
4400506	9598.ENSPTRP00000021052	2283
4407390	9598.ENSPTRP00000045005	2274
4400831	9598.ENSPTRP00000022048	2272
4401631	9598.ENSPTRP00000024707	2264
4403034	9598.ENSPTRP00000028695	2214
4394244	9598.ENSPTRP00000002318	2139
4396531	9598.ENSPTRP00000009129	2137
4400335	9598.ENSPTRP00000020545	2116
4403807	9598.ENSPTRP00000030816	2050
4396450	9598.ENSPTRP00000008901	2044
4405862	9598.ENSPTRP00000037656	2011
4399548	9598.ENSPTRP00000018140	1995
4397360	9598.ENSPTRP00000011801	1983
4406116	9598.ENSPTRP00000038852	1972
4405005	9598.ENSPTRP00000034700	1953
4404530	9598.ENSPTRP00000033143	1939
4406626	9598.ENSPTRP00000041425	1839
4399942	9598.ENSPTRP00000019323	1827
4404442	9598.ENSPTRP00000032821	1801
4402254	9598.ENSPTRP00000026555	1789
4393726	9598.ENSPTRP00000000916	1778
4401133	9598.ENSPTRP00000023000	1776
4404763	9598.ENSPTRP00000033880	1762
4400758	9598.ENSPTRP00000021795	1762
4397187	9598.ENSPTRP00000011130	1746
4401971	9598.ENSPTRP00000025759	1739
4400443	9598.ENSPTRP00000020817	1739
4405908	9598.ENSPTRP00000037867	1736
4396125	9598.ENSPTRP00000008071	1734
4393719	9598.ENSPTRP00000000870	1687
4403793	9598.ENSPTRP00000030776	1681
4403699	9598.ENSPTRP00000030452	1666
4405235	9598.ENSPTRP00000035323	1637
4395595	9598.ENSPTRP00000006637	1634
