#id: 986013392
#name: Homo sapiens - Cell line, A431 (Lundberg,msb,2010)
#score: 15.1
#description: abundance based on MAPPED_BY_AUTHORS, A431, Interaction consistency score: 15.1, Coverage: 27
#organ: CELL_LINE
#integrated: false
#coverage: 27
#link: http://www.ncbi.nlm.nih.gov/pubmed/21179022
#publication_year: 2010
#filename: 9606-A431_cellline_Lundberg_2010.txt
#
#internal_id	string_external_id	abundance
4443770	9606.ENSP00000360609	15894
4445799	9606.ENSP00000373487	15650
4437721	9606.ENSP00000301072	10630
4450595	9606.ENSP00000458162	10421
4433634	9606.ENSP00000234590	10420
4449616	9606.ENSP00000432083	9281
4432924	9606.ENSP00000216181	8135
4440919	9606.ENSP00000339063	8085
4441580	9606.ENSP00000346032	7981
4444948	9606.ENSP00000367034	7819
4444934	9606.ENSP00000366974	7819
4444931	9606.ENSP00000366956	7819
4450064	9606.ENSP00000443017	7819
4433451	9606.ENSP00000229239	7585
4436186	9606.ENSP00000275493	7131
4439337	9606.ENSP00000320171	6388
4444893	9606.ENSP00000366679	6296
4444939	9606.ENSP00000366999	6296
4441116	9606.ENSP00000341094	6296
4442214	9606.ENSP00000352119	6296
4440028	9606.ENSP00000328484	6296
4442159	9606.ENSP00000351589	6296
4438372	9606.ENSP00000307940	6065
4444989	9606.ENSP00000367263	5891
4443409	9606.ENSP00000358866	5470
4439640	9606.ENSP00000323856	4838
4434247	9606.ENSP00000252699	4660
4440915	9606.ENSP00000339001	4608
4438061	9606.ENSP00000304592	4281
4449041	9606.ENSP00000419425	4139
4446480	9606.ENSP00000379287	4063
4433326	9606.ENSP00000225655	4004
4435415	9606.ENSP00000264335	3955
4443076	9606.ENSP00000357283	3949
4451378	9606.ENSP00000479284	3817
4451152	9606.ENSP00000476136	3817
4440643	9606.ENSP00000335153	3711
4439666	9606.ENSP00000324173	3423
4446386	9606.ENSP00000378669	3374
4437352	9606.ENSP00000296930	3352
4438070	9606.ENSP00000304697	3338
4449992	9606.ENSP00000441543	3338
4447538	9606.ENSP00000388107	3338
4436015	9606.ENSP00000272317	3338
4439955	9606.ENSP00000327801	3237
4434059	9606.ENSP00000248553	3189
4443270	9606.ENSP00000358155	3148
4440336	9606.ENSP00000332194	3148
4435133	9606.ENSP00000262746	3144
4446837	9606.ENSP00000381607	3137
4451404	9606.ENSP00000479606	2940
4434387	9606.ENSP00000254810	2884
4442728	9606.ENSP00000355657	2884
4442746	9606.ENSP00000355778	2884
4440998	9606.ENSP00000339835	2884
4443272	9606.ENSP00000358160	2884
4442229	9606.ENSP00000352252	2884
4437038	9606.ENSP00000293831	2873
4444702	9606.ENSP00000365439	2658
4441649	9606.ENSP00000346694	2648
4437604	9606.ENSP00000299767	2639
4441103	9606.ENSP00000340989	2637
4449378	9606.ENSP00000426909	2599
4446501	9606.ENSP00000379386	2594
4443033	9606.ENSP00000357076	2576
4445814	9606.ENSP00000373620	2516
4442186	9606.ENSP00000351777	2509
4433456	9606.ENSP00000229270	2475
4442353	9606.ENSP00000353408	2464
4446270	9606.ENSP00000377941	2432
4444748	9606.ENSP00000365745	2406
4441190	9606.ENSP00000341826	2327
4442011	9606.ENSP00000350090	2327
4443642	9606.ENSP00000359991	2313
4449639	9606.ENSP00000432660	2303
4445167	9606.ENSP00000368458	2262
4437297	9606.ENSP00000296511	2165
4436920	9606.ENSP00000291568	2153
4439187	9606.ENSP00000318195	2104
4436526	9606.ENSP00000283179	2099
4443118	9606.ENSP00000357516	2065
4441216	9606.ENSP00000342026	2053
4443780	9606.ENSP00000360671	2042
4444160	9606.ENSP00000362413	2027
4437619	9606.ENSP00000300026	2025
4441583	9606.ENSP00000346050	2004
4442801	9606.ENSP00000356042	2001
4446117	9606.ENSP00000376889	1977
4438689	9606.ENSP00000311430	1941
4439395	9606.ENSP00000320866	1928
4437376	9606.ENSP00000297185	1914
4443268	9606.ENSP00000358151	1908
4450181	9606.ENSP00000446007	1892
4444600	9606.ENSP00000364802	1887
4444599	9606.ENSP00000364801	1887
4446579	9606.ENSP00000379888	1868
4448366	9606.ENSP00000405573	1838
4447693	9606.ENSP00000391481	1811
4450191	9606.ENSP00000446215	1805
4444232	9606.ENSP00000362744	1802
4432975	9606.ENSP00000216605	1795
4441923	9606.ENSP00000349430	1793
4434993	9606.ENSP00000262030	1785
4435176	9606.ENSP00000262982	1707
4450282	9606.ENSP00000449328	1704
4445338	9606.ENSP00000369538	1702
4444796	9606.ENSP00000366109	1680
4435512	9606.ENSP00000264908	1668
4435814	9606.ENSP00000268182	1609
4436296	9606.ENSP00000278572	1602
4436697	9606.ENSP00000286788	1582
4437196	9606.ENSP00000295822	1581
4440720	9606.ENSP00000336702	1581
4448843	9606.ENSP00000416706	1574
4441877	9606.ENSP00000348965	1569
4439758	9606.ENSP00000325376	1562
4434797	9606.ENSP00000260665	1556
4451385	9606.ENSP00000479365	1539
4450354	9606.ENSP00000451291	1539
4448260	9606.ENSP00000403172	1521
4437770	9606.ENSP00000301522	1515
4433021	9606.ENSP00000217426	1504
4444285	9606.ENSP00000363018	1504
4440987	9606.ENSP00000339795	1504
4437661	9606.ENSP00000300289	1476
4433348	9606.ENSP00000225972	1469
4440870	9606.ENSP00000338413	1465
4443269	9606.ENSP00000358154	1442
4447238	9606.ENSP00000385479	1442
4440440	9606.ENSP00000333277	1442
4441896	9606.ENSP00000349168	1434
4436660	9606.ENSP00000286091	1412
4432889	9606.ENSP00000215909	1409
4444013	9606.ENSP00000361824	1380
4440966	9606.ENSP00000339566	1326
4433490	9606.ENSP00000230050	1322
4441562	9606.ENSP00000345848	1295
4438847	9606.ENSP00000313199	1291
4446598	9606.ENSP00000380033	1286
4447434	9606.ENSP00000386857	1278
4448229	9606.ENSP00000402373	1278
4442723	9606.ENSP00000355645	1278
4436861	9606.ENSP00000290378	1278
4435583	9606.ENSP00000265333	1277
4443312	9606.ENSP00000358417	1268
4434023	9606.ENSP00000247461	1264
4442908	9606.ENSP00000356520	1246
4447523	9606.ENSP00000387710	1246
4442171	9606.ENSP00000351646	1236
4438834	9606.ENSP00000313007	1230
4436437	9606.ENSP00000281589	1230
4447586	9606.ENSP00000389103	1229
