#id: 645433446
#name: Homo sapiens - Adrenal gland (Integrated)
#score: 35.1
#coverage: 66
#description: integrated dataset: weighted average of all Homo sapiens ADRENAL_GLAND: 35.1, Coverage: 66
#organ: ADRENAL_GLAND
#integrated: true
#weights: Adult_Adrenalgland_Kim_2014_SEQUEST:0.866;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Adrenal_gland:0.087;PXD016999_Jiang_Cell_2020_AdrenalGland-ppm:0.048;
#publication_year: 2023
#filename: 9606-ADRENAL_GLAND-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000333994	23973
9606.ENSP00000295897	17820
9606.ENSP00000373620	12041
9606.ENSP00000285930	8667
9606.ENSP00000358903	8297
9606.ENSP00000251595	8105
9606.ENSP00000322421	8071
9606.ENSP00000445122	5815
9606.ENSP00000446007	4984
9606.ENSP00000229239	4901
9606.ENSP00000408860	4847
9606.ENSP00000217971	4833
9606.ENSP00000458162	4600
9606.ENSP00000261313	4105
9606.ENSP00000369654	3900
9606.ENSP00000416066	3693
9606.ENSP00000339063	3542
9606.ENSP00000349960	3498
9606.ENSP00000268053	3386
9606.ENSP00000480004	3371
9606.ENSP00000360609	3299
9606.ENSP00000252244	3099
9606.ENSP00000297185	3088
9606.ENSP00000432282	3078
9606.ENSP00000292427	2871
9606.ENSP00000430656	2823
9606.ENSP00000368244	2788
9606.ENSP00000320866	2763
9606.ENSP00000247461	2744
9606.ENSP00000301522	2729
9606.ENSP00000273258	2703
9606.ENSP00000299767	2650
9606.ENSP00000357283	2633
9606.ENSP00000376056	2601
9606.ENSP00000308430	2588
9606.ENSP00000336829	2582
9606.ENSP00000216492	2571
9606.ENSP00000335153	2540
9606.ENSP00000270142	2534
9606.ENSP00000262030	2495
9606.ENSP00000327801	2448
9606.ENSP00000246662	2445
9606.ENSP00000236671	2396
9606.ENSP00000269576	2307
9606.ENSP00000248553	2291
9606.ENSP00000432083	2284
9606.ENSP00000346032	2261
9606.ENSP00000347872	2239
9606.ENSP00000320171	2214
9606.ENSP00000354468	2144
9606.ENSP00000362413	2113
9606.ENSP00000342026	2110
9606.ENSP00000351022	2087
9606.ENSP00000216181	2067
9606.ENSP00000345179	2046
9606.ENSP00000370023	2038
9606.ENSP00000234590	2020
9606.ENSP00000381736	2018
9606.ENSP00000378669	2008
9606.ENSP00000229270	1999
9606.ENSP00000306099	1981
9606.ENSP00000379287	1926
9606.ENSP00000299427	1865
9606.ENSP00000327070	1853
9606.ENSP00000346694	1821
9606.ENSP00000306606	1818
9606.ENSP00000264335	1803
9606.ENSP00000298510	1786
9606.ENSP00000300026	1780
9606.ENSP00000233893	1774
9606.ENSP00000419425	1755
9606.ENSP00000262746	1742
9606.ENSP00000358421	1703
9606.ENSP00000416515	1695
9606.ENSP00000358866	1681
9606.ENSP00000327336	1680
9606.ENSP00000296511	1671
9606.ENSP00000415840	1671
9606.ENSP00000385834	1662
9606.ENSP00000306361	1651
9606.ENSP00000252699	1650
9606.ENSP00000228136	1636
9606.ENSP00000370010	1632
9606.ENSP00000345230	1625
9606.ENSP00000446252	1621
9606.ENSP00000300289	1596
9606.ENSP00000259396	1590
9606.ENSP00000365439	1581
9606.ENSP00000418770	1568
9606.ENSP00000366525	1520
9606.ENSP00000236850	1492
9606.ENSP00000217182	1490
9606.ENSP00000231487	1480
9606.ENSP00000381607	1478
9606.ENSP00000353826	1467
9606.ENSP00000228318	1465
9606.ENSP00000391481	1461
9606.ENSP00000479488	1447
9606.ENSP00000324173	1445
9606.ENSP00000390265	1444
9606.ENSP00000266718	1434
9606.ENSP00000431254	1425
9606.ENSP00000263368	1424
9606.ENSP00000222002	1397
9606.ENSP00000290378	1387
9606.ENSP00000367542	1376
9606.ENSP00000261693	1349
9606.ENSP00000346550	1333
9606.ENSP00000325136	1330
9606.ENSP00000296930	1324
9606.ENSP00000260270	1305
9606.ENSP00000359991	1295
9606.ENSP00000379386	1295
9606.ENSP00000351777	1294
9606.ENSP00000245907	1280
9606.ENSP00000221418	1267
9606.ENSP00000354826	1255
9606.ENSP00000361824	1250
9606.ENSP00000438144	1248
9606.ENSP00000265838	1227
9606.ENSP00000445175	1225
9606.ENSP00000265333	1211
9606.ENSP00000310861	1191
9606.ENSP00000295550	1189
9606.ENSP00000216218	1187
9606.ENSP00000419970	1180
9606.ENSP00000402373	1179
9606.ENSP00000215909	1173
9606.ENSP00000361635	1161
9606.ENSP00000355180	1159
9606.ENSP00000348170	1147
9606.ENSP00000370571	1144
9606.ENSP00000405573	1143
9606.ENSP00000216254	1142
9606.ENSP00000428895	1140
9606.ENSP00000325822	1127
9606.ENSP00000366109	1121
9606.ENSP00000261733	1112
9606.ENSP00000438689	1108
9606.ENSP00000269321	1102
9606.ENSP00000349259	1092
9606.ENSP00000052754	1075
9606.ENSP00000386857	1075
9606.ENSP00000255040	1074
9606.ENSP00000340466	1074
9606.ENSP00000379512	1066
9606.ENSP00000369609	1044
9606.ENSP00000355645	1039
9606.ENSP00000468057	1039
9606.ENSP00000220764	1034
9606.ENSP00000306330	1023
9606.ENSP00000356042	1021
9606.ENSP00000313432	1018
9606.ENSP00000376793	1013
9606.ENSP00000360316	1012
9606.ENSP00000335620	1010
9606.ENSP00000452762	998
9606.ENSP00000388107	994
9606.ENSP00000343924	986
9606.ENSP00000272317	983
9606.ENSP00000322439	983
9606.ENSP00000346954	980
9606.ENSP00000376776	972
9606.ENSP00000378760	967
9606.ENSP00000285379	964
9606.ENSP00000384136	960
9606.ENSP00000371267	959
9606.ENSP00000356864	957
9606.ENSP00000432660	951
9606.ENSP00000474560	951
9606.ENSP00000364801	943
9606.ENSP00000479606	943
9606.ENSP00000301071	938
9606.ENSP00000273550	937
9606.ENSP00000356275	937
9606.ENSP00000342056	936
9606.ENSP00000265062	924
9606.ENSP00000469240	923
9606.ENSP00000357189	919
9606.ENSP00000354511	916
9606.ENSP00000441875	910
9606.ENSP00000263168	908
9606.ENSP00000264071	905
9606.ENSP00000345774	905
9606.ENSP00000316029	900
9606.ENSP00000341625	898
9606.ENSP00000363827	897
9606.ENSP00000232219	880
9606.ENSP00000318195	880
9606.ENSP00000450540	874
9606.ENSP00000297785	874
9606.ENSP00000225698	868
9606.ENSP00000339001	865
9606.ENSP00000307940	862
9606.ENSP00000446215	856
9606.ENSP00000225655	855
9606.ENSP00000241052	854
9606.ENSP00000353408	853
9606.ENSP00000357055	849
9606.ENSP00000304229	849
9606.ENSP00000265983	847
9606.ENSP00000323929	846
9606.ENSP00000379616	845
9606.ENSP00000336799	838
9606.ENSP00000355315	835
9606.ENSP00000309830	833
9606.ENSP00000168216	832
9606.ENSP00000296255	832
9606.ENSP00000264710	830
9606.ENSP00000357516	828
9606.ENSP00000216802	825
9606.ENSP00000385385	821
9606.ENSP00000341289	815
9606.ENSP00000354632	812
9606.ENSP00000377941	810
9606.ENSP00000345347	805
9606.ENSP00000449328	804
9606.ENSP00000309539	800
9606.ENSP00000256104	800
9606.ENSP00000252486	798
9606.ENSP00000279022	797
9606.ENSP00000276449	793
9606.ENSP00000205402	792
9606.ENSP00000392330	784
9606.ENSP00000306362	784
9606.ENSP00000448785	782
9606.ENSP00000225174	780
9606.ENSP00000361930	776
9606.ENSP00000362924	774
9606.ENSP00000264932	771
9606.ENSP00000354876	771
9606.ENSP00000278353	764
9606.ENSP00000478310	763
9606.ENSP00000370808	761
9606.ENSP00000346173	756
9606.ENSP00000211998	756
9606.ENSP00000355518	755
9606.ENSP00000451291	754
9606.ENSP00000362329	752
9606.ENSP00000420213	752
9606.ENSP00000364802	746
9606.ENSP00000300527	746
9606.ENSP00000228945	742
9606.ENSP00000215567	740
9606.ENSP00000386284	738
9606.ENSP00000358727	726
9606.ENSP00000305556	719
9606.ENSP00000263354	717
9606.ENSP00000323856	716
9606.ENSP00000348886	714
9606.ENSP00000356791	710
9606.ENSP00000225430	709
9606.ENSP00000426909	709
9606.ENSP00000345656	707
9606.ENSP00000346067	704
9606.ENSP00000246533	702
9606.ENSP00000262551	702
9606.ENSP00000254810	700
9606.ENSP00000393241	695
9606.ENSP00000355778	695
9606.ENSP00000203407	692
9606.ENSP00000228506	692
9606.ENSP00000363832	692
9606.ENSP00000259469	688
9606.ENSP00000315130	686
9606.ENSP00000295685	683
9606.ENSP00000357535	679
9606.ENSP00000355330	678
9606.ENSP00000381928	672
9606.ENSP00000357801	670
9606.ENSP00000301072	670
9606.ENSP00000265395	668
9606.ENSP00000285093	663
9606.ENSP00000400175	657
9606.ENSP00000349541	656
9606.ENSP00000255030	653
9606.ENSP00000385958	651
9606.ENSP00000371958	647
9606.ENSP00000290349	646
9606.ENSP00000283179	646
9606.ENSP00000387262	646
9606.ENSP00000248437	642
9606.ENSP00000278572	642
9606.ENSP00000372155	641
9606.ENSP00000362744	640
9606.ENSP00000446955	639
9606.ENSP00000401831	639
9606.ENSP00000245206	639
9606.ENSP00000351646	638
9606.ENSP00000209668	638
9606.ENSP00000325146	638
9606.ENSP00000377060	638
9606.ENSP00000287295	636
9606.ENSP00000268379	636
9606.ENSP00000306010	635
9606.ENSP00000368767	635
9606.ENSP00000331901	633
9606.ENSP00000401010	633
9606.ENSP00000346921	632
9606.ENSP00000360671	630
9606.ENSP00000353590	630
9606.ENSP00000339795	624
9606.ENSP00000341826	621
9606.ENSP00000216714	614
9606.ENSP00000270625	613
9606.ENSP00000325527	612
9606.ENSP00000291568	611
9606.ENSP00000284440	611
9606.ENSP00000313199	610
9606.ENSP00000258962	608
9606.ENSP00000338413	608
9606.ENSP00000385828	607
9606.ENSP00000351035	606
9606.ENSP00000238379	605
9606.ENSP00000387286	596
9606.ENSP00000434412	594
9606.ENSP00000367263	594
