#id: 2338721198
#name: Homo sapiens - Cell line, Cd8, SC (Kim,nature,2014)
#score: 37.0
#description: abundance based on Spectral counting, CD8, Interaction consistency score: 37.0, Coverage: 56
#organ: CELL_LINE
#integrated: false
#coverage: 56
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13302.html
#publication_year: 2014
#filename: 9606-Adult_CD8Tcells_Kim_2014_SEQUEST.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4433451	9606.ENSP00000229239	7339	2409
4450595	9606.ENSP00000458162	7276	9024
4441991	9606.ENSP00000349960	7276	9024
4449041	9606.ENSP00000419425	5664	1255
4441512	9606.ENSP00000345347	5638	1021
4433326	9606.ENSP00000225655	5502	1386
4434387	9606.ENSP00000254810	5068	2394
4442746	9606.ENSP00000355778	5068	2394
4450181	9606.ENSP00000446007	4908	3351
4449639	9606.ENSP00000432660	4626	1266
4433634	9606.ENSP00000234590	4428	2650
4433442	9606.ENSP00000228945	4064	750
4438348	9606.ENSP00000307705	4000	2040
4446831	9606.ENSP00000381581	3832	4006
4433064	9606.ENSP00000219150	3540	1293
4440966	9606.ENSP00000339566	3409	1909
4444796	9606.ENSP00000366109	3381	1386
4432924	9606.ENSP00000216181	3381	9238
4433900	9606.ENSP00000244534	3348	1889
4446480	9606.ENSP00000379287	3320	1261
4440919	9606.ENSP00000339063	3224	1532
4441649	9606.ENSP00000346694	3068	1107
4442353	9606.ENSP00000353408	2991	2491
4444160	9606.ENSP00000362413	2983	1719
4451423	9606.ENSP00000479794	2860	4487
4444931	9606.ENSP00000366956	2860	4487
4444934	9606.ENSP00000366974	2860	4487
4433901	9606.ENSP00000244537	2860	4487
4451886	9606.ENSP00000484789	2860	4487
4444948	9606.ENSP00000367034	2860	4487
4451542	9606.ENSP00000480960	2860	4487
4450064	9606.ENSP00000443017	2860	4487
4441692	9606.ENSP00000347168	2860	4487
4451392	9606.ENSP00000479461	2860	4487
4450676	9606.ENSP00000462667	2860	4487
4451358	9606.ENSP00000479106	2860	4487
4451586	9606.ENSP00000481486	2860	4487
4450668	9606.ENSP00000462355	2860	4487
4440440	9606.ENSP00000333277	2848	2337
4447238	9606.ENSP00000385479	2848	2337
4443269	9606.ENSP00000358154	2848	2337
4440399	9606.ENSP00000332790	2785	2406
4440154	9606.ENSP00000330074	2715	681
4441634	9606.ENSP00000346550	2639	2329
4446501	9606.ENSP00000379386	2636	1259
4434216	9606.ENSP00000252244	2525	2269
4433456	9606.ENSP00000229270	2507	1180
4439187	9606.ENSP00000318195	2455	1151
4437358	9606.ENSP00000297012	2355	2799
4435898	9606.ENSP00000269576	2306	1768
4447538	9606.ENSP00000388107	2271	1417
4437352	9606.ENSP00000296930	2246	510
4446386	9606.ENSP00000378669	2136	886
4437293	9606.ENSP00000296503	2071	484
4435881	9606.ENSP00000269321	2068	289
4443409	9606.ENSP00000358866	2035	6444
4438543	9606.ENSP00000309830	2010	98
4449412	9606.ENSP00000427687	2006	1178
4444027	9606.ENSP00000361883	1971	1209
4449695	9606.ENSP00000434024	1960	2657
4444702	9606.ENSP00000365439	1955	977
4443158	9606.ENSP00000357705	1946	229
4433993	9606.ENSP00000246662	1932	1243
4439337	9606.ENSP00000320171	1926	1337
4442728	9606.ENSP00000355657	1921	2275
4444939	9606.ENSP00000366999	1884	2294
4451529	9606.ENSP00000480826	1884	2294
4451830	9606.ENSP00000484095	1884	2294
4451891	9606.ENSP00000484841	1884	2294
4451655	9606.ENSP00000482271	1884	2294
4451757	9606.ENSP00000483283	1884	2294
4451875	9606.ENSP00000484658	1884	2294
4451871	9606.ENSP00000484638	1884	2294
4443272	9606.ENSP00000358160	1884	2294
4442229	9606.ENSP00000352252	1884	2294
4450354	9606.ENSP00000451291	1828	830
4444040	9606.ENSP00000361930	1815	791
4436015	9606.ENSP00000272317	1787	1428
4445814	9606.ENSP00000373620	1774	1171
4435205	9606.ENSP00000263168	1769	670
4446852	9606.ENSP00000381736	1768	1228
4436066	9606.ENSP00000273258	1754	169
4445713	9606.ENSP00000372155	1742	667
4440336	9606.ENSP00000332194	1738	2788
4435133	9606.ENSP00000262746	1702	527
4437176	9606.ENSP00000295685	1695	597
4443270	9606.ENSP00000358155	1691	2795
4451142	9606.ENSP00000475814	1691	2795
4446837	9606.ENSP00000381607	1674	451
4442276	9606.ENSP00000352627	1673	2793
4442159	9606.ENSP00000351589	1673	2793
4451686	9606.ENSP00000482538	1673	2793
4451672	9606.ENSP00000482431	1673	2793
4442214	9606.ENSP00000352119	1673	2793
4440028	9606.ENSP00000328484	1673	2793
4444893	9606.ENSP00000366679	1673	2793
4449876	9606.ENSP00000438553	1663	2781
4444942	9606.ENSP00000367022	1656	2741
4434854	9606.ENSP00000261313	1645	317
4435962	9606.ENSP00000270792	1645	112
4445991	9606.ENSP00000375978	1629	1250
4441116	9606.ENSP00000341094	1622	2648
4434861	9606.ENSP00000261366	1620	1223
4437955	9606.ENSP00000303373	1605	2596
4451813	9606.ENSP00000483842	1605	2596
4442727	9606.ENSP00000355656	1605	2596
4434993	9606.ENSP00000262030	1587	1186
4449616	9606.ENSP00000432083	1575	1498
4434085	9606.ENSP00000249071	1563	493
4451152	9606.ENSP00000476136	1562	3691
4438847	9606.ENSP00000313199	1559	434
4447693	9606.ENSP00000391481	1559	840
4451211	9606.ENSP00000477527	1556	3692
4443268	9606.ENSP00000358151	1556	3692
4451707	9606.ENSP00000482674	1556	3690
4448121	9606.ENSP00000400433	1547	603
4435927	9606.ENSP00000270142	1531	173
4443770	9606.ENSP00000360609	1530	1998
4441923	9606.ENSP00000349430	1489	3898
4437770	9606.ENSP00000301522	1488	382
4444932	9606.ENSP00000366962	1483	3899
4439472	9606.ENSP00000321744	1483	3899
4436804	9606.ENSP00000289316	1483	3899
4451751	9606.ENSP00000483237	1483	3899
4450164	9606.ENSP00000445633	1483	3899
4451817	9606.ENSP00000483903	1483	3899
4441873	9606.ENSP00000348924	1483	3899
4451366	9606.ENSP00000479169	1483	3899
4451252	9606.ENSP00000477907	1482	3893
4451599	9606.ENSP00000481622	1466	3805
4432984	9606.ENSP00000216802	1464	377
4439338	9606.ENSP00000320176	1445	495
4442650	9606.ENSP00000355315	1444	9
4451378	9606.ENSP00000479284	1438	3169
4444884	9606.ENSP00000366618	1432	3694
4439395	9606.ENSP00000320866	1413	496
4441896	9606.ENSP00000349168	1403	715
4436526	9606.ENSP00000283179	1399	1134
4450175	9606.ENSP00000445831	1382	3897
4441580	9606.ENSP00000346032	1369	752
4441922	9606.ENSP00000349428	1369	552
4436861	9606.ENSP00000290378	1367	4731
4439758	9606.ENSP00000325376	1364	1137
4442723	9606.ENSP00000355645	1359	4712
4435220	9606.ENSP00000263238	1355	714
4441868	9606.ENSP00000348849	1335	119
4450217	9606.ENSP00000447001	1334	212
4437619	9606.ENSP00000300026	1312	349
4435550	9606.ENSP00000265073	1311	202
4435079	9606.ENSP00000262428	1309	235
4448229	9606.ENSP00000402373	1306	4589
4442230	9606.ENSP00000352257	1303	947
4439895	9606.ENSP00000327070	1292	630
4447434	9606.ENSP00000386857	1291	4584
4434707	9606.ENSP00000259469	1280	54
4443033	9606.ENSP00000357076	1274	509
4446990	9606.ENSP00000383118	1268	285
4444623	9606.ENSP00000364935	1251	412
4438372	9606.ENSP00000307940	1250	1341
4449254	9606.ENSP00000423563	1248	523
4448092	9606.ENSP00000399888	1244	109
4448154	9606.ENSP00000401010	1228	490
4438410	9606.ENSP00000308405	1226	1324
4437274	9606.ENSP00000296417	1226	1324
4443194	9606.ENSP00000357801	1223	96
4442801	9606.ENSP00000356042	1204	1454
4440643	9606.ENSP00000335153	1189	1942
4448989	9606.ENSP00000418770	1186	272
4438640	9606.ENSP00000310861	1175	1398
4438689	9606.ENSP00000311430	1149	398
4448605	9606.ENSP00000411355	1118	1781
4441582	9606.ENSP00000346046	1116	138
4435583	9606.ENSP00000265333	1113	460
4439524	9606.ENSP00000322421	1110	327
4434183	9606.ENSP00000251595	1110	327
4436296	9606.ENSP00000278572	1110	434
4439035	9606.ENSP00000316029	1108	3356
4434667	9606.ENSP00000258962	1100	330
4433211	9606.ENSP00000222247	1094	205
4447586	9606.ENSP00000389103	1094	143
4436206	9606.ENSP00000276079	1091	537
4444658	9606.ENSP00000365147	1081	278
4443642	9606.ENSP00000359991	1073	489
4447293	9606.ENSP00000385958	1072	106
4440511	9606.ENSP00000333994	1067	378
4444985	9606.ENSP00000367220	1066	436
4439666	9606.ENSP00000324173	1053	942
4444253	9606.ENSP00000362820	1034	144
4434247	9606.ENSP00000252699	1032	1740
4440915	9606.ENSP00000339001	1030	1541
4446035	9606.ENSP00000376309	1023	371
4448949	9606.ENSP00000418082	1023	89
4449378	9606.ENSP00000426909	1015	416
4444232	9606.ENSP00000362744	1011	323
4450752	9606.ENSP00000464813	989	106
4448690	9606.ENSP00000413436	976	150
4445386	9606.ENSP00000369757	976	181
4450150	9606.ENSP00000445175	969	644
4433154	9606.ENSP00000221419	948	558
4443166	9606.ENSP00000357727	944	192
4446090	9606.ENSP00000376652	938	480
4432704	9606.ENSP00000168216	935	309
4447894	9606.ENSP00000395535	935	503
4448110	9606.ENSP00000400175	933	327
